🚀 智能量化選股報告 - 2026-03-26
==========================================================================================

【🚀超級強勢】(數量: 183)
------------------------------------------------------------------------------------------
3533.TW  | 嘉澤         | B6: 12.85% | DMA:349.400 | 💎流入 | 🚀DMA趨勢+多頭強勢
2239.TW  | 英利-KY      | B6: -7.08% | DMA: -4.473 | 💸流出 | ❄️跌深轉強
4304.TWO | 勝昱         | B6: -7.13% | DMA: -2.606 | 💸流出 | ❄️跌深轉強
3207.TWO | 耀勝         | B6: -7.28% | DMA: -4.436 | 💎流入 | ❄️跌深轉強
2929.TW  | 淘帝-KY      | B6: -7.34% | DMA: -0.882 | 💸流出 | ❄️跌深轉強
7786.TW  | 東方風能       | B6: -7.39% | DMA:-15.010 | 💸流出 | ❄️跌深轉強
7788.TW  | 松川精密       | B6: -7.41% | DMA:-10.110 | 💸流出 | ❄️底部反彈
3149.TW  | 正達         | B6: -7.41% | DMA: -3.839 | 💎流入 | ❄️底部反彈
9910.TW  | 豐泰         | B6: -7.42% | DMA:-11.986 | 💸流出 | ❄️跌深轉強
6869.TW  | 雲豹能源       | B6: -7.43% | DMA: -7.106 | 💸流出 | ❄️跌深轉強
5278.TWO | 尚凡*        | B6: -7.43% | DMA: -3.669 | 💎流入 | ❄️底部反彈
3056.TW  | 富華新        | B6: -7.45% | DMA: -1.882 | 💸流出 | ❄️跌深轉強
4946.TWO | 辣椒         | B6: -7.50% | DMA:  7.590 | 💸流出 | ❄️跌深轉強
6785.TWO | 昱展新藥       | B6: -7.53% | DMA:-54.160 | 💸流出 | ❄️跌深轉強
5455.TWO | 昇益         | B6: -7.60% | DMA: -3.521 | 💸流出 | ❄️跌深轉強
8463.TW  | 潤泰材        | B6: -7.67% | DMA: -2.088 | 💸流出 | ❄️跌深轉強
1319.TW  | 東陽         | B6: -7.68% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
3609.TWO | 三一東林       | B6: -7.81% | DMA: -5.623 | 💎流入 | ❄️底部反彈
4804.TWO | 大略-KY      | B6: -7.82% | DMA: -0.979 | 💎流入 | ❄️底部反彈
5301.TWO | 寶得利        | B6: -7.85% | DMA: -1.309 | 💸流出 | ❄️底部反彈
1609.TW  | 大亞         | B6: -7.92% | DMA: -4.600 | 💸流出 | ❄️跌深轉強
1784.TWO | 訊聯         | B6: -7.92% | DMA:-12.738 | 💸流出 | ❄️跌深轉強
3322.TWO | 建舜電        | B6: -7.95% | DMA: -2.061 | 💸流出 | ❄️底部反彈
4563.TWO | 百德         | B6: -8.03% | DMA: -8.340 | 💸流出 | ❄️底部反彈
4439.TW  | 冠星-KY      | B6: -8.04% | DMA:-12.578 | 💸流出 | ❄️跌深轉強
8044.TWO | 網家         | B6: -8.04% | DMA: -3.939 | 💎流入 | ❄️跌深轉強
1338.TW  | 廣華-KY      | B6: -8.08% | DMA: -3.335 | 💸流出 | ❄️跌深轉強
4438.TW  | 廣越         | B6: -8.11% | DMA: -8.902 | 💸流出 | ❄️跌深轉強
6409.TW  | 旭隼         | B6: -8.12% | DMA:  0.000 | 💎流入 | ❄️跌深轉強
4441.TW  | 振大環球       | B6: -8.15% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
4121.TWO | 優盛         | B6: -8.20% | DMA:  0.022 | 💸流出 | ❄️跌深轉強
6239.TW  | 力成         | B6: -8.28% | DMA:-30.470 | 💸流出 | ❄️跌深轉強
1616.TW  | 億泰         | B6: -8.38% | DMA: -3.127 | 💸流出 | ❄️跌深轉強
6412.TW  | 群電         | B6: -8.49% | DMA: -6.484 | 💸流出 | ❄️跌深轉強
6994.TW  | 富威電力       | B6: -8.56% | DMA:-10.466 | 💸流出 | ❄️跌深轉強
6431.TW  | 光麗-KY      | B6: -8.67% | DMA: -3.905 | 💎流入 | ❄️底部反彈
2067.TWO | 嘉鋼         | B6: -9.00% | DMA: -1.573 | 💸流出 | ❄️跌深轉強
6461.TWO | 益得         | B6: -9.01% | DMA: -1.980 | 💸流出 | ❄️跌深轉強
1435.TW  | 中福         | B6: -9.06% | DMA: -2.231 | 💸流出 | ❄️跌深轉強
6176.TW  | 瑞儀         | B6: -9.28% | DMA:-20.234 | 💸流出 | ❄️跌深轉強
2072.TWO | CWP        | B6: -9.35% | DMA:-26.020 | 💸流出 | ❄️跌深轉強
8069.TWO | 元太         | B6: -9.41% | DMA:-22.430 | 💸流出 | ❄️跌深轉強
8932.TWO | 智通*        | B6: -9.59% | DMA: -8.251 | 💸流出 | ❄️跌深轉強
6220.TWO | 岳豐         | B6: -9.66% | DMA:  2.086 | 💸流出 | ❄️跌深轉強
2515.TW  | 中工         | B6: -9.93% | DMA: -0.233 | 💸流出 | ❄️跌深轉強
2258.TW  | 鴻華先進-創     | B6:-10.28% | DMA: -5.737 | 💸流出 | ❄️跌深轉強
7780.TW  | 大研生醫*      | B6:-10.35% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
00738U.TW | 期元大道瓊白銀    | B6:-10.41% | DMA: -9.289 | 💸流出 | ❄️跌深轉強
7799.TW  | 禾榮科        | B6:-10.59% | DMA:-33.920 | 💸流出 | ❄️跌深轉強
7722.TW  | LINEPAY    | B6:-10.73% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
8084.TWO | 巨虹         | B6:-10.75% | DMA: -8.754 | 💸流出 | ❄️跌深轉強
7783.TWO | 佳運         | B6:-10.82% | DMA:-19.410 | 💸流出 | ❄️跌深轉強
8442.TW  | 威宏-KY      | B6:-11.00% | DMA:-10.662 | 💸流出 | ❄️跌深轉強
2424.TW  | 隴華         | B6:-11.50% | DMA: -5.812 | 💸流出 | ❄️跌深轉強
6130.TWO | 上亞科技       | B6:-11.59% | DMA: -7.983 | 💸流出 | ❄️跌深轉強
00708L.TW | 期元大S&P黃金正2 | B6:-12.60% | DMA: -9.479 | 💸流出 | ❄️跌深轉強
1795.TW  | 美時         | B6:-12.72% | DMA:-66.320 | 💸流出 | ❄️跌深轉強
1522.TW  | 堤維西        | B6:-14.23% | DMA:-10.166 | 💸流出 | ❄️跌深轉強
4416.TWO | 三圓         | B6:-18.93% | DMA: -9.650 | 💸流出 | ❄️跌深轉強
6919.TW  | 康霈*        | B6:-20.89% | DMA:-40.234 | 💸流出 | ❄️底部反彈
6550.TW  | 北極星藥業-KY   | B6:-22.79% | DMA: -7.728 | 💸流出 | ❄️跌深轉強

【📈趨勢轉折】(數量: 86)
------------------------------------------------------------------------------------------
2380.TW  | 虹光         | B6: 11.08% | DMA:  0.752 | 💎流入 | 📈5日穿20日(金叉)
6805.TW  | 富世達        | B6:  6.87% | DMA:280.200 | 💎流入 | 📈5日穿20日(金叉)
3028.TW  | 增你強        | B6:  4.09% | DMA:  6.762 | 💸流出 | 🔥DMA金叉(起漲)
2017.TW  | 官田鋼        | B6:  3.74% | DMA:  0.720 | 💸流出 | 📈5日穿20日(金叉)
00982A.TW | 主動群益台灣強棒   | B6:  3.06% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
5536.TWO | 聖暉*        | B6:  2.86% | DMA: 13.443 | 💎流入 | 📈5日穿20日(金叉)
00651R.TW | 復華香港反1     | B6:  1.67% | DMA:  0.187 | 💸流出 | 📈5日穿20日(金叉)
6980.TWO | 鐳洋科技       | B6:  1.37% | DMA:  2.990 | 💎流入 | 🔥DMA金叉(起漲)
1307.TW  | 三芳         | B6:  0.53% | DMA:  1.269 | 💎流入 | 📈5日穿20日(金叉)
6257.TW  | 矽格         | B6:  0.28% | DMA:  2.980 | 💎流入 | 🔥DMA金叉(起漲)
00638R.TW | 元大滬深300反1  | B6:  0.23% | DMA:  0.102 | 💎流入 | 📈5日穿20日(金叉)
2030.TW  | 彰源         | B6:  0.21% | DMA: -0.262 | 💎流入 | 🔥DMA金叉(起漲)
2948.TWO | 寶陞         | B6:  0.21% | DMA:  0.381 | 💎流入 | 🔥DMA金叉(起漲)
00656R.TW | 國泰中國A50反1  | B6:  0.17% | DMA:  0.091 | 💎流入 | 📈5日穿20日(金叉)
7728.TWO | 光焱科技       | B6:  0.06% | DMA: 39.740 | 💸流出 | 🔥DMA金叉(起漲)
911622.TW | 泰聚亨-DR     | B6: -0.06% | DMA: -0.006 | 💎流入 | 📈5日穿20日(金叉)
3680.TWO | 家登         | B6: -0.10% | DMA:-15.090 | 💸流出 | 🔥DMA金叉(起漲)
4979.TWO | 華星光        | B6: -0.14% | DMA: 53.800 | 💸流出 | 🔥DMA金叉(起漲)
00713.TW | 元大台灣高息低波   | B6: -0.34% | DMA:  0.244 | 💸流出 | 🔥DMA金叉(起漲)
1714.TW  | 和桐         | B6: -0.38% | DMA:  0.247 | 💸流出 | 📈5日穿20日(金叉)
8131.TW  | 福懋科        | B6: -0.60% | DMA: -3.622 | 💎流入 | 🔥DMA金叉(起漲)
00950B.TWO | 凱基A級公司債    | B6: -0.68% | DMA: -0.093 | 💸流出 | 📈5日穿20日(金叉)
00968B.TWO | 元大優息投等債    | B6: -0.68% | DMA: -0.064 | 💎流入 | 📈5日穿20日(金叉)
00942B.TWO | 台新美A公司債20+ | B6: -0.80% | DMA: -0.128 | 💸流出 | 📈5日穿20日(金叉)
00970B.TWO | 新光BBB投等債20+ | B6: -0.80% | DMA: -0.074 | 💎流入 | 📈5日穿20日(金叉)
00948B.TWO | 中信優息投資級債   | B6: -0.82% | DMA: -0.087 | 💸流出 | 📈5日穿20日(金叉)
00740B.TWO | 富邦全球投等債    | B6: -0.85% | DMA: -0.340 | 💎流入 | 📈5日穿20日(金叉)
00720B.TWO | 元大投資級公司債   | B6: -0.89% | DMA: -0.295 | 💎流入 | 📈5日穿20日(金叉)
2332.TW  | 友訊         | B6: -0.90% | DMA: -0.445 | 💸流出 | 📈5日穿20日(金叉)
00937B.TWO | 群益ESG投等債20+ | B6: -0.96% | DMA: -0.166 | 💎流入 | 📈5日穿20日(金叉)
6730.TWO | 常廣         | B6: -1.16% | DMA: -0.651 | 💸流出 | 📈5日穿20日(金叉)
3230.TWO | 錦明         | B6: -1.17% | DMA:  3.339 | 💎流入 | 📈5日穿20日(金叉)
2886.TW  | 兆豐金        | B6: -1.28% | DMA: -0.724 | 💸流出 | 🔥DMA金叉(起漲)
6552.TW  | 易華電        | B6: -1.35% | DMA: -0.915 | 💸流出 | 🔥DMA金叉(起漲)
2012.TW  | 春雨         | B6: -1.54% | DMA: -0.868 | 💎流入 | 🔥DMA金叉(起漲)
1418.TW  | 東華         | B6: -1.57% | DMA: -0.702 | 💎流入 | 🔥DMA金叉(起漲)
2516.TW  | 新建         | B6: -1.58% | DMA: -0.415 | 💎流入 | 🔥DMA金叉(起漲)
5880.TW  | 合庫金        | B6: -1.58% | DMA: -0.553 | 💎流入 | 🔥DMA金叉(起漲)
6442.TW  | 光聖         | B6: -1.66% | DMA:179.300 | 💸流出 | 🔥DMA金叉(起漲)
2392.TW  | 正崴         | B6: -1.74% | DMA: -1.772 | 💸流出 | 🔥DMA金叉(起漲)
8921.TWO | 沈氏         | B6: -1.80% | DMA: -0.706 | 💸流出 | 🔥DMA金叉(起漲)
4127.TWO | 天良         | B6: -1.95% | DMA: -0.193 | 💸流出 | 📈5日穿20日(金叉)
4583.TW  | 台灣精銳       | B6: -2.22% | DMA:-53.040 | 💎流入 | 🔥DMA金叉(起漲)
2834.TW  | 臺企銀        | B6: -2.28% | DMA: -0.525 | 💸流出 | 🔥DMA金叉(起漲)
3266.TW  | 昇陽         | B6: -2.34% | DMA: -0.472 | 💎流入 | 📈5日穿20日(金叉)
1301.TW  | 台塑         | B6: -2.40% | DMA:  0.531 | 💎流入 | 📈5日穿20日(金叉)
6666.TW  | 羅麗芬-KY     | B6: -2.43% | DMA: -2.462 | 💎流入 | 🔥DMA金叉(起漲)
2882.TW  | 國泰金        | B6: -2.46% | DMA: -3.118 | 💸流出 | 🔥DMA金叉(起漲)
3062.TW  | 建漢         | B6: -2.63% | DMA: -0.855 | 💸流出 | 🔥DMA金叉(起漲)
4541.TWO | 晟田         | B6: -2.73% | DMA: -2.638 | 💸流出 | 🔥DMA金叉(起漲)
7732.TW  | 金興精密       | B6: -2.75% | DMA: -1.699 | 💎流入 | 📈5日穿20日(金叉)
4157.TWO | 太景*-KY     | B6: -2.89% | DMA: -1.588 | 💸流出 | 🔥DMA金叉(起漲)
4935.TW  | 茂林-KY      | B6: -2.90% | DMA: -2.410 | 💎流入 | 🔥DMA金叉(起漲)
6192.TW  | 巨路         | B6: -2.97% | DMA: -1.450 | 💎流入 | 📈5日穿20日(金叉)
4168.TWO | 醣聯         | B6: -3.15% | DMA: -2.122 | 💎流入 | 🔥DMA金叉(起漲)
1599.TWO | 宏佳騰        | B6: -3.17% | DMA: -1.083 | 💸流出 | 🔥DMA金叉(起漲)
3570.TWO | 大塚         | B6: -3.38% | DMA: -3.650 | 💸流出 | 📈5日穿20日(金叉)
4569.TW  | 六方科-KY     | B6: -3.54% | DMA: -5.280 | 💎流入 | 📈5日穿20日(金叉)
6603.TWO | 富強鑫        | B6: -3.58% | DMA: -3.930 | 💸流出 | 🔥DMA金叉(起漲)
00951.TW | 台新日本半導體    | B6: -3.66% | DMA: -0.162 | 💸流出 | 📈5日穿20日(金叉)
2024.TW  | 志聯         | B6: -3.67% | DMA: -0.916 | 💎流入 | 🔥DMA金叉(起漲)
2397.TW  | 友通         | B6: -3.83% | DMA: -3.926 | 💸流出 | 🔥DMA金叉(起漲)
3019.TW  | 亞光         | B6: -3.89% | DMA:-11.530 | 💎流入 | 🔥DMA金叉(起漲)
2634.TW  | 漢翔         | B6: -4.27% | DMA: -3.202 | 💸流出 | 📈5日穿20日(金叉)
7714.TWO | 創泓科技       | B6: -4.29% | DMA:-16.240 | 💎流入 | 🔥DMA金叉(起漲)
2606.TW  | 裕民         | B6: -4.33% | DMA: -2.364 | 💸流出 | 📈5日穿20日(金叉)
4557.TW  | 永新-KY      | B6: -4.45% | DMA: -7.942 | 💸流出 | 🔥DMA金叉(起漲)
3191.TWO | 雲嘉南        | B6: -4.57% | DMA: -1.705 | 💸流出 | 🔥DMA金叉(起漲)
2427.TW  | 三商電        | B6: -4.72% | DMA: -1.711 | 💸流出 | 📈5日穿20日(金叉)
5243.TW  | 乙盛-KY      | B6: -4.74% | DMA: -7.502 | 💎流入 | 🔥DMA金叉(起漲)
8291.TWO | 尚茂         | B6: -4.99% | DMA: -1.897 | 💎流入 | 🔥DMA金叉(起漲)
6462.TWO | 神盾         | B6: -5.71% | DMA: -9.756 | 💎流入 | 📈5日穿20日(金叉)
9921.TW  | 巨大         | B6: -5.75% | DMA:-12.226 | 💎流入 | 🔥DMA金叉(起漲)
7719.TWO | 碳基         | B6: -5.87% | DMA: -4.668 | 💎流入 | 🔥DMA金叉(起漲)
3545.TW  | 敦泰         | B6: -6.13% | DMA: -6.825 | 💎流入 | 🔥DMA金叉(起漲)
1235.TW  | 興泰         | B6: -6.56% | DMA: -3.750 | 💸流出 | 🔥DMA金叉(起漲)
8437.TWO | 大地-KY      | B6: -7.38% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
6901.TW  | 鑽石投資       | B6: -7.78% | DMA: -2.038 | 💸流出 | 📈5日穿20日(金叉)
6180.TWO | 橘子         | B6: -8.24% | DMA: -6.138 | 💎流入 | 📈5日穿20日(金叉)
1587.TW  | 吉茂         | B6: -8.46% | DMA: -8.345 | 💸流出 | 🔥DMA金叉(起漲)
6671.TW  | 三能-KY      | B6: -9.88% | DMA: -4.952 | 💸流出 | 📈5日穿20日(金叉)
6212.TWO | 理銘         | B6:-10.02% | DMA: -6.351 | 💸流出 | 📈5日穿20日(金叉)
5546.TW  | 永固-KY      | B6:-11.80% | DMA: -3.915 | 💸流出 | 📈5日穿20日(金叉)
2923.TW  | 鼎固-KY      | B6:-14.27% | DMA: -2.404 | 💎流入 | 📈5日穿20日(金叉)
3064.TWO | 泰偉         | B6:-20.23% | DMA:-12.111 | 💸流出 | 📈5日穿20日(金叉)
5521.TW  | 工信         | B6:-27.00% | DMA: -7.112 | 💸流出 | 📈5日穿20日(金叉)

【🔥高檔警戒】(數量: 102)
------------------------------------------------------------------------------------------
6983.TWO | 華洋精機       | B6: 41.84% | DMA:227.500 | 💎流入 | 🧨瘋狗浪(極限)
4973.TWO | 廣穎         | B6: 38.94% | DMA: 24.234 | 💸流出 | 🧨瘋狗浪(極限)
6217.TWO | 中探針        | B6: 38.61% | DMA: 73.838 | 💎流入 | 🧨瘋狗浪(極限)
3054.TW  | 立萬利        | B6: 37.48% | DMA: 32.744 | 💸流出 | 🧨瘋狗浪(極限)
7781.TWO | 昕力資*       | B6: 35.24% | DMA: 10.967 | 💸流出 | 🧨瘋狗浪(極限)
6141.TW  | 柏承         | B6: 32.59% | DMA:  8.723 | 💎流入 | 🧨瘋狗浪(極限)
6574.TWO | 霈方         | B6: 32.30% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
6907.TWO | 雅特力-KY     | B6: 32.00% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
5386.TWO | 青雲         | B6: 31.13% | DMA:172.246 | 💸流出 | 🧨瘋狗浪(極限)
2243.TW  | 宏旭-KY      | B6: 30.85% | DMA:  5.849 | 💎流入 | 🧨瘋狗浪(極限)
4960.TW  | 誠美材        | B6: 30.47% | DMA:  8.639 | 💎流入 | 🧨瘋狗浪(極限)
6226.TW  | 光鼎         | B6: 30.16% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
2426.TW  | 鼎元         | B6: 29.70% | DMA: 12.216 | 💎流入 | 🧨瘋狗浪(極限)
3555.TWO | 博士旺        | B6: 29.64% | DMA: 63.014 | 💎流入 | 🧨瘋狗浪(極限)
2485.TW  | 兆赫         | B6: 29.35% | DMA: 27.754 | 💎流入 | 🧨瘋狗浪(極限)
3093.TWO | 港建*        | B6: 29.29% | DMA: 14.466 | 💎流入 | 🧨瘋狗浪(極限)
6715.TW  | 嘉基         | B6: 28.96% | DMA:135.002 | 💎流入 | 🧨瘋狗浪(極限)
3260.TWO | 威剛         | B6: 27.89% | DMA: 94.262 | 💸流出 | 🧨瘋狗浪(極限)
00715L.TW | 期街口布蘭特正2   | B6: 27.70% | DMA: 22.075 | 💸流出 | 🧨瘋狗浪(極限)
3437.TW  | 榮創         | B6: 27.13% | DMA:  5.495 | 💸流出 | 🧨瘋狗浪(極限)
1711.TW  | 永光         | B6: 26.99% | DMA: 11.874 | 💎流入 | 🧨瘋狗浪(極限)
1735.TW  | 日勝化        | B6: 26.95% | DMA:  7.872 | 💎流入 | 🧨瘋狗浪(極限)
6515.TW  | 穎崴         | B6: 26.92% | DMA:2481.800 | 💎流入 | 🧨瘋狗浪(極限)
6451.TW  | 訊芯-KY      | B6: 25.59% | DMA: 83.200 | 💎流入 | 🧨瘋狗浪(極限)
8271.TW  | 宇瞻         | B6: 25.33% | DMA: 45.640 | 💎流入 | 🧨瘋狗浪(極限)
6187.TWO | 萬潤         | B6: 25.14% | DMA:287.870 | 💎流入 | 🧨瘋狗浪(極限)
2337.TW  | 旺宏         | B6: 24.28% | DMA: 42.278 | 💎流入 | 🧨瘋狗浪(極限)
1785.TWO | 光洋科        | B6: 23.35% | DMA: 21.680 | 💸流出 | 🧨瘋狗浪(極限)
2399.TW  | 映泰         | B6: 22.86% | DMA:  5.144 | 💎流入 | 🧨瘋狗浪(極限)
3066.TWO | 李洲         | B6: 22.35% | DMA:  4.606 | 💎流入 | 🧨瘋狗浪(極限)
8240.TWO | 華宏         | B6: 21.68% | DMA: 10.156 | 💎流入 | 🧨瘋狗浪(極限)
5351.TWO | 鈺創         | B6: 21.67% | DMA: 12.756 | 💎流入 | 🧨瘋狗浪(極限)
5289.TWO | 宜鼎         | B6: 21.54% | DMA:276.600 | 💸流出 | 🧨瘋狗浪(極限)
6727.TWO | 亞泰金屬       | B6: 21.06% | DMA: 75.160 | 💎流入 | 🧨瘋狗浪(極限)
4956.TW  | 光鋐         | B6: 20.36% | DMA:  8.595 | 💎流入 | 🧨瘋狗浪(極限)
4905.TWO | 台聯電        | B6: 20.31% | DMA: 13.566 | 💸流出 | 🧨瘋狗浪(極限)
8064.TWO | 東捷         | B6: 20.07% | DMA: 11.315 | 💎流入 | 🧨瘋狗浪(極限)
6547.TWO | 高端疫苗       | B6: 20.04% | DMA:  7.788 | 💎流入 | 🧨瘋狗浪(極限)
6640.TWO | 均華         | B6: 20.01% | DMA:265.260 | 💎流入 | 🧨瘋狗浪(極限)
1309.TW  | 台達化        | B6: 19.92% | DMA:  4.228 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7751.TWO | 竑騰         | B6: 19.79% | DMA:472.220 | 💎流入 | 🔥高檔轉折(警示)
3131.TWO | 弘塑         | B6: 19.17% | DMA:484.100 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6231.TWO | 系微         | B6: 19.03% | DMA: 38.240 | 💎流入 | 🔥高檔轉折(警示)
6103.TWO | 合邦         | B6: 18.84% | DMA: 10.025 | 💎流入 | 🔥高檔轉折(警示)
2451.TW  | 創見         | B6: 18.75% | DMA: 33.320 | 💸流出 | 🔥高檔轉折(警示)
3702.TW  | 大聯大        | B6: 18.57% | DMA: 19.122 | 💸流出 | 🔥高檔轉折(警示)
8155.TWO | 博智         | B6: 18.05% | DMA: 41.280 | 💎流入 | 🔥高檔轉折(警示)
4949.TW  | 有成精密       | B6: 17.83% | DMA: 16.412 | 💸流出 | 🔥高檔轉折(警示)
6683.TWO | 雍智科技       | B6: 17.79% | DMA:424.670 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4967.TW  | 十銓         | B6: 17.77% | DMA: 25.010 | 💸流出 | 🔥高檔轉折(警示)
6465.TWO | 威潤         | B6: 17.33% | DMA:  5.069 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3049.TW  | 精金         | B6: 17.21% | DMA:  3.831 | 💎流入 | 🔥高檔轉折(警示)
7730.TW  | 暉盛-創       | B6: 17.20% | DMA: 37.378 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8472.TWO | 夠麻吉        | B6: 17.11% | DMA: 12.792 | 💸流出 | 🔥高檔轉折(警示)
9136.TW  | 巨騰-DR      | B6: 16.76% | DMA:  1.777 | 💎流入 | 🔥高檔轉折(警示)
1799.TWO | 易威         | B6: 16.48% | DMA:  0.000 | 💸流出 | ⚠️高檔過熱
6830.TW  | 汎銓         | B6: 16.46% | DMA:140.370 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9929.TW  | 秋雨         | B6: 16.44% | DMA:  1.515 | 💎流入 | 🔥高檔轉折(警示)
1305.TW  | 華夏         | B6: 16.06% | DMA:  2.865 | 💎流入 | 🔥高檔轉折(警示)
7547.TWO | 碩網         | B6: 15.97% | DMA:  9.328 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4919.TW  | 新唐         | B6: 15.90% | DMA: 23.954 | 💸流出 | 🔥高檔轉折(警示)
6223.TWO | 旺矽         | B6: 15.77% | DMA:838.000 | 💸流出 | 🔥高檔轉折(警示)
8096.TWO | 擎亞         | B6: 15.35% | DMA: 18.621 | 💸流出 | 🔥高檔轉折(警示)
3086.TWO | 華義         | B6: 15.21% | DMA: 41.980 | 💎流入 | 🔥高檔轉折(警示)
6894.TWO | 衛司特        | B6: 15.06% | DMA: 83.987 | 💎流入 | 🔥高檔轉折(警示)
6147.TWO | 頎邦         | B6: 15.02% | DMA:  9.390 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6874.TWO | 倍力         | B6: 15.02% | DMA:  0.000 | 💸流出 | 🔥高檔轉折(警示)
6531.TW  | 愛普*        | B6: 14.99% | DMA: 73.490 | 💸流出 | 🔥高檔轉折(警示)
3498.TWO | 陽程         | B6: 14.96% | DMA: 16.605 | 💸流出 | 🔥高檔轉折(警示)
3006.TW  | 晶豪科        | B6: 14.86% | DMA: 23.090 | 💎流入 | 🔥高檔轉折(警示)
3693.TWO | 營邦         | B6: 14.71% | DMA: 97.730 | 💸流出 | 🔥高檔轉折(警示)
6167.TWO | 久正         | B6: 14.53% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
2252.TWO | 為昇科        | B6: 14.50% | DMA:  1.263 | 💸流出 | 🔥高檔轉折(警示)
6291.TWO | 沛亨         | B6: 14.44% | DMA: 93.190 | 💸流出 | 🔥高檔轉折(警示)
6532.TWO | 瑞耘         | B6: 14.42% | DMA: 12.314 | 💎流入 | 🔥高檔轉折(警示)
3714.TW  | 富采         | B6: 14.20% | DMA:  8.531 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4906.TW  | 正文         | B6: 14.16% | DMA:  3.741 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3339.TWO | 泰谷         | B6: 13.92% | DMA:  5.423 | 💸流出 | 🔥高檔轉折(警示)
3508.TWO | 位速         | B6: 13.86% | DMA: 11.439 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6924.TW  | 榮惠-KY創     | B6: 13.49% | DMA:  8.578 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6584.TWO | 南俊國際       | B6: 13.49% | DMA:100.130 | 💎流入 | 🔥高檔轉折(警示)
5291.TWO | 邑昇         | B6: 13.47% | DMA: 16.726 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6568.TWO | 宏觀         | B6: 13.44% | DMA: 45.540 | 💎流入 | 🔥高檔轉折(警示)
2369.TW  | 菱生         | B6: 13.33% | DMA:  3.657 | 💸流出 | 🔥高檔轉折(警示)
7711.TW  | 永擎         | B6: 13.30% | DMA: 16.300 | 💎流入 | 🔥高檔轉折(警示)
6197.TW  | 佳必琪        | B6: 13.25% | DMA: 27.110 | 💸流出 | 🔥高檔轉折(警示)
3040.TW  | 遠見         | B6: 13.18% | DMA:  2.235 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00642U.TW | 期元大S&P石油   | B6: 13.12% | DMA:  6.357 | 💸流出 | 🔥高檔轉折(警示)
3583.TW  | 辛耘         | B6: 13.10% | DMA: 75.930 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3189.TW  | 景碩         | B6: 13.03% | DMA: 86.869 | 💎流入 | 🔥高檔轉折(警示)
3026.TW  | 禾伸堂        | B6:  6.16% | DMA: 10.760 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6821.TWO | 聯寶         | B6:  3.43% | DMA:  2.045 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1905.TW  | 華紙         | B6:  0.08% | DMA:  0.013 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1904.TW  | 正隆         | B6: -0.09% | DMA:  0.177 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2231.TW  | 為升         | B6: -0.51% | DMA: -2.908 | 💎流入 | ⚠️高檔過熱
4147.TWO | 中裕         | B6: -0.96% | DMA: -3.598 | 💎流入 | ⚠️高檔過熱
3467.TWO | 台灣精材       | B6: -1.56% | DMA: -2.476 | 💎流入 | ⚠️高檔過熱
2702.TW  | 華園         | B6: -1.58% | DMA: -0.248 | 💎流入 | ⚠️高檔過熱
7721.TW  | 微程式        | B6: -2.57% | DMA:  0.938 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4154.TWO | 樂威科-KY     | B6: -3.74% | DMA: -1.846 | 💎流入 | ⚠️高檔過熱
3085.TWO | 新零售        | B6: -3.83% | DMA: -1.018 | 💎流入 | ⚠️高檔過熱
5258.TW  | 虹堡         | B6: -5.49% | DMA: -8.853 | 💎流入 | ⚠️高檔過熱
