advice,prev_eps,eps,est_price,rev_yoy,gm,status,prev_eps_yoy,om,name,price,expansion,pe,date,symbol,prev_year,prev_rev_yoy,eps_yoy
💎 強力關注,0.97,1.19,38.85,-14.65,22.79%,🧐 疑業外收益,15.66,8.66%,新纖,16.7999992371,27.98,6.486486191930501,2025-12,1409.TW,2025,-10.34,13.33
⚠️ 追價風險,0.16,0.25,7.2,13.2,73.82%,🏰 高護城河,128.57,-7.29%,聯傑,33.3499984741,27.98,69.47916348770832,2025-12,3094.TW,2025,18.72,41.18
⚪ 數據不足,-1.71,-2.05,-88.64999999999999,-8.49,N/A,🧐 疑業外收益,-0.6,N/A,順藥,136.0,27.93,0.0,2025-12,6535.TWO,2025,17.74,19.44
⚪ 中性觀察,4.2,5.99,208.8,7.08,37.83%,🚀 利潤擴張,19.76,26.59%,欣銓,248.5,27.89,17.85201149425287,2025-12,3264.TWO,2025,2.87,34.97
✅ 穩健價值,0.87,1.19,28.95,-6.08,13.94%,🧐 疑業外收益,33.85,-0.03%,永豐餘,24.0499992371,27.509999999999998,12.461139501088082,2025-12,1907.TW,2025,-5.16,21.43
💎 強力關注,4.29,9.58,220.80000000000004,-35.84,N/A,🌑 雙重衰退,-50.97,N/A,京晨科,135.0,27.430000000000003,9.171195652173912,2025-12,6419.TWO,2025,-38.21,-8.41
💎 強力關注,3.8,4.03,164.25,-11.42,N/A,🧐 疑業外收益,30.36,N/A,菱光,50.4000015259,27.41,4.602739865378996,2025-12,8249.TW,2025,-8.11,15.99
⚪ 數據不足,-0.69,-1.15,-37.65,4.45,N/A,🚀 利潤擴張,54.0,N/A,豪勉,37.0999984741,27.1,0.0,2025-12,6218.TWO,2025,11.68,31.55
⚠️ 追價風險,50.89,69.18,2590.35,-40.49,42.25%,🌑 雙重衰退,-11.99,25.70%,世芯-KY,4795.0,26.660000000000004,27.76651803810296,2025-12,3661.TW,2025,-32.65,-13.83
⚪ 數據不足,-2.86,-4.38,-155.7,-25.69,N/A,🧐 疑業外收益,20.51,N/A,嘉聯益,18.9500007629,26.150000000000002,0.0,2025-12,6153.TW,2025,-25.38,0.46
⚪ 中性觀察,20.45,29.06,1011.5999999999999,51.55,N/A,🚀 利潤擴張,64.4,N/A,勤誠,1290.0,26.11,19.12811387900356,2025-12,8210.TW,2025,43.27,77.66
💎 強力關注,4.69,6.13,228.45000000000002,12.91,29.73%,🚀 利潤擴張,56.86,19.04%,金洲,46.5,26.09,3.0531845042678922,2025-12,4417.TWO,2025,16.97,39.0
💎 強力關注,4.07,5.77,197.24999999999997,13.46,4.26%,🚀 利潤擴張,44.82,2.13%,大聯大,103.5,25.89,7.8707224334600765,2025-12,3702.TW,2025,14.61,39.35
💎 強力關注,1.1,1.62,57.900000000000006,-5.8,10.04%,🧐 疑業外收益,27.91,4.08%,運錩,18.8999996185,25.8,4.8963729581606215,2025-12,2069.TW,2025,-3.4,20.0
⚪ 數據不足,-1.3,-1.34,-54.15,34.04,27.86%,🚀 利潤擴張,57.33,-40.94%,隴華,17.5,25.65,0.0,2025-12,2424.TW,2025,87.04,59.69
✅ 穩健價值,2.18,3.12,111.0,4.45,32.67%,🚀 利潤擴張,16.58,7.81%,強茂,103.5,25.55,13.986486486486486,2025-12,2481.TW,2025,2.28,30.0
⚪ 數據不足,-0.11,-0.38,-15.15,47.9,2.82%,🚀 利潤擴張,90.52,-30.62%,遠雄來,17.0,25.339999999999996,0.0,2025-12,2712.TW,2025,68.78,73.24
⚠️ 追價風險,0.36,0.05,16.05,-0.22,N/A,🧐 疑業外收益,130.0,N/A,亞通,24.0499992371,25.22,22.476634801028037,2025-12,6179.TWO,2025,34.28,25.0
⚠️ 追價風險,0.1,1.23,7.050000000000001,21.27,24.10%,🚀 利潤擴張,400.0,2.82%,所羅門,120.5,25.16,256.3829787234042,2025-12,2359.TW,2025,27.31,46.43
⚪ 數據不足,-0.33,-0.78,-22.950000000000003,-8.12,N/A,🧐 疑業外收益,25.0,N/A,啟發電,19.3500003815,25.14,0.0,2025-12,6512.TWO,2025,0.72,17.02
⚪ 數據不足,4.06,4.23,0.0,-8.56,N/A,🧐 疑業外收益,24.54,N/A,旅天下,60.5,25.090000000000003,0.0,2025-12,6961.TWO,2025,-5.29,16.53
⚪ 數據不足,-0.51,-1.44,-32.400000000000006,0.46,2.21%,🚀 利潤擴張,59.68,-20.80%,立德,8.3999996185,25.06,0.0,2025-12,3058.TW,2025,-0.37,25.52
⚪ 數據不足,-0.69,-0.47,-28.049999999999997,19.96,N/A,🚀 利潤擴張,-7.81,N/A,全譜,22.3999996185,24.75,0.0,2025-12,6228.TWO,2025,2.61,44.71
⚪ 中性觀察,3.08,4.37,160.5,26.97,N/A,🚀 利潤擴張,81.07,N/A,昇陽半導體,229.0,24.61,21.401869158878505,2025-12,8028.TW,2025,31.53,51.58
💎 強力關注,10.1,14.08,499.49999999999994,15.02,N/A,🚀 利潤擴張,24.08,N/A,視陽,203.5,24.389999999999997,6.111111111111112,2025-12,6782.TW,2025,14.41,39.41
💎 強力關注,0.33,0.4,14.7,-33.62,N/A,🌑 雙重衰退,557.14,N/A,智捷,10.1999998093,24.319999999999997,10.408163070714286,2025-12,8176.TWO,2025,-15.17,-9.3
⚪ 數據不足,0.49,0.73,0.0,1.95,N/A,🚀 利潤擴張,28.95,N/A,保綠-KY,0.0,23.91,0.0,2025-12,8423.TWO,2025,0.21,25.86
⚪ 數據不足,-1.54,-2.14,-78.00000000000001,-61.92,N/A,🌑 雙重衰退,-17.19,N/A,浩宇生醫,18.2000007629,23.760000000000005,0.0,2025-12,6872.TWO,2025,-52.22,-38.16
💎 強力關注,0.69,0.61,31.349999999999998,-1.66,19.21%,🧐 疑業外收益,6800.0,1.75%,勝德,22.2000007629,23.66,10.622009934401914,2025-12,3296.TW,2025,2.21,22.0
⚠️ 追價風險,0.41,0.58,15.75,-20.15,31.89%,🧐 疑業外收益,0.0,4.46%,南染,28.0,23.659999999999997,26.666666666666664,2025-12,1410.TW,2025,-18.74,3.51
⚪ 數據不足,-1.5,-2.25,-78.30000000000001,-20.4,28.80%,🧐 疑業外收益,33.88,-34.01%,康聯訊,12.0,23.43,0.0,2025-12,3672.TWO,2025,-8.13,3.03
⚪ 數據不足,-0.69,-0.6,-45.3,9.99,N/A,🚀 利潤擴張,2.82,N/A,慧友,38.5,23.339999999999996,0.0,2025-12,5484.TW,2025,-8.43,33.33
💎 強力關注,0.9,1.23,42.599999999999994,-14.47,87.61%,🏰 高護城河,8.43,51.79%,統領,22.8500003815,23.32,8.04577478221831,2025-12,2910.TW,2025,-15.17,8.85
⚪ 數據不足,-0.3,-0.86,-16.2,-4.14,20.74%,🧐 疑業外收益,53.13,-2.32%,艾美特-KY,11.1499996185,23.01,0.0,2025-12,1626.TW,2025,-4.12,18.87
💎 強力關注,3.38,4.49,159.75,9.65,N/A,🚀 利潤擴張,78.84,N/A,統振,52.0,22.800000000000004,4.88262910798122,2025-12,6170.TWO,2025,13.41,32.45
💎 強力關注,3.98,5.23,207.0,29.61,27.73%,🚀 利潤擴張,81.37,10.88%,竣邦-KY,55.7999992371,22.759999999999998,4.043478205586957,2025-12,4442.TWO,2025,39.34,52.37
⚪ 數據不足,-0.11,-0.15,-5.7,9.13,40.70%,🚀 利潤擴張,35.29,-7.01%,農林,11.3000001907,22.689999999999998,0.0,2025-12,2913.TW,2025,18.12,31.82
⚪ 數據不足,1.38,2.08,0.0,1.91,N/A,🚀 利潤擴張,56.82,N/A,雅特力-KY,132.5,22.64,0.0,2025-12,6907.TWO,2025,0.12,24.55
⚪ 數據不足,22.8,35.12,0.0,29.17,N/A,🚀 利潤擴張,21.35,N/A,新代,0.0,22.519999999999996,0.0,2025-12,7750.TW,2025,26.18,51.69
💎 強力關注,1.13,1.63,64.35,5.0,30.15%,🚀 利潤擴張,25.56,7.57%,五鼎,28.25,22.34,6.585081585081585,2025-12,1733.TW,2025,7.7,27.34
💎 強力關注,4.65,5.37,218.7,38.81,N/A,🚀 利潤擴張,74.3,N/A,動力-KY,58.2000007629,22.07,3.991769599650206,2025-12,6591.TW,2025,38.83,60.88
💎 強力關注,3.27,4.03,148.65,23.39,15.30%,🚀 利潤擴張,51.89,3.72%,海華,61.9000015259,22.03,6.246216097467205,2025-12,3694.TW,2025,26.88,45.42
✅ 穩健價值,0.37,0.56,18.6,2.45,6.08%,🚀 利潤擴張,12.12,2.25%,新鋼,16.75,21.990000000000002,13.508064516129032,2025-12,2032.TW,2025,9.42,24.44
💎 強力關注,9.32,11.19,383.3999999999999,2.94,24.61%,🚀 利潤擴張,13.52,6.32%,鮮活果汁-KY,168.0,21.939999999999998,6.572769953051645,2025-12,1256.TW,2025,-3.77,24.88
💎 強力關注,7.36,8.6,329.1,18.61,25.25%,🚀 利潤擴張,46.61,19.61%,長榮鋼,99.0999984741,21.910000000000004,4.51686410547402,2025-12,2211.TW,2025,21.52,40.52
⚠️ 追價風險,20.04,31.0,993.9000000000001,51.62,N/A,🚀 利潤擴張,68.69,N/A,富世達,1920.0,21.56000000000001,28.976758225173555,2025-12,6805.TW,2025,55.74,73.18
⚪ 數據不足,-2.91,-5.1,-163.35,-62.05,N/A,🌑 雙重衰退,-31.08,N/A,北極星藥業-KY,18.0499992371,21.43,0.0,2025-12,6550.TW,2025,-51.12,-40.62
⚪ 數據不足,-1.23,-1.29,0.0,9.94,42.56%,🚀 利潤擴張,8.21,-18.87%,中天,0.0,21.08,0.0,2025-12,4128.TWO,2025,10.85,31.02
💎 強力關注,2.13,2.77,100.80000000000001,19.58,N/A,🚀 利潤擴張,41.06,N/A,遠雄港,48.2999992371,21.03,7.187499886473214,2025-12,5607.TW,2025,17.61,40.61
💎 強力關注,2.87,4.02,134.25000000000003,5.45,N/A,🚀 利潤擴張,14.98,N/A,汎瑋材料,84.4000015259,20.98,9.430167768256982,2025-12,6967.TWO,2025,-1.08,26.43
⚪ 數據不足,-1.31,-1.65,-78.60000000000001,19.12,N/A,🚀 利潤擴張,10.71,N/A,中探針,280.0,20.569999999999997,0.0,2025-12,6217.TWO,2025,20.43,39.69
💎 強力關注,3.26,3.96,185.99999999999997,-55.31,N/A,🌑 雙重衰退,59.8,N/A,理銘,28.0,20.330000000000005,2.2580645161290325,2025-12,6212.TWO,2025,-39.92,-34.98
💎 強力關注,3.28,5.51,171.75,37.15,N/A,🚀 利潤擴張,26.15,N/A,海韻電,71.0999984741,20.28,6.209606853633189,2025-12,6203.TWO,2025,42.84,57.43
💎 強力關注,2.29,3.7,120.6,6.56,N/A,🚀 利潤擴張,5.14,N/A,來頡,88.9000015259,20.200000000000003,11.057214120136816,2025-12,6799.TW,2025,6.38,26.76
⚪ 數據不足,-0.92,-0.73,-48.449999999999996,12.25,23.60%,🚀 利潤擴張,35.66,7.93%,達航科技,156.5,20.159999999999997,0.0,2025-12,4577.TWO,2025,23.84,32.41
✅ 穩健價值,4.38,7.08,204.3,20.33,N/A,🚀 利潤擴張,64.04,N/A,騰雲,180.0,20.15,13.215859030837004,2025-12,6870.TWO,2025,20.49,40.48
⚠️ 追價風險,5.33,7.37,270.15,12.43,N/A,🚀 利潤擴張,39.9,N/A,達興材料,398.5,20.119999999999997,22.126596335369243,2025-12,5234.TW,2025,12.88,32.55
⚠️ 追價風險,-0.17,2.11,18.6,-3.19,N/A,🔄 轉虧為盈,-108.72,N/A,廣穎,95.5,19.67,77.01612903225806,2025-12,4973.TWO,2025,-2.98,16.48
✅ 穩健價值,0.45,0.7,25.2,19.41,N/A,🚀 利潤擴張,15.38,N/A,百徽,20.5,19.37,12.202380952380953,2025-12,6259.TWO,2025,22.11,38.78
💎 強力關注,0.57,1.23,37.199999999999996,7.45,6.67%,🚀 利潤擴張,-5.0,4.30%,新建,13.3000001907,19.35,5.362903302701614,2025-12,2516.TW,2025,12.18,26.8
✅ 穩健價值,1.03,2.45,70.19999999999999,0.27,23.02%,🚀 利潤擴張,-53.6,0.36%,安心,58.0,19.240000000000002,12.393162393162394,2025-12,1259.TWO,2025,-0.82,19.51
⚪ 數據不足,0.02,-0.59,-25.200000000000003,-2.17,N/A,🧐 疑業外收益,110.53,N/A,志旭,13.1499996185,19.07,0.0,2025-12,8067.TWO,2025,2.3,16.9
⚪ 數據不足,-1.44,-2.07,-74.85,-1.12,N/A,🧐 疑業外收益,11.69,N/A,光麗-KY,19.3999996185,18.27,0.0,2025-12,6431.TW,2025,2.36,17.15
⚪ 數據不足,-5.84,-10.06,-315.75,-33.25,N/A,🌑 雙重衰退,-22.62,N/A,綠河-KY,6.5,17.939999999999998,0.0,2025-12,8444.TWO,2025,-31.52,-15.31
⚠️ 追價風險,3.48,5.01,205.5,13.44,26.67%,🚀 利潤擴張,91.21,15.62%,聯鈞,377.5,17.71,27.554744525547445,2025-12,3450.TW,2025,26.94,31.15
⚪ 數據不足,-0.36,-0.61,-20.55,0.19,28.91%,🚀 利潤擴張,-20.0,-58.34%,中裕,48.9000015259,17.38,0.0,2025-12,4147.TWO,2025,-0.63,17.57
💎 強力關注,1.58,1.68,65.99999999999999,-5.34,N/A,🧐 疑業外收益,15.33,N/A,美隆電,21.25,17.34,4.829545454545455,2025-12,2477.TW,2025,-5.96,12.0
💎 強力關注,1.72,2.31,87.30000000000001,-2.98,20.63%,🧐 疑業外收益,28.36,8.37%,大甲,35.9000015259,17.34,6.168385141907216,2025-12,2221.TWO,2025,0.76,14.36
💎 強力關注,5.65,7.94,276.3,27.72,32.82%,🚀 利潤擴張,45.85,16.47%,建準,149.5,17.33,8.116178067318131,2025-12,2421.TW,2025,27.79,45.05
⚠️ 追價風險,12.1,15.46,583.0500000000001,-3.04,N/A,🧐 疑業外收益,29.69,N/A,萬潤,1130.0,16.97,29.071263184975557,2025-12,6187.TWO,2025,13.75,13.93
✅ 穩健價值,2.13,2.65,93.14999999999999,5.66,N/A,🚀 利潤擴張,41.18,N/A,碩網,74.5999984741,16.95,12.012882201948473,2025-12,7547.TWO,2025,11.11,22.61
💎 強力關注,5.19,8.73,277.35,7.68,32.60%,🚀 利潤擴張,4.85,21.55%,立隆電,201.5,16.86,10.897782585181178,2025-12,2472.TW,2025,8.92,24.54
💎 強力關注,1.09,1.42,45.15,15.15,N/A,🚀 利潤擴張,208.57,N/A,榮群,23.7000007629,16.630000000000003,7.873754406279071,2025-12,8034.TWO,2025,71.04,31.78
💎 強力關注,2.91,4.48,128.25,15.92,N/A,🚀 利潤擴張,20.75,N/A,建國,39.5999984741,16.619999999999997,4.631578768900584,2025-12,5515.TW,2025,28.4,32.54
💎 強力關注,2.0,3.66,111.75,0.05,24.99%,🚀 利潤擴張,-23.95,21.14%,中再保,31.3500003815,16.509999999999998,4.208053742483221,2025-12,2851.TW,2025,-7.87,16.56
⚪ 數據不足,-1.8,-1.4,-66.3,25.06,-4.13%,🚀 利潤擴張,7.69,-22.91%,力銘,19.0,16.49,0.0,2025-12,3593.TW,2025,43.83,41.55
💎 強力關注,5.89,8.68,288.0,-3.47,N/A,🧐 疑業外收益,16.0,N/A,大江,123.0,16.11,6.40625,2025-12,8436.TWO,2025,-3.22,12.64
💎 強力關注,44.63,59.99,2283.9,25.86,15.94%,🚀 利潤擴張,11.41,4.63%,華碩,639.0,16.060000000000002,4.196768685143832,2025-12,2357.TW,2025,23.74,41.92
⚠️ 追價風險,3.73,5.43,193.04999999999998,27.06,N/A,🚀 利潤擴張,37.64,N/A,華星光,700.0,15.95,54.390054390054395,2025-12,4979.TWO,2025,34.44,43.01
💎 強力關注,1.28,2.18,71.25,12.31,31.32%,🚀 利潤擴張,26.73,10.89%,祺驊,31.0499992371,15.929999999999998,6.536841944652632,2025-12,1593.TWO,2025,12.07,28.24
⚪ 數據不足,-0.2,-0.12,-8.85,39.69,N/A,🚀 利潤擴張,0.0,N/A,太欣,12.0,15.870000000000005,0.0,2025-12,5302.TWO,2025,22.1,55.56
⚪ 數據不足,-0.24,-0.09,-8.85,79.86,N/A,🚀 利潤擴張,87.3,N/A,成信實業*-創,28.7999992371,15.790000000000006,0.0,2025-12,6969.TW,2025,95.06,95.65
⚪ 數據不足,-0.94,-1.4,-41.099999999999994,19.09,8.38%,🚀 利潤擴張,45.03,-32.45%,光環,102.5,15.790000000000003,0.0,2025-12,3234.TWO,2025,19.64,34.88
⚠️ 追價風險,5.99,9.37,308.85,8.39,19.52%,🚀 利潤擴張,11.64,9.94%,日月光投控,540.0,15.79,26.226323457989317,2025-12,3711.TW,2025,7.92,24.18
⚪ 數據不足,-0.35,-0.59,0.0,10.54,41.11%,🚀 利潤擴張,44.44,-18.36%,易威,0.0,15.71,0.0,2025-12,1799.TWO,2025,12.53,26.25
⚪ 數據不足,-0.86,-0.99,-49.95,1.16,N/A,🚀 利潤擴張,-22.86,N/A,業強,31.0,15.649999999999999,0.0,2025-12,6124.TWO,2025,12.2,16.81
⚠️ 追價風險,12.46,21.72,653.4000000000001,59.96,N/A,🚀 利潤擴張,33.7,N/A,宜鼎,1575.0,15.249999999999993,36.15702479338843,2025-12,5289.TWO,2025,41.37,75.21
💎 強力關注,2.0,2.92,101.85,5.54,51.76%,🏰 高護城河,26.58,18.42%,固緯,64.5,15.120000000000001,9.499263622974963,2025-12,2423.TW,2025,4.13,20.66
⚪ 數據不足,-0.31,-0.4,-15.449999999999998,-0.4,N/A,🧐 疑業外收益,16.13,N/A,立軒,22.9500007629,15.030000000000001,0.0,2025-12,6222.TWO,2025,12.72,14.63
✅ 穩健價值,46.75,66.26,2344.0499999999997,31.61,62.33%,🏰 高護城河,51.8,54.00%,台積電,2310.0,14.810000000000002,14.782107890190057,2025-12,2330.TW,2025,36.39,46.42
💎 強力關注,2.35,2.87,111.75000000000001,2.77,N/A,🚀 利潤擴張,9.22,N/A,聚和,40.5999984741,14.71,5.449664224711408,2025-12,6509.TWO,2025,4.39,17.48
⚪ 數據不足,2.02,2.9,0.0,-2.79,N/A,🧐 疑業外收益,-11.4,N/A,輝創,40.2999992371,14.329999999999998,0.0,2025-12,6722.TW,2025,-0.96,11.54
💎 強力關注,1.12,1.62,58.8,-6.25,10.74%,🧐 疑業外收益,-6.67,5.38%,福懋油,32.8499984741,14.25,8.380101651556123,2025-12,1225.TW,2025,-5.83,8.0
⚪ 數據不足,0.87,2.08,0.0,-2.37,N/A,🧐 疑業外收益,163.64,N/A,資拓宏宇,0.0,14.129999999999999,0.0,2025-12,6614.TW,2025,15.97,11.76
⚪ 數據不足,11.58,14.61,0.0,30.15,N/A,🚀 利潤擴張,75.19,N/A,東聯互動,178.0,14.11,0.0,2025-12,7738.TWO,2025,32.44,44.26
⚠️ 追價風險,6.02,9.28,315.59999999999997,16.1,34.18%,🚀 利潤擴張,9.71,15.49%,中砂,577.0,14.079999999999998,27.423954372623577,2025-12,1560.TW,2025,15.28,30.18
⚪ 中性觀察,1.17,2.56,31.95,42.16,N/A,🚀 利潤擴張,-53.39,N/A,致和證,34.2999992371,13.940000000000005,16.103286026807513,2025-12,5864.TWO,2025,-34.55,56.1
💎 強力關注,1.67,2.67,86.25,-0.76,N/A,🧐 疑業外收益,5.03,N/A,德勝,62.5999984741,13.9,10.886956256365217,2025-12,8048.TWO,2025,-5.79,13.14
💎 強力關注,0.92,1.8,47.55,11.98,13.84%,🚀 利潤擴張,-42.14,7.24%,欣陸,20.8999996185,13.89,6.593059816561515,2025-12,3703.TW,2025,-3.98,25.87
⚪ 數據不足,-0.19,-0.06,-7.199999999999999,0.42,N/A,🚀 利潤擴張,-375.0,N/A,天瀚,24.0499992371,13.87,0.0,2025-12,6225.TW,2025,-19.16,14.29
💎 強力關注,1.54,2.77,88.20000000000002,7.36,N/A,🚀 利潤擴張,-11.11,N/A,宣德,36.7999992371,13.79,6.258503271615646,2025-12,5457.TWO,2025,11.53,21.15
💎 強力關注,0.49,0.68,24.45,14.52,89.95%,🏰 高護城河,28.21,32.37%,高雄銀,11.9499998093,13.780000000000001,7.331288226564418,2025-12,2836.TW,2025,13.69,28.3
⚪ 數據不足,-1.54,-2.24,-76.95,-23.43,-29.22%,🌑 雙重衰退,0.0,-33.95%,燁興,7.3800001144,13.629999999999999,0.0,2025-12,2007.TW,2025,-17.76,-9.8
⚠️ 追價風險,4.14,6.8,215.39999999999998,8.58,N/A,🚀 利潤擴張,-7.17,N/A,亞泰金屬,458.5,13.499999999999998,31.92896935933148,2025-12,6727.TWO,2025,-2.39,22.08
💎 強力關注,1.13,1.56,47.25000000000001,-2.6,30.58%,🧐 疑業外收益,633.33,1.57%,合勤控,35.4000015259,13.469999999999999,11.238095722507936,2025-12,3704.TW,2025,6.34,10.87
⚪ 數據不足,2.94,3.43,0.0,30.88,N/A,🚀 利潤擴張,137.1,N/A,驊陞,0.0,13.460000000000004,0.0,2025-12,6272.TW,2025,41.28,44.34
⚪ 數據不足,-4.9,-8.65,-262.95000000000005,-6.83,-13.35%,🧐 疑業外收益,31.27,-27.74%,泰鼎-KY,58.0999984741,13.46,0.0,2025-12,4927.TW,2025,-4.71,6.63
💎 強力關注,17.04,23.26,846.5999999999999,-2.8,N/A,🧐 疑業外收益,28.02,N/A,樺漢,351.5,13.39,6.22785258681786,2025-12,6414.TW,2025,-3.72,10.59
⚪ 數據不足,3.21,6.25,0.0,34.56,N/A,🚀 利潤擴張,56.59,N/A,捷創科技,217.5,13.059999999999995,0.0,2025-12,7810.TWO,2025,23.91,47.62
⚠️ 追價風險,0.27,0.61,13.05,12.22,N/A,🚀 利潤擴張,-35.71,N/A,富強鑫,24.7999992371,12.78,28.50574624954023,2025-12,6603.TWO,2025,9.61,25.0
💎 強力關注,6.5,9.13,288.0,38.99,N/A,🚀 利潤擴張,68.94,N/A,必應,74.0999984741,12.649999999999999,3.859374920526042,2025-12,6625.TW,2025,33.28,51.64
✅ 穩健價值,2.47,3.92,124.20000000000002,5.25,N/A,🚀 利潤擴張,2.54,N/A,瀚荃,121.5,12.46,14.673913043478258,2025-12,8103.TW,2025,4.44,17.71
⚪ 中性觀察,3.61,5.51,180.29999999999998,4.87,18.70%,🚀 利潤擴張,9.06,10.97%,華通,249.5,12.36,20.757071547420967,2025-12,2313.TW,2025,4.46,17.23
💎 強力關注,8.34,13.46,449.54999999999995,9.96,N/A,🚀 利潤擴張,24.85,N/A,實威,171.5,12.29,5.722389055722389,2025-12,8416.TWO,2025,13.82,22.25
💎 強力關注,1.85,2.42,87.44999999999999,6.95,5.21%,🚀 利潤擴張,35.04,1.48%,英業達,49.9500007629,12.260000000000002,8.5677531325729,2025-12,2356.TW,2025,15.92,19.21
✅ 穩健價值,0.5,2.12,44.25,82.32,13.52%,🚀 利潤擴張,100.0,7.02%,彬台,38.2999992371,12.180000000000007,12.983050588847458,2025-12,3379.TWO,2025,71.69,94.5
⚠️ 追價風險,72.23,103.92,3595.8,40.64,N/A,🚀 利潤擴張,67.72,N/A,信驊,17890.0,12.18,74.62873352244286,2025-12,5274.TWO,2025,52.48,52.82
💎 強力關注,3.69,3.44,186.0,55.14,N/A,🚀 利潤擴張,61.14,N/A,坤悅,24.5499992371,11.849999999999994,1.9798386481532257,2025-12,5206.TWO,2025,56.94,66.99
💎 強力關注,2.27,3.19,111.9,6.36,4.40%,🚀 利潤擴張,13.5,2.40%,中鋼構,42.9500007629,11.79,5.757372756420911,2025-12,2013.TW,2025,10.09,18.15
⚪ 數據不足,-1.09,-0.57,-48.6,-9.99,49.56%,🧐 疑業外收益,-137.78,23.11%,國光生,17.9500007629,11.74,0.0,2025-12,4142.TW,2025,-35.17,1.75
✅ 穩健價值,7.17,9.01,374.69999999999993,30.08,37.66%,🚀 利潤擴張,52.55,28.21%,京元電子,339.0,11.590000000000003,13.57085668534828,2025-12,2449.TW,2025,27.65,41.67
💎 強力關注,1.11,1.98,29.849999999999998,1.59,N/A,🚀 利潤擴張,-23.97,N/A,康和證,21.8999996185,11.55,11.0050249339196,2025-12,6016.TWO,2025,-12.49,13.14
⚪ 數據不足,-1.73,-2.68,-99.60000000000001,-31.79,16.83%,🌑 雙重衰退,-19.72,-125.48%,蔚華科,87.0,11.239999999999998,0.0,2025-12,3055.TW,2025,-39.2,-20.55
💎 強力關注,12.09,17.36,610.05,19.97,N/A,🚀 利潤擴張,34.48,N/A,華景電,460.5,11.120000000000001,11.322842389968036,2025-12,6788.TWO,2025,19.97,31.09
⚠️ 追價風險,0.81,1.35,41.1,4.4,N/A,🚀 利潤擴張,-10.99,N/A,鉅橡,81.1999969482,10.98,29.63503538255474,2025-12,8074.TWO,2025,4.12,15.38
⚠️ 追價風險,13.61,19.47,656.4,54.05,33.66%,🚀 利潤擴張,50.06,24.30%,金像電,1450.0,10.75,33.135283363802564,2025-12,2368.TW,2025,49.83,64.8
💎 強力關注,14.75,19.45,717.1500000000001,11.54,25.47%,🚀 利潤擴張,25.96,17.08%,健鼎,500.0,10.400000000000002,10.458063166701526,2025-12,3044.TW,2025,11.61,21.94
✅ 穩健價值,0.77,1.25,41.85,19.94,11.41%,🚀 利潤擴張,32.76,4.34%,華經,35.9000015259,10.27,12.867384059462367,2025-12,2468.TW,2025,25.51,30.21
⚠️ 追價風險,0.6,0.93,1.1999999999999993,-90.93,61.03%,🏰 高護城河,-55.04,12.48%,宏璟,34.5999984741,10.25,432.4999809262502,2025-12,2527.TW,2025,-70.82,-80.68
⚪ 數據不足,1.07,1.59,0.0,-5.32,16.49%,🧐 疑業外收益,-16.8,2.59%,泰山,0.0,10.05,0.0,2025-12,1218.TW,2025,-6.62,4.73
💎 強力關注,8.11,11.61,402.59999999999997,22.78,3.74%,🚀 利潤擴張,41.71,1.75%,文曄,219.0,10.049999999999997,8.15946348733234,2025-12,3036.TW,2025,19.83,32.83
✅ 穩健價值,7.84,10.26,384.15,20.3,28.44%,🚀 利潤擴張,58.06,14.20%,臺慶科,177.5,9.989999999999998,6.930886372510738,2025-12,3357.TWO,2025,20.14,30.29
✅ 穩健價值,2.65,3.42,123.75,29.32,45.11%,🚀 利潤擴張,26.19,18.06%,虹冠電,54.0999984741,9.86,6.557575572618181,2025-12,3257.TW,2025,22.45,39.18
✅ 穩健價值,1.62,2.12,79.95,20.44,91.14%,🏰 高護城河,23.66,40.48%,玉山金,32.0999984741,9.619999999999997,6.02251378500938,2025-12,2884.TW,2025,15.61,30.06
⚠️ 追價風險,-0.05,0.03,3.3,-34.37,5.75%,🔄 轉虧為盈,-117.24,-72.91%,首利,11.3999996185,9.369999999999997,51.81818008409091,2025-12,1471.TW,2025,-27.03,-25.0
✅ 穩健價值,4.55,6.47,232.95,-3.84,15.94%,🧐 疑業外收益,-0.44,10.83%,東和鋼鐵,67.5999984741,9.21,4.352865323509337,2025-12,2006.TW,2025,-2.5,5.37
✅ 穩健價值,9.27,13.04,453.15000000000003,22.89,N/A,🚀 利潤擴張,24.31,N/A,茂達,262.0,9.05,8.672624958622972,2025-12,6138.TWO,2025,21.32,31.94
✅ 穩健價值,1.43,1.9,68.39999999999999,4.06,97.25%,🏰 高護城河,10.0,45.93%,華南金,33.2999992371,9.04,7.302631411644739,2025-12,2880.TW,2025,1.87,13.1
⚪ 數據不足,-0.1,-0.73,-7.05,-2.54,N/A,🧐 疑業外收益,79.17,N/A,攸泰科技,51.2000007629,8.95,0.0,2025-12,6928.TW,2025,5.88,6.41
✅ 穩健價值,0.65,0.72,32.55,-5.88,N/A,🧐 疑業外收益,12.28,N/A,光譜,24.2000007629,8.32,11.152074084285715,2025-12,5381.TWO,2025,-6.16,2.44
✅ 穩健價值,7.92,9.97,383.4,2.6,N/A,🚀 利潤擴張,17.13,N/A,力泰,79.0,8.3,3.0907668231611893,2025-12,5520.TWO,2025,3.98,10.9
