🚀 智能量化選股報告 - 2026-03-16
==========================================================================================

【🚀超級強勢】(數量: 191)
------------------------------------------------------------------------------------------
3563.TW  | 牧德         | B6: 12.35% | DMA:105.910 | 💎流入 | 🚀DMA趨勢+多頭強勢
3521.TWO | 台鋼建設       | B6: -5.70% | DMA: -0.274 | 💸流出 | ❄️跌深轉強
4555.TW  | 氣立         | B6: -5.71% | DMA: -3.153 | 💸流出 | ❄️跌深轉強
3152.TWO | 璟德         | B6: -5.72% | DMA:-10.890 | 💎流入 | ❄️跌深轉強
6462.TWO | 神盾         | B6: -5.72% | DMA: -9.060 | 💸流出 | ❄️跌深轉強
2359.TW  | 所羅門        | B6: -5.75% | DMA: -9.420 | 💎流入 | ❄️底部反彈
7584.TWO | 樂意         | B6: -5.76% | DMA: -3.256 | 💸流出 | ❄️跌深轉強
4588.TW  | 玖鼎電力       | B6: -5.76% | DMA: -3.428 | 💸流出 | ❄️跌深轉強
6469.TWO | 大樹         | B6: -5.80% | DMA: -7.092 | 💸流出 | ❄️跌深轉強
4583.TW  | 台灣精銳       | B6: -5.84% | DMA:-53.900 | 💸流出 | ❄️跌深轉強
4166.TWO | 友霖         | B6: -5.88% | DMA: -1.841 | 💎流入 | ❄️跌深轉強
6768.TW  | 志強-KY      | B6: -5.89% | DMA: -8.864 | 💎流入 | ❄️底部反彈
3686.TW  | 達能         | B6: -5.92% | DMA: -0.330 | 💸流出 | ❄️跌深轉強
6799.TW  | 來頡         | B6: -5.96% | DMA: -6.662 | 💎流入 | ❄️底部反彈
6186.TWO | 新潤         | B6: -5.96% | DMA: -6.339 | 💸流出 | ❄️跌深轉強
8038.TWO | 長園科        | B6: -6.00% | DMA: -6.529 | 💎流入 | ❄️底部反彈
4745.TWO | 合富-KY      | B6: -6.00% | DMA: -2.505 | 💸流出 | ❄️跌深轉強
8103.TW  | 瀚荃         | B6: -6.02% | DMA: -3.790 | 💸流出 | ❄️跌深轉強
6698.TW  | 旭暉應材       | B6: -6.03% | DMA: -2.129 | 💸流出 | ❄️跌深轉強
5278.TWO | 尚凡*        | B6: -6.05% | DMA: -2.801 | 💸流出 | ❄️跌深轉強
6442.TW  | 光聖         | B6: -6.09% | DMA:251.100 | 💸流出 | ❄️跌深轉強
6517.TWO | 保勝光學       | B6: -6.10% | DMA: -8.648 | 💎流入 | ❄️跌深轉強
3443.TW  | 創意         | B6: -6.10% | DMA:-114.000 | 💸流出 | ❄️跌深轉強
3060.TW  | 銘異         | B6: -6.12% | DMA: -3.211 | 💸流出 | ❄️跌深轉強
3624.TWO | 光頡         | B6: -6.14% | DMA: -5.260 | 💎流入 | ❄️跌深轉強
6806.TW  | 森崴能源       | B6: -6.18% | DMA: -2.509 | 💎流入 | ❄️底部反彈
6624.TWO | 萬年清        | B6: -6.21% | DMA: -3.822 | 💸流出 | ❄️跌深轉強
3541.TWO | 西柏         | B6: -6.24% | DMA: -1.326 | 💸流出 | ❄️跌深轉強
6409.TW  | 旭隼         | B6: -6.26% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6841.TWO | 長佳智能       | B6: -6.39% | DMA: -6.020 | 💸流出 | ❄️跌深轉強
4915.TW  | 致伸         | B6: -6.42% | DMA: -4.860 | 💎流入 | ❄️跌深轉強
1442.TW  | 名軒         | B6: -6.45% | DMA: -2.238 | 💸流出 | ❄️跌深轉強
3379.TWO | 彬台         | B6: -6.46% | DMA: -7.023 | 💎流入 | ❄️跌深轉強
6269.TW  | 台郡         | B6: -6.46% | DMA: -2.790 | 💎流入 | ❄️跌深轉強
6901.TW  | 鑽石投資       | B6: -6.48% | DMA: -1.398 | 💸流出 | ❄️跌深轉強
2328.TW  | 廣宇         | B6: -6.51% | DMA: -3.237 | 💸流出 | ❄️跌深轉強
1435.TW  | 中福         | B6: -6.52% | DMA: -1.244 | 💸流出 | ❄️跌深轉強
4441.TW  | 振大環球       | B6: -6.57% | DMA:  0.000 | 💸流出 | ❄️底部反彈
8234.TWO | 新漢         | B6: -6.57% | DMA: -6.652 | 💎流入 | ❄️底部反彈
3689.TWO | 湧德         | B6: -6.59% | DMA:-10.390 | 💎流入 | ❄️跌深轉強
6885.TW  | 全福生技       | B6: -6.60% | DMA: -2.290 | 💸流出 | ❄️跌深轉強
6719.TW  | 力智         | B6: -6.62% | DMA:-14.630 | 💸流出 | ❄️跌深轉強
8422.TW  | 可寧衛*       | B6: -6.62% | DMA: -4.207 | 💸流出 | ❄️跌深轉強
4958.TW  | 臻鼎-KY      | B6: -6.64% | DMA:  7.710 | 💎流入 | ❄️底部反彈
6276.TWO | 安鈦克        | B6: -6.70% | DMA: -4.048 | 💸流出 | ❄️跌深轉強
6982.TWO | 大井泵浦       | B6: -6.71% | DMA: -6.640 | 💸流出 | ❄️跌深轉強
3491.TWO | 昇達科        | B6: -6.71% | DMA:251.700 | 💸流出 | ❄️跌深轉強
6426.TW  | 統新         | B6: -6.74% | DMA: 22.362 | 💎流入 | ❄️底部反彈
2301.TW  | 光寶科        | B6: -6.76% | DMA: -7.420 | 💎流入 | ❄️跌深轉強
6284.TWO | 佳邦         | B6: -6.79% | DMA: -6.790 | 💎流入 | ❄️跌深轉強
8935.TWO | 邦泰         | B6: -6.88% | DMA: -0.433 | 💸流出 | ❄️跌深轉強
3323.TWO | 加百裕        | B6: -6.88% | DMA: -3.712 | 💸流出 | ❄️跌深轉強
8099.TWO | 大世科        | B6: -6.91% | DMA: -7.586 | 💸流出 | ❄️跌深轉強
6274.TWO | 台燿         | B6: -6.92% | DMA:-10.060 | 💎流入 | ❄️跌深轉強
6191.TW  | 精成科        | B6: -6.93% | DMA:-11.020 | 💎流入 | ❄️跌深轉強
1623.TW  | 大東電        | B6: -6.93% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
4931.TWO | 新盛力        | B6: -6.94% | DMA:-19.640 | 💎流入 | ❄️底部反彈
3229.TW  | 晟鈦         | B6: -6.94% | DMA: -3.493 | 💸流出 | ❄️跌深轉強
5469.TW  | 瀚宇博        | B6: -6.96% | DMA: -7.852 | 💎流入 | ❄️跌深轉強
7799.TW  | 禾榮科        | B6: -6.99% | DMA: -1.930 | 💸流出 | ❄️跌深轉強
3257.TW  | 虹冠電        | B6: -7.01% | DMA: -7.990 | 💎流入 | ❄️跌深轉強
6925.TWO | 意藍         | B6: -7.07% | DMA:-12.232 | 💎流入 | ❄️跌深轉強
7717.TWO | 萊德光電-KY    | B6: -7.08% | DMA: 95.180 | 💎流入 | ❄️跌深轉強
7788.TW  | 松川精密       | B6: -7.08% | DMA:  1.720 | 💸流出 | ❄️底部反彈
8279.TWO | 生展         | B6: -7.11% | DMA: -9.410 | 💸流出 | ❄️跌深轉強
2331.TW  | 精英         | B6: -7.19% | DMA: -1.620 | 💸流出 | ❄️跌深轉強
5309.TWO | 系統電        | B6: -7.20% | DMA: -5.426 | 💸流出 | ❄️跌深轉強
1805.TW  | 寶徠         | B6: -7.21% | DMA: -1.044 | 💸流出 | ❄️跌深轉強
5301.TWO | 寶得利        | B6: -7.24% | DMA: -0.711 | 💸流出 | ❄️跌深轉強
7810.TWO | 捷創科技       | B6: -7.25% | DMA:-47.990 | 💎流入 | ❄️跌深轉強
8444.TWO | 綠河-KY      | B6: -7.26% | DMA: -1.462 | 💸流出 | ❄️底部反彈
2374.TW  | 佳能         | B6: -7.38% | DMA: -7.404 | 💎流入 | ❄️跌深轉強
4743.TWO | 合一         | B6: -7.44% | DMA:  0.000 | 💎流入 | ❄️底部反彈
3712.TW  | 永崴投控       | B6: -7.47% | DMA: -2.178 | 💸流出 | ❄️跌深轉強
3625.TWO | 西勝         | B6: -7.49% | DMA: -2.241 | 💸流出 | ❄️跌深轉強
4510.TWO | 高鋒         | B6: -7.61% | DMA: -2.524 | 💎流入 | ❄️跌深轉強
4968.TW  | 立積         | B6: -7.61% | DMA:-11.460 | 💸流出 | ❄️跌深轉強
8358.TWO | 金居         | B6: -7.62% | DMA:-19.650 | 💸流出 | ❄️跌深轉強
1528.TW  | 恩德         | B6: -7.63% | DMA: -2.148 | 💎流入 | ❄️跌深轉強
6873.TW  | 泓德能源       | B6: -7.66% | DMA: -6.752 | 💸流出 | ❄️跌深轉強
3523.TWO | 迎輝         | B6: -7.68% | DMA: -2.002 | 💎流入 | ❄️跌深轉強
3032.TW  | 偉訓         | B6: -7.72% | DMA: -7.256 | 💸流出 | ❄️底部反彈
1605.TW  | 華新         | B6: -7.76% | DMA: -3.972 | 💎流入 | ❄️跌深轉強
5347.TWO | 世界         | B6: -7.76% | DMA: -7.062 | 💎流入 | ❄️跌深轉強
2258.TW  | 鴻華先進-創     | B6: -7.95% | DMA: -4.239 | 💸流出 | ❄️跌深轉強
6285.TW  | 啟��        | B6: -7.97% | DMA: 18.092 | 💎流入 | ❄️跌深轉強
2371.TW  | 大同         | B6: -8.00% | DMA: -2.672 | 💸流出 | ❄️跌深轉強
8044.TWO | 網家         | B6: -8.05% | DMA: -3.377 | 💸流出 | ❄️跌深轉強
4585.TW  | 達明         | B6: -8.09% | DMA:-26.750 | 💸流出 | ❄️跌深轉強
6588.TWO | 東典光電       | B6: -8.09% | DMA: 16.508 | 💎流入 | ❄️底部反彈
5439.TWO | 高技         | B6: -8.11% | DMA:-31.730 | 💎流入 | ❄️跌深轉強
2618.TW  | 長榮航        | B6: -8.15% | DMA: -2.948 | 💎流入 | ❄️跌深轉強
4763.TW  | 材料*-KY     | B6: -8.17% | DMA: -5.830 | 💎流入 | ❄️底部反彈
4562.TW  | 穎漢         | B6: -8.30% | DMA: -3.864 | 💎流入 | ❄️跌深轉強
1504.TW  | 東元         | B6: -8.49% | DMA:-10.250 | 💸流出 | ❄️底部反彈
6209.TW  | 今國光        | B6: -8.51% | DMA: -7.648 | 💸流出 | ❄️跌深轉強
6541.TW  | 泰福-KY      | B6: -8.52% | DMA: -6.827 | 💸流出 | ❄️底部反彈
3532.TW  | 台勝科        | B6: -8.59% | DMA: -3.106 | 💎流入 | ❄️底部反彈
7728.TWO | 光焱科技       | B6: -8.60% | DMA: 60.120 | 💸流出 | ❄️底部反彈
6485.TWO | 點序         | B6: -8.60% | DMA:-12.534 | 💎流入 | ❄️底部反彈
2314.TW  | 台揚         | B6: -8.60% | DMA: -2.585 | 💸流出 | ❄️底部反彈
1536.TW  | 和大         | B6: -8.60% | DMA: -4.678 | 💎流入 | ❄️底部反彈
5321.TWO | 美而快        | B6: -8.73% | DMA: -5.791 | 💸流出 | ❄️跌深轉強
6949.TW  | 沛爾生醫-創     | B6: -8.83% | DMA: 84.380 | 💸流出 | ❄️跌深轉強
4439.TW  | 冠星-KY      | B6: -8.84% | DMA: -8.774 | 💸流出 | ❄️跌深轉強
6535.TWO | 順藥         | B6: -8.94% | DMA:-20.240 | 💸流出 | ❄️跌深轉強
3013.TW  | 晟銘電        | B6: -9.07% | DMA:-17.406 | 💸流出 | ❄️底部反彈
8249.TW  | 菱光         | B6: -9.16% | DMA: -2.701 | 💸流出 | ❄️跌深轉強
8291.TWO | 尚茂         | B6: -9.18% | DMA: -2.030 | 💎流入 | ❄️跌深轉強
9921.TW  | 巨大         | B6: -9.30% | DMA:-12.094 | 💸流出 | ❄️底部反彈
4563.TWO | 百德         | B6: -9.32% | DMA: -5.287 | 💸流出 | ❄️跌深轉強
3019.TW  | 亞光         | B6: -9.40% | DMA:-11.680 | 💎流入 | ❄️底部反彈
6552.TW  | 易華電        | B6: -9.45% | DMA: -0.924 | 💎流入 | ❄️跌深轉強
4804.TWO | 大略-KY      | B6: -9.45% | DMA: -0.989 | 💸流出 | ❄️跌深轉強
5243.TW  | 乙盛-KY      | B6: -9.56% | DMA: -7.574 | 💸流出 | ❄️底部反彈
1587.TW  | 吉茂         | B6: -9.62% | DMA: -8.378 | 💸流出 | ❄️跌深轉強
1319.TW  | 東陽         | B6: -9.63% | DMA:  0.000 | 💸流出 | ❄️底部反彈
2923.TW  | 鼎固-KY      | B6: -9.64% | DMA: -0.324 | 💸流出 | ❄️跌深轉強
2726.TWO | 雅茗-KY      | B6: -9.72% | DMA: -1.777 | 💎流入 | ❄️跌深轉強
6645.TW  | 金萬林-創      | B6: -9.73% | DMA: -2.024 | 💸流出 | ❄️跌深轉強
6533.TW  | 晶心科        | B6: -9.75% | DMA:-35.270 | 💸流出 | ❄️跌深轉強
6130.TWO | 上亞科技       | B6: -9.84% | DMA: -6.215 | 💸流出 | ❄️跌深轉強
3609.TWO | 三一東林       | B6: -9.90% | DMA: -5.794 | 💎流入 | ❄️跌深轉強
2072.TWO | 世紀風電       | B6: -9.91% | DMA:-11.920 | 💸流出 | ❄️跌深轉強
4154.TWO | 樂威科-KY     | B6: -9.95% | DMA: -2.634 | 💸流出 | ❄️跌深轉強
6239.TW  | 力成         | B6: -9.96% | DMA:-13.800 | 💸流出 | ❄️跌深轉強
2610.TW  | 華航         | B6:-10.10% | DMA: -2.167 | 💸流出 | ❄️跌深轉強
6235.TW  | 華孚         | B6:-10.17% | DMA: -8.820 | 💸流出 | ❄️跌深轉強
7752.TWO | 世紀樺欣       | B6:-10.33% | DMA: -9.842 | 💸流出 | ❄️跌深轉強
8110.TW  | 華東         | B6:-10.35% | DMA:-12.186 | 💎流入 | ❄️底部反彈
1590.TW  | 亞德客-KY     | B6:-10.43% | DMA:-12.380 | 💸流出 | ❄️跌深轉強
6126.TWO | 信音         | B6:-10.50% | DMA: -2.646 | 💸流出 | ❄️跌深轉強
7722.TW  | LINEPAY    | B6:-10.55% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6863.TW  | 永道-KY      | B6:-10.63% | DMA:-16.882 | 💸流出 | ❄️跌深轉強
5314.TWO | 世紀*        | B6:-10.81% | DMA:-14.006 | 💎流入 | ❄️跌深轉強
3545.TW  | 敦泰         | B6:-10.86% | DMA: -6.284 | 💸流出 | ❄️跌深轉強
6236.TWO | 中湛         | B6:-11.04% | DMA: -2.481 | 💸流出 | ❄️跌深轉強
2429.TW  | 銘旺科        | B6:-11.13% | DMA:-15.544 | 💎流入 | ❄️底部反彈
2408.TW  | 南亞科        | B6:-11.24% | DMA: -9.980 | 💸流出 | ❄️跌深轉強
2439.TW  | 美律         | B6:-11.37% | DMA:-14.518 | 💸流出 | ❄️跌深轉強
4561.TWO | 健椿         | B6:-11.63% | DMA: -3.062 | 💸流出 | ❄️跌深轉強
1338.TW  | 廣華-KY      | B6:-11.69% | DMA: -3.100 | 💸流出 | ❄️跌深轉強
6962.TW  | 奕力-KY      | B6:-11.82% | DMA: -5.673 | 💎流入 | ❄️底部反彈
7709.TWO | 榮田         | B6:-11.91% | DMA:  3.758 | 💸流出 | ❄️跌深轉強
6919.TW  | 康霈*        | B6:-12.25% | DMA:-19.870 | 💸流出 | ❄️跌深轉強
2067.TWO | 嘉鋼         | B6:-12.27% | DMA: -1.234 | 💸流出 | ❄️跌深轉強
6890.TW  | 來億-KY      | B6:-12.35% | DMA:-47.730 | 💸流出 | ❄️底部反彈
6757.TW  | 台灣虎航       | B6:-12.94% | DMA: -9.614 | 💸流出 | ❄️跌深轉強
7777.TWO | 能率亞洲       | B6:-13.26% | DMA: -1.564 | 💎流入 | ❄️跌深轉強
7780.TW  | 大研生醫*      | B6:-13.31% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
2431.TW  | 聯昌         | B6:-14.12% | DMA: -0.783 | 💸流出 | ❄️跌深轉強
6176.TW  | 瑞儀         | B6:-14.25% | DMA:-20.294 | 💸流出 | ❄️跌深轉強
5521.TW  | 工信         | B6:-14.62% | DMA: -3.629 | 💸流出 | ❄️跌深轉強
3064.TWO | 泰偉         | B6:-15.21% | DMA: -7.573 | 💸流出 | ❄️跌深轉強
00673R.TW | 期元大S&P原油反1 | B6:-17.13% | DMA: -5.790 | 💸流出 | ❄️跌深轉強
1538.TW  | 正峰         | B6:-19.57% | DMA: -5.587 | 💸流出 | ❄️跌深轉強
8489.TWO | 三貝德        | B6:-24.56% | DMA:-11.054 | 💎流入 | ❄️跌深轉強
6934.TW  | 心誠鎂        | B6:-26.31% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
4416.TWO | 三圓         | B6:-32.69% | DMA:-10.143 | 💸流出 | ❄️跌深轉強
1589.TW  | 永冠-KY      | B6:-40.49% | DMA: -7.034 | 💎流入 | ❄️跌深轉強

【📈趨勢轉折】(數量: 66)
------------------------------------------------------------------------------------------
2368.TW  | 金像電        | B6:  2.75% | DMA: 94.360 | 💎流入 | 📈5日穿20日(金叉)
5274.TWO | 信驊         | B6:  1.83% | DMA:974.300 | 💎流入 | 📈5日穿20日(金叉)
6693.TWO | 廣閎科        | B6:  1.65% | DMA:  3.182 | 💸流出 | 📈5日穿20日(金叉)
3034.TW  | 聯詠         | B6:  0.96% | DMA:  0.660 | 💎流入 | 📈5日穿20日(金叉)
4702.TWO | 中美實        | B6:  0.82% | DMA:  0.086 | 💎流入 | 📈5日穿20日(金叉)
6823.TWO | 濾能         | B6:  0.64% | DMA: -5.856 | 💎流入 | 📈5日穿20日(金叉)
1409.TW  | 新纖         | B6:  0.43% | DMA:  0.147 | 💎流入 | 🔥DMA金叉(起漲)
1259.TWO | 安心         | B6:  0.30% | DMA: -0.074 | 💎流入 | 📈5日穿20日(金叉)
6909.TW  | 創控         | B6:  0.25% | DMA: -1.651 | 💎流入 | 🔥DMA金叉(起漲)
6147.TWO | 頎邦         | B6:  0.07% | DMA: -0.376 | 💎流入 | 📈5日穿20日(金叉)
6165.TW  | 浪凡         | B6: -0.03% | DMA:  0.000 | 💎流入 | 📈5日穿20日(金叉)
3339.TWO | 泰谷         | B6: -0.08% | DMA:  0.747 | 💎流入 | 📈5日穿20日(金叉)
9110.TW  | 越南控-DR     | B6: -0.22% | DMA: -0.015 | 💎流入 | 📈5日穿20日(金叉)
4770.TW  | 上品         | B6: -0.26% | DMA:  1.490 | 💎流入 | 📈5日穿20日(金叉)
2939.TW  | 永邑-KY      | B6: -0.39% | DMA:  0.566 | 💎流入 | 🔥DMA金叉(起漲)
3489.TWO | 森寶         | B6: -0.41% | DMA: -0.823 | 💎流入 | 📈5日穿20日(金叉)
2340.TW  | 台亞         | B6: -0.56% | DMA: -0.712 | 💎流入 | 🔥DMA金叉(起漲)
6902.TW  | GOGOLOOK   | B6: -0.63% | DMA: -0.356 | 💎流入 | 🔥DMA金叉(起漲)
4556.TWO | 旭然         | B6: -0.83% | DMA:  0.737 | 💎流入 | 📈5日穿20日(金叉)
3516.TWO | 亞帝歐        | B6: -1.28% | DMA: -0.406 | 💸流出 | 📈5日穿20日(金叉)
7812.TWO | 稜研科技*      | B6: -1.38% | DMA: -1.442 | 💎流入 | 🔥DMA金叉(起漲)
8101.TW  | 華冠         | B6: -1.47% | DMA: -0.593 | 💸流出 | 📈5日穿20日(金叉)
2237.TWO | 華德動能       | B6: -1.53% | DMA: -0.528 | 💎流入 | 📈5日穿20日(金叉)
3703.TW  | 欣陸         | B6: -1.64% | DMA: -0.680 | 💸流出 | 📈5日穿20日(金叉)
3016.TW  | 嘉晶         | B6: -1.81% | DMA: -1.490 | 💎流入 | 📈5日穿20日(金叉)
4906.TW  | 正文         | B6: -1.98% | DMA: -0.725 | 💎流入 | 🔥DMA金叉(起漲)
3038.TW  | 全台         | B6: -2.06% | DMA: -0.910 | 💎流入 | 📈5日穿20日(金叉)
3577.TWO | 泓格         | B6: -2.09% | DMA: -1.826 | 💸流出 | 📈5日穿20日(金叉)
3548.TWO | 兆利         | B6: -2.19% | DMA:  0.000 | 💎流入 | 📈5日穿20日(金叉)
3288.TWO | 點晶         | B6: -2.32% | DMA: -0.823 | 💎流入 | 🔥DMA金叉(起漲)
7547.TWO | 碩網         | B6: -2.41% | DMA: -2.474 | 💸流出 | 📈5日穿20日(金叉)
5484.TW  | 慧友         | B6: -2.52% | DMA: -1.816 | 💎流入 | 📈5日穿20日(金叉)
3313.TWO | 斐成         | B6: -2.67% | DMA: -1.108 | 💎流入 | 📈5日穿20日(金叉)
2061.TWO | 風青         | B6: -2.72% | DMA: -0.666 | 💎流入 | 📈5日穿20日(金叉)
5516.TWO | 雙喜         | B6: -2.77% | DMA: -0.559 | 💸流出 | 📈5日穿20日(金叉)
2941.TWO | 米斯特        | B6: -2.85% | DMA: -2.863 | 💎流入 | 🔥DMA金叉(起漲)
2495.TW  | 普安         | B6: -3.14% | DMA: -1.609 | 💎流入 | 📈5日穿20日(金叉)
3264.TWO | 欣銓         | B6: -3.20% | DMA:  3.522 | 💎流入 | 📈5日穿20日(金叉)
6160.TWO | 欣技         | B6: -3.20% | DMA: -1.029 | 💸流出 | 📈5日穿20日(金叉)
6148.TWO | 驊宏資        | B6: -3.39% | DMA: -3.574 | 💸流出 | 📈5日穿20日(金叉)
5425.TWO | 台半         | B6: -3.46% | DMA: -1.858 | 💎流入 | 📈5日穿20日(金叉)
8478.TW  | 東哥遊艇       | B6: -3.78% | DMA:-17.190 | 💸流出 | 🔥DMA金叉(起漲)
1568.TW  | 倉佑         | B6: -3.79% | DMA: -1.331 | 💎流入 | 📈5日穿20日(金叉)
1512.TW  | 瑞利         | B6: -3.98% | DMA: -0.271 | 💎流入 | 📈5日穿20日(金叉)
2034.TW  | 允強         | B6: -4.16% | DMA: -1.007 | 💎流入 | 📈5日穿20日(金叉)
2743.TWO | 山富         | B6: -4.24% | DMA: -5.880 | 💸流出 | 📈5日穿20日(金叉)
6138.TWO | 茂達         | B6: -4.50% | DMA: -7.180 | 💸流出 | 📈5日穿20日(金叉)
6921.TW  | 嘉雨思-創      | B6: -4.97% | DMA:  2.372 | 💸流出 | 🔥DMA金叉(起漲)
3530.TW  | 晶相光        | B6: -5.03% | DMA: -9.650 | 💎流入 | 📈5日穿20日(金叉)
3629.TWO | 地心引力       | B6: -5.11% | DMA: -2.630 | 💎流入 | 📈5日穿20日(金叉)
4128.TWO | 中天         | B6: -5.14% | DMA:  0.000 | 💎流入 | 📈5日穿20日(金叉)
4513.TWO | 福裕         | B6: -5.26% | DMA: -1.148 | 💸流出 | 📈5日穿20日(金叉)
3552.TWO | 同致         | B6: -5.26% | DMA: -7.914 | 💸流出 | 📈5日穿20日(金叉)
6125.TWO | 廣運         | B6: -5.29% | DMA: -7.682 | 💎流入 | 📈5日穿20日(金叉)
00650L.TW | 復華香港正2     | B6: -5.45% | DMA: -1.192 | 💎流入 | 📈5日穿20日(金叉)
2388.TW  | 威盛         | B6: -5.62% | DMA: -4.321 | 💸流出 | 📈5日穿20日(金叉)
4171.TWO | 瑞基         | B6: -5.67% | DMA: -0.962 | 💸流出 | 📈5日穿20日(金叉)
5508.TWO | 永信建        | B6: -5.70% | DMA: -6.338 | 💎流入 | 📈5日穿20日(金叉)
8299.TWO | 群聯         | B6: -6.35% | DMA:-31.100 | 💎流入 | 📈5日穿20日(金叉)
4967.TW  | 十銓         | B6: -8.01% | DMA:-12.940 | 💎流入 | 📈5日穿20日(金叉)
8436.TWO | 大江         | B6: -8.49% | DMA: -8.420 | 💎流入 | 📈5日穿20日(金叉)
6472.TW  | 保瑞         | B6: -8.70% | DMA:-46.500 | 💸流出 | 📈5日穿20日(金叉)
9914.TW  | 美利達        | B6: -9.45% | DMA:-11.062 | 💎流入 | 📈5日穿20日(金叉)
6865.TWO | 偉康科技       | B6:-11.85% | DMA: -8.853 | 💎流入 | 📈5日穿20日(金叉)
5203.TW  | 訊連         | B6:-12.59% | DMA:-17.162 | 💎流入 | 📈5日穿20日(金叉)
6785.TWO | 昱展新藥       | B6:-16.98% | DMA:-68.180 | 💎流入 | 📈5日穿20日(金叉)

【🔥高檔警戒】(數量: 152)
------------------------------------------------------------------------------------------
5386.TWO | 青雲         | B6: 44.59% | DMA:136.444 | 💎流入 | 🧨瘋狗浪(極限)
00715L.TW | 期街口布蘭特正2   | B6: 41.22% | DMA: 17.773 | 💎流入 | 🧨瘋狗浪(極限)
6861.TW  | 睿生光電       | B6: 40.89% | DMA: 66.734 | 💎流入 | 🧨瘋狗浪(極限)
3054.TW  | 立萬利        | B6: 36.28% | DMA: 18.702 | 💎流入 | 🧨瘋狗浪(極限)
6907.TWO | 雅特力-KY     | B6: 35.33% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
6715.TW  | 嘉基         | B6: 34.68% | DMA: 99.718 | 💎流入 | 🧨瘋狗浪(極限)
6830.TW  | 汎銓         | B6: 33.59% | DMA:134.980 | 💎流入 | 🧨瘋狗浪(極限)
6141.TW  | 柏承         | B6: 31.54% | DMA:  5.350 | 💎流入 | 🧨瘋狗浪(極限)
6983.TWO | 華洋精機       | B6: 31.37% | DMA:119.030 | 💎流入 | 🧨瘋狗浪(極限)
6217.TWO | 中探針        | B6: 29.70% | DMA: 40.992 | 💎流入 | 🧨瘋狗浪(極限)
2616.TW  | 山隆         | B6: 27.29% | DMA:  4.659 | 💸流出 | 🧨瘋狗浪(極限)
00642U.TW | 期元大S&P石油   | B6: 22.55% | DMA:  5.820 | 💎流入 | 🧨瘋狗浪(極限)
2426.TW  | 鼎元         | B6: 22.31% | DMA:  6.153 | 💎流入 | 🧨瘋狗浪(極限)
6456.TW  | GIS-KY     | B6: 21.11% | DMA: 13.310 | 💎流入 | 🧨瘋狗浪(極限)
3049.TW  | 精金         | B6: 21.05% | DMA:  3.693 | 💸流出 | 🧨瘋狗浪(極限)
2489.TW  | 瑞軒         | B6: 20.61% | DMA: 15.165 | 💎流入 | 🧨瘋狗浪(極限)
6220.TWO | 岳豐         | B6: 20.18% | DMA: 10.520 | 💸流出 | 🧨瘋狗浪(極限)
6187.TWO | 萬潤         | B6: 19.99% | DMA:168.990 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4577.TWO | 達航科技       | B6: 19.88% | DMA: 24.740 | 💎流入 | 🔥高檔轉折(警示)
4960.TW  | 誠美材        | B6: 19.88% | DMA:  3.945 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9918.TW  | 欣天然        | B6: 19.30% | DMA:  8.644 | 💎流入 | 🔥高檔轉折(警示)
3036.TW  | 文曄         | B6: 18.50% | DMA: 50.280 | 💎流入 | 🔥高檔轉折(警示)
6230.TW  | 尼得科超眾      | B6: 17.97% | DMA: 39.560 | 💎流入 | 🔥高檔轉折(警示)
9931.TW  | 欣高         | B6: 17.67% | DMA:  6.625 | 💎流入 | 🔥高檔轉折(警示)
3576.TW  | 聯合再生       | B6: 17.48% | DMA:  8.908 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2485.TW  | 兆赫         | B6: 17.28% | DMA: 16.677 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6683.TWO | 雍智科技       | B6: 16.96% | DMA:343.050 | 💸流出 | 🔥高檔轉折(警示)
2467.TW  | 志聖         | B6: 16.76% | DMA: 89.730 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3093.TWO | 港建*        | B6: 16.44% | DMA:  6.477 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3498.TWO | 陽程         | B6: 16.39% | DMA: 11.540 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
4919.TW  | 新唐         | B6: 16.29% | DMA: 18.458 | 💎流入 | 🔥高檔轉折(警示)
7751.TWO | 竑騰         | B6: 15.93% | DMA:309.820 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
5291.TWO | 邑昇         | B6: 15.86% | DMA: 13.363 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3030.TW  | 德律         | B6: 15.79% | DMA: 50.960 | 💸流出 | 🔥高檔轉折(警示)
1582.TW  | 信錦         | B6: 15.46% | DMA: 14.740 | 💸流出 | 🔥高檔轉折(警示)
3081.TWO | 聯亞         | B6: 15.39% | DMA:487.660 | 💎流入 | 🔥高檔轉折(警示)
