Combination,Impact_Score
ForeignSellVolK + TotalDiffVolK,0.921494
ForeignSellVolK + ShortFinancingPercent,0.921494
ForeignSellVolK + DayTradingVolK,0.921494
ForeignSellVolK + Foreign_Hold_Increasing,0.921494
ForeignSellVolK + Foreign_Consecutive_BuyDays,0.921494
ForeignSellVolK + Foreign_LayoutScore,0.921494
ForeignSellVolK + Foreign_VolumeK,0.921494
ForeignSellVolK + TotalSellVolK,0.921494
ForeignSellVolK + InvestmentTrustSellVolK,0.921494
ForeignSellVolK + TotalBuyVolK,0.921494
ForeignSellVolK + FinancingSellVolK,0.921494
ForeignSellVolK + InvestmentTrustDiffVolK,0.921494
ForeignSellVolK + InvestmentTrustBuyVolK,0.921494
ForeignSellVolK + TradeVolumeRate,0.921494
ForeignSellVolK + BIAS_Accel,0.921494
ForeignSellVolK + BB_Pos,0.921494
ForeignSellVolK + FinancingBuyVolK,0.921494
ForeignSellVolK + FinancingPaybackVolK,0.921494
ForeignSellVolK + FinancingTotalVolK,0.921494
ForeignSellVolK + ShortSellVolK,0.921494
ForeignSellVolK + FinancingLimitVolK,0.921494
ForeignSellVolK + MainHolderCount,0.921494
ForeignSellVolK + DirSupHoldPercent,0.921494
ForeignSellVolK + LendingTotalVolK,0.921494
ForeignSellVolK + LendingRepayVolK,0.921494
ForeignSellVolK + LendingSellVolK,0.921494
ForeignSellVolK + ShortUsageRatio,0.921494
ForeignSellVolK + ShortLimitVolK,0.921494
ForeignSellVolK + ShortTotalVolK,0.921494
ForeignSellVolK + ShortRepayVolK,0.921494
ForeignSellVolK + MainHoldPercent,0.921494
ForeignSellVolK + FinancingUsageRatio,0.921494
ForeignSellVolK + TotalDifferenceVolK,0.921494
ForeignSellVolK + TotalOverbuyVolK,0.921494
ForeignSellVolK + TotalOversellVolK,0.921494
ForeignSellVolK + ShortBuyVolK,0.921494
DealerDiffVolK + InvestmentTrustDiffVolK,0.91853
DealerDiffVolK + DirSupHoldPercent,0.91853
DealerDiffVolK + ShortSellVolK,0.91853
DealerDiffVolK + ShortRepayVolK,0.91853
DealerDiffVolK + ShortTotalVolK,0.91853
DealerDiffVolK + ShortLimitVolK,0.91853
DealerDiffVolK + ShortUsageRatio,0.91853
DealerDiffVolK + LendingSellVolK,0.91853
DealerDiffVolK + LendingRepayVolK,0.91853
DealerDiffVolK + LendingTotalVolK,0.91853
DealerDiffVolK + TotalDifferenceVolK,0.91853
DealerDiffVolK + MainHolderCount,0.91853
DealerDiffVolK + MainHoldPercent,0.91853
DealerDiffVolK + FinancingUsageRatio,0.91853
DealerDiffVolK + TotalOverbuyVolK,0.91853
DealerDiffVolK + TotalOversellVolK,0.91853
DealerDiffVolK + TradeVolumeRate,0.91853
DealerDiffVolK + BIAS_Accel,0.91853
DealerDiffVolK + BB_Pos,0.91853
DealerDiffVolK + ShortBuyVolK,0.91853
DealerDiffVolK + FinancingLimitVolK,0.91853
DealerDiffVolK + InvestmentTrustSellVolK,0.91853
DealerDiffVolK + TotalSellVolK,0.91853
DealerDiffVolK + InvestmentTrustBuyVolK,0.91853
DealerDiffVolK + ForeignSellVolK,0.91853
DealerDiffVolK + ForeignHoldPercent,0.91853
DealerDiffVolK + ForeignDiffVolK,0.91853
DealerDiffVolK + ForeignBuyVolK,0.91853
DealerDiffVolK + DealerSellVolK,0.91853
DealerDiffVolK + TotalBuyVolK,0.91853
DealerDiffVolK + FinancingTotalVolK,0.91853
DealerDiffVolK + TotalDiffVolK,0.91853
DealerDiffVolK + Foreign_VolumeK,0.91853
DealerDiffVolK + Foreign_LayoutScore,0.91853
DealerDiffVolK + Foreign_Consecutive_BuyDays,0.91853
DealerDiffVolK + Foreign_Hold_Increasing,0.91853
DealerDiffVolK + ShortFinancingPercent,0.91853
DealerDiffVolK + FinancingBuyVolK,0.91853
DealerDiffVolK + FinancingSellVolK,0.91853
DealerDiffVolK + FinancingPaybackVolK,0.91853
DealerDiffVolK + DayTradingVolK,0.91853
TotalSellVolK + ShortFinancingPercent,0.915895
TotalSellVolK + Foreign_VolumeK,0.915895
TotalSellVolK + Foreign_LayoutScore,0.915895
TotalSellVolK + Foreign_Consecutive_BuyDays,0.915895
TotalSellVolK + Foreign_Hold_Increasing,0.915895
TotalSellVolK + DayTradingVolK,0.915895
TotalSellVolK + FinancingBuyVolK,0.915895
TotalSellVolK + FinancingSellVolK,0.915895
TotalSellVolK + ShortSellVolK,0.915895
TotalSellVolK + ShortRepayVolK,0.915895
TotalSellVolK + ShortTotalVolK,0.915895
TotalSellVolK + ShortLimitVolK,0.915895
TotalSellVolK + ShortUsageRatio,0.915895
TotalSellVolK + LendingSellVolK,0.915895
TotalSellVolK + LendingRepayVolK,0.915895
TotalSellVolK + LendingTotalVolK,0.915895
TotalSellVolK + ShortBuyVolK,0.915895
TotalSellVolK + DirSupHoldPercent,0.915895
TotalSellVolK + MainHolderCount,0.915895
TotalSellVolK + MainHoldPercent,0.915895
TotalSellVolK + TotalDifferenceVolK,0.915895
TotalSellVolK + TotalOverbuyVolK,0.915895
TotalSellVolK + FinancingLimitVolK,0.915895
TotalSellVolK + TotalOversellVolK,0.915895
TotalSellVolK + TradeVolumeRate,0.915895
TotalSellVolK + BIAS_Accel,0.915895
TotalSellVolK + BB_Pos,0.915895
TotalSellVolK + FinancingPaybackVolK,0.915895
TotalSellVolK + FinancingTotalVolK,0.915895
TotalSellVolK + FinancingUsageRatio,0.915895
MACD_Bearish_Zone + ShortUsageRatio,0.912657
MACD_Bearish_Zone + RSI,0.912657
MACD_Bearish_Zone + LendingRepayVolK,0.912657
MACD_Bearish_Zone + LendingSellVolK,0.912657
MACD_Bearish_Zone + ShortSellVolK,0.912657
MACD_Bearish_Zone + ShortBuyVolK,0.912657
MACD_Bearish_Zone + BIAS_Accel,0.912657
MACD_Bearish_Zone + ShortRepayVolK,0.912657
MACD_Bearish_Zone + ShortTotalVolK,0.912657
MACD_Bearish_Zone + ShortLimitVolK,0.912657
MACD_Bearish_Zone + BB_Pos,0.912657
MACD_Bearish_Zone + Short_Term_Rebound,0.912657
MACD_Bearish_Zone + TradeVolumeRate,0.912657
MACD_Bearish_Zone + TotalOversellVolK,0.912657
MACD_Bearish_Zone + LendingTotalVolK,0.912657
MACD_Bearish_Zone + DirSupHoldPercent,0.912657
MACD_Bearish_Zone + MainHolderCount,0.912657
MACD_Bearish_Zone + Lower_Band,0.912657
MACD_Bearish_Zone + BOLL,0.912657
MACD_Bearish_Zone + Williams,0.912657
MACD_Bearish_Zone + KDJ_K,0.912657
MACD_Bearish_Zone + KDJ_D,0.912657
MACD_Bearish_Zone + KDJ_J,0.912657
MACD_Bearish_Zone + OBV,0.912657
MACD_Bearish_Zone + OBV_MA,0.912657
MACD_Bearish_Zone + CCI,0.912657
MACD_Bearish_Zone + +DI,0.912657
MACD_Bearish_Zone + -DI,0.912657
MACD_Bearish_Zone + ADX,0.912657
MACD_Bearish_Zone + ADX_5,0.912657
MACD_Bearish_Zone + Vol_MA6,0.912657
MACD_Bearish_Zone + Vol_Ratio,0.912657
MACD_Bearish_Zone + Vol_Spike,0.912657
MACD_Bearish_Zone + MainHoldPercent,0.912657
MACD_Bearish_Zone + TotalDifferenceVolK,0.912657
MACD_Bearish_Zone + TotalOverbuyVolK,0.912657
MACD_Bearish_Zone + BIAS_Short_Col,0.912657
MACD_Bearish_Zone + BIAS_6,0.912657
MACD_Bearish_Zone + BIAS_20,0.912657
MACD_Bearish_Zone + Bullish_Align,0.912657
MACD_Bearish_Zone + FinancingLimitVolK,0.912657
MACD_Bearish_Zone + FinancingUsageRatio,0.912657
MACD_Bearish_Zone + Bias_Divergence,0.912657
MACD_Bearish_Zone + FinancingTotalVolK,0.912657
MACD_Bearish_Zone + InvestmentTrustBuyVolK,0.912657
MACD_Bearish_Zone + DMA_Bullish,0.912657
MACD_Bearish_Zone + DMA_Diff,0.912657
MACD_Bearish_Zone + MA200,0.912657
MACD_Bearish_Zone + High_120,0.912657
MACD_Bearish_Zone + ForeignBuyVolK,0.912657
MACD_Bearish_Zone + ForeignDiffVolK,0.912657
MACD_Bearish_Zone + ForeignHoldPercent,0.912657
MACD_Bearish_Zone + ForeignSellVolK,0.912657
MACD_Bearish_Zone + InvestmentTrustDiffVolK,0.912657
MACD_Bearish_Zone + FinancingPaybackVolK,0.912657
MACD_Bearish_Zone + InvestmentTrustSellVolK,0.912657
MACD_Bearish_Zone + TotalBuyVolK,0.912657
MACD_Bearish_Zone + TotalDiffVolK,0.912657
MACD_Bearish_Zone + TotalSellVolK,0.912657
MACD_Bearish_Zone + Foreign_VolumeK,0.912657
MACD_Bearish_Zone + Foreign_LayoutScore,0.912657
MACD_Bearish_Zone + Foreign_Consecutive_BuyDays,0.912657
MACD_Bearish_Zone + Foreign_Hold_Increasing,0.912657
MACD_Bearish_Zone + DMA_Death_Cross,0.912657
MACD_Bearish_Zone + DMA_Golden_Cross,0.912657
MACD_Bearish_Zone + AMA,0.912657
MACD_Bearish_Zone + DMA,0.912657
MACD_Bearish_Zone + FinancingSellVolK,0.912657
MACD_Bearish_Zone + FinancingBuyVolK,0.912657
MACD_Bearish_Zone + ShortFinancingPercent,0.912657
MACD_Bearish_Zone + DayTradingVolK,0.912657
MACD_Bearish_Zone + Strong_Trend,0.912657
MACD_Bearish_Zone + MA20,0.912657
MACD_Bearish_Zone + Bias_Ratio,0.912657
MACD_Bearish_Zone + V_MA20,0.912657
MACD_Bearish_Zone + MA_60,0.912657
MACD_Bearish_Zone + ATR_20,0.912657
MACD_Bearish_Zone + ChangePercent,0.912657
MACD_Bearish_Zone + DealerBuyVolK,0.912657
MACD_Bearish_Zone + DealerDiffVolK,0.912657
MACD_Bearish_Zone + DealerSellVolK,0.912657
MACD_Bearish_Zone + Golden_Cross,0.912657
MACD_Bearish_Zone + MA_Short,0.912657
MACD_Bearish_Zone + MA_Long,0.912657
MACD_Bearish_Zone + DMA_Momentum_Up,0.912657
MACD_Bearish_Zone + Upper_Band,0.912657
MACD_Bearish_Zone + MACD_Momentum_Ratio,0.912657
MACD_Bearish_Zone + MACD_Momentum_Up,0.912657
MACD_Bearish_Zone + SMA,0.912657
MACD_Bearish_Zone + MACD_Diff,0.912657
MACD_Bearish_Zone + MACD_Bearish_Strong,0.912657
MACD_Bearish_Zone + MACD_Momentum_Down,0.912657
MACD_Bearish_Zone + MACD_Bullish_Strong,0.912657
ForeignBuyVolK + DirSupHoldPercent,0.909625
ForeignBuyVolK + ForeignDiffVolK,0.909625
ForeignBuyVolK + ShortTotalVolK,0.909625
ForeignBuyVolK + ShortLimitVolK,0.909625
ForeignBuyVolK + ShortUsageRatio,0.909625
ForeignBuyVolK + LendingSellVolK,0.909625
ForeignBuyVolK + LendingRepayVolK,0.909625
ForeignBuyVolK + LendingTotalVolK,0.909625
ForeignBuyVolK + MainHolderCount,0.909625
ForeignBuyVolK + ShortBuyVolK,0.909625
ForeignBuyVolK + MainHoldPercent,0.909625
ForeignBuyVolK + TotalDifferenceVolK,0.909625
ForeignBuyVolK + TotalOverbuyVolK,0.909625
ForeignBuyVolK + TotalOversellVolK,0.909625
ForeignBuyVolK + TradeVolumeRate,0.909625
ForeignBuyVolK + BIAS_Accel,0.909625
ForeignBuyVolK + BB_Pos,0.909625
ForeignBuyVolK + ForeignHoldPercent,0.909625
ForeignBuyVolK + ForeignSellVolK,0.909625
ForeignBuyVolK + InvestmentTrustBuyVolK,0.909625
ForeignBuyVolK + DayTradingVolK,0.909625
ForeignBuyVolK + FinancingUsageRatio,0.909625
ForeignBuyVolK + FinancingLimitVolK,0.909625
ForeignBuyVolK + FinancingTotalVolK,0.909625
ForeignBuyVolK + FinancingPaybackVolK,0.909625
ForeignBuyVolK + FinancingSellVolK,0.909625
ForeignBuyVolK + FinancingBuyVolK,0.909625
ForeignBuyVolK + ShortFinancingPercent,0.909625
ForeignBuyVolK + Foreign_Hold_Increasing,0.909625
ForeignBuyVolK + InvestmentTrustDiffVolK,0.909625
ForeignBuyVolK + Foreign_Consecutive_BuyDays,0.909625
ForeignBuyVolK + Foreign_LayoutScore,0.909625
ForeignBuyVolK + Foreign_VolumeK,0.909625
ForeignBuyVolK + TotalSellVolK,0.909625
ForeignBuyVolK + TotalDiffVolK,0.909625
ForeignBuyVolK + TotalBuyVolK,0.909625
ForeignBuyVolK + ShortRepayVolK,0.909625
ForeignBuyVolK + InvestmentTrustSellVolK,0.909625
ForeignBuyVolK + ShortSellVolK,0.909625
TotalBuyVolK + ShortRepayVolK,0.908226
TotalBuyVolK + Foreign_VolumeK,0.908226
TotalBuyVolK + LendingSellVolK,0.908226
TotalBuyVolK + ShortUsageRatio,0.908226
TotalBuyVolK + ShortLimitVolK,0.908226
TotalBuyVolK + ShortTotalVolK,0.908226
TotalBuyVolK + TotalSellVolK,0.908226
TotalBuyVolK + ShortSellVolK,0.908226
TotalBuyVolK + ShortBuyVolK,0.908226
TotalBuyVolK + FinancingUsageRatio,0.908226
TotalBuyVolK + FinancingLimitVolK,0.908226
TotalBuyVolK + FinancingTotalVolK,0.908226
TotalBuyVolK + FinancingPaybackVolK,0.908226
TotalBuyVolK + FinancingSellVolK,0.908226
TotalBuyVolK + FinancingBuyVolK,0.908226
TotalBuyVolK + ShortFinancingPercent,0.908226
TotalBuyVolK + DayTradingVolK,0.908226
TotalBuyVolK + Foreign_Hold_Increasing,0.908226
TotalBuyVolK + Foreign_Consecutive_BuyDays,0.908226
TotalBuyVolK + LendingRepayVolK,0.908226
TotalBuyVolK + LendingTotalVolK,0.908226
TotalBuyVolK + DirSupHoldPercent,0.908226
TotalBuyVolK + TradeVolumeRate,0.908226
TotalBuyVolK + BB_Pos,0.908226
TotalBuyVolK + MainHolderCount,0.908226
TotalBuyVolK + TotalDiffVolK,0.908226
TotalBuyVolK + BIAS_Accel,0.908226
TotalBuyVolK + Foreign_LayoutScore,0.908226
TotalBuyVolK + TotalOversellVolK,0.908226
TotalBuyVolK + TotalOverbuyVolK,0.908226
TotalBuyVolK + TotalDifferenceVolK,0.908226
TotalBuyVolK + MainHoldPercent,0.908226
ShortFinancingPercent + ShortTotalVolK,0.903882
ShortFinancingPercent + ShortLimitVolK,0.903882
ShortFinancingPercent + ShortUsageRatio,0.903882
ShortFinancingPercent + LendingSellVolK,0.903882
ShortFinancingPercent + LendingRepayVolK,0.903882
ShortFinancingPercent + LendingTotalVolK,0.903882
ShortFinancingPercent + DirSupHoldPercent,0.903882
ShortFinancingPercent + ShortRepayVolK,0.903882
ShortFinancingPercent + ShortSellVolK,0.903882
ShortFinancingPercent + ShortBuyVolK,0.903882
ShortFinancingPercent + TradeVolumeRate,0.903882
ShortFinancingPercent + TotalOversellVolK,0.903882
ShortFinancingPercent + TotalOverbuyVolK,0.903882
ShortFinancingPercent + TotalDifferenceVolK,0.903882
ShortFinancingPercent + FinancingBuyVolK,0.903882
ShortFinancingPercent + FinancingSellVolK,0.903882
ShortFinancingPercent + FinancingPaybackVolK,0.903882
ShortFinancingPercent + FinancingTotalVolK,0.903882
ShortFinancingPercent + FinancingUsageRatio,0.903882
ShortFinancingPercent + FinancingLimitVolK,0.903882
ShortFinancingPercent + MainHolderCount,0.903882
ShortFinancingPercent + MainHoldPercent,0.903882
ShortFinancingPercent + BIAS_Accel,0.903882
ShortFinancingPercent + BB_Pos,0.903882
ShortTotalVolK + TotalOverbuyVolK,0.901515
ShortTotalVolK + ShortUsageRatio,0.901515
ShortTotalVolK + BB_Pos,0.901515
ShortTotalVolK + BIAS_Accel,0.901515
ShortTotalVolK + TradeVolumeRate,0.901515
ShortTotalVolK + TotalOversellVolK,0.901515
ShortTotalVolK + ShortLimitVolK,0.901515
ShortTotalVolK + TotalDifferenceVolK,0.901515
ShortTotalVolK + MainHolderCount,0.901515
ShortTotalVolK + DirSupHoldPercent,0.901515
ShortTotalVolK + LendingSellVolK,0.901515
ShortTotalVolK + LendingRepayVolK,0.901515
ShortTotalVolK + MainHoldPercent,0.901515
ShortTotalVolK + LendingTotalVolK,0.901515
MainHolderCount + BIAS_Accel,0.901422
MainHolderCount + TotalDifferenceVolK,0.901422
MainHolderCount + TotalOverbuyVolK,0.901422
MainHolderCount + TotalOversellVolK,0.901422
MainHolderCount + TradeVolumeRate,0.901422
MainHolderCount + MainHoldPercent,0.901422
MainHolderCount + BB_Pos,0.901422
MainHoldPercent + TotalDifferenceVolK,0.899754
MainHoldPercent + TotalOversellVolK,0.899754
MainHoldPercent + TradeVolumeRate,0.899754
MainHoldPercent + BIAS_Accel,0.899754
MainHoldPercent + BB_Pos,0.899754
MainHoldPercent + TotalOverbuyVolK,0.899754
DirSupHoldPercent + BB_Pos,0.898867
DirSupHoldPercent + TotalOversellVolK,0.898867
DirSupHoldPercent + BIAS_Accel,0.898867
DirSupHoldPercent + TotalOverbuyVolK,0.898867
DirSupHoldPercent + MainHolderCount,0.898867
DirSupHoldPercent + MainHoldPercent,0.898867
DirSupHoldPercent + TradeVolumeRate,0.898867
DirSupHoldPercent + TotalDifferenceVolK,0.898867
-DI + TotalOversellVolK,0.896504
-DI + BB_Pos,0.896504
-DI + BIAS_Accel,0.896504
-DI + TradeVolumeRate,0.896504
-DI + TotalOverbuyVolK,0.896504
-DI + TotalDifferenceVolK,0.896504
-DI + MainHoldPercent,0.896504
-DI + DirSupHoldPercent,0.896504
-DI + LendingTotalVolK,0.896504
-DI + LendingRepayVolK,0.896504
-DI + MainHolderCount,0.896504
-DI + FinancingSellVolK,0.896504
-DI + LendingSellVolK,0.896504
-DI + V_MA20,0.896504
-DI + DMA_Bullish,0.896504
-DI + DMA_Diff,0.896504
-DI + DMA_Momentum_Up,0.896504
-DI + MA200,0.896504
-DI + High_120,0.896504
-DI + MA20,0.896504
-DI + Bias_Ratio,0.896504
-DI + MA_60,0.896504
-DI + ShortUsageRatio,0.896504
-DI + ATR_20,0.896504
-DI + ChangePercent,0.896504
-DI + DealerBuyVolK,0.896504
-DI + DealerDiffVolK,0.896504
-DI + DealerSellVolK,0.896504
-DI + ForeignBuyVolK,0.896504
-DI + ForeignDiffVolK,0.896504
-DI + DMA_Death_Cross,0.896504
-DI + DMA_Golden_Cross,0.896504
-DI + AMA,0.896504
-DI + DMA,0.896504
-DI + ADX,0.896504
-DI + ADX_5,0.896504
-DI + Vol_MA6,0.896504
-DI + Vol_Ratio,0.896504
-DI + Vol_Spike,0.896504
-DI + BIAS_Short_Col,0.896504
-DI + BIAS_6,0.896504
-DI + BIAS_20,0.896504
-DI + Bullish_Align,0.896504
-DI + Short_Term_Rebound,0.896504
-DI + Strong_Trend,0.896504
-DI + Bias_Divergence,0.896504
-DI + Golden_Cross,0.896504
-DI + MA_Short,0.896504
-DI + MA_Long,0.896504
-DI + ForeignHoldPercent,0.896504
-DI + TotalBuyVolK,0.896504
-DI + ShortFinancingPercent,0.896504
-DI + InvestmentTrustBuyVolK,0.896504
-DI + InvestmentTrustSellVolK,0.896504
-DI + TotalDiffVolK,0.896504
-DI + TotalSellVolK,0.896504
-DI + Foreign_VolumeK,0.896504
-DI + Foreign_LayoutScore,0.896504
-DI + Foreign_Consecutive_BuyDays,0.896504
-DI + Foreign_Hold_Increasing,0.896504
-DI + DayTradingVolK,0.896504
-DI + ForeignSellVolK,0.896504
-DI + FinancingBuyVolK,0.896504
-DI + FinancingPaybackVolK,0.896504
-DI + FinancingTotalVolK,0.896504
-DI + FinancingLimitVolK,0.896504
-DI + FinancingUsageRatio,0.896504
-DI + ShortBuyVolK,0.896504
-DI + ShortSellVolK,0.896504
-DI + ShortRepayVolK,0.896504
-DI + ShortTotalVolK,0.896504
-DI + ShortLimitVolK,0.896504
-DI + InvestmentTrustDiffVolK,0.896504
Foreign_VolumeK + ShortRepayVolK,0.89094
Foreign_VolumeK + BIAS_Accel,0.89094
Foreign_VolumeK + BB_Pos,0.89094
Foreign_VolumeK + TradeVolumeRate,0.89094
Foreign_VolumeK + ShortSellVolK,0.89094
Foreign_VolumeK + Foreign_Consecutive_BuyDays,0.89094
Foreign_VolumeK + ShortBuyVolK,0.89094
Foreign_VolumeK + FinancingUsageRatio,0.89094
Foreign_VolumeK + FinancingLimitVolK,0.89094
Foreign_VolumeK + FinancingTotalVolK,0.89094
Foreign_VolumeK + ShortTotalVolK,0.89094
Foreign_VolumeK + FinancingSellVolK,0.89094
Foreign_VolumeK + FinancingBuyVolK,0.89094
Foreign_VolumeK + ShortFinancingPercent,0.89094
Foreign_VolumeK + DayTradingVolK,0.89094
Foreign_VolumeK + Foreign_Hold_Increasing,0.89094
Foreign_VolumeK + Foreign_LayoutScore,0.89094
Foreign_VolumeK + TotalOversellVolK,0.89094
Foreign_VolumeK + ShortLimitVolK,0.89094
Foreign_VolumeK + ShortUsageRatio,0.89094
Foreign_VolumeK + LendingSellVolK,0.89094
Foreign_VolumeK + LendingRepayVolK,0.89094
Foreign_VolumeK + LendingTotalVolK,0.89094
Foreign_VolumeK + DirSupHoldPercent,0.89094
Foreign_VolumeK + MainHolderCount,0.89094
Foreign_VolumeK + MainHoldPercent,0.89094
Foreign_VolumeK + TotalDifferenceVolK,0.89094
Foreign_VolumeK + TotalOverbuyVolK,0.89094
Foreign_VolumeK + FinancingPaybackVolK,0.89094
+DI + MA_Long,0.889616
+DI + MainHoldPercent,0.889616
+DI + ShortBuyVolK,0.889616
+DI + FinancingLimitVolK,0.889616
+DI + FinancingTotalVolK,0.889616
+DI + FinancingPaybackVolK,0.889616
+DI + FinancingBuyVolK,0.889616
+DI + ShortFinancingPercent,0.889616
+DI + DayTradingVolK,0.889616
+DI + Foreign_Hold_Increasing,0.889616
+DI + Foreign_Consecutive_BuyDays,0.889616
+DI + Foreign_LayoutScore,0.889616
+DI + Foreign_VolumeK,0.889616
+DI + TotalSellVolK,0.889616
+DI + TotalDiffVolK,0.889616
+DI + TotalBuyVolK,0.889616
+DI + InvestmentTrustSellVolK,0.889616
+DI + InvestmentTrustDiffVolK,0.889616
+DI + FinancingUsageRatio,0.889616
+DI + ShortSellVolK,0.889616
+DI + ForeignSellVolK,0.889616
+DI + ShortRepayVolK,0.889616
+DI + -DI,0.889616
+DI + BB_Pos,0.889616
+DI + BIAS_Accel,0.889616
+DI + TradeVolumeRate,0.889616
+DI + TotalOversellVolK,0.889616
+DI + TotalOverbuyVolK,0.889616
+DI + TotalDifferenceVolK,0.889616
+DI + MainHolderCount,0.889616
+DI + DirSupHoldPercent,0.889616
+DI + LendingTotalVolK,0.889616
+DI + LendingRepayVolK,0.889616
+DI + LendingSellVolK,0.889616
+DI + ShortUsageRatio,0.889616
+DI + ShortLimitVolK,0.889616
+DI + ShortTotalVolK,0.889616
+DI + InvestmentTrustBuyVolK,0.889616
+DI + FinancingSellVolK,0.889616
+DI + ForeignHoldPercent,0.889616
+DI + DMA_Golden_Cross,0.889616
+DI + DMA,0.889616
+DI + MA_Short,0.889616
+DI + Golden_Cross,0.889616
+DI + Bias_Divergence,0.889616
+DI + Strong_Trend,0.889616
+DI + Short_Term_Rebound,0.889616
+DI + Bullish_Align,0.889616
+DI + BIAS_20,0.889616
+DI + BIAS_6,0.889616
+DI + BIAS_Short_Col,0.889616
+DI + ForeignDiffVolK,0.889616
+DI + Vol_Ratio,0.889616
+DI + Vol_MA6,0.889616
+DI + ADX_5,0.889616
+DI + ADX,0.889616
+DI + AMA,0.889616
+DI + Vol_Spike,0.889616
+DI + DMA_Death_Cross,0.889616
+DI + V_MA20,0.889616
+DI + DMA_Bullish,0.889616
+DI + ForeignBuyVolK,0.889616
+DI + DealerSellVolK,0.889616
+DI + DealerBuyVolK,0.889616
+DI + ChangePercent,0.889616
+DI + ATR_20,0.889616
+DI + MA_60,0.889616
+DI + DealerDiffVolK,0.889616
+DI + DMA_Diff,0.889616
+DI + MA20,0.889616
+DI + High_120,0.889616
+DI + MA200,0.889616
+DI + DMA_Momentum_Up,0.889616
+DI + Bias_Ratio,0.889616
HMA_5 + MACD_Bullish_Strong,0.8882
HMA_5 + KDJ_D,0.8882
HMA_5 + KDJ_K,0.8882
HMA_5 + Williams,0.8882
HMA_5 + BOLL,0.8882
HMA_5 + Lower_Band,0.8882
HMA_5 + RSI,0.8882
HMA_5 + Upper_Band,0.8882
HMA_5 + SMA,0.8882
HMA_5 + MACD_Momentum_Ratio,0.8882
HMA_5 + MACD_Bearish_Strong,0.8882
HMA_5 + OBV,0.8882
HMA_5 + MACD_Momentum_Down,0.8882
HMA_5 + KDJ_J,0.8882
HMA_5 + Vol_MA6,0.8882
HMA_5 + OBV_MA,0.8882
HMA_5 + CCI,0.8882
HMA_5 + +DI,0.8882
HMA_5 + -DI,0.8882
HMA_5 + ADX,0.8882
HMA_5 + ADX_5,0.8882
HMA_5 + Vol_Ratio,0.8882
HMA_5 + Vol_Spike,0.8882
HMA_5 + BIAS_Short_Col,0.8882
HMA_5 + BIAS_6,0.8882
HMA_5 + BIAS_20,0.8882
HMA_5 + Bullish_Align,0.8882
HMA_5 + Short_Term_Rebound,0.8882
HMA_5 + MACD_Diff,0.8882
HMA_5 + MACD_Momentum_Up,0.8882
HMA_5 + ShortFinancingPercent,0.8882
HMA_5 + MACD_Bearish_Zone,0.8882
HMA_5 + EMA_20,0.8882
HMA_5 + Bias_Divergence,0.8882
HMA_5 + DEMA_5,0.8882
HMA_5 + KAMA_5,0.8882
HMA_5 + SMMA_5,0.8882
HMA_5 + MA_10,0.8882
HMA_5 + EMA_10,0.8882
HMA_5 + WMA_10,0.8882
HMA_5 + SMA_10,0.8882
HMA_5 + HMA_10,0.8882
HMA_5 + DEMA_10,0.8882
HMA_5 + KAMA_10,0.8882
HMA_5 + SMMA_10,0.8882
HMA_5 + MA_20,0.8882
HMA_5 + WMA_20,0.8882
HMA_5 + MACD_Bullish_Zone,0.8882
HMA_5 + SMA_20,0.8882
HMA_5 + HMA_20,0.8882
HMA_5 + DEMA_20,0.8882
HMA_5 + SMMA_20,0.8882
HMA_5 + WMA_6,0.8882
HMA_5 + DIF,0.8882
HMA_5 + DEA,0.8882
HMA_5 + MACD,0.8882
HMA_5 + MACD_Signal,0.8882
HMA_5 + MACD_Hist,0.8882
HMA_5 + MACD_OSC,0.8882
HMA_5 + MACD_Golden_Cross,0.8882
HMA_5 + MACD_Death_Cross,0.8882
HMA_5 + Strong_Trend,0.8882
HMA_5 + KAMA_20,0.8882
HMA_5 + Golden_Cross,0.8882
HMA_5 + Foreign_VolumeK,0.8882
HMA_5 + Foreign_Consecutive_BuyDays,0.8882
HMA_5 + Foreign_Hold_Increasing,0.8882
HMA_5 + DayTradingVolK,0.8882
HMA_5 + FinancingBuyVolK,0.8882
HMA_5 + FinancingSellVolK,0.8882
HMA_5 + FinancingPaybackVolK,0.8882
HMA_5 + FinancingTotalVolK,0.8882
HMA_5 + FinancingLimitVolK,0.8882
HMA_5 + FinancingUsageRatio,0.8882
HMA_5 + ShortBuyVolK,0.8882
HMA_5 + ShortSellVolK,0.8882
HMA_5 + ShortRepayVolK,0.8882
HMA_5 + ShortTotalVolK,0.8882
HMA_5 + ShortLimitVolK,0.8882
HMA_5 + ShortUsageRatio,0.8882
HMA_5 + LendingSellVolK,0.8882
HMA_5 + LendingRepayVolK,0.8882
HMA_5 + LendingTotalVolK,0.8882
HMA_5 + DirSupHoldPercent,0.8882
HMA_5 + MainHolderCount,0.8882
HMA_5 + MainHoldPercent,0.8882
HMA_5 + TotalDifferenceVolK,0.8882
HMA_5 + TotalOverbuyVolK,0.8882
HMA_5 + TotalOversellVolK,0.8882
HMA_5 + TradeVolumeRate,0.8882
HMA_5 + BIAS_Accel,0.8882
HMA_5 + BB_Pos,0.8882
HMA_5 + Foreign_LayoutScore,0.8882
HMA_5 + TotalSellVolK,0.8882
HMA_5 + MA_Short,0.8882
HMA_5 + TotalDiffVolK,0.8882
