eps,price,prev_year,est_price,expansion,eps_yoy,pe,name,gm,om,rev_yoy,date,advice,prev_eps,prev_eps_yoy,symbol,prev_rev_yoy,status
1.23,22.0,2025,42.599999999999994,23.32,8.85,7.746478873239437,統領,87.61%,51.79%,-14.47,2025-12,💎 強力關注,0.9,8.43,2910.TW,-15.17,🏰 高護城河
-0.86,10.0,2025,-16.2,23.01,18.87,0.0,艾美特-KY,20.74%,-2.32%,-4.14,2025-12,⚪ 數據不足,-0.3,53.13,1626.TW,-4.12,🧐 疑業外收益
4.49,52.0,2025,159.75,22.800000000000004,32.45,4.88262910798122,統振,N/A,N/A,9.65,2025-12,💎 強力關注,3.38,78.84,6170.TWO,13.41,🚀 利潤擴張
5.23,50.5999984741,2025,207.0,22.759999999999998,52.37,3.6666665560942024,竣邦-KY,27.73%,10.88%,29.61,2025-12,💎 強力關注,3.98,81.37,4442.TWO,39.34,🚀 利潤擴張
-0.15,11.1000003815,2025,-5.7,22.689999999999998,31.82,0.0,農林,40.70%,-7.01%,9.13,2025-12,⚪ 數據不足,-0.11,35.29,2913.TW,18.12,🚀 利潤擴張
2.08,128.0,2025,0.0,22.64,24.55,0.0,雅特力-KY,N/A,N/A,1.91,2025-12,⚪ 數據不足,1.38,56.82,6907.TWO,0.12,🚀 利潤擴張
35.12,0.0,2025,0.0,22.519999999999996,51.69,0.0,新代,N/A,N/A,29.17,2025-12,⚪ 數據不足,22.8,21.35,7750.TW,26.18,🚀 利潤擴張
1.63,30.1000003815,2025,64.35,22.34,27.34,7.016317105244755,五鼎,30.15%,7.57%,5.0,2025-12,💎 強力關注,1.13,25.56,1733.TW,7.7,🚀 利潤擴張
5.37,58.2000007629,2025,218.7,22.07,60.88,3.991769599650206,動力-KY,N/A,N/A,38.81,2025-12,💎 強力關注,4.65,74.3,6591.TW,38.83,🚀 利潤擴張
4.03,68.9000015259,2025,148.65,22.03,45.42,6.952573312401614,海華,15.30%,3.72%,23.39,2025-12,💎 強力關注,3.27,51.89,3694.TW,26.88,🚀 利潤擴張
0.56,18.2000007629,2025,18.6,21.990000000000002,24.44,14.677419970080646,新鋼,6.08%,2.25%,2.45,2025-12,✅ 穩健價值,0.37,12.12,2032.TW,9.42,🚀 利潤擴張
11.19,209.5,2025,383.3999999999999,21.939999999999998,24.88,8.196400625978093,鮮活果汁-KY,24.61%,6.32%,2.94,2025-12,💎 強力關注,9.32,13.52,1256.TW,-3.77,🚀 利潤擴張
8.6,93.9000015259,2025,329.1,21.910000000000004,40.52,4.279854217224248,長榮鋼,25.25%,19.61%,18.61,2025-12,💎 強力關注,7.36,46.61,2211.TW,21.52,🚀 利潤擴張
31.0,2120.0,2025,993.9000000000001,21.56000000000001,73.18,31.995170540295803,富世達,N/A,N/A,51.62,2025-12,⚠️ 追價風險,20.04,68.69,6805.TW,55.74,🚀 利潤擴張
-5.1,13.1000003815,2025,-163.35,21.43,-40.62,0.0,北極星藥業-KY,N/A,N/A,-62.05,2025-12,⚪ 數據不足,-2.91,-31.08,6550.TW,-51.12,🌑 雙重衰退
-1.29,0.0,2025,0.0,21.08,31.02,0.0,中天,42.56%,-18.87%,9.94,2025-12,⚪ 數據不足,-1.23,8.21,4128.TWO,10.85,🚀 利潤擴張
2.77,51.7999992371,2025,100.80000000000001,21.03,40.61,7.708333219806548,遠雄港,N/A,N/A,19.58,2025-12,💎 強力關注,2.13,41.06,5607.TW,17.61,🚀 利潤擴張
4.02,70.9000015259,2025,134.25000000000003,20.98,26.43,7.921787879988825,汎瑋材料,N/A,N/A,5.45,2025-12,💎 強力關注,2.87,14.98,6967.TWO,-1.08,🚀 利潤擴張
-1.65,305.0,2025,-78.60000000000001,20.569999999999997,39.69,0.0,中探針,N/A,N/A,19.12,2025-12,⚪ 數據不足,-1.31,10.71,6217.TWO,20.43,🚀 利潤擴張
3.96,27.6000003815,2025,185.99999999999997,20.330000000000005,-34.98,2.2258064823790327,理銘,N/A,N/A,-55.31,2025-12,💎 強力關注,3.26,59.8,6212.TWO,-39.92,🌑 雙重衰退
5.51,72.0,2025,171.75,20.28,57.43,6.2882096069869,海韻電,N/A,N/A,37.15,2025-12,💎 強力關注,3.28,26.15,6203.TWO,42.84,🚀 利潤擴張
3.7,107.5,2025,120.6,20.200000000000003,26.76,13.370646766169155,來頡,N/A,N/A,6.56,2025-12,✅ 穩健價值,2.29,5.14,6799.TW,6.38,🚀 利潤擴張
-0.73,110.0,2025,-48.449999999999996,20.159999999999997,32.41,0.0,達航科技,23.60%,7.93%,12.25,2025-12,⚪ 數據不足,-0.92,35.66,4577.TWO,23.84,🚀 利潤擴張
7.08,292.5,2025,204.3,20.15,40.48,21.47577092511013,騰雲,N/A,N/A,20.33,2025-12,⚪ 中性觀察,4.38,64.04,6870.TWO,20.49,🚀 利潤擴張
7.37,412.5,2025,270.15,20.119999999999997,32.55,22.903942254303168,達興材料,N/A,N/A,12.43,2025-12,⚠️ 追價風險,5.33,39.9,5234.TW,12.88,🚀 利潤擴張
2.11,156.5,2025,18.6,19.67,16.48,126.20967741935483,廣穎,N/A,N/A,-3.19,2025-12,⚠️ 追價風險,-0.17,-108.72,4973.TWO,-2.98,🔄 轉虧為盈
0.7,26.5499992371,2025,25.2,19.37,38.78,15.803570974464286,百徽,N/A,N/A,19.41,2025-12,✅ 穩健價值,0.45,15.38,6259.TWO,22.11,🚀 利潤擴張
1.23,12.6000003815,2025,37.199999999999996,19.35,26.8,5.080645315120968,新建,6.67%,4.30%,7.45,2025-12,💎 強力關注,0.57,-5.0,2516.TW,12.18,🚀 利潤擴張
2.45,58.0,2025,70.19999999999999,19.240000000000002,19.51,12.393162393162394,安心,23.02%,0.36%,0.27,2025-12,✅ 穩健價值,1.03,-53.6,1259.TWO,-0.82,🚀 利潤擴張
-0.59,13.3999996185,2025,-25.200000000000003,19.07,16.9,0.0,志旭,N/A,N/A,-2.17,2025-12,⚪ 數據不足,0.02,110.53,8067.TWO,2.3,🧐 疑業外收益
-2.07,18.8500003815,2025,-74.85,18.27,17.15,0.0,光麗-KY,N/A,N/A,-1.12,2025-12,⚪ 數據不足,-1.44,11.69,6431.TW,2.36,🧐 疑業外收益
-10.06,5.0,2025,-315.75,17.939999999999998,-15.31,0.0,綠河-KY,N/A,N/A,-33.25,2025-12,⚪ 數據不足,-5.84,-22.62,8444.TWO,-31.52,🌑 雙重衰退
5.01,539.0,2025,205.5,17.71,31.15,39.34306569343066,聯鈞,26.67%,15.62%,13.44,2025-12,⚠️ 追價風險,3.48,91.21,3450.TW,26.94,🚀 利潤擴張
-0.61,53.2000007629,2025,-20.55,17.38,17.57,0.0,中裕,28.91%,-58.34%,0.19,2025-12,⚪ 數據不足,-0.36,-20.0,4147.TWO,-0.63,🚀 利潤擴張
1.68,22.1499996185,2025,65.99999999999999,17.34,12.0,5.034090822386364,美隆電,N/A,N/A,-5.34,2025-12,💎 強力關注,1.58,15.33,2477.TW,-5.96,🧐 疑業外收益
2.31,43.6500015259,2025,87.30000000000001,17.34,14.36,7.50000026218213,大甲,20.63%,8.37%,-2.98,2025-12,💎 強力關注,1.72,28.36,2221.TWO,0.76,🧐 疑業外收益
7.94,165.0,2025,276.3,17.33,45.05,8.957654723127035,建準,32.82%,16.47%,27.72,2025-12,💎 強力關注,5.65,45.85,2421.TW,27.79,🚀 利潤擴張
15.46,1070.0,2025,583.0500000000001,16.97,13.93,27.52765629019809,萬潤,N/A,N/A,-3.04,2025-12,⚠️ 追價風險,12.1,29.69,6187.TWO,13.75,🧐 疑業外收益
2.65,63.4000015259,2025,93.14999999999999,16.95,22.61,10.209340020273753,碩網,N/A,N/A,5.66,2025-12,💎 強力關注,2.13,41.18,7547.TWO,11.11,🚀 利潤擴張
8.73,392.0,2025,277.35,16.86,24.54,21.200648999459165,立隆電,32.60%,21.55%,7.68,2025-12,⚪ 中性觀察,5.19,4.85,2472.TW,8.92,🚀 利潤擴張
1.42,24.25,2025,45.15,16.630000000000003,31.78,8.056478405315616,榮群,N/A,N/A,15.15,2025-12,💎 強力關注,1.09,208.57,8034.TWO,71.04,🚀 利潤擴張
4.48,41.5499992371,2025,128.25,16.619999999999997,32.54,4.859649033578948,建國,N/A,N/A,15.92,2025-12,💎 強力關注,2.91,20.75,5515.TW,28.4,🚀 利潤擴張
3.66,35.1500015259,2025,111.75,16.509999999999998,16.56,4.71812101018792,中再保,24.99%,21.14%,0.05,2025-12,💎 強力關注,2.0,-23.95,2851.TW,-7.87,🚀 利潤擴張
-1.4,16.8500003815,2025,-66.3,16.49,41.55,0.0,力銘,-4.13%,-22.91%,25.06,2025-12,⚪ 數據不足,-1.8,7.69,3593.TW,43.83,🚀 利潤擴張
8.68,120.0,2025,288.0,16.11,12.64,6.25,大江,N/A,N/A,-3.47,2025-12,💎 強力關注,5.89,16.0,8436.TWO,-3.22,🧐 疑業外收益
59.99,837.0,2025,2283.9,16.060000000000002,41.92,5.497175883357414,華碩,15.94%,4.63%,25.86,2025-12,💎 強力關注,44.63,11.41,2357.TW,23.74,🚀 利潤擴張
5.43,650.0,2025,193.04999999999998,15.95,43.01,50.505050505050505,華星光,N/A,N/A,27.06,2025-12,⚠️ 追價風險,3.73,37.64,4979.TWO,34.44,🚀 利潤擴張
2.18,31.2000007629,2025,71.25,15.929999999999998,28.24,6.568421213242106,祺驊,31.32%,10.89%,12.31,2025-12,💎 強力關注,1.28,26.73,1593.TWO,12.07,🚀 利潤擴張
-0.12,11.0,2025,-8.85,15.870000000000005,55.56,0.0,太欣,N/A,N/A,39.69,2025-12,⚪ 數據不足,-0.2,0.0,5302.TWO,22.1,🚀 利潤擴張
-0.09,28.2000007629,2025,-8.85,15.790000000000006,95.65,0.0,成信實業*-創,N/A,N/A,79.86,2025-12,⚪ 數據不足,-0.24,87.3,6969.TW,95.06,🚀 利潤擴張
-1.4,118.5,2025,-41.099999999999994,15.790000000000003,34.88,0.0,光環,8.38%,-32.45%,19.09,2025-12,⚪ 數據不足,-0.94,45.03,3234.TWO,19.64,🚀 利潤擴張
9.37,601.0,2025,308.85,15.79,24.18,29.18892666342885,日月光投控,19.52%,9.94%,8.39,2025-12,⚠️ 追價風險,5.99,11.64,3711.TW,7.92,🚀 利潤擴張
-0.59,0.0,2025,0.0,15.71,26.25,0.0,易威,41.11%,-18.36%,10.54,2025-12,⚪ 數據不足,-0.35,44.44,1799.TWO,12.53,🚀 利潤擴張
-0.99,30.0,2025,-49.95,15.649999999999999,16.81,0.0,業強,N/A,N/A,1.16,2025-12,⚪ 數據不足,-0.86,-22.86,6124.TWO,12.2,🚀 利潤擴張
21.72,1905.0,2025,653.4000000000001,15.249999999999993,75.21,43.732782369146,宜鼎,N/A,N/A,59.96,2025-12,⚠️ 追價風險,12.46,33.7,5289.TWO,41.37,🚀 利潤擴張
2.92,80.6999969482,2025,101.85,15.120000000000001,20.66,11.885124734639174,固緯,51.76%,18.42%,5.54,2025-12,💎 強力關注,2.0,26.58,2423.TW,4.13,🏰 高護城河
-0.4,20.6499996185,2025,-15.449999999999998,15.030000000000001,14.63,0.0,立軒,N/A,N/A,-0.4,2025-12,⚪ 數據不足,-0.31,16.13,6222.TWO,12.72,🧐 疑業外收益
66.26,2355.0,2025,2344.0499999999997,14.810000000000002,46.42,15.070071030908046,台積電,62.33%,54.00%,31.61,2025-12,✅ 穩健價值,46.75,51.8,2330.TW,36.39,🏰 高護城河
2.87,51.5,2025,111.75000000000001,14.71,17.48,6.912751677852348,聚和,N/A,N/A,2.77,2025-12,💎 強力關注,2.35,9.22,6509.TWO,4.39,🚀 利潤擴張
2.9,37.5,2025,0.0,14.329999999999998,11.54,0.0,輝創,N/A,N/A,-2.79,2025-12,⚪ 數據不足,2.02,-11.4,6722.TW,-0.96,🧐 疑業外收益
1.62,29.7000007629,2025,58.8,14.25,8.0,7.5765308068622454,福懋油,10.74%,5.38%,-6.25,2025-12,💎 強力關注,1.12,-6.67,1225.TW,-5.83,🧐 疑業外收益
2.08,0.0,2025,0.0,14.129999999999999,11.76,0.0,資拓宏宇,N/A,N/A,-2.37,2025-12,⚪ 數據不足,0.87,163.64,6614.TW,15.97,🧐 疑業外收益
14.61,174.0,2025,0.0,14.11,44.26,0.0,東聯互動,N/A,N/A,30.15,2025-12,⚪ 數據不足,11.58,75.19,7738.TWO,32.44,🚀 利潤擴張
9.28,717.0,2025,315.59999999999997,14.079999999999998,30.18,34.07794676806084,中砂,34.18%,15.49%,16.1,2025-12,⚠️ 追價風險,6.02,9.71,1560.TW,15.28,🚀 利潤擴張
2.56,43.4000015259,2025,31.95,13.940000000000005,56.1,20.375587570845074,致和證,N/A,N/A,42.16,2025-12,⚪ 中性觀察,1.17,-53.39,5864.TWO,-34.55,🚀 利潤擴張
2.67,62.0,2025,86.25,13.9,13.14,10.782608695652174,德勝,N/A,N/A,-0.76,2025-12,💎 強力關注,1.67,5.03,8048.TWO,-5.79,🧐 疑業外收益
1.8,20.3999996185,2025,47.55,13.89,25.87,6.435331109936909,欣陸,13.84%,7.24%,11.98,2025-12,💎 強力關注,0.92,-42.14,3703.TW,-3.98,🚀 利潤擴張
-0.06,24.4500007629,2025,-7.199999999999999,13.87,14.29,0.0,天瀚,N/A,N/A,0.42,2025-12,⚪ 數據不足,-0.19,-375.0,6225.TW,-19.16,🚀 利潤擴張
2.77,30.0499992371,2025,88.20000000000002,13.79,21.15,5.110544087942176,宣德,N/A,N/A,7.36,2025-12,💎 強力關注,1.54,-11.11,5457.TWO,11.53,🚀 利潤擴張
0.68,11.6999998093,2025,24.45,13.780000000000001,28.3,7.177913993435583,高雄銀,89.95%,32.37%,14.52,2025-12,💎 強力關注,0.49,28.21,2836.TW,13.69,🏰 高護城河
-2.24,7.6399998665,2025,-76.95,13.629999999999999,-9.8,0.0,燁興,-29.22%,-33.95%,-23.43,2025-12,⚪ 數據不足,-1.54,0.0,2007.TW,-17.76,🌑 雙重衰退
6.8,556.0,2025,215.39999999999998,13.499999999999998,22.08,38.71866295264624,亞泰金屬,N/A,N/A,8.58,2025-12,⚠️ 追價風險,4.14,-7.17,6727.TWO,-2.39,🚀 利潤擴張
1.56,46.7999992371,2025,47.25000000000001,13.469999999999999,10.87,14.85714261495238,合勤控,30.58%,1.57%,-2.6,2025-12,✅ 穩健價值,1.13,633.33,3704.TW,6.34,🧐 疑業外收益
3.43,0.0,2025,0.0,13.460000000000004,44.34,0.0,驊陞,N/A,N/A,30.88,2025-12,⚪ 數據不足,2.94,137.1,6272.TW,41.28,🚀 利潤擴張
-8.65,55.7999992371,2025,-262.95000000000005,13.46,6.63,0.0,泰鼎-KY,-13.35%,-27.74%,-6.83,2025-12,⚪ 數據不足,-4.9,31.27,4927.TW,-4.71,🧐 疑業外收益
23.26,375.5,2025,846.5999999999999,13.39,10.59,6.653082919914954,樺漢,N/A,N/A,-2.8,2025-12,💎 強力關注,17.04,28.02,6414.TW,-3.72,🧐 疑業外收益
6.25,244.0,2025,0.0,13.059999999999995,47.62,0.0,捷創科技,N/A,N/A,34.56,2025-12,⚪ 數據不足,3.21,56.59,7810.TWO,23.91,🚀 利潤擴張
0.61,24.8999996185,2025,13.05,12.78,25.0,28.62068921666667,富強鑫,N/A,N/A,12.22,2025-12,⚠️ 追價風險,0.27,-35.71,6603.TWO,9.61,🚀 利潤擴張
9.13,73.5999984741,2025,288.0,12.649999999999999,51.64,3.8333332538593754,必應,N/A,N/A,38.99,2025-12,💎 強力關注,6.5,68.94,6625.TW,33.28,🚀 利潤擴張
3.92,113.5,2025,124.20000000000002,12.46,17.71,13.707729468599032,瀚荃,N/A,N/A,5.25,2025-12,✅ 穩健價值,2.47,2.54,8103.TW,4.44,🚀 利潤擴張
5.51,282.0,2025,180.29999999999998,12.36,17.23,23.46089850249584,華通,18.70%,10.97%,4.87,2025-12,⚠️ 追價風險,3.61,9.06,2313.TW,4.46,🚀 利潤擴張
13.46,181.5,2025,449.54999999999995,12.29,22.25,6.056056056056057,實威,N/A,N/A,9.96,2025-12,💎 強力關注,8.34,24.85,8416.TWO,13.82,🚀 利潤擴張
2.42,77.1999969482,2025,87.44999999999999,12.260000000000002,19.21,13.24185196367067,英業達,5.21%,1.48%,6.95,2025-12,✅ 穩健價值,1.85,35.04,2356.TW,15.92,🚀 利潤擴張
2.12,41.3499984741,2025,44.25,12.180000000000007,94.5,14.016948635288134,彬台,13.52%,7.02%,82.32,2025-12,✅ 穩健價值,0.5,100.0,3379.TWO,71.69,🚀 利潤擴張
103.92,18500.0,2025,3595.8,12.18,52.82,77.17336893041882,信驊,N/A,N/A,40.64,2025-12,⚠️ 追價風險,72.23,67.72,5274.TWO,52.48,🚀 利潤擴張
3.44,21.7000007629,2025,186.0,11.849999999999994,66.99,1.7500000615241935,坤悅,N/A,N/A,55.14,2025-12,💎 強力關注,3.69,61.14,5206.TWO,56.94,🚀 利潤擴張
3.19,42.5499992371,2025,111.9,11.79,18.15,5.70375324894102,中鋼構,4.40%,2.40%,6.36,2025-12,💎 強力關注,2.27,13.5,2013.TW,10.09,🚀 利潤擴張
-0.57,17.2000007629,2025,-48.6,11.74,1.75,0.0,國光生,49.56%,23.11%,-9.99,2025-12,⚪ 數據不足,-1.09,-137.78,4142.TW,-35.17,🧐 疑業外收益
9.01,318.0,2025,374.69999999999993,11.590000000000003,41.67,12.730184147317855,京元電子,37.66%,28.21%,30.08,2025-12,✅ 穩健價值,7.17,52.55,2449.TW,27.65,🚀 利潤擴張
1.98,30.2000007629,2025,29.849999999999998,11.55,13.14,15.17587978035176,康和證,N/A,N/A,1.59,2025-12,✅ 穩健價值,1.11,-23.97,6016.TWO,-12.49,🚀 利潤擴張
-2.68,108.5,2025,-99.60000000000001,11.239999999999998,-20.55,0.0,蔚華科,16.83%,-125.48%,-31.79,2025-12,⚪ 數據不足,-1.73,-19.72,3055.TW,-39.2,🌑 雙重衰退
17.36,425.5,2025,610.05,11.120000000000001,31.09,10.46225719203344,華景電,N/A,N/A,19.97,2025-12,💎 強力關注,12.09,34.48,6788.TWO,19.97,🚀 利潤擴張
1.35,76.5,2025,41.1,10.98,15.38,27.91970802919708,鉅橡,N/A,N/A,4.4,2025-12,⚠️ 追價風險,0.81,-10.99,8074.TWO,4.12,🚀 利潤擴張
19.47,1325.0,2025,656.4,10.75,64.8,30.27879341864717,金像電,33.66%,24.30%,54.05,2025-12,⚠️ 追價風險,13.61,50.06,2368.TW,49.83,🚀 利潤擴張
19.45,518.0,2025,717.1500000000001,10.400000000000002,21.94,10.83455344070278,健鼎,25.47%,17.08%,11.54,2025-12,💎 強力關注,14.75,25.96,3044.TW,11.61,🚀 利潤擴張
1.25,36.5,2025,41.85,10.27,30.21,13.082437275985663,華經,11.41%,4.34%,19.94,2025-12,✅ 穩健價值,0.77,32.76,2468.TW,25.51,🚀 利潤擴張
0.93,36.75,2025,1.1999999999999993,10.25,-80.68,459.3750000000002,宏璟,61.03%,12.48%,-90.93,2025-12,⚠️ 追價風險,0.6,-55.04,2527.TW,-70.82,🏰 高護城河
1.59,0.0,2025,0.0,10.05,4.73,0.0,泰山,16.49%,2.59%,-5.32,2025-12,⚪ 數據不足,1.07,-16.8,1218.TW,-6.62,🧐 疑業外收益
11.61,287.5,2025,402.59999999999997,10.049999999999997,32.83,10.711624441132638,文曄,3.74%,1.75%,22.78,2025-12,💎 強力關注,8.11,41.71,3036.TW,19.83,🚀 利潤擴張
10.26,284.5,2025,384.15,9.989999999999998,30.29,11.108941819601718,臺慶科,28.44%,14.20%,20.3,2025-12,✅ 穩健價值,7.84,58.06,3357.TWO,20.14,🚀 利潤擴張
3.42,66.6999969482,2025,123.75,9.86,39.18,8.084848114933333,虹冠電,45.11%,18.06%,29.32,2025-12,✅ 穩健價值,2.65,26.19,3257.TW,22.45,🚀 利潤擴張
2.12,31.4500007629,2025,79.95,9.619999999999997,30.06,5.900562994915572,玉山金,91.14%,40.48%,20.44,2025-12,✅ 穩健價值,1.62,23.66,2884.TW,15.61,🏰 高護城河
0.03,12.25,2025,3.3,9.369999999999997,-25.0,55.68181818181818,首利,5.75%,-72.91%,-34.37,2025-12,⚠️ 追價風險,-0.05,-117.24,1471.TW,-27.03,🔄 轉虧為盈
6.47,67.5999984741,2025,232.95,9.21,5.37,4.352865323509337,東和鋼鐵,15.94%,10.83%,-3.84,2025-12,✅ 穩健價值,4.55,-0.44,2006.TW,-2.5,🧐 疑業外收益
13.04,353.0,2025,453.15000000000003,9.05,31.94,11.684872558755378,茂達,N/A,N/A,22.89,2025-12,✅ 穩健價值,9.27,24.31,6138.TWO,21.32,🚀 利潤擴張
1.9,32.8499984741,2025,68.39999999999999,9.04,13.1,7.20394703379386,華南金,97.25%,45.93%,4.06,2025-12,✅ 穩健價值,1.43,10.0,2880.TW,1.87,🏰 高護城河
-0.73,48.2000007629,2025,-7.05,8.95,6.41,0.0,攸泰科技,N/A,N/A,-2.54,2025-12,⚪ 數據不足,-0.1,79.17,6928.TW,5.88,🧐 疑業外收益
0.72,26.5499992371,2025,32.55,8.32,2.44,12.235022689907835,光譜,N/A,N/A,-5.88,2025-12,✅ 穩健價值,0.65,12.28,5381.TWO,-6.16,🧐 疑業外收益
9.97,81.3000030518,2025,383.4,8.3,10.9,3.180751293106417,力泰,N/A,N/A,2.6,2025-12,✅ 穩健價值,7.92,17.13,5520.TWO,3.98,🚀 利潤擴張
-1.54,3.2699999809,2025,-39.300000000000004,8.24,15.65,0.0,大略-KY,-7.81%,-65.06%,7.41,2025-12,⚪ 數據不足,-0.65,55.65,4804.TWO,8.04,🚀 利潤擴張
3.87,48.9500007629,2025,118.8,8.06,7.5,6.1805556518813125,宇智,N/A,N/A,-0.56,2025-12,✅ 穩健價值,2.27,14.07,6470.TWO,12.82,🧐 疑業外收益
7.93,100.0,2025,290.85,8.03,4.25,5.157297576070139,智冠,N/A,N/A,-3.78,2025-12,✅ 穩健價值,5.84,-5.4,5478.TWO,-8.2,🧐 疑業外收益
2.45,61.0,2025,74.1,8.0,28.92,12.348178137651823,華泰,15.35%,8.19%,20.92,2025-12,✅ 穩健價值,1.41,-2.16,2329.TW,19.58,🚀 利潤擴張
36.75,3840.0,2025,1360.5,7.960000000000001,49.96,42.33737596471885,健策,41.25%,31.26%,42.0,2025-12,⚠️ 追價風險,26.92,62.75,3653.TW,52.19,🚀 利潤擴張
19.63,192.0,2025,690.6,7.640000000000001,38.68,4.170286707211121,鼎翰,32.53%,8.38%,31.04,2025-12,✅ 穩健價值,13.9,23.16,3611.TWO,40.71,🚀 利潤擴張
4.74,46.75,2025,121.2,7.530000000000001,23.44,5.785891089108911,凌網,N/A,N/A,15.91,2025-12,✅ 穩健價值,2.82,-1.4,5212.TWO,17.89,🚀 利潤擴張
2.02,48.75,2025,59.1,7.41,25.64,12.373096446700508,東浦,30.40%,14.85%,18.23,2025-12,✅ 穩健價值,1.22,-0.64,3290.TWO,15.97,🚀 利潤擴張
-1.18,21.8500003815,2025,-45.89999999999999,7.279999999999999,6.35,0.0,矽瑪,15.28%,-5.62%,-0.93,2025-12,⚪ 數據不足,-1.0,11.5,3511.TWO,1.3,🧐 疑業外收益
0.75,39.7000007629,2025,25.95,7.18,4.35,22.947977319595374,華新,4.90%,-1.88%,-2.83,2025-12,⚠️ 追價風險,0.52,-41.67,1605.TW,-0.21,🧐 疑業外收益
48.08,1175.0,2025,1659.9,7.150000000000006,46.52,10.61810952467016,漢唐,17.19%,13.88%,39.37,2025-12,✅ 穩健價值,34.07,52.4,2404.TW,30.93,🚀 利潤擴張
6.58,672.0,2025,241.20000000000002,7.09,12.1,41.7910447761194,禾伸堂,17.62%,5.81%,5.01,2025-12,⚠️ 追價風險,4.75,5.79,3026.TW,5.39,🚀 利潤擴張
10.02,96.6999969482,2025,395.85,6.99,13.09,3.6642666520727545,生展,N/A,N/A,6.1,2025-12,✅ 穩健價值,8.62,28.46,8279.TWO,7.66,🚀 利潤擴張
6.64,234.5,2025,239.70000000000002,6.98,28.09,14.67459324155194,光寶科,21.72%,10.49%,21.11,2025-12,✅ 穩健價值,4.94,28.23,2301.TW,23.16,🚀 利潤擴張
1.66,28.7999992371,2025,52.5,6.709999999999999,-3.49,8.2285712106,樂斯科,N/A,N/A,-10.2,2025-12,✅ 穩健價值,0.99,3.13,6662.TWO,-7.37,🌑 雙重衰退
1.34,36.4000015259,2025,45.3,6.61,7.2,12.052980637715233,精聯,32.08%,2.52%,0.59,2025-12,✅ 穩健價值,0.94,10.59,3652.TW,0.48,🚀 利潤擴張
3.06,39.7999992371,2025,122.85000000000002,6.409999999999999,10.11,4.8595847664346765,上海商銀,N/A,N/A,3.7,2025-12,✅ 穩健價值,2.56,17.51,5876.TW,3.26,🚀 利潤擴張
-3.92,216.5,2025,-168.45000000000002,6.380000000000001,2.97,0.0,惠特,N/A,N/A,-3.41,2025-12,⚪ 數據不足,-3.69,7.98,6706.TW,38.55,🧐 疑業外收益
9.14,225.0,2025,355.8,6.300000000000001,18.59,9.485666104553118,元太,N/A,N/A,12.29,2025-12,✅ 穩健價值,8.17,75.65,8069.TWO,29.4,🚀 利潤擴張
9.9,109.5,2025,327.6,6.289999999999999,-2.0,5.013736263736263,軒郁,N/A,N/A,-8.29,2025-12,✅ 穩健價值,5.77,-23.43,6703.TWO,-15.54,🌑 雙重衰退
2.05,24.2999992371,2025,81.89999999999999,6.26,0.5,4.450549310824177,瑞智,17.17%,6.80%,-5.76,2025-12,✅ 穩健價值,1.5,2.8,4532.TW,-0.93,🧐 疑業外收益
6.4,606.0,2025,213.00000000000003,6.200000000000001,8.14,42.67605633802817,矽力*-KY,N/A,N/A,1.94,2025-12,⚠️ 追價風險,4.31,19.44,6415.TW,0.55,🚀 利潤擴張
6.0,74.6999969482,2025,151.04999999999998,6.09,-23.57,7.418073182542205,長虹,N/A,N/A,-29.66,2025-12,✅ 穩健價值,2.24,-17.65,5534.TW,-38.06,🌑 雙重衰退
8.43,107.0,2025,315.15000000000003,6.070000000000002,16.67,5.092812946216087,神基,31.02%,14.37%,10.6,2025-12,✅ 穩健價值,6.36,15.04,3005.TW,9.96,🚀 利潤擴張
0.42,32.2000007629,2025,15.75,5.880000000000001,7.69,30.66666739323809,台聯櫃,N/A,N/A,1.81,2025-12,⚠️ 追價風險,0.32,0.0,5601.TWO,1.76,🚀 利潤擴張
-1.74,4.9299998283,2025,-62.85000000000001,5.83,-12.99,0.0,再生-KY,-19.71%,-65.33%,-18.82,2025-12,⚪ 數據不足,-1.24,-18.1,1337.TW,-18.71,🌑 雙重衰退
2.6,39.0,2025,104.69999999999999,5.68,4.0,5.587392550143266,興農,29.22%,5.88%,-1.68,2025-12,✅ 穩健價值,2.07,6.7,1712.TW,-2.3,🧐 疑業外收益
4.78,48.6500015259,2025,173.55,5.67,7.03,4.204840235600692,擎邦,N/A,N/A,1.36,2025-12,✅ 穩健價值,3.44,-0.87,6122.TWO,-2.12,🚀 利潤擴張
2.31,15.8500003815,2025,70.80000000000001,5.66,-12.16,3.3580509282838977,太普高,25.16%,13.35%,-17.82,2025-12,✅ 穩健價值,1.21,-53.6,3284.TWO,-29.91,🌑 雙重衰退
3.18,0.0,2025,0.0,5.529999999999999,3.25,0.0,台航,46.23%,41.07%,-2.28,2025-12,⚪ 數據不足,2.36,0.43,2617.TW,-5.48,🧐 疑業外收益
7.34,213.0,2025,275.55,5.21,2.89,11.594991834512792,穩得,N/A,N/A,-2.32,2025-12,✅ 穩健價值,5.51,1.73,6761.TWO,2.55,🧐 疑業外收益
2.64,39.5999984741,2025,87.6,5.189999999999998,17.33,6.7808216565239725,群益證,N/A,N/A,12.14,2025-12,✅ 穩健價值,1.87,5.65,6005.TW,6.33,🚀 利潤擴張
