🚀 智能量化選股報告 - 2026-03-20
==========================================================================================

【🚀超級強勢】(數量: 127)
------------------------------------------------------------------------------------------
6568.TWO | 宏觀         | B6: 12.12% | DMA: 37.750 | 💎流入 | 🚀DMA趨勢+多頭強勢
6415.TW  | 矽力*-KY     | B6:  1.57% | DMA: 13.600 | 💎流入 | 🔥DMA金叉(起漲)
00936.TW | 台新永續高息中小   | B6:  1.36% | DMA:  0.398 | 💎流入 | 🔥DMA金叉(起漲)
5299.TWO | 杰力         | B6:  1.32% | DMA:  1.358 | 💎流入 | 🔥DMA金叉(起漲)
00929.TW | 復華台灣科技優息   | B6:  1.26% | DMA:  0.359 | 💎流入 | 🔥DMA金叉(起漲)
2838.TW  | 聯邦銀        | B6:  1.17% | DMA:  0.715 | 💎流入 | 📈5日穿20日(金叉)
5292.TW  | 華懋         | B6:  1.07% | DMA: -2.640 | 💎流入 | 🔥DMA金叉(起漲)
00881.TW | 國泰台灣科技龍頭   | B6:  1.02% | DMA:  2.099 | 💸流出 | 📈5日穿20日(金叉)
4722.TW  | 國精化        | B6:  0.89% | DMA:  7.150 | 💸流出 | 📈5日穿20日(金叉)
8255.TWO | 朋程         | B6:  0.81% | DMA:  0.190 | 💸流出 | 🔥DMA金叉(起漲)
4760.TWO | 勤凱         | B6:  0.69% | DMA: -1.170 | 💎流入 | 🔥DMA金叉(起漲)
3169.TWO | 亞信         | B6:  0.62% | DMA:  0.420 | 💎流入 | 📈5日穿20日(金叉)
1303.TW  | 南亞         | B6:  0.51% | DMA:  5.996 | 💎流入 | 📈5日穿20日(金叉)
3138.TW  | 耀登         | B6:  0.43% | DMA: 15.010 | 💎流入 | 📈5日穿20日(金叉)
00946.TW | 群益科技高息成長   | B6:  0.42% | DMA:  0.020 | 💎流入 | 🔥DMA金叉(起漲)
6706.TW  | 惠特         | B6:  0.39% | DMA: -1.670 | 💸流出 | 📈5日穿20日(金叉)
00985B.TW | 群益ESG投等債0-5 | B6:  0.31% | DMA:  0.059 | 💸流出 | 📈5日穿20日(金叉)
2108.TW  | 南帝         | B6:  0.20% | DMA:  0.755 | 💎流入 | 📈5日穿20日(金叉)
1595.TWO | 川寶         | B6:  0.10% | DMA:  0.296 | 💎流入 | 🔥DMA金叉(起漲)
2493.TW  | 揚博         | B6: -0.06% | DMA: -5.486 | 💎流入 | 🔥DMA金叉(起漲)
1597.TW  | 直得         | B6: -0.08% | DMA: -1.110 | 💎流入 | 🔥DMA金叉(起漲)
00963.TW | 中信全球高股息    | B6: -0.11% | DMA:  0.272 | 💸流出 | 📈5日穿20日(金叉)
4728.TWO | 雙美         | B6: -0.12% | DMA: -0.530 | 💸流出 | 🔥DMA金叉(起漲)
4904.TW  | 遠傳         | B6: -0.14% | DMA:  1.432 | 💎流入 | 📈5日穿20日(金叉)
0056.TW  | 元大高股息      | B6: -0.16% | DMA:  0.674 | 💸流出 | 📈5日穿20日(金叉)
5483.TWO | 中美晶        | B6: -0.16% | DMA: -1.241 | 💎流入 | 🔥DMA金叉(起漲)
3532.TW  | 台勝科        | B6: -0.17% | DMA:  1.244 | 💎流入 | 🔥DMA金叉(起漲)
3673.TW  | TPK-KY     | B6: -0.22% | DMA: -0.344 | 💎流入 | 📈5日穿20日(金叉)
2237.TWO | 華德動能       | B6: -0.23% | DMA: -0.241 | 💸流出 | 🔥DMA金叉(起漲)
2064.TWO | 晉椿         | B6: -0.24% | DMA:  0.034 | 💸流出 | 📈5日穿20日(金叉)
00735.TW | 國泰臺韓科技     | B6: -0.30% | DMA:  4.758 | 💎流入 | 📈5日穿20日(金叉)
9110.TW  | 越南控-DR     | B6: -0.33% | DMA:  0.006 | 💎流入 | 🔥DMA金叉(起漲)
1612.TW  | 宏泰         | B6: -0.59% | DMA: -0.715 | 💎流入 | 🔥DMA金叉(起漲)
TXF.TW   | TAIWAN FUTURES EXCHANGE TX | B6: -0.59% | DMA:1011.140 | 💎流入 | 📈5日穿20日(金叉)
2365.TW  | 昆盈         | B6: -0.69% | DMA: -1.556 | 💸流出 | 🔥DMA金叉(起漲)
7782.TWO | 光速火箭       | B6: -0.76% | DMA: -0.845 | 💸流出 | 🔥DMA金叉(起漲)
00941.TW | 中信上游半導體    | B6: -0.83% | DMA:  0.903 | 💎流入 | 📈5日穿20日(金叉)
4551.TW  | 智伸科        | B6: -0.85% | DMA:  0.240 | 💎流入 | 📈5日穿20日(金叉)
6138.TWO | 茂達         | B6: -0.92% | DMA: -4.270 | 💎流入 | 🔥DMA金叉(起漲)
2038.TW  | 海光         | B6: -0.93% | DMA: -0.110 | 💎流入 | 🔥DMA金叉(起漲)
5228.TWO | 鈺鎧         | B6: -0.94% | DMA: -0.606 | 💎流入 | 📈5日穿20日(金叉)
3357.TWO | 臺慶科        | B6: -0.96% | DMA: -3.350 | 💸流出 | 📈5日穿20日(金叉)
8011.TW  | 台通         | B6: -0.98% | DMA: -0.932 | 💸流出 | 📈5日穿20日(金叉)
3652.TW  | 精聯         | B6: -0.98% | DMA: -0.961 | 💸流出 | 🔥DMA金叉(起漲)
3014.TW  | 聯陽         | B6: -1.01% | DMA: -0.270 | 💎流入 | 📈5日穿20日(金叉)
6203.TWO | 海韻電        | B6: -1.01% | DMA: -1.648 | 💎流入 | 📈5日穿20日(金叉)
3623.TWO | 富晶通        | B6: -1.01% | DMA: -1.863 | 💸流出 | 📈5日穿20日(金叉)
2845.TW  | 遠東銀        | B6: -1.03% | DMA: -0.234 | 💸流出 | 📈5日穿20日(金叉)
1444.TW  | 力麗         | B6: -1.04% | DMA: -0.063 | 💎流入 | 🔥DMA金叉(起漲)
2356.TW  | 英業達        | B6: -1.07% | DMA: -1.405 | 💎流入 | 🔥DMA金叉(起漲)
6182.TWO | 合晶         | B6: -1.14% | DMA: -1.268 | 💎流入 | 🔥DMA金叉(起漲)
3059.TW  | 華晶科        | B6: -1.17% | DMA: -1.789 | 💎流入 | 🔥DMA金叉(起漲)
5344.TWO | 立衛         | B6: -1.39% | DMA: -0.542 | 💎流入 | 🔥DMA金叉(起漲)
5426.TWO | 振發         | B6: -1.40% | DMA: -0.328 | 💸流出 | 📈5日穿20日(金叉)
2034.TW  | 允強         | B6: -1.42% | DMA: -0.813 | 💎流入 | 🔥DMA金叉(起漲)
5487.TWO | 通泰         | B6: -1.46% | DMA: -1.094 | 💎流入 | 📈5日穿20日(金叉)
3289.TWO | 宜特         | B6: -1.47% | DMA:  2.558 | 💎流入 | 📈5日穿20日(金叉)
2492.TW  | 華新科        | B6: -1.47% | DMA: -2.480 | 💸流出 | 📈5日穿20日(金叉)
5302.TWO | 太欣         | B6: -1.48% | DMA:  0.033 | 💸流出 | 📈5日穿20日(金叉)
00949.TW | 復華日本龍頭     | B6: -1.62% | DMA:  0.108 | 💸流出 | 📈5日穿20日(金叉)
6578.TWO | 達邦蛋白       | B6: -1.69% | DMA: -1.031 | 💸流出 | 🔥DMA金叉(起漲)
2542.TW  | 興富發        | B6: -1.69% | DMA: -1.494 | 💎流入 | 🔥DMA金叉(起漲)
2327.TW  | 國巨*        | B6: -1.70% | DMA: -2.610 | 💸流出 | 📈5日穿20日(金叉)
2438.TW  | 翔耀         | B6: -1.80% | DMA: -0.369 | 💎流入 | 🔥DMA金叉(起漲)
6491.TW  | 晶碩         | B6: -1.95% | DMA: -5.170 | 💎流入 | 📈5日穿20日(金叉)
3041.TW  | 揚智         | B6: -2.03% | DMA: -1.726 | 💸流出 | 🔥DMA金叉(起漲)
7455.TWO | 樺緯物聯       | B6: -2.05% | DMA: -1.650 | 💸流出 | 📈5日穿20日(金叉)
3268.TWO | 海德威        | B6: -2.05% | DMA: -1.061 | 💸流出 | 🔥DMA金叉(起漲)
8074.TWO | 鉅橡         | B6: -2.09% | DMA:  0.574 | 💎流入 | 📈5日穿20日(金叉)
2633.TW  | 台灣高鐵       | B6: -2.11% | DMA: -0.922 | 💎流入 | 📈5日穿20日(金叉)
2441.TW  | 超豐         | B6: -2.11% | DMA: -4.424 | 💸流出 | 📈5日穿20日(金叉)
2484.TW  | 希華         | B6: -2.16% | DMA:  0.638 | 💎流入 | 📈5日穿20日(金叉)
1569.TWO | 濱川         | B6: -2.22% | DMA: -1.752 | 💎流入 | 📈5日穿20日(金叉)
6275.TWO | 元山         | B6: -2.31% | DMA: -2.313 | 💎流入 | 📈5日穿20日(金叉)
8032.TWO | 光菱         | B6: -2.33% | DMA: -1.739 | 💸流出 | 📈5日穿20日(金叉)
5493.TWO | 三聯         | B6: -2.40% | DMA: -4.232 | 💎流入 | 🔥DMA金叉(起漲)
3689.TWO | 湧德         | B6: -2.44% | DMA: -6.710 | 💎流入 | 🔥DMA金叉(起漲)
3141.TWO | 晶宏         | B6: -2.50% | DMA: -2.937 | 💎流入 | 📈5日穿20日(金叉)
6649.TWO | 台生材        | B6: -2.52% | DMA: -4.696 | 💎流入 | 🔥DMA金叉(起漲)
3556.TWO | 禾瑞亞        | B6: -2.55% | DMA:  0.743 | 💎流入 | 📈5日穿20日(金叉)
4912.TW  | 聯德控股-KY    | B6: -2.56% | DMA: -4.728 | 💎流入 | 📈5日穿20日(金叉)
6426.TW  | 統新         | B6: -2.57% | DMA: 24.590 | 💸流出 | 📈5日穿20日(金叉)
2881.TW  | 富邦金        | B6: -2.68% | DMA: -4.018 | 💎流入 | 📈5日穿20日(金叉)
8210.TW  | 勤誠         | B6: -2.69% | DMA:-43.420 | 💎流入 | 📈5日穿20日(金叉)
2007.TW  | 燁興         | B6: -2.77% | DMA: -0.169 | 💎流入 | 📈5日穿20日(金叉)
3058.TW  | 立德         | B6: -2.85% | DMA: -0.361 | 💎流入 | 🔥DMA金叉(起漲)
6585.TW  | 鼎基         | B6: -2.87% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
3558.TWO | 神準         | B6: -2.93% | DMA: -5.490 | 💸流出 | 📈5日穿20日(金叉)
5244.TW  | 弘凱         | B6: -2.97% | DMA: -2.144 | 💎流入 | 📈5日穿20日(金叉)
1101.TW  | 台泥         | B6: -2.98% | DMA: -0.664 | 💸流出 | 📈5日穿20日(金叉)
2401.TW  | 凌陽         | B6: -3.02% | DMA: -0.632 | 💸流出 | 📈5日穿20日(金叉)
6274.TWO | 台燿         | B6: -3.09% | DMA: -0.720 | 💎流入 | 📈5日穿20日(金叉)
7749.TW  | 意騰-KY      | B6: -3.11% | DMA:-19.330 | 💸流出 | 📈5日穿20日(金叉)
2454.TW  | 聯發科        | B6: -3.20% | DMA: 52.523 | 💎流入 | 📈5日穿20日(金叉)
3687.TWO | 歐買尬        | B6: -3.35% | DMA: -7.724 | 💎流入 | 🔥DMA金叉(起漲)
3312.TW  | 弘憶股        | B6: -3.42% | DMA: -3.829 | 💎流入 | 🔥DMA金叉(起漲)
1519.TW  | 華城         | B6: -3.48% | DMA: -8.720 | 💸流出 | 📈5日穿20日(金叉)
4401.TWO | 東隆興        | B6: -3.65% | DMA: -1.100 | 💎流入 | 📈5日穿20日(金叉)
3323.TWO | 加百裕        | B6: -3.69% | DMA: -3.348 | 💸流出 | 🔥DMA金叉(起漲)
2882.TW  | 國泰金        | B6: -3.69% | DMA: -3.428 | 💎流入 | 📈5日穿20日(金叉)
2208.TW  | 台船         | B6: -3.69% | DMA: -0.413 | 💎流入 | 📈5日穿20日(金叉)
4113.TWO | 聯上         | B6: -3.71% | DMA: -2.366 | 💸流出 | 🔥DMA金叉(起漲)
3257.TW  | 虹冠電        | B6: -3.74% | DMA: -7.344 | 💸流出 | 🔥DMA金叉(起漲)
2028.TW  | 威致         | B6: -3.85% | DMA: -0.659 | 💎流入 | 📈5日穿20日(金叉)
6698.TW  | 旭暉應材       | B6: -3.96% | DMA: -2.155 | 💎流入 | 📈5日穿20日(金叉)
3686.TW  | 達能         | B6: -3.97% | DMA: -0.571 | 💎流入 | 📈5日穿20日(金叉)
3152.TWO | 璟德         | B6: -3.98% | DMA:-12.200 | 💎流入 | 📈5日穿20日(金叉)
6980.TWO | 鐳洋科技       | B6: -4.42% | DMA: -0.490 | 💸流出 | 📈5日穿20日(金叉)
4571.TW  | 鈞興-KY      | B6: -4.46% | DMA: -9.220 | 💸流出 | 📈5日穿20日(金叉)
2375.TW  | 凱美         | B6: -4.51% | DMA: -9.150 | 💸流出 | 📈5日穿20日(金叉)
3625.TWO | 西勝         | B6: -4.60% | DMA: -2.011 | 💎流入 | 🔥DMA金叉(起漲)
3491.TWO | 昇達科        | B6: -4.70% | DMA:172.520 | 💎流入 | 📈5日穿20日(金叉)
2201.TW  | 裕隆         | B6: -4.78% | DMA: -2.654 | 💎流入 | 📈5日穿20日(金叉)
4157.TWO | 太景*-KY     | B6: -4.86% | DMA: -1.711 | 💎流入 | 📈5日穿20日(金叉)
8358.TWO | 金居         | B6: -4.97% | DMA:-18.360 | 💸流出 | 📈5日穿20日(金叉)
2397.TW  | 友通         | B6: -5.06% | DMA: -4.292 | 💸流出 | 📈5日穿20日(金叉)
3713.TWO | 新晶投控       | B6: -5.09% | DMA: -2.438 | 💸流出 | 📈5日穿20日(金叉)
2314.TW  | 台揚         | B6: -5.20% | DMA: -2.181 | 💎流入 | 🔥DMA金叉(起漲)
4915.TW  | 致伸         | B6: -5.28% | DMA: -5.264 | 💎流入 | 📈5日穿20日(金叉)
2252.TWO | 為昇科        | B6: -5.44% | DMA: -1.510 | 💎流入 | 🔥DMA金叉(起漲)
6269.TW  | 台郡         | B6: -5.73% | DMA: -2.862 | 💎流入 | 📈5日穿20日(金叉)
6982.TWO | 大井泵浦       | B6: -5.88% | DMA: -6.990 | 💸流出 | 📈5日穿20日(金叉)
2025.TW  | 千興         | B6: -6.13% | DMA: -1.097 | 💎流入 | 📈5日穿20日(金叉)
4609.TWO | 唐鋒         | B6: -6.23% | DMA: -0.531 | 💎流入 | 🔥DMA金叉(起漲)
2429.TW  | 銘旺科        | B6: -7.64% | DMA:-14.298 | 💸流出 | 🔥DMA金叉(起漲)
6535.TWO | 順藥         | B6: -7.98% | DMA:-22.370 | 💸流出 | 📈5日穿20日(金叉)
6949.TW  | 沛爾生醫-創     | B6: -8.10% | DMA: 56.030 | 💸流出 | 📈5日穿20日(金叉)
1536.TW  | 和大         | B6: -8.18% | DMA: -6.068 | 💎流入 | 📈5日穿20日(金叉)
9921.TW  | 巨大         | B6: -8.27% | DMA:-13.094 | 💸流出 | 📈5日穿20日(金叉)
8249.TW  | 菱光         | B6: -8.48% | DMA: -4.267 | 💸流出 | 📈5日穿20日(金叉)
1590.TW  | 亞德客-KY     | B6: -8.72% | DMA:-58.440 | 💎流入 | 📈5日穿20日(金叉)
7752.TWO | 世紀樺欣       | B6: -8.93% | DMA:-10.576 | 💸流出 | 📈5日穿20日(金叉)
3545.TW  | 敦泰         | B6: -8.95% | DMA: -7.314 | 💸流出 | 📈5日穿20日(金叉)
1587.TW  | 吉茂         | B6: -8.96% | DMA: -8.410 | 💸流出 | 📈5日穿20日(金叉)
4563.TWO | 百德         | B6: -9.15% | DMA: -7.336 | 💸流出 | 📈5日穿20日(金叉)
1319.TW  | 東陽         | B6: -9.19% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
3609.TWO | 三一東林       | B6: -9.27% | DMA: -6.119 | 💸流出 | 📈5日穿20日(金叉)
2072.TWO | 世紀風電       | B6: -9.67% | DMA:-25.110 | 💸流出 | 📈5日穿20日(金叉)
6863.TW  | 永道-KY      | B6:-10.11% | DMA:-17.844 | 💎流入 | 📈5日穿20日(金叉)
8489.TWO | 三貝德        | B6:-14.19% | DMA: -9.882 | 💸流出 | 🔥DMA金叉(起漲)
1538.TW  | 正峰         | B6:-17.45% | DMA: -6.219 | 💎流入 | 📈5日穿20日(金叉)
4416.TWO | 三圓         | B6:-28.09% | DMA:-10.612 | 💸流出 | 📈5日穿20日(金叉)

【🔥高檔警戒】(數量: 138)
------------------------------------------------------------------------------------------
3054.TW  | 立萬利        | B6: 53.92% | DMA: 31.881 | 💎流入 | 🧨瘋狗浪(極限)
6983.TWO | 華洋精機       | B6: 45.39% | DMA:179.480 | 💎流入 | 🧨瘋狗浪(極限)
5386.TWO | 青雲         | B6: 41.70% | DMA:182.240 | 💎流入 | 🧨瘋狗浪(極限)
6715.TW  | 嘉基         | B6: 41.49% | DMA:137.602 | 💎流入 | 🧨瘋狗浪(極限)
2426.TW  | 鼎元         | B6: 38.03% | DMA: 10.901 | 💎流入 | 🧨瘋狗浪(極限)
6217.TWO | 中探針        | B6: 37.53% | DMA: 60.232 | 💎流入 | 🧨瘋狗浪(極限)
00715L.TW | 期街口布蘭特正2   | B6: 35.95% | DMA: 22.503 | 💎流入 | 🧨瘋狗浪(極限)
4973.TWO | 廣穎         | B6: 35.80% | DMA: 19.545 | 💎流入 | 🧨瘋狗浪(極限)
6141.TW  | 柏承         | B6: 35.76% | DMA:  7.855 | 💎流入 | 🧨瘋狗浪(極限)
4960.TW  | 誠美材        | B6: 34.92% | DMA:  7.031 | 💎流入 | 🧨瘋狗浪(極限)
6907.TWO | 雅特力-KY     | B6: 33.17% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
3093.TWO | 港建*        | B6: 30.84% | DMA: 12.737 | 💎流入 | 🧨瘋狗浪(極限)
8271.TW  | 宇瞻         | B6: 29.71% | DMA: 41.940 | 💎流入 | 🧨瘋狗浪(極限)
2485.TW  | 兆赫         | B6: 27.61% | DMA: 22.513 | 💎流入 | 🧨瘋狗浪(極限)
6861.TW  | 睿生光電       | B6: 27.27% | DMA: 63.886 | 💸流出 | 🧨瘋狗浪(極限)
3555.TWO | 博士旺        | B6: 26.18% | DMA: 53.412 | 💎流入 | 🧨瘋狗浪(極限)
2243.TW  | 宏旭-KY      | B6: 25.25% | DMA:  3.904 | 💎流入 | 🧨瘋狗浪(極限)
1735.TW  | 日勝化        | B6: 23.95% | DMA:  5.895 | 💎流入 | 🧨瘋狗浪(極限)
1785.TWO | 光洋科        | B6: 23.77% | DMA: 18.166 | 💎流入 | 🧨瘋狗浪(極限)
5289.TWO | 宜鼎         | B6: 23.68% | DMA:286.640 | 💎流入 | 🧨瘋狗浪(極限)
6683.TWO | 雍智科技       | B6: 23.18% | DMA:430.100 | 💸流出 | 🧨瘋狗浪(極限)
4949.TW  | 有成精密       | B6: 22.09% | DMA: 15.022 | 💎流入 | 🧨瘋狗浪(極限)
3260.TWO | 威剛         | B6: 22.07% | DMA: 74.011 | 💎流入 | 🧨瘋狗浪(極限)
6187.TWO | 萬潤         | B6: 22.04% | DMA:197.700 | 💎流入 | 🧨瘋狗浪(極限)
6727.TWO | 亞泰金屬       | B6: 20.91% | DMA: 57.380 | 💎流入 | 🧨瘋狗浪(極限)
3498.TWO | 陽程         | B6: 20.77% | DMA: 14.381 | 💸流出 | 🧨瘋狗浪(極限)
00642U.TW | 期元大S&P石油   | B6: 20.59% | DMA:  6.945 | 💎流入 | 🧨瘋狗浪(極限)
1711.TW  | 永光         | B6: 20.38% | DMA:  8.595 | 💎流入 | 🧨瘋狗浪(極限)
6515.TW  | 穎崴         | B6: 20.20% | DMA:1903.300 | 💎流入 | 🧨瘋狗浪(極限)
3437.TW  | 榮創         | B6: 20.09% | DMA:  3.516 | 💸流出 | 🧨瘋狗浪(極限)
7730.TW  | 暉盛-創       | B6: 19.86% | DMA: 29.074 | 💎流入 | 🔥高檔轉折(警示)
6830.TW  | 汎銓         | B6: 19.43% | DMA:139.020 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6103.TWO | 合邦         | B6: 19.39% | DMA:  6.797 | 💎流入 | 🔥高檔轉折(警示)
7751.TWO | 竑騰         | B6: 19.09% | DMA:398.780 | 💎流入 | 🔥高檔轉折(警示)
3645.TW  | 達邁         | B6: 19.05% | DMA: 15.636 | 💎流入 | 🔥高檔轉折(警示)
8472.TWO | 夠麻吉        | B6: 19.01% | DMA:  8.162 | 💎流入 | 🔥高檔轉折(警示)
6640.TWO | 均華         | B6: 18.67% | DMA:202.360 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3036.TW  | 文曄         | B6: 18.15% | DMA: 62.330 | 💎流入 | 🔥高檔轉折(警示)
7712.TWO | 博盛半導體      | B6: 17.80% | DMA: 24.486 | 💎流入 | 🔥高檔轉折(警示)
8039.TW  | 台虹         | B6: 17.32% | DMA: 22.032 | 💸流出 | 🔥高檔轉折(警示)
3163.TWO | 波若威        | B6: 17.20% | DMA:279.490 | 💸流出 | 🔥高檔轉折(警示)
6574.TWO | 霈方         | B6: 16.77% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
4764.TW  | 雙鍵         | B6: 16.76% | DMA: 24.130 | 💸流出 | 🔥高檔轉折(警示)
6223.TWO | 旺矽         | B6: 16.70% | DMA:736.800 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3066.TWO | 李洲         | B6: 16.67% | DMA:  3.528 | 💎流入 | 🔥高檔轉折(警示)
5351.TWO | 鈺創         | B6: 16.63% | DMA:  8.771 | 💎流入 | 🔥高檔轉折(警示)
3167.TW  | 大量         | B6: 16.39% | DMA: 77.490 | 💸流出 | 🔥高檔轉折(警示)
7781.TWO | 昕力資*       | B6: 16.23% | DMA:  8.481 | 💎流入 | 🔥高檔轉折(警示)
8064.TWO | 東捷         | B6: 16.05% | DMA:  6.634 | 💎流入 | 🔥高檔轉折(警示)
6456.TW  | GIS-KY     | B6: 15.97% | DMA: 13.973 | 💎流入 | 🔥高檔轉折(警示)
6531.TW  | 愛普*        | B6: 15.95% | DMA: 49.160 | 💎流入 | 🔥高檔轉折(警示)
6226.TW  | 光鼎         | B6: 15.70% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
8240.TWO | 華宏         | B6: 15.57% | DMA:  6.642 | 💎流入 | 🔥高檔轉折(警示)
6246.TWO | 臺龍         | B6: 14.92% | DMA:  1.743 | 💎流入 | 🔥高檔轉折(警示)
3037.TW  | 欣興         | B6: 14.89% | DMA:137.750 | 💎流入 | 🔥高檔轉折(警示)
6894.TWO | 衛司特        | B6: 14.87% | DMA: 73.420 | 💎流入 | 🔥高檔轉折(警示)
6874.TWO | 倍力         | B6: 14.85% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
3131.TWO | 弘塑         | B6: 14.74% | DMA:282.000 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3563.TW  | 牧德         | B6: 14.67% | DMA:124.590 | 💎流入 | 🔥高檔轉折(警示)
8112.TW  | 至上         | B6: 14.54% | DMA:  8.676 | 💎流入 | 🔥高檔轉折(警示)
3049.TW  | 精金         | B6: 14.48% | DMA:  4.003 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1309.TW  | 台達化        | B6: 14.42% | DMA:  2.885 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4956.TW  | 光鋐         | B6: 14.39% | DMA:  5.626 | 💎流入 | 🔥高檔轉折(警示)
6532.TWO | 瑞耘         | B6: 14.06% | DMA:  8.586 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1310.TW  | 台苯         | B6: 14.02% | DMA:  2.068 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6291.TWO | 沛亨         | B6: 13.90% | DMA: 77.090 | 💸流出 | 🔥高檔轉折(警示)
4919.TW  | 新唐         | B6: 13.87% | DMA: 22.206 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9136.TW  | 巨騰-DR      | B6: 13.83% | DMA:  1.207 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3675.TWO | 德微         | B6: 13.75% | DMA: 36.880 | 💸流出 | 🔥高檔轉折(警示)
3576.TW  | 聯合再生       | B6: 13.75% | DMA:  7.962 | 💸流出 | 🔥高檔轉折(警示)
6451.TW  | 訊芯-KY      | B6: 13.55% | DMA: 45.390 | 💎流入 | 🔥高檔轉折(警示)
6225.TW  | 天瀚         | B6: 13.49% | DMA:  3.987 | 💎流入 | 🔥高檔轉折(警示)
3702.TW  | 大聯大        | B6: 13.45% | DMA: 13.474 | 💎流入 | 🔥高檔轉折(警示)
4577.TWO | 達航科技       | B6: 13.44% | DMA: 23.826 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
2451.TW  | 創見         | B6: 13.43% | DMA: 24.230 | 💸流出 | 🔥高檔轉折(警示)
6197.TW  | 佳必琪        | B6: 13.10% | DMA: 23.230 | 💎流入 | 🔥高檔轉折(警示)
1582.TW  | 信錦         | B6: 13.07% | DMA: 16.504 | 💸流出 | 🔥高檔轉折(警示)
4542.TWO | 科嶠         | B6: 13.06% | DMA: 47.382 | 💎流入 | 🔥高檔轉折(警示)
3030.TW  | 德律         | B6: 13.02% | DMA: 52.490 | 💎流入 | 🔥高檔轉折(警示)
2399.TW  | 映泰         | B6: 13.01% | DMA:  2.414 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2337.TW  | 旺宏         | B6: 11.32% | DMA: 32.664 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3171.TWO | 炎洲流通       | B6:  8.83% | DMA:  6.364 | 💎流入 | 🔥高檔轉折(警示)
1305.TW  | 華夏         | B6:  8.50% | DMA:  1.805 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2393.TW  | 億光         | B6:  7.46% | DMA:  6.178 | 💎流入 | 🔥高檔轉折(警示)
8215.TW  | 明基材        | B6:  7.04% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
2369.TW  | 菱生         | B6:  5.61% | DMA:  1.906 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4991.TWO | 環宇-KY      | B6:  5.47% | DMA: 75.670 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
5452.TWO | 佶優         | B6:  5.36% | DMA:  2.455 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6831.TW  | 邁科         | B6:  5.16% | DMA: 33.640 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2851.TW  | 中再保        | B6:  4.71% | DMA:  1.661 | 💎流入 | 🔥高檔轉折(警示)
3086.TWO | 華義         | B6:  4.45% | DMA: 18.650 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6547.TWO | 高端疫苗       | B6:  4.42% | DMA:  1.894 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6465.TWO | 威潤         | B6:  4.29% | DMA:  1.104 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9929.TW  | 秋雨         | B6:  3.92% | DMA:  0.665 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4905.TWO | 台聯電        | B6:  3.36% | DMA:  4.812 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2376.TW  | 技嘉         | B6:  3.26% | DMA: -0.020 | 💎流入 | 🔥高檔轉折(警示)
00988A.TW | 主動統一全球創新   | B6:  2.57% | DMA:  1.626 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6127.TWO | 九豪         | B6:  2.48% | DMA:  0.911 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3023.TW  | 信邦         | B6:  2.16% | DMA: 21.310 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6672.TW  | 騰輝電子-KY    | B6:  1.83% | DMA:  4.000 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2472.TW  | 立隆電        | B6:  1.81% | DMA:  1.750 | 💎流入 | 🔥高檔轉折(警示)
2323.TW  | 中環         | B6:  1.63% | DMA:  0.288 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2388.TW  | 威盛         | B6:  1.21% | DMA: -1.815 | 💎流入 | ⚠️高檔過熱
3158.TWO | 嘉實         | B6:  1.18% | DMA:  0.766 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3234.TWO | 光環         | B6:  1.09% | DMA: 18.180 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6163.TWO | 華電網        | B6:  1.07% | DMA: -4.334 | 💎流入 | ⚠️高檔過熱
