eps,prev_eps_yoy,prev_rev_yoy,name,symbol,pe,price,expansion,est_price,eps_yoy,rev_yoy,om,advice,prev_eps,gm,date,status,prev_year
-0.75,-373.33,-48.0,東華,1418.TW,0.0,17.3999996185,-104.86,-87.00000000000001,-9.09,95.77,-991.43%,⚪ 數據不足,-1.29,208.69%,2026-03,🏰 高護城河,2025
4.08,-3.09,11.58,豆府,2752.TWO,4.764468371467026,177.0,-105.65,557.25,6.25,111.9,11.29%,⚪ 中性觀察,15.04,52.30%,2026-03,🏰 高護城河,2025
1.13,-92.76,-15.8,材料*-KY,4763.TW,3.0940437914796237,49.3499984741,-106.18,239.25,-94.5,11.68,50.09%,⚪ 中性觀察,6.1,57.83%,2026-03,🏰 高護城河,2025
30.05,144.7,32.13,威剛,3260.TWO,5.870206489675517,398.0,-106.47000000000003,1017.0,1706.79,1813.26,35.36%,⚪ 中性觀察,23.18,48.37%,2026-03,⚠️ 獲利稀釋,2025
0.34,34.17,84.93,佳穎,3310.TWO,7.5357535753575355,68.5,-107.1,136.35,-84.96,22.14,5.55%,⚪ 中性觀察,3.39,21.56%,2026-03,📉 獲利侵蝕,2025
1.63,24.77,30.53,聯策,6658.TW,45.2316076294278,166.0,-107.41000000000003,55.04999999999999,328.95,436.36,N/A,❌ 暫避觀望,1.38,N/A,2026-03,⚠️ 獲利稀釋,2025
0.32,-47.64,-0.53,喬福,1540.TW,9.142857506142857,19.2000007629,-107.52,31.5,-36.0,71.52,N/A,⚪ 中性觀察,1.11,N/A,2026-03,📉 獲利侵蝕,2025
0.29,-35.61,0.37,科妍,1786.TW,9.720981972566964,43.5499992371,-107.71000000000001,67.2,-63.29,44.42,19.86%,⚪ 中性觀察,2.24,75.32%,2026-03,🏰 高護城河,2025
2.82,12.8,19.44,優群,3217.TWO,4.199735449735449,127.0,-109.0,453.6,-4.73,104.27,28.69%,⚪ 中性觀察,12.69,49.95%,2026-03,📉 獲利侵蝕,2025
14.68,-26.31,27.91,印能科技,7734.TWO,27.899404962389134,2485.0,-109.34,1336.05,43.77,153.11,N/A,❌ 暫避觀望,33.5,N/A,2026-03,⚠️ 獲利稀釋,2025
1.64,0.0,19.26,虎門科技,6791.TWO,9.11111111111111,102.5,-109.71,168.75,78.26,187.97,N/A,⚪ 中性觀察,4.16,N/A,2026-03,⚠️ 獲利稀釋,2025
-0.39,-14.62,-15.0,欣大健康,4198.TWO,0.0,49.7999992371,-109.91999999999999,-74.55000000000001,-14.71,95.21,-23.61%,⚪ 數據不足,-1.96,30.43%,2026-03,📉 獲利侵蝕,2025
2.36,0.9,4.37,大車隊,2640.TWO,6.953195319531954,154.5,-110.06,333.29999999999995,9.77,119.83,21.47%,⚪ 中性觀察,9.01,51.63%,2026-03,🏰 高護城河,2025
1.39,51.69,-15.61,璟德,3152.TWO,8.40030616150019,219.5,-110.48,391.95000000000005,-4.79,105.69,18.21%,⚪ 中性觀察,9.42,44.03%,2026-03,📉 獲利侵蝕,2025
1.01,-8.36,35.45,伯特光,6859.TWO,17.48878923766816,117.0,-110.68,100.35000000000001,-46.56,64.12,N/A,❌ 暫避觀望,2.86,N/A,2026-03,📉 獲利侵蝕,2025
8.44,-4.02,8.21,瑞昱,2379.TW,9.175138334834642,713.0,-111.19,1165.6499999999999,-9.48,101.71,8.88%,⚪ 中性觀察,28.77,48.08%,2026-03,📉 獲利侵蝕,2025
0.37,1.74,2.75,台灣高鐵,2633.TW,8.524590163934425,26.0,-111.27,45.75000000000001,12.12,123.39,38.82%,⚪ 中性觀察,1.17,43.22%,2026-03,⚠️ 獲利稀釋,2025
0.45,-49.5,-0.63,力特,3051.TW,9.26086923352174,21.2999992371,-111.60000000000001,34.5,2.33,113.93,15.38%,⚪ 中性觀察,1.01,33.67%,2026-03,⚠️ 獲利稀釋,2025
0.87,-80.85,-74.75,永信建,5508.TWO,6.545225938957287,52.0999984741,-112.39,119.39999999999999,-35.56,76.83,N/A,⚪ 中性觀察,3.07,N/A,2026-03,📉 獲利侵蝕,2025
3.56,-15.13,1.32,台灣精銳,4583.TW,14.695830485304171,430.0,-112.84,438.9,-14.42,98.42,30.40%,⚪ 中性觀察,12.0,51.18%,2026-03,🏰 高護城河,2025
0.54,23.44,15.91,凌網,5212.TWO,5.749385655663392,46.7999992371,-112.86,122.09999999999998,12.5,125.36,N/A,⚪ 中性觀察,4.74,N/A,2026-03,⚠️ 獲利稀釋,2025
-0.04,-116.36,-98.98,豐謙,5523.TWO,0.0,30.3500003815,-113.7,-3.9000000000000004,-100.0,13.7,N/A,⚪ 數據不足,-0.09,N/A,2026-03,📉 獲利侵蝕,2025
4.7,5.64,22.33,凡甲,3526.TWO,6.297348484848484,266.0,-113.8,633.6,14.99,128.79,32.41%,⚪ 中性觀察,16.97,48.09%,2026-03,⚠️ 獲利稀釋,2025
1.16,24.55,1.91,雅特力-KY,6907.TWO,0.0,178.0,-113.94999999999999,0.0,289.29,403.24,N/A,⚪ 數據不足,2.08,N/A,2026-03,⚠️ 獲利稀釋,2025
2.8,44.26,30.15,東聯互動,7738.TWO,4.495463293923563,163.5,-114.82000000000001,545.5500000000001,2.94,117.76,N/A,⚪ 中性觀察,14.61,N/A,2026-03,⚠️ 獲利稀釋,2025
1.83,-48.04,-3.05,伯鑫,6904.TWO,10.008169934640522,122.5,-114.91999999999999,183.6,50.0,164.92,N/A,⚪ 中性觀察,5.44,N/A,2026-03,⚠️ 獲利稀釋,2025
0.52,-207.69,10.12,李洲,3066.TWO,0.0,23.5499992371,-115.12,-67.35000000000001,154.74,269.86,-18.85%,⚪ 數據不足,-1.4,38.23%,2026-03,🔄 轉虧為盈,2025
2.59,-28.5,-16.33,潤泰全,2915.TW,2.5077399718222027,56.7000007629,-115.60000000000001,339.15,-18.06,97.54,5.98%,⚪ 中性觀察,9.29,58.30%,2026-03,🏰 高護城河,2025
0.05,0.0,4.11,景岳,3164.TW,13.347457627118642,15.75,-116.14000000000001,17.700000000000003,-73.68,42.46,N/A,⚪ 中性觀察,0.66,N/A,2026-03,📉 獲利侵蝕,2025
5.04,2.75,5.21,王品,2727.TW,5.5677655677655675,228.0,-117.19999999999999,614.25,14.09,131.29,7.36%,⚪ 中性觀察,16.02,47.07%,2026-03,⚠️ 獲利稀釋,2025
0.25,-38.61,1.19,訊聯,1784.TWO,23.25396764845238,58.5999984741,-117.75,37.8,-17.86,99.89,-0.97%,❌ 暫避觀望,1.02,56.51%,2026-03,🏰 高護城河,2025
6.06,-11.08,3.26,晶碩,6491.TW,7.252851711026616,381.5,-118.16000000000001,789.0,-3.51,114.65,N/A,⚪ 中性觀察,20.87,N/A,2026-03,📉 獲利侵蝕,2025
1.39,20.95,16.33,叡揚,6752.TWO,5.526315702179634,96.5999984741,-119.32,262.2,0.0,119.32,N/A,⚪ 中性觀察,7.41,N/A,2026-03,📉 獲利侵蝕,2025
15.17,-1.14,12.32,聯發科,2454.TW,26.980652032424118,4560.0,-119.82,2535.1499999999996,-17.75,102.07,14.55%,❌ 暫避觀望,66.16,46.13%,2026-03,📉 獲利侵蝕,2025
1.34,66.87,27.6,創惟,6104.TWO,5.867014341590613,90.0,-119.94,230.1,-42.98,76.96,N/A,⚪ 中性觀察,5.62,N/A,2026-03,📉 獲利侵蝕,2025
0.27,58.93,30.1,德鴻,6910.TWO,5.207468958817427,25.1000003815,-120.44,72.30000000000001,-15.62,104.82,N/A,⚪ 中性觀察,2.0,N/A,2026-03,📉 獲利侵蝕,2025
-1.32,35.27,-45.74,華軒,2740.TWO,0.0,32.1500015259,-120.76,-137.1,-120.75,0.01,-45.63%,⚪ 數據不足,-3.19,41.62%,2026-03,📉 獲利侵蝕,2025
0.65,18.9,16.68,創威,6530.TWO,18.838174907012448,90.8000030518,-121.67,72.30000000000001,41.3,162.97,N/A,❌ 暫避觀望,1.95,N/A,2026-03,⚠️ 獲利稀釋,2025
-0.27,-55.26,28.45,嘉雨思-創,6921.TW,119.60784313725493,61.0,-121.88,7.649999999999999,-175.0,-53.12,N/A,❌ 暫避觀望,0.35,N/A,2026-03,🌑 雙重衰退,2025
7.0,60.48,62.42,竑騰,7751.TWO,28.16195630386851,1405.0,-121.99000000000001,748.35,74.56,196.55,N/A,❌ 暫避觀望,20.5,N/A,2026-03,⚠️ 獲利稀釋,2025
0.9,-87.49,-34.5,倉和,6538.TWO,74.9496981891348,372.5,-122.89,74.55,-12.87,110.02,N/A,❌ 暫避觀望,1.15,N/A,2026-03,📉 獲利侵蝕,2025
1.82,-12.45,-4.66,裕融,9941.TW,4.247787531186882,81.5999984741,-123.75,288.15000000000003,-7.91,115.84,N/A,⚪ 中性觀察,7.68,N/A,2026-03,📉 獲利侵蝕,2025
0.19,-23.57,-29.66,長虹,5534.TW,7.838125503099041,73.5999984741,-124.1,140.85000000000002,-79.31,44.79,N/A,⚪ 中性觀察,6.0,N/A,2026-03,📉 獲利侵蝕,2025
0.44,-10.33,7.33,常廣,6730.TWO,6.064638710741446,31.8999996185,-124.7,78.89999999999999,-18.52,106.18,N/A,⚪ 中性觀察,2.14,N/A,2026-03,📉 獲利侵蝕,2025
1.05,-10.32,-2.6,新巨,2420.TW,5.732484076433121,54.0,-124.86,141.3,2.97,127.83,35.64%,⚪ 中性觀察,3.91,49.30%,2026-03,⚠️ 獲利稀釋,2025
-0.38,46.94,15.28,基亞,3176.TWO,0.0,36.5,-124.99,-9.600000000000001,-151.35,-26.36,-48.58%,⚪ 數據不足,-0.78,56.72%,2026-03,🏰 高護城河,2025
1.7,84.62,19.6,日成-KY,4807.TW,0.0,28.0,-125.00999999999999,-3.4499999999999997,644.0,769.01,4.68%,⚪ 數據不足,-0.24,18.47%,2026-03,🔄 轉虧為盈,2025
0.95,-18.72,3.86,科定,6655.TW,13.550884955752213,122.5,-127.46000000000001,135.6,20.78,148.24,N/A,⚪ 中性觀察,3.92,N/A,2026-03,⚠️ 獲利稀釋,2025
-0.24,41.67,5.58,新零售,3085.TWO,0.0,11.9499998093,-127.63,-23.400000000000002,-41.18,86.45,-74.64%,⚪ 數據不足,-0.56,73.88%,2026-03,🏰 高護城河,2025
1.76,-42.92,-5.55,捷流閥業,4580.TWO,6.180981478075154,80.5999984741,-127.81999999999996,195.6,170.77,298.59,12.43%,⚪ 中性觀察,5.03,31.57%,2026-03,⚠️ 獲利稀釋,2025
0.76,-29.79,-12.98,前鼎,4908.TWO,44.920318725099605,225.5,-127.85000000000001,75.3,1.33,129.18,17.75%,❌ 暫避觀望,1.98,46.40%,2026-03,⚠️ 獲利稀釋,2025
21.37,-15.21,12.28,嘉澤,3533.TW,9.57139417288707,1590.0,-128.04,2491.8,5.34,133.38,29.92%,⚪ 中性觀察,70.17,51.54%,2026-03,🏰 高護城河,2025
2.97,-14.93,-1.34,耕興,6146.TWO,6.617375231053605,179.0,-128.85,405.75,4.21,133.06,N/A,⚪ 中性觀察,10.77,N/A,2026-03,⚠️ 獲利稀釋,2025
9.3,10.48,7.16,寶雅,5904.TWO,1.0073234976633962,72.9000015259,-129.17000000000002,1085.5500000000002,24.33,153.5,N/A,⚪ 中性觀察,29.54,N/A,2026-03,⚠️ 獲利稀釋,2025
1.08,7.23,27.05,創為精密,6899.TWO,5.637198447083811,49.0999984741,-129.32000000000002,130.65,3.92,133.24,N/A,⚪ 中性觀察,3.59,N/A,2026-03,⚠️ 獲利稀釋,2025
0.16,79.17,14.52,友霖,4166.TWO,12.539682943333332,23.7000007629,-130.9,28.35,-30.43,100.47,23.50%,⚪ 中性觀察,0.9,60.10%,2026-03,🏰 高護城河,2025
15.38,51.69,29.17,新代,7750.TW,21.65745856353591,1960.0,-131.37,1357.5,103.4,234.77,N/A,❌ 暫避觀望,35.12,N/A,2026-03,⚠️ 獲利稀釋,2025
0.38,-25.66,-3.02,詮欣,6205.TW,12.74633107696017,60.7999992371,-132.45,71.55,-45.71,86.74,N/A,⚪ 中性觀察,2.0,N/A,2026-03,📉 獲利侵蝕,2025
0.58,56.47,2.24,立積,4968.TW,19.47483588621444,89.0,-132.72000000000003,68.55000000000001,107.14,239.86,N/A,❌ 暫避觀望,2.66,N/A,2026-03,⚠️ 獲利稀釋,2025
0.7,382.35,12.01,同亨,5490.TWO,5.609755928403548,25.2999992371,-133.04999999999998,67.64999999999999,-5.56,127.49,N/A,⚪ 中性觀察,1.69,N/A,2026-03,📉 獲利侵蝕,2025
2.55,-22.51,12.26,家登,3680.TWO,26.9394261424017,507.0,-133.55,282.3,15.91,149.46,17.47%,❌ 暫避觀望,9.43,43.28%,2026-03,⚠️ 獲利稀釋,2025
0.4,-2.28,1.84,寶陞,2948.TWO,7.24271829846602,37.2999992371,-133.64,77.25,2.56,136.2,9.02%,⚪ 中性觀察,2.14,48.05%,2026-03,⚠️ 獲利稀釋,2025
16.11,56.98,59.93,弘塑,3131.TWO,22.303755913874674,2310.0,-134.24,1553.55,81.01,215.25,29.56%,❌ 暫避觀望,45.48,42.10%,2026-03,⚠️ 獲利稀釋,2025
0.11,-41.32,-7.04,台南-KY,5906.TW,13.604240282685511,38.5,-134.56,42.45,-70.27,64.29,N/A,⚪ 中性觀察,0.98,N/A,2026-03,📉 獲利侵蝕,2025
0.08,-33.33,-35.35,大城地產,6171.TWO,2.457305466650854,25.8999996185,-135.08,158.10000000000002,166.67,301.75,N/A,⚪ 中性觀察,3.82,N/A,2026-03,⚠️ 獲利稀釋,2025
-0.02,-51.49,2.05,耀登,3138.TW,85.88235144519608,87.5999984741,-136.5,15.3,90.48,226.98,7.58%,❌ 暫避觀望,1.5,41.30%,2026-03,⚠️ 獲利稀釋,2025
0.29,56.72,18.28,尚凡*,5278.TWO,9.073359073359073,23.5,-136.71,38.849999999999994,-21.62,115.09,N/A,⚪ 中性觀察,1.05,N/A,2026-03,📉 獲利侵蝕,2025
0.74,-27.37,3.61,富致,6642.TWO,12.141707170032205,75.4000015259,-136.76,93.15,-11.9,124.86,N/A,⚪ 中性觀察,2.6,N/A,2026-03,📉 獲利侵蝕,2025
0.15,-80.37,-9.62,加捷生醫,4109.TWO,12.415730551348314,11.0500001907,-136.98000000000002,13.35,45.45,182.43,-7.54%,⚪ 中性觀察,0.43,24.70%,2026-03,⚠️ 獲利稀釋,2025
0.08,-106.78,-15.41,鑫創電子,6680.TWO,0.0,52.0,-137.41,-35.849999999999994,100.0,237.41,N/A,⚪ 數據不足,-0.29,N/A,2026-03,🔄 轉虧為盈,2025
1.62,-13.11,-1.96,東陽,1319.TW,0.0,0.0,-137.46,0.0,-34.68,102.78,18.07%,⚪ 數據不足,6.43,33.68%,2026-03,📉 獲利侵蝕,2025
0.52,-55.59,-1.73,保勝光學,6517.TWO,20.430463828774833,61.7000007629,-137.54000000000002,45.3,-35.0,102.54,N/A,❌ 暫避觀望,1.63,N/A,2026-03,📉 獲利侵蝕,2025
-0.04,31.82,9.13,農林,2913.TW,0.0,10.9499998093,-137.61,-5.7,0.0,137.61,-7.01%,⚪ 數據不足,-0.15,40.70%,2026-03,📉 獲利侵蝕,2025
0.21,-87.79,-7.53,可寧衛*,8422.TW,1.306960459764647,26.1000003815,-137.88,299.54999999999995,-94.21,43.67,N/A,⚪ 中性觀察,1.29,N/A,2026-03,📉 獲利侵蝕,2025
2.51,-0.43,9.26,飛捷,6206.TW,7.347379794705564,136.0,-138.13,277.65000000000003,10.57,148.7,N/A,⚪ 中性觀察,6.9,N/A,2026-03,⚠️ 獲利稀釋,2025
0.84,81.39,-6.21,瑞耘,6532.TWO,8.00513698630137,93.5,-138.3,175.2,-34.88,103.42,N/A,⚪ 中性觀察,7.31,N/A,2026-03,📉 獲利侵蝕,2025
-0.18,34.19,34.16,蒙恬,5211.TWO,0.0,20.3999996185,-138.5,-33.3,35.71,174.21,N/A,⚪ 數據不足,-0.77,N/A,2026-03,⚠️ 獲利稀釋,2025
0.11,-33.45,10.49,鼎天,3306.TWO,8.17773774454219,45.5499992371,-138.67999999999998,83.55000000000001,173.33,312.01,1.28%,⚪ 中性觀察,1.95,25.80%,2026-03,⚠️ 獲利稀釋,2025
1.75,-4.63,15.04,博大,8109.TWO,8.545576407506703,127.5,-138.73,223.8,10.06,148.79,N/A,⚪ 中性觀察,6.18,N/A,2026-03,⚠️ 獲利稀釋,2025
0.06,-19.23,-10.66,東和,1414.TW,45.12820610641025,17.6000003815,-139.09000000000003,5.8500000000000005,400.0,539.09,-3.56%,❌ 暫避觀望,0.19,15.75%,2026-03,⚠️ 獲利稀釋,2025
0.1,-47.4,12.79,君曜,7770.TWO,7.019230769230769,36.5,-139.35,78.0,-87.95,51.4,N/A,⚪ 中性觀察,3.0,N/A,2026-03,📉 獲利侵蝕,2025
3.38,2.97,3.64,中華資安,7765.TW,8.168822328114363,240.0,-139.45,440.70000000000005,2.74,142.19,N/A,⚪ 中性觀察,11.47,N/A,2026-03,⚠️ 獲利稀釋,2025
0.39,-6.08,4.97,生合,1295.TWO,3.480278422273782,45.0,-139.69,193.95,-69.05,70.64,11.73%,⚪ 中性觀察,5.29,49.97%,2026-03,📉 獲利侵蝕,2025
-0.03,-147.27,-12.93,迅杰,6243.TW,0.0,36.9000015259,-140.07,-18.6,-109.68,30.39,N/A,⚪ 數據不足,-0.52,N/A,2026-03,📉 獲利侵蝕,2025
0.91,-4.72,-1.51,君帆,4584.TWO,4.196428401127232,37.5999984741,-140.25,134.39999999999998,-31.58,108.67,12.30%,⚪ 中性觀察,3.43,34.23%,2026-03,📉 獲利侵蝕,2025
1.64,-24.75,0.46,瓦城,2729.TWO,7.890665291387313,153.0,-140.68,290.85,-36.22,104.46,N/A,⚪ 中性觀察,6.76,N/A,2026-03,📉 獲利侵蝕,2025
0.4,-29.75,62.61,智原,3035.TW,25.93984962406015,172.5,-141.57,99.74999999999999,-69.92,71.65,2.86%,❌ 暫避觀望,2.81,42.16%,2026-03,📉 獲利侵蝕,2025
0.73,-48.05,-3.28,迅德,6292.TWO,18.696883852691215,66.0,-141.77,52.95,102.78,244.55,N/A,❌ 暫避觀望,2.0,N/A,2026-03,⚠️ 獲利稀釋,2025
4.62,-0.84,5.0,致新,8081.TW,5.60992262175694,246.5,-141.78,659.1,-4.18,137.6,N/A,⚪ 中性觀察,17.76,N/A,2026-03,📉 獲利侵蝕,2025
1.33,15.63,9.33,明達醫,6527.TWO,5.222531187350487,75.0999984741,-141.87,215.7,-8.28,133.59,N/A,⚪ 中性觀察,5.8,N/A,2026-03,📉 獲利侵蝕,2025
-0.63,18.35,170.31,益得,6461.TWO,0.0,25.5,-141.93,-88.05,1.56,143.49,N/A,⚪ 數據不足,-2.57,N/A,2026-03,⚠️ 獲利稀釋,2025
0.64,-39.84,-27.76,裕山,7715.TWO,3.2491186390716806,27.6499996185,-142.2,127.64999999999999,-52.24,89.96,N/A,⚪ 中性觀察,3.09,N/A,2026-03,📉 獲利侵蝕,2025
13.35,10.18,11.97,亞德客-KY,1590.TW,12.029932746045278,1270.0,-142.26,1583.5500000000002,37.91,180.17,31.25%,⚪ 中性觀察,42.0,47.51%,2026-03,⚠️ 獲利稀釋,2025
-1.11,6.47,1.9,正峰,1538.TW,0.0,8.8500003815,-142.72,-39.0,-91.38,51.34,-58.77%,⚪ 數據不足,-1.59,32.24%,2026-03,📉 獲利侵蝕,2025
0.12,-246.15,36.88,凱鈺,5468.TWO,0.0,25.0,-143.05,-13.65,300.0,443.05,N/A,⚪ 數據不足,-0.65,N/A,2026-03,🔄 轉虧為盈,2025
6.19,-19.62,-2.07,聯詠,3034.TW,8.09787357995922,556.0,-143.09,1029.8999999999999,-28.44,114.65,16.92%,⚪ 中性觀察,26.87,38.19%,2026-03,📉 獲利侵蝕,2025
0.34,14.0,14.37,雷虎,8033.TW,74.04255319148938,174.0,-144.31,35.24999999999999,41.67,185.98,N/A,❌ 暫避觀望,0.58,N/A,2026-03,⚠️ 獲利稀釋,2025
6.77,6.64,1.76,譜瑞-KY,4966.TWO,6.227531021686189,537.0,-144.99,1293.4499999999998,-19.19,125.8,N/A,⚪ 中性觀察,34.51,N/A,2026-03,📉 獲利侵蝕,2025
25.7,110.03,116.34,鴻勁,7769.TW,33.87963460505105,6305.0,-145.23999999999998,2791.5,61.74,206.98,N/A,❌ 暫避觀望,75.71,N/A,2026-03,⚠️ 獲利稀釋,2025
1.01,-50.22,-7.32,晶達,4995.TWO,10.600414236625259,51.2000007629,-145.57999999999998,72.45,92.31,237.89,N/A,⚪ 中性觀察,2.25,N/A,2026-03,⚠️ 獲利稀釋,2025
0.39,-10.94,-6.81,訊映,4155.TW,19.090908843246755,14.6999998093,-145.98999999999998,11.549999999999999,123.53,269.52,N/A,❌ 暫避觀望,0.58,N/A,2026-03,⚠️ 獲利稀釋,2025
0.49,-23.5,-10.06,味王,1203.TW,10.236967005426541,43.2000007629,-146.18,63.3,-15.52,130.66,14.34%,⚪ 中性觀察,1.81,33.56%,2026-03,📉 獲利侵蝕,2025
0.5,-50.94,-15.67,昶瑞機電,7642.TWO,8.3544302041542,72.5999984741,-146.45999999999998,130.35000000000002,-66.89,79.57,N/A,⚪ 中性觀察,3.29,N/A,2026-03,📉 獲利侵蝕,2025
1.83,47.62,34.56,捷創科技,7810.TWO,16.431750741839764,221.5,-147.03,202.2,30.71,177.74,N/A,❌ 暫避觀望,6.25,N/A,2026-03,⚠️ 獲利稀釋,2025
0.53,-7.07,51.84,智通*,8932.TWO,12.689075416540618,90.5999984741,-147.64000000000001,107.1,-39.77,107.87,N/A,⚪ 中性觀察,1.85,N/A,2026-03,📉 獲利侵蝕,2025
0.32,-5.93,2.84,聯寶,6821.TWO,14.568345323741008,40.5,-147.67999999999998,41.699999999999996,3.33,151.01,N/A,⚪ 中性觀察,1.13,N/A,2026-03,⚠️ 獲利稀釋,2025
2.21,32.55,12.43,達興材料,5234.TW,15.40348964013086,282.5,-147.81,275.1,17.55,165.36,N/A,❌ 暫避觀望,7.37,N/A,2026-03,⚠️ 獲利稀釋,2025
0.26,-25.47,-2.1,三能-KY,6671.TW,4.395711352261209,22.5499992371,-148.18,76.94999999999999,-29.73,118.45,N/A,⚪ 中性觀察,2.37,N/A,2026-03,📉 獲利侵蝕,2025
0.18,3.23,2.69,時報,8923.TWO,7.982456474956141,18.2000007629,-148.53,34.199999999999996,-62.5,86.03,N/A,⚪ 中性觀察,0.96,N/A,2026-03,📉 獲利侵蝕,2025
0.92,-58.85,-23.02,駐龍,4572.TW,20.014044943820224,142.5,-148.87,106.8,-29.77,119.1,N/A,❌ 暫避觀望,3.0,N/A,2026-03,📉 獲利侵蝕,2025
9.53,49.96,42.0,健策,3653.TW,64.21006178287732,5820.0,-149.18,1359.6,-0.63,148.55,31.26%,❌ 暫避觀望,36.75,41.25%,2026-03,📉 獲利侵蝕,2025
0.4,-148.96,-21.77,為升,2231.TW,0.0,89.6999969482,-149.42000000000002,-24.3,-42.86,106.56,-15.73%,⚪ 數據不足,-1.63,23.65%,2026-03,🔄 轉虧為盈,2025
-0.21,-10.0,-42.69,安克,4188.TWO,0.0,14.6000003815,-150.01,-33.75,16.0,166.01,N/A,⚪ 數據不足,-0.88,N/A,2026-03,⚠️ 獲利稀釋,2025
0.01,38.64,-3.71,光鼎,6226.TW,0.0,33.0,-150.05,-9.9,111.11,261.16,N/A,⚪ 數據不足,-0.28,N/A,2026-03,🔄 轉虧為盈,2025
1.08,10.39,9.51,星亞,7753.TWO,3.418803418803419,36.0,-150.47,157.95,9.09,159.56,N/A,⚪ 中性觀察,4.22,N/A,2026-03,⚠️ 獲利稀釋,2025
-0.44,1.75,-9.99,國光生,4142.TW,0.0,17.2000007629,-150.56,-47.25000000000001,17.31,167.87,23.11%,⚪ 數據不足,-0.57,49.56%,2026-03,⚠️ 獲利稀釋,2025
2.1,198.64,23.89,力智,6719.TW,12.314439946018894,182.5,-150.93,222.3,41.89,192.82,N/A,⚪ 中性觀察,6.58,N/A,2026-03,⚠️ 獲利稀釋,2025
6.23,-12.9,23.03,雍智科技,6683.TWO,36.37602179836513,1335.0,-151.18,550.4999999999999,64.88,216.06,N/A,❌ 暫避觀望,15.42,N/A,2026-03,⚠️ 獲利稀釋,2025
-0.01,-192.54,5.99,華義*,3086.TWO,0.0,29.6499996185,-152.4,-25.5,-104.55,47.85,-19.63%,⚪ 數據不足,-0.62,44.07%,2026-03,📉 獲利侵蝕,2025
19.54,40.24,35.51,穎崴,6515.TW,53.72842722240313,6600.0,-152.6,1842.6000000000001,13.4,166.0,N/A,❌ 暫避觀望,46.93,N/A,2026-03,⚠️ 獲利稀釋,2025
0.41,131.69,786.25,辣椒,4946.TWO,9.482401498354038,91.5999984741,-152.6,144.9,-82.61,69.99,N/A,⚪ 中性觀察,3.14,N/A,2026-03,📉 獲利侵蝕,2025
0.58,-39.39,-15.03,奕力-KY,6962.TW,3.8246268656716413,30.75,-152.73000000000002,120.60000000000001,-69.68,83.05,N/A,⚪ 中性觀察,2.87,N/A,2026-03,📉 獲利侵蝕,2025
0.51,61.83,69.66,聯發國際,2756.TWO,7.320574253935407,61.2000007629,-152.76,125.39999999999999,-3.85,148.91,5.94%,⚪ 中性觀察,3.93,49.60%,2026-03,📉 獲利侵蝕,2025
0.24,-33.77,4.92,類比科,3438.TWO,31.487180269692306,61.4000015259,-153.12,29.250000000000004,-27.27,125.85,-0.86%,❌ 暫避觀望,1.0,38.12%,2026-03,📉 獲利侵蝕,2025
1.86,-45.5,-13.21,鼎基,6585.TW,7.392857142857143,103.5,-153.44,210.0,-28.46,124.98,N/A,⚪ 中性觀察,5.64,N/A,2026-03,📉 獲利侵蝕,2025
0.01,-32.0,-88.36,聯德,3308.TW,41.0377358490566,21.75,-153.53,7.95,-98.28,55.25,-362.94%,❌ 暫避觀望,0.68,23.48%,2026-03,📉 獲利侵蝕,2025
0.16,-51.27,-27.63,海悅,2348.TW,5.079250720461095,70.5,-153.63,208.2,-93.37,60.26,22.47%,⚪ 中性觀察,6.85,34.04%,2026-03,📉 獲利侵蝕,2025
0.53,-45.98,-12.78,耿鼎,1524.TW,5.644104886790393,25.8500003815,-154.0,68.7,-45.92,108.08,N/A,⚪ 中性觀察,1.95,N/A,2026-03,📉 獲利侵蝕,2025
0.71,3.25,-2.28,台航,2617.TW,0.0,0.0,-154.59,0.0,22.41,177.0,41.07%,⚪ 數據不足,3.18,46.23%,2026-03,⚠️ 獲利稀釋,2025
-0.29,-22.38,-11.1,笙泉,3122.TWO,0.0,24.0,-154.6,-67.95,45.28,199.88,-12.95%,⚪ 數據不足,-1.75,34.82%,2026-03,⚠️ 獲利稀釋,2025
-0.68,-355.0,10.49,芯鼎,6695.TW,0.0,46.0,-154.78,-87.9,4.29,159.07,N/A,⚪ 數據不足,-1.83,N/A,2026-03,⚠️ 獲利稀釋,2025
3.68,-12.03,5.02,昇達科,3491.TWO,71.7234262125903,1390.0,-154.98,290.7,70.37,225.35,27.57%,❌ 暫避觀望,7.83,58.57%,2026-03,🏰 高護城河,2025
0.83,-20.23,12.38,捷波,6161.TWO,7.19640179910045,48.0,-155.0,100.05,45.61,200.61,N/A,⚪ 中性觀察,2.72,N/A,2026-03,⚠️ 獲利稀釋,2025
1.29,-5.16,1.22,鐿鈦,4163.TWO,10.878661087866108,130.0,-155.49,179.25000000000003,-23.31,132.18,N/A,⚪ 中性觀察,5.13,N/A,2026-03,📉 獲利侵蝕,2025
1.6,2.89,-2.32,穩得,6761.TWO,9.025069637883009,162.0,-155.52999999999997,269.25,-14.89,140.64,N/A,⚪ 中性觀察,7.34,N/A,2026-03,📉 獲利侵蝕,2025
0.08,15.09,38.76,港建*,3093.TWO,14.581939288996656,43.5999984741,-155.94,44.849999999999994,-81.4,74.54,11.18%,⚪ 中性觀察,1.22,40.97%,2026-03,📉 獲利侵蝕,2025
