om,prev_rev_yoy,date,advice,name,prev_year,prev_eps,pe,prev_eps_yoy,eps_yoy,expansion,symbol,gm,price,rev_yoy,eps,est_price,status
N/A,-25.38,2025-12,⚪ 數據不足,嘉聯益,2025,-2.86,0.0,20.51,0.46,26.150000000000002,6153.TW,N/A,20.3500003815,-25.69,-4.38,-155.7,🧐 疑業外收益
N/A,43.27,2025-12,⚪ 中性觀察,勤誠,2025,20.45,20.38849347568209,64.4,77.66,26.11,8210.TW,N/A,1375.0,51.55,29.06,1011.5999999999999,🚀 利潤擴張
19.04%,16.97,2025-12,💎 強力關注,金洲,2025,4.69,2.9940905104464868,56.86,39.0,26.09,4417.TWO,29.73%,45.5999984741,12.91,6.13,228.45000000000002,🚀 利潤擴張
2.13%,14.61,2025-12,💎 強力關注,大聯大,2025,4.07,8.212927756653993,44.82,39.35,25.89,3702.TW,4.26%,108.0,13.46,5.77,197.24999999999997,🚀 利潤擴張
4.08%,-3.4,2025-12,💎 強力關注,運錩,2025,1.1,5.181347150259067,27.91,20.0,25.8,2069.TW,10.04%,20.0,-5.8,1.62,57.900000000000006,🧐 疑業外收益
-40.94%,87.04,2025-12,⚪ 數據不足,隴華,2025,-1.3,0.0,57.33,59.69,25.65,2424.TW,27.86%,12.6000003815,34.04,-1.34,-54.15,🚀 利潤擴張
7.81%,2.28,2025-12,⚪ 中性觀察,強茂,2025,2.18,20.067567567567565,16.58,30.0,25.55,2481.TW,32.67%,148.5,4.45,3.12,111.0,🚀 利潤擴張
-30.62%,68.78,2025-12,⚪ 數據不足,遠雄來,2025,-0.11,0.0,90.52,73.24,25.339999999999996,2712.TW,2.82%,14.5,47.9,-0.38,-15.15,🚀 利潤擴張
N/A,34.28,2025-12,⚪ 中性觀察,亞通,2025,0.36,21.308410501962616,130.0,25.0,25.22,6179.TWO,N/A,22.7999992371,-0.22,0.05,16.05,🧐 疑業外收益
2.82%,27.31,2025-12,⚠️ 追價風險,所羅門,2025,0.1,279.78723404255317,400.0,46.43,25.16,2359.TW,24.10%,131.5,21.27,1.23,7.050000000000001,🚀 利潤擴張
N/A,0.72,2025-12,⚪ 數據不足,啟發電,2025,-0.33,0.0,25.0,17.02,25.14,6512.TWO,N/A,19.8500003815,-8.12,-0.78,-22.950000000000003,🧐 疑業外收益
N/A,-5.29,2025-12,⚪ 數據不足,旅天下,2025,4.06,0.0,24.54,16.53,25.090000000000003,6961.TWO,N/A,61.5,-8.56,4.23,0.0,🧐 疑業外收益
-20.80%,-0.37,2025-12,⚪ 數據不足,立德,2025,-0.51,0.0,59.68,25.52,25.06,3058.TW,2.21%,9.470000267,0.46,-1.44,-32.400000000000006,🚀 利潤擴張
N/A,2.61,2025-12,⚪ 數據不足,全譜,2025,-0.69,0.0,-7.81,44.71,24.75,6228.TWO,N/A,19.5499992371,19.96,-0.47,-28.049999999999997,🚀 利潤擴張
N/A,31.53,2025-12,⚠️ 追價風險,昇陽半導體,2025,3.08,28.41121495327103,81.07,51.58,24.61,8028.TW,N/A,304.0,26.97,4.37,160.5,🚀 利潤擴張
N/A,14.41,2025-12,💎 強力關注,視陽,2025,10.1,6.0210210210210215,24.08,39.41,24.389999999999997,6782.TW,N/A,200.5,15.02,14.08,499.49999999999994,🚀 利潤擴張
N/A,-15.17,2025-12,💎 強力關注,智捷,2025,0.33,10.357142467857145,557.14,-9.3,24.319999999999997,8176.TWO,N/A,10.1499996185,-33.62,0.4,14.7,🌑 雙重衰退
N/A,0.21,2025-12,💎 強力關注,保綠-KY,2025,0.49,10.920244930736198,28.95,25.86,23.91,8423.TWO,N/A,17.7999992371,1.95,0.73,24.45,🚀 利潤擴張
N/A,-52.22,2025-12,⚪ 數據不足,浩宇生醫,2025,-1.54,0.0,-17.19,-38.16,23.760000000000005,6872.TWO,N/A,16.7999992371,-61.92,-2.14,-78.00000000000001,🌑 雙重衰退
1.75%,2.21,2025-12,💎 強力關注,勝德,2025,0.69,10.023923810000001,6800.0,22.0,23.66,3296.TW,19.21%,20.9500007629,-1.66,0.61,31.349999999999998,🧐 疑業外收益
4.46%,-18.74,2025-12,⚠️ 追價風險,南染,2025,0.41,24.523809523809522,0.0,3.51,23.659999999999997,1410.TW,31.89%,25.75,-20.15,0.58,15.75,🧐 疑業外收益
-34.01%,-8.13,2025-12,⚪ 數據不足,康聯訊,2025,-1.5,0.0,33.88,3.03,23.43,3672.TWO,28.80%,10.8500003815,-20.4,-2.25,-78.30000000000001,🧐 疑業外收益
N/A,-8.43,2025-12,⚪ 數據不足,慧友,2025,-0.69,0.0,2.82,33.33,23.339999999999996,5484.TW,N/A,53.0,9.99,-0.6,-45.3,🚀 利潤擴張
51.79%,-15.17,2025-12,💎 強力關注,統領,2025,0.9,7.605633937147887,8.43,8.85,23.32,2910.TW,87.61%,21.6000003815,-14.47,1.23,42.599999999999994,🏰 高護城河
-2.32%,-4.12,2025-12,⚪ 數據不足,艾美特-KY,2025,-0.3,0.0,53.13,18.87,23.01,1626.TW,20.74%,10.0500001907,-4.14,-0.86,-16.2,🧐 疑業外收益
N/A,13.41,2025-12,💎 強力關注,統振,2025,3.38,4.967136293511738,78.84,32.45,22.800000000000004,6170.TWO,N/A,52.9000015259,9.65,4.49,159.75,🚀 利潤擴張
10.88%,39.34,2025-12,💎 強力關注,竣邦-KY,2025,3.98,3.6304346720362317,81.37,52.37,22.759999999999998,4442.TWO,27.73%,50.0999984741,29.61,5.23,207.0,🚀 利潤擴張
-7.01%,18.12,2025-12,⚪ 數據不足,農林,2025,-0.11,0.0,35.29,31.82,22.689999999999998,2913.TW,40.70%,11.0500001907,9.13,-0.15,-5.7,🚀 利潤擴張
N/A,0.12,2025-12,⚪ 數據不足,雅特力-KY,2025,1.38,0.0,56.82,24.55,22.64,6907.TWO,N/A,152.5,1.91,2.08,0.0,🚀 利潤擴張
N/A,26.18,2025-12,⚠️ 追價風險,新代,2025,22.8,26.388888888888886,21.35,51.69,22.519999999999996,7750.TW,N/A,2185.0,29.17,35.12,1242.0000000000002,🚀 利潤擴張
7.57%,7.7,2025-12,💎 強力關注,五鼎,2025,1.13,6.969696880769231,25.56,27.34,22.34,1733.TW,30.15%,29.8999996185,5.0,1.63,64.35,🚀 利潤擴張
N/A,38.83,2025-12,💎 強力關注,動力-KY,2025,4.65,3.8545953884019206,74.3,60.88,22.07,6591.TW,N/A,56.2000007629,38.81,5.37,218.7,🚀 利潤擴張
3.72%,26.88,2025-12,💎 強力關注,海華,2025,3.27,6.256306760847629,51.89,45.42,22.03,3694.TW,15.30%,62.0,23.39,4.03,148.65,🚀 利潤擴張
2.25%,9.42,2025-12,✅ 穩健價值,新鋼,2025,0.37,14.435483563306452,12.12,24.44,21.990000000000002,2032.TW,6.08%,17.8999996185,2.45,0.56,18.6,🚀 利潤擴張
6.32%,-3.77,2025-12,💎 強力關注,鮮活果汁-KY,2025,9.32,6.905320813771519,13.52,24.88,21.939999999999998,1256.TW,24.61%,176.5,2.94,11.19,383.3999999999999,🚀 利潤擴張
19.61%,21.52,2025-12,💎 強力關注,長榮鋼,2025,7.36,4.216043755697356,46.61,40.52,21.910000000000004,2211.TW,25.25%,92.5,18.61,8.6,329.1,🚀 利潤擴張
N/A,55.74,2025-12,⚠️ 追價風險,富世達,2025,20.04,28.599456685783277,68.69,73.18,21.56000000000001,6805.TW,N/A,1895.0,51.62,31.0,993.9000000000001,🚀 利潤擴張
N/A,-51.12,2025-12,⚪ 數據不足,北極星藥業-KY,2025,-2.91,0.0,-31.08,-40.62,21.43,6550.TW,N/A,13.1499996185,-62.05,-5.1,-163.35,🌑 雙重衰退
-18.87%,10.85,2025-12,⚪ 數據不足,中天,2025,-1.23,0.0,8.21,31.02,21.08,4128.TWO,42.56%,15.0,9.94,-1.29,-60.300000000000004,🚀 利潤擴張
N/A,17.61,2025-12,💎 強力關注,遠雄港,2025,2.13,7.7976192746874995,41.06,40.61,21.03,5607.TW,N/A,52.4000015259,19.58,2.77,100.80000000000001,🚀 利潤擴張
N/A,-1.08,2025-12,💎 強力關注,汎瑋材料,2025,2.87,7.608938376994413,14.98,26.43,20.98,6967.TWO,N/A,68.0999984741,5.45,4.02,134.25000000000003,🚀 利潤擴張
N/A,20.43,2025-12,⚪ 數據不足,中探針,2025,-1.31,0.0,10.71,39.69,20.569999999999997,6217.TWO,N/A,229.0,19.12,-1.65,-78.60000000000001,🚀 利潤擴張
N/A,-39.92,2025-12,💎 強力關注,理銘,2025,3.26,2.2741936099112907,59.8,-34.98,20.330000000000005,6212.TWO,N/A,28.2000007629,-55.31,3.96,185.99999999999997,🌑 雙重衰退
N/A,42.84,2025-12,💎 強力關注,海韻電,2025,3.28,6.043667855737991,26.15,57.43,20.28,6203.TWO,N/A,69.1999969482,37.15,5.51,171.75,🚀 利潤擴張
N/A,6.38,2025-12,💎 強力關注,來頡,2025,2.29,11.206467471902986,5.14,26.76,20.200000000000003,6799.TW,N/A,90.0999984741,6.56,3.7,120.6,🚀 利潤擴張
7.93%,23.84,2025-12,⚪ 數據不足,達航科技,2025,-0.92,0.0,35.66,32.41,20.159999999999997,4577.TWO,23.60%,93.9000015259,12.25,-0.73,-48.449999999999996,🚀 利潤擴張
N/A,20.49,2025-12,⚪ 中性觀察,騰雲,2025,4.38,20.15418502202643,64.04,40.48,20.15,6870.TWO,N/A,274.5,20.33,7.08,204.3,🚀 利潤擴張
N/A,12.88,2025-12,⚪ 中性觀察,達興材料,2025,5.33,21.599111604664078,39.9,32.55,20.119999999999997,5234.TW,N/A,389.0,12.43,7.37,270.15,🚀 利潤擴張
N/A,-2.98,2025-12,⚠️ 追價風險,廣穎,2025,-0.17,129.03225806451613,-108.72,16.48,19.67,4973.TWO,N/A,160.0,-3.19,2.11,18.6,🔄 轉虧為盈
N/A,22.11,2025-12,✅ 穩健價值,百徽,2025,0.45,15.059523355416667,15.38,38.78,19.37,6259.TWO,N/A,25.2999992371,19.41,0.7,25.2,🚀 利潤擴張
4.30%,12.18,2025-12,💎 強力關注,新建,2025,0.57,5.2217741166532265,-5.0,26.8,19.35,2516.TW,6.67%,12.9499998093,7.45,1.23,37.199999999999996,🚀 利潤擴張
0.36%,-0.82,2025-12,✅ 穩健價值,安心,2025,1.03,12.393162393162394,-53.6,19.51,19.240000000000002,1259.TWO,23.02%,58.0,0.27,2.45,70.19999999999999,🚀 利潤擴張
N/A,2.3,2025-12,⚪ 數據不足,志旭,2025,0.02,0.0,110.53,16.9,19.07,8067.TWO,N/A,14.5,-2.17,-0.59,-25.200000000000003,🧐 疑業外收益
N/A,2.36,2025-12,⚪ 數據不足,光麗-KY,2025,-1.44,0.0,11.69,17.15,18.27,6431.TW,N/A,18.0499992371,-1.12,-2.07,-74.85,🧐 疑業外收益
N/A,-31.52,2025-12,⚪ 數據不足,綠河-KY,2025,-5.84,0.0,-22.62,-15.31,17.939999999999998,8444.TWO,N/A,4.5599999428,-33.25,-10.06,-315.75,🌑 雙重衰退
15.62%,26.94,2025-12,⚠️ 追價風險,聯鈞,2025,3.48,33.64963503649635,91.21,31.15,17.71,3450.TW,26.67%,461.0,13.44,5.01,205.5,🚀 利潤擴張
-58.34%,-0.63,2025-12,⚪ 數據不足,中裕,2025,-0.36,0.0,-20.0,17.57,17.38,4147.TWO,28.91%,54.0999984741,0.19,-0.61,-20.55,🚀 利潤擴張
N/A,-5.96,2025-12,💎 強力關注,美隆電,2025,1.58,5.124999826613637,15.33,12.0,17.34,2477.TW,N/A,22.5499992371,-5.34,1.68,65.99999999999999,🧐 疑業外收益
8.37%,0.76,2025-12,💎 強力關注,大甲,2025,1.72,7.517182130584192,28.36,14.36,17.34,2221.TWO,20.63%,43.75,-2.98,2.31,87.30000000000001,🧐 疑業外收益
16.47%,27.79,2025-12,💎 強力關注,建準,2025,5.65,8.523344191096633,45.85,45.05,17.33,2421.TW,32.82%,157.0,27.72,7.94,276.3,🚀 利潤擴張
N/A,13.75,2025-12,⚠️ 追價風險,萬潤,2025,12.1,27.784924105994335,29.69,13.93,16.97,6187.TWO,N/A,1080.0,-3.04,15.46,583.0500000000001,🧐 疑業外收益
N/A,11.11,2025-12,💎 強力關注,碩網,2025,2.13,9.661835748792273,41.18,22.61,16.95,7547.TWO,N/A,60.0,5.66,2.65,93.14999999999999,🚀 利潤擴張
21.55%,8.92,2025-12,⚪ 中性觀察,立隆電,2025,5.19,18.334234721471063,4.85,24.54,16.86,2472.TW,32.60%,339.0,7.68,8.73,277.35,🚀 利潤擴張
N/A,71.04,2025-12,💎 強力關注,榮群,2025,1.09,7.757475209800665,208.57,31.78,16.630000000000003,8034.TWO,N/A,23.3500003815,15.15,1.42,45.15,🚀 利潤擴張
N/A,28.4,2025-12,💎 強力關注,建國,2025,2.91,4.760234007356725,20.75,32.54,16.619999999999997,5515.TW,N/A,40.7000007629,15.92,4.48,128.25,🚀 利潤擴張
21.14%,-7.87,2025-12,💎 強力關注,中再保,2025,2.0,4.771811978134228,-23.95,16.56,16.509999999999998,2851.TW,24.99%,35.5499992371,0.05,3.66,111.75,🚀 利潤擴張
-22.91%,43.83,2025-12,⚪ 數據不足,力銘,2025,-1.8,0.0,7.69,41.55,16.49,3593.TW,-4.13%,16.1000003815,25.06,-1.4,-66.3,🚀 利潤擴張
N/A,-3.22,2025-12,💎 強力關注,大江,2025,5.89,6.171875,16.0,12.64,16.11,8436.TWO,N/A,118.5,-3.47,8.68,288.0,🧐 疑業外收益
4.63%,23.74,2025-12,💎 強力關注,華碩,2025,44.63,5.54314987521345,11.41,41.92,16.060000000000002,2357.TW,15.94%,844.0,25.86,59.99,2283.9,🚀 利潤擴張
N/A,34.44,2025-12,⚠️ 追價風險,華星光,2025,3.73,41.72494172494173,37.64,43.01,15.95,4979.TWO,N/A,537.0,27.06,5.43,193.04999999999998,🚀 利潤擴張
10.89%,12.07,2025-12,💎 強力關注,祺驊,2025,1.28,6.673684371136842,26.73,28.24,15.929999999999998,1593.TWO,31.32%,31.7000007629,12.31,2.18,71.25,🚀 利潤擴張
N/A,22.1,2025-12,⚪ 數據不足,太欣,2025,-0.2,0.0,0.0,55.56,15.870000000000005,5302.TWO,N/A,10.5,39.69,-0.12,-8.85,🚀 利潤擴張
N/A,95.06,2025-12,⚪ 數據不足,成信實業*-創,2025,-0.24,0.0,87.3,95.65,15.790000000000006,6969.TW,N/A,27.0499992371,79.86,-0.09,-8.85,🚀 利潤擴張
-32.45%,19.64,2025-12,⚪ 數據不足,光環,2025,-0.94,0.0,45.03,34.88,15.790000000000003,3234.TWO,8.38%,124.0,19.09,-1.4,-41.099999999999994,🚀 利潤擴張
9.94%,7.92,2025-12,⚠️ 追價風險,日月光投控,2025,5.99,26.226323457989317,11.64,24.18,15.79,3711.TW,19.52%,540.0,8.39,9.37,308.85,🚀 利潤擴張
-18.36%,12.53,2025-12,⚪ 數據不足,易威,2025,-0.35,0.0,44.44,26.25,15.71,1799.TWO,41.11%,0.0,10.54,-0.59,0.0,🚀 利潤擴張
N/A,12.2,2025-12,⚪ 數據不足,業強,2025,-0.86,0.0,-22.86,16.81,15.649999999999999,6124.TWO,N/A,32.6500015259,1.16,-0.99,-49.95,🚀 利潤擴張
N/A,41.37,2025-12,⚠️ 追價風險,宜鼎,2025,12.46,41.55188246097337,33.7,75.21,15.249999999999993,5289.TWO,N/A,1810.0,59.96,21.72,653.4000000000001,🚀 利潤擴張
18.42%,4.13,2025-12,💎 強力關注,固緯,2025,2.0,10.824742268041238,26.58,20.66,15.120000000000001,2423.TW,51.76%,73.5,5.54,2.92,101.85,🏰 高護城河
N/A,12.72,2025-12,⚪ 數據不足,立軒,2025,-0.31,0.0,16.13,14.63,15.030000000000001,6222.TWO,N/A,20.5,-0.4,-0.4,-15.449999999999998,🧐 疑業外收益
54.00%,36.39,2025-12,✅ 穩健價值,台積電,2025,46.75,14.686120176617395,51.8,46.42,14.810000000000002,2330.TW,62.33%,2295.0,31.61,66.26,2344.0499999999997,🏰 高護城河
N/A,4.39,2025-12,💎 強力關注,聚和,2025,2.35,6.691274962966442,9.22,17.48,14.71,6509.TWO,N/A,49.8499984741,2.77,2.87,111.75000000000001,🚀 利潤擴張
N/A,-0.96,2025-12,⚪ 數據不足,輝創,2025,2.02,0.0,-11.4,11.54,14.329999999999998,6722.TW,N/A,38.9000015259,-2.79,2.9,0.0,🧐 疑業外收益
5.38%,-5.83,2025-12,💎 強力關注,福懋油,2025,1.12,7.742347036096938,-6.67,8.0,14.25,1225.TW,10.74%,30.3500003815,-6.25,1.62,58.8,🧐 疑業外收益
N/A,15.97,2025-12,⚪ 數據不足,資拓宏宇,2025,0.87,0.0,163.64,11.76,14.129999999999999,6614.TW,N/A,40.0,-2.37,2.08,0.0,🧐 疑業外收益
N/A,32.44,2025-12,⚪ 數據不足,東聯互動,2025,11.58,0.0,75.19,44.26,14.11,7738.TWO,N/A,167.5,30.15,14.61,0.0,🚀 利潤擴張
15.49%,15.28,2025-12,⚠️ 追價風險,中砂,2025,6.02,30.84600760456274,9.71,30.18,14.079999999999998,1560.TW,34.18%,649.0,16.1,9.28,315.59999999999997,🚀 利潤擴張
N/A,-34.55,2025-12,⚠️ 追價風險,致和證,2025,1.17,22.652582159624416,-53.39,56.1,13.940000000000005,5864.TWO,N/A,48.25,42.16,2.56,31.95,🚀 利潤擴張
N/A,-5.79,2025-12,💎 強力關注,德勝,2025,1.67,10.434782608695652,5.03,13.14,13.9,8048.TWO,N/A,60.0,-0.76,2.67,86.25,🧐 疑業外收益
7.24%,-3.98,2025-12,💎 強力關注,欣陸,2025,0.92,6.624605678233439,-42.14,25.87,13.89,3703.TW,13.84%,21.0,11.98,1.8,47.55,🚀 利潤擴張
N/A,-19.16,2025-12,⚪ 數據不足,天瀚,2025,-0.19,0.0,-375.0,14.29,13.87,6225.TW,N/A,23.6499996185,0.42,-0.06,-7.199999999999999,🚀 利潤擴張
N/A,11.53,2025-12,💎 強力關注,宣德,2025,1.54,5.195578101547619,-11.11,21.15,13.79,5457.TWO,N/A,30.5499992371,7.36,2.77,88.20000000000002,🚀 利潤擴張
32.37%,13.69,2025-12,💎 強力關注,高雄銀,2025,0.49,7.300613262883436,28.21,28.3,13.780000000000001,2836.TW,89.95%,11.8999996185,14.52,0.68,24.45,🏰 高護城河
-33.95%,-17.76,2025-12,⚪ 數據不足,燁興,2025,-1.54,0.0,0.0,-9.8,13.629999999999999,2007.TW,-29.22%,7.4200000763,-23.43,-2.24,-76.95,🌑 雙重衰退
N/A,-2.39,2025-12,⚠️ 追價風險,亞泰金屬,2025,4.14,29.630919220055713,-7.17,22.08,13.499999999999998,6727.TWO,N/A,425.5,8.58,6.8,215.39999999999998,🚀 利潤擴張
1.57%,6.34,2025-12,✅ 穩健價值,合勤控,2025,1.13,14.825397067587298,633.33,10.87,13.469999999999999,3704.TW,30.58%,46.7000007629,-2.6,1.56,47.25000000000001,🧐 疑業外收益
N/A,41.28,2025-12,⚪ 數據不足,驊陞,2025,2.94,0.0,137.1,44.34,13.460000000000004,6272.TW,N/A,37.9000015259,30.88,3.43,0.0,🚀 利潤擴張
-27.74%,-4.71,2025-12,⚪ 數據不足,泰鼎-KY,2025,-4.9,0.0,31.27,6.63,13.46,4927.TW,-13.35%,50.7999992371,-6.83,-8.65,-262.95000000000005,🧐 疑業外收益
N/A,-3.72,2025-12,💎 強力關注,樺漢,2025,17.04,6.591070163004961,28.02,10.59,13.39,6414.TW,N/A,372.0,-2.8,23.26,846.5999999999999,🧐 疑業外收益
N/A,23.91,2025-12,⚪ 數據不足,捷創科技,2025,3.21,0.0,56.59,47.62,13.059999999999995,7810.TWO,N/A,205.0,34.56,6.25,0.0,🚀 利潤擴張
N/A,9.61,2025-12,⚠️ 追價風險,富強鑫,2025,0.27,25.747125998275862,-35.71,25.0,12.78,6603.TWO,N/A,22.3999996185,12.22,0.61,13.05,🚀 利潤擴張
N/A,33.28,2025-12,💎 強力關注,必應,2025,6.5,3.8489584128072916,68.94,51.64,12.649999999999999,6625.TW,N/A,73.9000015259,38.99,9.13,288.0,🚀 利潤擴張
N/A,4.44,2025-12,💎 強力關注,瀚荃,2025,2.47,11.968598849528984,2.54,17.71,12.46,8103.TW,N/A,99.0999984741,5.25,3.92,124.20000000000002,🚀 利潤擴張
10.97%,4.46,2025-12,⚪ 中性觀察,華通,2025,3.61,20.965058236272878,9.06,17.23,12.36,2313.TW,18.70%,252.0,4.87,5.51,180.29999999999998,🚀 利潤擴張
N/A,13.82,2025-12,💎 強力關注,實威,2025,8.34,6.056056056056057,24.85,22.25,12.29,8416.TWO,N/A,181.5,9.96,13.46,449.54999999999995,🚀 利潤擴張
1.48%,15.92,2025-12,💎 強力關注,英業達,2025,1.85,11.86963927070326,35.04,19.21,12.260000000000002,2356.TW,5.21%,69.1999969482,6.95,2.42,87.44999999999999,🚀 利潤擴張
7.02%,71.69,2025-12,✅ 穩健價值,彬台,2025,0.5,12.711864406779661,100.0,94.5,12.180000000000007,3379.TWO,13.52%,37.5,82.32,2.12,44.25,🚀 利潤擴張
N/A,52.48,2025-12,⚠️ 追價風險,信驊,2025,72.23,73.10612381111297,67.72,52.82,12.18,5274.TWO,N/A,17525.0,40.64,103.92,3595.8,🚀 利潤擴張
N/A,56.94,2025-12,💎 強力關注,坤悅,2025,3.69,1.8548387096774193,61.14,66.99,11.849999999999994,5206.TWO,N/A,23.0,55.14,3.44,186.0,🚀 利潤擴張
2.40%,10.09,2025-12,💎 強力關注,中鋼構,2025,2.27,5.676943495187667,13.5,18.15,11.79,2013.TW,4.40%,42.3499984741,6.36,3.19,111.9,🚀 利潤擴張
23.11%,-35.17,2025-12,⚪ 數據不足,國光生,2025,-1.09,0.0,-137.78,1.75,11.74,4142.TW,49.56%,17.6499996185,-9.99,-0.57,-48.6,🧐 疑業外收益
28.21%,27.65,2025-12,💎 強力關注,京元電子,2025,7.17,11.549239391513211,52.55,41.67,11.590000000000003,2449.TW,37.66%,288.5,30.08,9.01,374.69999999999993,🚀 利潤擴張
N/A,-12.49,2025-12,⚪ 中性觀察,康和證,2025,1.11,16.2814078019598,-23.97,13.14,11.55,6016.TWO,N/A,32.4000015259,1.59,1.98,29.849999999999998,🚀 利潤擴張
-125.48%,-39.2,2025-12,⚪ 數據不足,蔚華科,2025,-1.73,0.0,-19.72,-20.55,11.239999999999998,3055.TW,16.83%,91.0,-31.79,-2.68,-99.60000000000001,🌑 雙重衰退
N/A,19.97,2025-12,💎 強力關注,華景電,2025,12.09,10.843373493975905,34.48,31.09,11.120000000000001,6788.TWO,N/A,441.0,19.97,17.36,610.05,🚀 利潤擴張
N/A,4.12,2025-12,⚠️ 追價風險,鉅橡,2025,0.81,24.708028083284667,-10.99,15.38,10.98,8074.TWO,N/A,67.6999969482,4.4,1.35,41.1,🚀 利潤擴張
24.30%,49.83,2025-12,⚠️ 追價風險,金像電,2025,13.61,31.078610603290677,50.06,64.8,10.75,2368.TW,33.66%,1360.0,54.05,19.47,656.4,🚀 利潤擴張
17.08%,11.61,2025-12,💎 強力關注,健鼎,2025,14.75,9.997908387366659,25.96,21.94,10.400000000000002,3044.TW,25.47%,478.0,11.54,19.45,717.1500000000001,🚀 利潤擴張
4.34%,25.51,2025-12,⚪ 中性觀察,華經,2025,0.77,16.11111138455197,32.76,30.21,10.27,2468.TW,11.41%,44.9500007629,19.94,1.25,41.85,🚀 利潤擴張
12.48%,-70.82,2025-12,⚠️ 追價風險,宏璟,2025,0.6,431.87499046375024,-55.04,-80.68,10.25,2527.TW,61.03%,34.5499992371,-90.93,0.93,1.1999999999999993,🏰 高護城河
2.59%,-6.62,2025-12,⚪ 數據不足,泰山,2025,1.07,0.0,-16.8,4.73,10.05,1218.TW,16.49%,0.0,-5.32,1.59,0.0,🧐 疑業外收益
1.75%,19.83,2025-12,💎 強力關注,文曄,2025,8.11,9.314456035767513,41.71,32.83,10.049999999999997,3036.TW,3.74%,250.0,22.78,11.61,402.59999999999997,🚀 利潤擴張
14.20%,20.14,2025-12,✅ 穩健價值,臺慶科,2025,7.84,11.050370948848107,58.06,30.29,9.989999999999998,3357.TWO,28.44%,283.0,20.3,10.26,384.15,🚀 利潤擴張
18.06%,22.45,2025-12,✅ 穩健價值,虹冠電,2025,2.65,6.787878787878788,26.19,39.18,9.86,3257.TW,45.11%,56.0,29.32,3.42,123.75,🚀 利潤擴張
40.48%,15.61,2025-12,✅ 穩健價值,玉山金,2025,1.62,6.172608166210131,23.66,30.06,9.619999999999997,2884.TW,91.14%,32.9000015259,20.44,2.12,79.95,🏰 高護城河
-72.91%,-27.03,2025-12,⚠️ 追價風險,首利,2025,-0.05,50.22727359409091,-117.24,-25.0,9.369999999999997,1471.TW,5.75%,11.0500001907,-34.37,0.03,3.3,🔄 轉虧為盈
10.83%,-2.5,2025-12,✅ 穩健價值,東和鋼鐵,2025,4.55,4.211204219311011,-0.44,5.37,9.21,2006.TW,15.94%,65.4000015259,-3.84,6.47,232.95,🧐 疑業外收益
N/A,21.32,2025-12,✅ 穩健價值,茂達,2025,9.27,9.963588215822575,24.31,31.94,9.05,6138.TWO,N/A,301.0,22.89,13.04,453.15000000000003,🚀 利潤擴張
45.93%,1.87,2025-12,✅ 穩健價值,華南金,2025,1.43,7.346491228070176,10.0,13.1,9.04,2880.TW,97.25%,33.5,4.06,1.9,68.39999999999999,🏰 高護城河
N/A,5.88,2025-12,⚪ 數據不足,攸泰科技,2025,-0.1,0.0,79.17,6.41,8.95,6928.TW,N/A,44.0999984741,-2.54,-0.73,-7.05,🧐 疑業外收益
N/A,-6.16,2025-12,✅ 穩健價值,光譜,2025,0.65,15.668202764976959,12.28,2.44,8.32,5381.TWO,N/A,34.0,-5.88,0.72,32.55,🧐 疑業外收益
N/A,3.98,2025-12,✅ 穩健價值,力泰,2025,7.92,3.184663596474961,17.13,10.9,8.3,5520.TWO,N/A,81.4000015259,2.6,9.97,383.4,🚀 利潤擴張
-65.06%,8.04,2025-12,⚪ 數據不足,大略-KY,2025,-0.65,0.0,55.65,15.65,8.24,4804.TWO,-7.81%,3.2699999809,7.41,-1.54,-39.300000000000004,🚀 利潤擴張
N/A,12.82,2025-12,✅ 穩健價值,宇智,2025,2.27,6.224747378421718,14.07,7.5,8.06,6470.TWO,N/A,49.2999992371,-0.56,3.87,118.8,🧐 疑業外收益
N/A,-8.2,2025-12,✅ 穩健價值,智冠,2025,5.84,5.363589479112945,-5.4,4.25,8.03,5478.TWO,N/A,104.0,-3.78,7.93,290.85,🧐 疑業外收益
8.19%,19.58,2025-12,✅ 穩健價值,華泰,2025,1.41,10.546558395566802,-2.16,28.92,8.0,2329.TW,15.35%,52.0999984741,20.92,2.45,74.1,🚀 利潤擴張
31.26%,52.19,2025-12,⚠️ 追價風險,健策,2025,26.92,42.11686879823594,62.75,49.96,7.960000000000001,3653.TW,41.25%,3820.0,42.0,36.75,1360.5,🚀 利潤擴張
8.38%,40.71,2025-12,✅ 穩健價值,鼎翰,2025,13.9,4.105125977410947,23.16,38.68,7.640000000000001,3611.TWO,32.53%,189.0,31.04,19.63,690.6,🚀 利潤擴張
N/A,17.89,2025-12,✅ 穩健價值,凌網,2025,2.82,5.7301979253836635,-1.4,23.44,7.530000000000001,5212.TWO,N/A,46.2999992371,15.91,4.74,121.2,🚀 利潤擴張
14.85%,15.97,2025-12,✅ 穩健價值,東浦,2025,1.22,12.474619676624366,-0.64,25.64,7.41,3290.TWO,30.40%,49.1500015259,18.23,2.02,59.1,🚀 利潤擴張
-5.62%,1.3,2025-12,⚪ 數據不足,矽瑪,2025,-1.0,0.0,11.5,6.35,7.279999999999999,3511.TWO,15.28%,24.3500003815,-0.93,-1.18,-45.89999999999999,🧐 疑業外收益
