🚀 智能量化選股報告 - 2026-02-23
==========================================================================================

【🚀超級強勢】(數量: 121)
------------------------------------------------------------------------------------------
6291.TWO | 沛亨         | B6: 12.60% | DMA: 41.870 | 💎流入 | 🚀DMA趨勢+放量攻擊
00751B.TWO | YUANTA SECURITIES CO.LTD US 20+ | B6: -0.10% | DMA:  0.065 | 💎流入 | 🔥DMA金叉(起漲)
4908.TWO | 前鼎         | B6: -0.10% | DMA: -2.534 | 💎流入 | 🔥DMA金叉(起漲)
5439.TWO | 高技         | B6: -0.13% | DMA:-13.210 | 💸流出 | 📈5日穿20日(金叉)
8463.TW  | 潤泰材        | B6: -0.24% | DMA: -0.202 | 💎流入 | 🔥DMA金叉(起漲)
8103.TW  | 瀚荃         | B6: -0.43% | DMA:  2.601 | 💎流入 | 🔥DMA金叉(起漲)
1402.TW  | 遠東新        | B6: -0.46% | DMA: -0.098 | 💸流出 | 📈5日穿20日(金叉)
2397.TW  | 友通         | B6: -0.49% | DMA: -0.730 | 💎流入 | 📈5日穿20日(金叉)
3577.TWO | 泓格         | B6: -0.58% | DMA: -0.404 | 💸流出 | 🔥DMA金叉(起漲)
1525.TW  | 江申         | B6: -0.62% | DMA: -0.770 | 💎流入 | 🔥DMA金叉(起漲)
5309.TWO | 系統電        | B6: -0.72% | DMA: -1.100 | 💎流入 | 📈5日穿20日(金叉)
4551.TW  | 智伸科        | B6: -0.74% | DMA:  1.870 | 💎流入 | 📈5日穿20日(金叉)
1409.TW  | 新纖         | B6: -0.97% | DMA: -0.066 | 💎流入 | 🔥DMA金叉(起漲)
2406.TW  | 國碩         | B6: -1.00% | DMA:  1.796 | 💸流出 | 📈5日穿20日(金叉)
2845.TW  | 遠東銀        | B6: -1.09% | DMA: -0.236 | 💎流入 | 📈5日穿20日(金叉)
2460.TW  | 建通         | B6: -1.27% | DMA:  1.255 | 💎流入 | 📈5日穿20日(金叉)
2603.TW  | 長榮         | B6: -1.32% | DMA: -1.340 | 💎流入 | 📈5日穿20日(金叉)
6782.TW  | 視陽         | B6: -1.46% | DMA: -2.490 | 💎流入 | 📈5日穿20日(金叉)
5403.TWO | 中菲         | B6: -1.74% | DMA: -3.630 | 💸流出 | 📈5日穿20日(金叉)
4968.TW  | 立積         | B6: -1.84% | DMA: -6.790 | 💸流出 | 📈5日穿20日(金叉)
4536.TW  | 拓凱         | B6: -2.17% | DMA: -2.130 | 💎流入 | 📈5日穿20日(金叉)
3483.TWO | 力致         | B6: -2.62% | DMA: -4.402 | 💎流入 | 📈5日穿20日(金叉)
5490.TWO | 同亨         | B6: -3.03% | DMA: -1.382 | 💎流入 | 📈5日穿20日(金叉)
6235.TW  | 華孚         | B6: -3.81% | DMA: -2.476 | 💎流入 | 📈5日穿20日(金叉)
3455.TWO | 由田         | B6: -4.11% | DMA:  2.060 | 💎流入 | 📈5日穿20日(金叉)
8028.TW  | 昇陽半導體      | B6: -4.90% | DMA: -7.260 | 💎流入 | 📈5日穿20日(金叉)
1784.TWO | 訊聯         | B6: -6.29% | DMA: -7.218 | 💎流入 | 📈5日穿20日(金叉)
6620.TWO | 漢達         | B6: -6.91% | DMA:-10.130 | 💸流出 | 🔥DMA金叉(起漲)

【🔥高檔警戒】(數量: 68)
------------------------------------------------------------------------------------------
7781.TWO | 昕力資*       | B6: 39.25% | DMA: 10.312 | 💸流出 | 🧨瘋狗浪(極限)
6683.TWO | 雍智科技       | B6: 32.53% | DMA:224.880 | 💎流入 | 🧨瘋狗浪(極限)
5386.TWO | 青雲         | B6: 27.48% | DMA: 37.574 | 💎流入 | 🧨瘋狗浪(極限)
6588.TWO | 東典光電       | B6: 26.75% | DMA: 23.308 | 💎流入 | 🧨瘋狗浪(極限)
7709.TWO | 榮田         | B6: 26.13% | DMA: 19.123 | 💎流入 | 🧨瘋狗浪(極限)
3508.TWO | 位速         | B6: 23.20% | DMA:  7.000 | 💎流入 | 🧨瘋狗浪(極限)
3081.TWO | 聯亞         | B6: 22.44% | DMA:338.080 | 💎流入 | 🧨瘋狗浪(極限)
6426.TW  | 統新         | B6: 22.09% | DMA: 32.508 | 💎流入 | 🧨瘋狗浪(極限)
6510.TWO | 精測         | B6: 21.67% | DMA:1121.200 | 💸流出 | 🧨瘋狗浪(極限)
3576.TW  | 聯合再生       | B6: 21.36% | DMA:  4.106 | 💎流入 | 🧨瘋狗浪(極限)
2740.TWO | 天蔥         | B6: 21.23% | DMA: 11.265 | 💸流出 | 🧨瘋狗浪(極限)
5475.TWO | 德宏         | B6: 20.95% | DMA: 37.880 | 💎流入 | 🧨瘋狗浪(極限)
7734.TWO | 印能科技       | B6: 20.12% | DMA:322.880 | 💎流入 | 🧨瘋狗浪(極限)
3491.TWO | 昇達科        | B6: 18.91% | DMA:427.280 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6285.TW  | 啟��        | B6: 18.68% | DMA: 55.906 | 💸流出 | 🔥高檔轉折(警示)
3163.TWO | 波若威        | B6: 18.39% | DMA:110.620 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3234.TWO | 光環         | B6: 18.29% | DMA: 15.203 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3555.TWO | 博士旺        | B6: 17.85% | DMA: 24.416 | 💎流入 | 🔥高檔轉折(警示)
2367.TW  | 燿華         | B6: 17.65% | DMA: 17.446 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3189.TW  | 景碩         | B6: 15.22% | DMA: 71.099 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6921.TW  | 嘉雨思-創      | B6: 14.39% | DMA:  0.000 | 💸流出 | 🔥高檔轉折(警示)
6716.TWO | 應廣         | B6: 13.35% | DMA: 11.759 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6515.TW  | 穎崴         | B6: 13.30% | DMA:1119.700 | 💎流入 | 🔥高檔轉折(警示)
6451.TW  | 訊芯-KY      | B6: 13.04% | DMA: 17.940 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
6584.TWO | 南俊國際       | B6: 12.32% | DMA: 27.020 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2489.TW  | 瑞軒         | B6: 10.77% | DMA:  5.568 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6202.TW  | 盛群         | B6:  8.46% | DMA:  8.425 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6861.TW  | 睿生光電       | B6:  5.79% | DMA:  7.148 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7744.TWO | 崴寶         | B6:  5.28% | DMA: 29.570 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3529.TWO | 力旺         | B6:  5.28% | DMA: 67.900 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2515.TW  | 中工         | B6:  3.78% | DMA:  0.968 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6831.TW  | 邁科         | B6:  3.34% | DMA: -0.120 | 💎流入 | ⚠️高檔過熱
3230.TWO | 錦明         | B6:  2.65% | DMA: -2.167 | 💎流入 | ⚠️高檔過熱
4806.TWO | 桂田文創       | B6:  2.22% | DMA:  0.355 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2890.TW  | 永豐金        | B6:  1.65% | DMA:  0.966 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2301.TW  | 光寶科        | B6:  1.55% | DMA:  6.700 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2880.TW  | 華南金        | B6:  1.46% | DMA:  1.553 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
006208.TW | 富邦台50      | B6:  1.42% | DMA: 13.213 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2923.TW  | 鼎固-KY      | B6:  0.93% | DMA:  0.233 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2360.TW  | 致茂         | B6:  0.81% | DMA:123.660 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2820.TW  | 華票         | B6:  0.79% | DMA: -0.009 | 💎流入 | ⚠️高檔過熱
2535.TW  | 達欣工        | B6:  0.56% | DMA:  3.664 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00687B.TWO | CATHAY SECS INV TRUST CO LTD BB | B6:  0.18% | DMA:  0.104 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00795B.TWO | CTBC INVESTMENTS CO LTD CTBC US | B6:  0.17% | DMA:  0.098 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00679B.TWO | YUANTA SECURITIES INV TRUST CO  | B6:  0.16% | DMA:  0.084 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00931B.TWO | UNI-PRESIDENT ASSETS MGMT CORP  | B6:  0.14% | DMA:  0.042 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00713.TW | 元大台灣高息低波   | B6: -0.01% | DMA:  0.754 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2881.TW  | 富邦金        | B6: -0.10% | DMA: -1.840 | 💎流入 | ⚠️高檔過熱
00680L.TW | YUANTA SECURITIES INV TRUST CO  | B6: -0.21% | DMA: -0.033 | 💎流入 | ⚠️高檔過熱
00688L.TW | CATHAY SECS INV TRUST CO LTD BB | B6: -0.23% | DMA: -0.033 | 💎流入 | ⚠️高檔過熱
5880.TW  | 合庫金        | B6: -0.30% | DMA: -0.370 | 💎流入 | ⚠️高檔過熱
2892.TW  | 第一金        | B6: -0.42% | DMA: -0.029 | 💎流入 | 🔥高檔轉折(警示)
2886.TW  | 兆豐金        | B6: -0.46% | DMA: -0.649 | 💎流入 | ⚠️高檔過熱
3033.TW  | 威健         | B6: -0.59% | DMA: -0.039 | 💎流入 | 🔥高檔轉折(警示)
2834.TW  | 臺企銀        | B6: -0.99% | DMA: -0.334 | 💎流入 | ⚠️高檔過熱
3266.TW  | 昇陽         | B6: -1.04% | DMA: -0.164 | 💎流入 | 🔥高檔轉折(警示)
6206.TW  | 飛捷         | B6: -1.62% | DMA: -0.604 | 💎流入 | ⚠️高檔過熱
4523.TWO | 永彰         | B6: -1.87% | DMA: -0.055 | 💎流入 | 🔥高檔轉折(警示)
2428.TW  | 興勤         | B6: -2.06% | DMA: -5.310 | 💎流入 | ⚠️高檔過熱
2317.TW  | 鴻海         | B6: -2.23% | DMA: -6.220 | 💎流入 | 🔥高檔轉折(警示)
1560.TW  | 中砂         | B6: -2.23% | DMA: 17.920 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3015.TW  | 全漢         | B6: -2.65% | DMA: -1.140 | 💎流入 | 🔥高檔轉折(警示)
7786.TW  | 東方風能       | B6: -4.59% | DMA: -7.260 | 💎流入 | 🔥高檔轉折(警示)
5493.TWO | 三聯         | B6: -4.68% | DMA: -4.950 | 💎流入 | 🔥高檔轉折(警示)
1773.TW  | 勝一         | B6: -5.10% | DMA: -2.810 | 💎流入 | 🔥高檔轉折(警示)
6863.TW  | 永道-KY      | B6: -5.97% | DMA: -6.520 | 💎流入 | 🔥高檔轉折(警示)
7740.TW  | 熙特爾-創      | B6: -8.19% | DMA: -7.200 | 💎流入 | 🔥高檔轉折(警示)
6924.TW  | 榮惠-KY創     | B6:-11.23% | DMA: -6.940 | 💎流入 | 🔥高檔轉折(警示)
