advice,price,pe,date,expansion,om,symbol,name,rev_yoy,est_price,prev_eps,prev_rev_yoy,gm,prev_year,status,eps_yoy,prev_eps_yoy,eps
❌ 暫避觀望,1445.0,28.96372018440569,2026-03,-121.99000000000001,N/A,7751.TWO,竑騰,196.55,748.35,20.5,62.42,N/A,2025,⚠️ 獲利稀釋,74.56,60.48,7.0
❌ 暫避觀望,426.5,85.8148893360161,2026-03,-122.89,N/A,6538.TWO,倉和,110.02,74.55,1.15,-34.5,N/A,2025,📉 獲利侵蝕,-12.87,-87.49,0.9
⚪ 中性觀察,80.1999969482,4.174908742748568,2026-03,-123.75,N/A,9941.TW,裕融,115.84,288.15000000000003,7.68,-4.66,N/A,2025,📉 獲利侵蝕,-7.91,-12.45,1.82
⚪ 中性觀察,74.9000015259,7.976570982523961,2026-03,-124.1,N/A,5534.TW,長虹,44.79,140.85000000000002,6.0,-29.66,N/A,2025,📉 獲利侵蝕,-79.31,-23.57,0.19
⚪ 中性觀察,32.0,6.083650190114069,2026-03,-124.7,N/A,6730.TWO,常廣,106.18,78.89999999999999,2.14,7.33,N/A,2025,📉 獲利侵蝕,-18.52,-10.33,0.44
⚪ 中性觀察,53.7999992371,5.711252572940553,2026-03,-124.86,35.64%,2420.TW,新巨,127.83,141.3,3.91,-2.6,49.30%,2025,⚠️ 獲利稀釋,2.97,-10.32,1.05
⚪ 數據不足,38.0,0.0,2026-03,-124.99,-48.58%,3176.TWO,基亞,-26.36,-9.600000000000001,-0.78,15.28,56.72%,2025,🏰 高護城河,-151.35,46.94,-0.38
⚪ 數據不足,30.9500007629,0.0,2026-03,-125.00999999999999,4.68%,4807.TW,日成-KY,769.01,-3.4499999999999997,-0.24,19.6,18.47%,2025,🔄 轉虧為盈,644.0,84.62,1.7
⚪ 中性觀察,124.5,13.772123893805311,2026-03,-127.46000000000001,N/A,6655.TW,科定,148.24,135.6,3.92,3.86,N/A,2025,⚠️ 獲利稀釋,20.78,-18.72,0.95
⚪ 數據不足,11.6000003815,0.0,2026-03,-127.63,-74.64%,3085.TWO,新零售,86.45,-23.400000000000002,-0.56,5.58,73.88%,2025,🏰 高護城河,-41.18,41.67,-0.24
⚪ 中性觀察,81.4000015259,6.24233140536043,2026-03,-127.81999999999996,12.43%,4580.TWO,捷流閥業,298.59,195.6,5.03,-5.55,31.57%,2025,⚠️ 獲利稀釋,170.77,-42.92,1.76
❌ 暫避觀望,232.0,46.21513944223108,2026-03,-127.85000000000001,17.75%,4908.TWO,前鼎,129.18,75.3,1.98,-12.98,46.40%,2025,⚠️ 獲利稀釋,1.33,-29.79,0.76
⚪ 中性觀察,1590.0,9.57139417288707,2026-03,-128.04,29.92%,3533.TW,嘉澤,133.38,2491.8,70.17,12.28,51.54%,2025,🏰 高護城河,5.34,-15.21,21.37
⚪ 中性觀察,180.0,6.654343807763401,2026-03,-128.85,N/A,6146.TWO,耕興,133.06,405.75,10.77,-1.34,N/A,2025,⚠️ 獲利稀釋,4.21,-14.93,2.97
⚪ 中性觀察,71.3000030518,0.98521491020865,2026-03,-129.17000000000002,N/A,5904.TWO,寶雅,153.5,1085.5500000000002,29.54,7.16,N/A,2025,⚠️ 獲利稀釋,24.33,10.48,9.3
⚪ 中性觀察,51.0,5.855338691159586,2026-03,-129.32000000000002,N/A,6899.TWO,創為精密,133.24,130.65,3.59,27.05,N/A,2025,⚠️ 獲利稀釋,3.92,7.23,1.08
⚪ 中性觀察,24.2999992371,12.857142453492063,2026-03,-130.9,23.50%,4166.TWO,友霖,100.47,28.35,0.9,14.52,60.10%,2025,🏰 高護城河,-30.43,79.17,0.16
❌ 暫避觀望,1960.0,21.65745856353591,2026-03,-131.37,N/A,7750.TW,新代,234.77,1357.5,35.12,29.17,N/A,2025,⚠️ 獲利稀釋,103.4,51.69,15.38
⚪ 中性觀察,70.0,14.675052410901468,2026-03,-132.45,N/A,6205.TW,詮欣,86.74,71.55,2.0,-3.02,N/A,2025,📉 獲利侵蝕,-45.71,-25.66,0.38
❌ 暫避觀望,92.5,20.24070021881838,2026-03,-132.72000000000003,N/A,4968.TW,立積,239.86,68.55000000000001,2.66,2.24,N/A,2025,⚠️ 獲利稀釋,107.14,56.47,0.58
⚪ 中性觀察,25.75,5.709534368070954,2026-03,-133.04999999999998,N/A,5490.TWO,同亨,127.49,67.64999999999999,1.69,12.01,N/A,2025,📉 獲利侵蝕,-5.56,382.35,0.7
❌ 暫避觀望,548.0,29.117959617428266,2026-03,-133.55,17.47%,3680.TWO,家登,149.46,282.3,9.43,12.26,43.28%,2025,⚠️ 獲利稀釋,15.91,-22.51,2.55
⚪ 中性觀察,36.6500015259,7.116505150660194,2026-03,-133.64,9.02%,2948.TWO,寶陞,136.2,77.25,2.14,1.84,48.05%,2025,⚠️ 獲利稀釋,2.56,-2.28,0.4
❌ 暫避觀望,2465.0,23.800328280390076,2026-03,-134.24,29.56%,3131.TWO,弘塑,215.25,1553.55,45.48,59.93,42.10%,2025,⚠️ 獲利稀釋,81.01,56.98,16.11
⚪ 中性觀察,42.0,14.840989399293285,2026-03,-134.56,N/A,5906.TW,台南-KY,64.29,42.45,0.98,-7.04,N/A,2025,📉 獲利侵蝕,-70.27,-41.32,0.11
⚪ 中性觀察,26.0,2.4667931688804554,2026-03,-135.08,N/A,6171.TWO,大城地產,301.75,158.10000000000002,3.82,-35.35,N/A,2025,⚠️ 獲利稀釋,166.67,-33.33,0.08
❌ 暫避觀望,102.5,100.49019607843137,2026-03,-136.5,7.58%,3138.TW,耀登,226.98,15.3,1.5,2.05,41.30%,2025,⚠️ 獲利稀釋,90.48,-51.49,-0.02
⚪ 中性觀察,23.8500003815,9.208494355791506,2026-03,-136.71,N/A,5278.TWO,尚凡*,115.09,38.849999999999994,1.05,18.28,N/A,2025,📉 獲利侵蝕,-21.62,56.72,0.29
⚪ 中性觀察,79.1999969482,12.753622696972624,2026-03,-136.76,N/A,6642.TWO,富致,124.86,93.15,2.6,3.61,N/A,2025,📉 獲利侵蝕,-11.9,-27.37,0.74
⚪ 中性觀察,11.25,12.640449438202246,2026-03,-136.98000000000002,-7.54%,4109.TWO,加捷生醫,182.43,13.35,0.43,-9.62,24.70%,2025,⚠️ 獲利稀釋,45.45,-80.37,0.15
⚪ 數據不足,55.0,0.0,2026-03,-137.41,N/A,6680.TWO,鑫創電子,237.41,-35.849999999999994,-0.29,-15.41,N/A,2025,🔄 轉虧為盈,100.0,-106.78,0.08
⚪ 數據不足,0.0,0.0,2026-03,-137.46,18.07%,1319.TW,東陽,102.78,0.0,6.43,-1.96,33.68%,2025,📉 獲利侵蝕,-34.68,-13.11,1.62
❌ 暫避觀望,66.1999969482,21.9205287907947,2026-03,-137.54000000000002,N/A,6517.TWO,保勝光學,102.54,45.3,1.63,-1.73,N/A,2025,📉 獲利侵蝕,-35.0,-55.59,0.52
⚪ 數據不足,11.0500001907,0.0,2026-03,-137.61,-7.01%,2913.TW,農林,137.61,-5.7,-0.15,9.13,40.70%,2025,📉 獲利侵蝕,0.0,31.82,-0.04
⚪ 中性觀察,26.0,1.3019529293940912,2026-03,-137.88,N/A,8422.TW,可寧衛*,43.67,299.54999999999995,1.29,-7.53,N/A,2025,📉 獲利侵蝕,-94.21,-87.79,0.21
⚪ 中性觀察,142.0,7.671528903295515,2026-03,-138.13,N/A,6206.TW,飛捷,148.7,277.65000000000003,6.9,9.26,N/A,2025,⚠️ 獲利稀釋,10.57,-0.43,2.51
⚪ 中性觀察,100.0,8.561643835616438,2026-03,-138.3,N/A,6532.TWO,瑞耘,103.42,175.2,7.31,-6.21,N/A,2025,📉 獲利侵蝕,-34.88,81.39,0.84
⚪ 數據不足,20.5499992371,0.0,2026-03,-138.5,N/A,5211.TWO,蒙恬,174.21,-33.3,-0.77,34.16,N/A,2025,⚠️ 獲利稀釋,35.71,34.19,-0.18
⚪ 中性觀察,45.0,8.07899461400359,2026-03,-138.67999999999998,1.28%,3306.TWO,鼎天,312.01,83.55000000000001,1.95,10.49,25.80%,2025,⚠️ 獲利稀釋,173.33,-33.45,0.11
⚪ 中性觀察,133.5,8.947721179624665,2026-03,-138.73,N/A,8109.TWO,博大,148.79,223.8,6.18,15.04,N/A,2025,⚠️ 獲利稀釋,10.06,-4.63,1.75
❌ 暫避觀望,17.25,44.230769230769226,2026-03,-139.09000000000003,-3.56%,1414.TW,東和,539.09,5.8500000000000005,0.19,-10.66,15.75%,2025,⚠️ 獲利稀釋,400.0,-19.23,0.06
⚪ 中性觀察,40.0999984741,7.711538168096153,2026-03,-139.35,N/A,7770.TWO,君曜,51.4,78.0,3.0,12.79,N/A,2025,📉 獲利侵蝕,-87.95,-47.4,0.1
⚪ 中性觀察,240.0,8.168822328114363,2026-03,-139.45,N/A,7765.TW,中華資安,142.19,440.70000000000005,11.47,3.64,N/A,2025,⚠️ 獲利稀釋,2.74,2.97,3.38
⚪ 中性觀察,45.0,3.480278422273782,2026-03,-139.69,11.73%,1295.TWO,生合,70.64,193.95,5.29,4.97,49.97%,2025,📉 獲利侵蝕,-69.05,-6.08,0.39
⚪ 數據不足,38.4000015259,0.0,2026-03,-140.07,N/A,6243.TW,迅杰,30.39,-18.6,-0.52,-12.93,N/A,2025,📉 獲利侵蝕,-109.68,-147.27,-0.03
⚪ 中性觀察,37.5,4.185267857142858,2026-03,-140.25,12.30%,4584.TWO,君帆,108.67,134.39999999999998,3.43,-1.51,34.23%,2025,📉 獲利侵蝕,-31.58,-4.72,0.91
⚪ 中性觀察,159.0,8.200103145951521,2026-03,-140.68,N/A,2729.TWO,瓦城,104.46,290.85,6.76,0.46,N/A,2025,📉 獲利侵蝕,-36.22,-24.75,1.64
❌ 暫避觀望,191.0,28.721804511278197,2026-03,-141.57,2.86%,3035.TW,智原,71.65,99.74999999999999,2.81,62.61,42.16%,2025,📉 獲利侵蝕,-69.92,-29.75,0.4
❌ 暫避觀望,68.0,19.263456090651555,2026-03,-141.77,N/A,6292.TWO,迅德,244.55,52.95,2.0,-3.28,N/A,2025,⚠️ 獲利稀釋,102.78,-48.05,0.73
⚪ 中性觀察,250.5,5.700955848884842,2026-03,-141.78,N/A,8081.TW,致新,137.6,659.1,17.76,5.0,N/A,2025,📉 獲利侵蝕,-4.18,-0.84,4.62
⚪ 中性觀察,75.0,5.215577190542421,2026-03,-141.87,N/A,6527.TWO,明達醫,133.59,215.7,5.8,9.33,N/A,2025,📉 獲利侵蝕,-8.28,15.63,1.33
⚪ 數據不足,24.7999992371,0.0,2026-03,-141.93,N/A,6461.TWO,益得,143.49,-88.05,-2.57,170.31,N/A,2025,⚠️ 獲利稀釋,1.56,18.35,-0.63
⚪ 中性觀察,28.3500003815,3.3313748979435958,2026-03,-142.2,N/A,7715.TWO,裕山,89.96,127.64999999999999,3.09,-27.76,N/A,2025,📉 獲利侵蝕,-52.24,-39.84,0.64
⚪ 中性觀察,1240.0,11.745761106374916,2026-03,-142.26,31.25%,1590.TW,亞德客-KY,180.17,1583.5500000000002,42.0,11.97,47.51%,2025,⚠️ 獲利稀釋,37.91,10.18,13.35
⚪ 數據不足,8.3000001907,0.0,2026-03,-142.72,-58.77%,1538.TW,正峰,51.34,-39.0,-1.59,1.9,32.24%,2025,📉 獲利侵蝕,-91.38,6.47,-1.11
⚪ 數據不足,24.8999996185,0.0,2026-03,-143.05,N/A,5468.TWO,凱鈺,443.05,-13.65,-0.65,36.88,N/A,2025,🔄 轉虧為盈,300.0,-246.15,0.12
⚪ 中性觀察,548.0,7.981357413341102,2026-03,-143.09,16.92%,3034.TW,聯詠,114.65,1029.8999999999999,26.87,-2.07,38.19%,2025,📉 獲利侵蝕,-28.44,-19.62,6.19
❌ 暫避觀望,171.0,72.76595744680853,2026-03,-144.31,N/A,8033.TW,雷虎,185.98,35.24999999999999,0.58,14.37,N/A,2025,⚠️ 獲利稀釋,41.67,14.0,0.34
⚪ 中性觀察,567.0,6.5754377826742445,2026-03,-144.99,N/A,4966.TWO,譜瑞-KY,125.8,1293.4499999999998,34.51,1.76,N/A,2025,📉 獲利侵蝕,-19.19,6.64,6.77
❌ 暫避觀望,6000.0,32.2407307898979,2026-03,-145.23999999999998,N/A,7769.TW,鴻勁,206.98,2791.5,75.71,116.34,N/A,2025,⚠️ 獲利稀釋,61.74,110.03,25.7
⚪ 中性觀察,50.7000007629,10.496894567888198,2026-03,-145.57999999999998,N/A,4995.TWO,晶達,237.89,72.45,2.25,-7.32,N/A,2025,⚠️ 獲利稀釋,92.31,-50.22,1.01
❌ 暫避觀望,14.8999996185,19.35064885519481,2026-03,-145.98999999999998,N/A,4155.TW,訊映,269.52,11.549999999999999,0.58,-6.81,N/A,2025,⚠️ 獲利稀釋,123.53,-10.94,0.39
⚪ 中性觀察,43.9500007629,10.414692123909953,2026-03,-146.18,14.34%,1203.TW,味王,130.66,63.3,1.81,-10.06,33.56%,2025,📉 獲利侵蝕,-15.52,-23.5,0.49
⚪ 中性觀察,68.8000030518,7.917146496179516,2026-03,-146.45999999999998,N/A,7642.TWO,昶瑞機電,79.57,130.35000000000002,3.29,-15.67,N/A,2025,📉 獲利侵蝕,-66.89,-50.94,0.5
❌ 暫避觀望,222.0,16.468842729970326,2026-03,-147.03,N/A,7810.TWO,捷創科技,177.74,202.2,6.25,34.56,N/A,2025,⚠️ 獲利稀釋,30.71,47.62,1.83
⚪ 中性觀察,94.9000015259,13.291316740322129,2026-03,-147.64000000000001,N/A,8932.TWO,智通*,107.87,107.1,1.85,51.84,N/A,2025,📉 獲利侵蝕,-39.77,-7.07,0.53
⚪ 中性觀察,41.2999992371,14.856114833489212,2026-03,-147.67999999999998,N/A,6821.TWO,聯寶,151.01,41.699999999999996,1.13,2.84,N/A,2025,⚠️ 獲利稀釋,3.33,-5.93,0.32
❌ 暫避觀望,292.5,15.948745910577971,2026-03,-147.81,N/A,5234.TW,達興材料,165.36,275.1,7.37,12.43,N/A,2025,⚠️ 獲利稀釋,17.55,32.55,2.21
⚪ 中性觀察,23.0499992371,4.49317723920078,2026-03,-148.18,N/A,6671.TW,三能-KY,118.45,76.94999999999999,2.37,-2.1,N/A,2025,📉 獲利侵蝕,-29.73,-25.47,0.26
⚪ 中性觀察,18.7000007629,8.201754720570177,2026-03,-148.53,N/A,8923.TWO,時報,86.03,34.199999999999996,0.96,2.69,N/A,2025,📉 獲利侵蝕,-62.5,3.23,0.18
❌ 暫避觀望,140.5,19.73314606741573,2026-03,-148.87,N/A,4572.TW,駐龍,119.1,106.8,3.0,-23.02,N/A,2025,📉 獲利侵蝕,-29.77,-58.85,0.92
❌ 暫避觀望,5790.0,63.879082082965574,2026-03,-149.18,31.26%,3653.TW,健策,148.55,1359.6,36.75,42.0,41.25%,2025,📉 獲利侵蝕,-0.63,49.96,9.53
⚪ 數據不足,93.3000030518,0.0,2026-03,-149.42000000000002,-15.73%,2231.TW,為升,106.56,-24.3,-1.63,-21.77,23.65%,2025,🔄 轉虧為盈,-42.86,-148.96,0.4
⚪ 數據不足,13.6999998093,0.0,2026-03,-150.01,N/A,4188.TWO,安克,166.01,-33.75,-0.88,-42.69,N/A,2025,⚠️ 獲利稀釋,16.0,-10.0,-0.21
⚪ 數據不足,44.5,0.0,2026-03,-150.05,N/A,6226.TW,光鼎,261.16,-9.9,-0.28,-3.71,N/A,2025,🔄 轉虧為盈,111.11,38.64,0.01
⚪ 中性觀察,35.5,3.3713200379867048,2026-03,-150.47,N/A,7753.TWO,星亞,159.56,157.95,4.22,9.51,N/A,2025,⚠️ 獲利稀釋,9.09,10.39,1.08
⚪ 數據不足,17.7000007629,0.0,2026-03,-150.56,23.11%,4142.TW,國光生,167.87,-47.25000000000001,-0.57,-9.99,49.56%,2025,⚠️ 獲利稀釋,17.31,1.75,-0.44
⚪ 中性觀察,183.0,12.348178137651821,2026-03,-150.93,N/A,6719.TW,力智,192.82,222.3,6.58,23.89,N/A,2025,⚠️ 獲利稀釋,41.89,198.64,2.1
❌ 暫避觀望,1675.0,45.640326975476846,2026-03,-151.18,N/A,6683.TWO,雍智科技,216.06,550.4999999999999,15.42,23.03,N/A,2025,⚠️ 獲利稀釋,64.88,-12.9,6.23
⚪ 數據不足,28.8999996185,0.0,2026-03,-152.4,-19.63%,3086.TWO,華義*,47.85,-25.5,-0.62,5.99,44.07%,2025,📉 獲利侵蝕,-104.55,-192.54,-0.01
❌ 暫避觀望,5795.0,47.1751872354282,2026-03,-152.6,N/A,6515.TW,穎崴,166.0,1842.6000000000001,46.93,35.51,N/A,2025,⚠️ 獲利稀釋,13.4,40.24,19.54
⚪ 中性觀察,93.9000015259,9.7204970523706,2026-03,-152.6,N/A,4946.TWO,辣椒,69.99,144.9,3.14,786.25,N/A,2025,📉 獲利侵蝕,-82.61,131.69,0.41
⚪ 中性觀察,31.2000007629,3.8805971098134324,2026-03,-152.73000000000002,N/A,6962.TW,奕力-KY,83.05,120.60000000000001,2.87,-15.03,N/A,2025,📉 獲利侵蝕,-69.68,-39.39,0.58
⚪ 中性觀察,63.0,7.535885167464115,2026-03,-152.76,5.94%,2756.TWO,聯發國際,148.91,125.39999999999999,3.93,69.66,49.60%,2025,📉 獲利侵蝕,-3.85,61.83,0.51
❌ 暫避觀望,63.2999992371,32.46153807030769,2026-03,-153.12,-0.86%,3438.TWO,類比科,125.85,29.250000000000004,1.0,4.92,38.12%,2025,📉 獲利侵蝕,-27.27,-33.77,0.24
⚪ 中性觀察,106.0,7.571428571428571,2026-03,-153.44,N/A,6585.TW,鼎基,124.98,210.0,5.64,-13.21,N/A,2025,📉 獲利侵蝕,-28.46,-45.5,1.86
❌ 暫避觀望,21.9500007629,41.4150957790566,2026-03,-153.53,-362.94%,3308.TW,聯德,55.25,7.95,0.68,-88.36,23.48%,2025,📉 獲利侵蝕,-98.28,-32.0,0.01
⚪ 中性觀察,73.0,5.259365994236312,2026-03,-153.63,22.47%,2348.TW,海悅,60.26,208.2,6.85,-27.63,34.04%,2025,📉 獲利侵蝕,-93.37,-51.27,0.16
⚪ 中性觀察,26.3999996185,5.764192056441048,2026-03,-154.0,N/A,1524.TW,耿鼎,108.08,68.7,1.95,-12.78,N/A,2025,📉 獲利侵蝕,-45.92,-45.98,0.53
⚪ 數據不足,0.0,0.0,2026-03,-154.59,41.07%,2617.TW,台航,177.0,0.0,3.18,-2.28,46.23%,2025,⚠️ 獲利稀釋,22.41,3.25,0.71
⚪ 數據不足,24.25,0.0,2026-03,-154.6,-12.95%,3122.TWO,笙泉,199.88,-67.95,-1.75,-11.1,34.82%,2025,⚠️ 獲利稀釋,45.28,-22.38,-0.29
⚪ 數據不足,50.5,0.0,2026-03,-154.78,N/A,6695.TW,芯鼎,159.07,-87.9,-1.83,10.49,N/A,2025,⚠️ 獲利稀釋,4.29,-355.0,-0.68
❌ 暫避觀望,1520.0,78.43137254901961,2026-03,-154.98,27.57%,3491.TWO,昇達科,225.35,290.7,7.83,5.02,58.57%,2025,🏰 高護城河,70.37,-12.03,3.68
⚪ 中性觀察,49.0499992371,7.3538229740779615,2026-03,-155.0,N/A,6161.TWO,捷波,200.61,100.05,2.72,12.38,N/A,2025,⚠️ 獲利稀釋,45.61,-20.23,0.83
⚪ 中性觀察,133.0,11.12970711297071,2026-03,-155.49,N/A,4163.TWO,鐿鈦,132.18,179.25000000000003,5.13,1.22,N/A,2025,📉 獲利侵蝕,-23.31,-5.16,1.29
⚪ 中性觀察,166.5,9.275766016713092,2026-03,-155.52999999999997,N/A,6761.TWO,穩得,140.64,269.25,7.34,-2.32,N/A,2025,📉 獲利侵蝕,-14.89,2.89,1.6
❌ 暫避觀望,45.4000015259,15.183946998628764,2026-03,-155.94,11.18%,3093.TWO,港建*,74.54,44.849999999999994,1.22,38.76,40.97%,2025,📉 獲利侵蝕,-81.4,15.09,0.08
⚪ 中性觀察,168.5,13.610662358642974,2026-03,-156.84,N/A,5474.TWO,聰泰,115.66,185.7,5.49,22.92,N/A,2025,📉 獲利侵蝕,-41.18,-22.13,0.6
⚪ 中性觀察,68.3000030518,4.455316572198304,2026-03,-156.91000000000003,N/A,6498.TWO,久禾光,173.58,229.95000000000002,6.51,19.77,N/A,2025,⚠️ 獲利稀釋,16.67,11.33,1.75
⚪ 中性觀察,43.0999984741,9.885320750940366,2026-03,-157.4,N/A,9918.TW,欣天然,174.38,65.4,1.61,2.96,N/A,2025,⚠️ 獲利稀釋,16.98,-28.18,0.63
⚪ 數據不足,11.8500003815,0.0,2026-03,-157.79,N/A,8067.TWO,志旭,57.79,-29.85,-0.59,-2.17,N/A,2025,📉 獲利侵蝕,-100.0,16.9,-0.62
⚪ 數據不足,17.1000003815,0.0,2026-03,-158.26999999999998,N/A,5272.TWO,笙科,68.27,-50.4,-1.33,2.86,N/A,2025,📉 獲利侵蝕,-90.0,-1377.78,-0.57
❌ 暫避觀望,14.8999996185,16.19565175923913,2026-03,-158.51,-2.71%,3024.TW,憶聲,68.51,13.800000000000002,0.28,-31.39,24.73%,2025,📉 獲利侵蝕,-90.0,-57.58,0.02
❌ 暫避觀望,28.8500003815,48.08333396916667,2026-03,-158.55,N/A,8080.TWO,泰霖,76.73,9.0,0.12,22.38,N/A,2025,📉 獲利侵蝕,-81.82,139.29,0.02
⚪ 中性觀察,144.0,7.779578606158834,2026-03,-159.02,N/A,6862.TW,三集瑞-KY,90.37,277.65,8.29,2.98,N/A,2025,📉 獲利侵蝕,-68.65,-19.59,1.0
⚪ 數據不足,14.6499996185,0.0,2026-03,-159.39000000000001,-18.87%,4128.TWO,中天,185.58,-58.650000000000006,-1.29,9.94,42.56%,2025,⚠️ 獲利稀釋,26.19,31.02,-0.31
⚪ 中性觀察,170.5,6.091461236155769,2026-03,-159.41,N/A,6996.TWO,力領科技,195.54,419.85,12.15,-9.4,N/A,2025,⚠️ 獲利稀釋,36.13,-14.17,3.27
⚪ 中性觀察,31.2999992371,9.513677579665654,2026-03,-159.61,17.09%,1568.TW,倉佑,155.84,49.35,1.36,0.3,34.44%,2025,📉 獲利侵蝕,-3.77,-13.92,0.51
⚪ 數據不足,34.7000007629,0.0,2026-03,-161.35,N/A,6237.TWO,驊訊,214.29,-67.2,-1.52,11.69,N/A,2025,⚠️ 獲利稀釋,52.94,-462.96,-0.24
⚪ 中性觀察,61.0,11.509433962264152,2026-03,-162.27,N/A,8102.TWO,傑霖科技,100.37,79.49999999999999,2.25,-23.31,N/A,2025,📉 獲利侵蝕,-61.9,-62.55,0.4
⚪ 中性觀察,60.0,5.45950864422202,2026-03,-162.29000000000002,N/A,6203.TWO,海韻電,137.15,164.85,5.51,37.15,N/A,2025,📉 獲利侵蝕,-25.14,57.43,1.37
⚪ 中性觀察,154.0,9.87179487179487,2026-03,-163.5,N/A,6651.TWO,全宇昕,186.39,234.00000000000003,6.32,3.91,N/A,2025,⚠️ 獲利稀釋,22.89,-22.95,2.47
⚪ 中性觀察,126.0,6.464853771164699,2026-03,-164.20999999999998,7.00%,3213.TWO,茂訊,155.73,292.35,7.4,1.19,25.33%,2025,📉 獲利侵蝕,-8.48,-12.32,2.59
⚪ 數據不足,8.0100002289,0.0,2026-03,-165.21,-40.94%,2424.TW,隴華,50.4,-58.8,-1.34,34.04,27.86%,2025,📉 獲利侵蝕,-114.81,59.69,-0.58
⚪ 中性觀察,54.5999984741,5.617283793631687,2026-03,-165.56,12.42%,4138.TWO,曜亞,139.24,145.8,3.81,-11.82,44.64%,2025,📉 獲利侵蝕,-26.32,-32.69,0.84
⚪ 中性觀察,77.3000030518,8.329741708168106,2026-03,-165.8,30.49%,2606.TW,裕民,499.13,139.19999999999996,4.31,-4.75,35.36%,2025,⚠️ 獲利稀釋,333.33,-22.2,1.17
❌ 暫避觀望,15.3000001907,90.00000112176471,2026-03,-166.92,22.84%,3252.TWO,海灣,179.42,2.55,0.13,-3.71,43.11%,2025,⚠️ 獲利稀釋,12.5,141.94,0.09
⚪ 中性觀察,77.0,14.419475655430713,2026-03,-167.23000000000002,N/A,4949.TW,有成精密,364.73,80.1,1.91,-0.48,N/A,2025,⚠️ 獲利稀釋,197.5,240.74,1.19
⚪ 中性觀察,322.0,14.838709677419358,2026-03,-167.26,N/A,6197.TW,佳必琪,264.19,325.49999999999994,8.67,12.03,N/A,2025,⚠️ 獲利稀釋,96.93,-0.23,3.21
⚪ 數據不足,19.0952205658,0.0,2026-03,-167.39999999999998,N/A,6550.TW,北極星藥業-KY,192.98,-160.04999999999998,-5.1,-62.05,N/A,2025,⚠️ 獲利稀釋,25.58,-40.62,-0.64
⚪ 數據不足,15.9499998093,0.0,2026-03,-167.48000000000002,-38.32%,2482.TW,連宇,162.93,-45.3,-1.09,-16.89,35.81%,2025,📉 獲利侵蝕,-4.55,-234.57,-0.23
⚪ 數據不足,9.1199998856,0.0,2026-03,-168.3,N/A,8437.TWO,大地-KY,157.19,-46.050000000000004,-1.29,-31.28,N/A,2025,📉 獲利侵蝕,-11.11,-516.13,-0.4
❌ 暫避觀望,706.0,23.346560846560845,2026-03,-168.54,15.69%,2395.TW,研華,190.06,453.6,12.25,18.56,39.78%,2025,⚠️ 獲利稀釋,21.52,17.26,3.85
❌ 暫避觀望,89.1999969482,28.49840158089457,2026-03,-168.57000000000002,N/A,6224.TW,聚鼎,215.08,46.949999999999996,0.67,-2.5,N/A,2025,⚠️ 獲利稀釋,46.51,-69.96,0.64
❌ 暫避觀望,735.0,25.485436893203882,2026-03,-169.10000000000002,23.34%,4749.TWO,新應材,232.49,432.6,11.33,28.3,44.02%,2025,⚠️ 獲利稀釋,63.39,32.78,3.66
❌ 暫避觀望,300.5,43.550724637681164,2026-03,-169.86,N/A,6937.TW,天虹,201.37,103.49999999999999,3.01,-13.26,N/A,2025,⚠️ 獲利稀釋,31.51,-50.25,0.96
⚪ 中性觀察,180.5,7.542833263685749,2026-03,-170.18,N/A,6690.TWO,安�硌穈T,191.57,358.95000000000005,10.22,13.3,N/A,2025,⚠️ 獲利稀釋,21.39,36.27,2.27
❌ 暫避觀望,71.8000030518,102.57143293114287,2026-03,-170.28,N/A,6485.TWO,點序,70.28,10.5,0.71,16.84,N/A,2025,📉 獲利侵蝕,-100.0,152.21,0.0
⚪ 數據不足,22.0499992371,0.0,2026-03,-170.61,N/A,6929.TWO,佑全,195.61,-49.05,-1.63,-1.45,N/A,2025,⚠️ 獲利稀釋,25.0,-54.29,-0.21
⚪ 中性觀察,96.1999969482,8.93221884384401,2026-03,-170.81,N/A,5299.TWO,杰力,189.52,161.55,4.58,-12.32,N/A,2025,⚠️ 獲利稀釋,18.71,-22.77,1.65
❌ 暫避觀望,21.3999996185,31.47058767426471,2026-03,-172.04999999999995,1.25%,1323.TW,永裕,792.05,10.2,0.26,-23.91,15.09%,2025,⚠️ 獲利稀釋,620.0,-89.88,0.36
⚪ 中性觀察,61.2000007629,14.101382664262673,2026-03,-172.23000000000002,17.87%,2070.TWO,精湛,129.05,65.1,2.3,-2.97,45.13%,2025,📉 獲利侵蝕,-43.18,-22.56,0.28
⚪ 中性觀察,45.2000007629,3.318649101534508,2026-03,-172.28,N/A,6591.TW,動力-KY,116.4,204.29999999999998,5.37,38.81,N/A,2025,📉 獲利侵蝕,-55.88,60.88,0.75
❌ 暫避觀望,30.0,23.4375,2026-03,-172.47,-1.48%,2926.TWO,誠品生活,178.72,19.2,0.54,1.84,40.82%,2025,⚠️ 獲利稀釋,6.25,100.0,0.17
❌ 暫避觀望,36.4000015259,29.59349717552846,2026-03,-173.02,-18.51%,3297.TWO,杭特,201.59,18.45,0.47,20.59,30.70%,2025,⚠️ 獲利稀釋,28.57,461.54,-0.05
⚪ 中性觀察,62.7000007629,12.795918523040816,2026-03,-173.26,N/A,7704.TWO,明遠精密,216.12,73.49999999999999,2.07,-11.73,N/A,2025,⚠️ 獲利稀釋,42.86,-22.56,0.7
