🚀 智能量化選股報告 - 2026-03-19
==========================================================================================

【🚀超級強勢】(數量: 135)
------------------------------------------------------------------------------------------
2360.TW  | 致茂         | B6: 12.79% | DMA:339.540 | 💎流入 | 🚀DMA趨勢+多頭強勢
5328.TWO | 華容         | B6:  1.08% | DMA:  1.070 | 💎流入 | 📈5日穿20日(金叉)
2464.TW  | 盟立         | B6:  0.95% | DMA:  2.748 | 💎流入 | 🔥DMA金叉(起漲)
2501.TW  | 國建         | B6:  0.71% | DMA: -0.039 | 💎流入 | 📈5日穿20日(金叉)
3581.TWO | 博磊         | B6:  0.70% | DMA: -1.324 | 💎流入 | 🔥DMA金叉(起漲)
2069.TW  | 運錩         | B6:  0.67% | DMA: -0.202 | 💸流出 | 🔥DMA金叉(起漲)
2342.TW  | 茂矽         | B6:  0.47% | DMA: -1.092 | 💎流入 | 🔥DMA金叉(起漲)
8067.TWO | 志旭         | B6:  0.46% | DMA:  0.029 | 💸流出 | 📈5日穿20日(金叉)
2049.TW  | 上銀         | B6:  0.34% | DMA:  6.720 | 💸流出 | 📈5日穿20日(金叉)
1460.TW  | 宏遠         | B6:  0.27% | DMA:  0.183 | 💎流入 | 📈5日穿20日(金叉)
6196.TW  | 帆宣         | B6:  0.26% | DMA: -4.390 | 💎流入 | 📈5日穿20日(金叉)
00891.TW | 中信關鍵半導體    | B6:  0.25% | DMA:  1.368 | 💎流入 | 📈5日穿20日(金叉)
4720.TW  | 德淵         | B6:  0.21% | DMA: -0.303 | 💎流入 | 🔥DMA金叉(起漲)
1512.TW  | 瑞利         | B6:  0.10% | DMA: -0.197 | 💎流入 | 🔥DMA金叉(起漲)
1537.TW  | 廣隆         | B6:  0.07% | DMA: -0.010 | 💸流出 | 🔥DMA金叉(起漲)
1219.TW  | 福壽         | B6:  0.00% | DMA:  0.065 | 💎流入 | 🔥DMA金叉(起漲)
8081.TW  | 致新         | B6:  0.00% | DMA:  7.860 | 💎流入 | 📈5日穿20日(金叉)
6613.TWO | 朋億*        | B6: -0.04% | DMA: -2.854 | 💎流入 | 🔥DMA金叉(起漲)
3219.TWO | 倚強科        | B6: -0.15% | DMA: -3.026 | 💸流出 | 🔥DMA金叉(起漲)
6142.TW  | 友勁         | B6: -0.26% | DMA:  0.044 | 💎流入 | 🔥DMA金叉(起漲)
2027.TW  | 大成鋼        | B6: -0.32% | DMA:  0.135 | 💸流出 | 🔥DMA金叉(起漲)
6101.TWO | 寬魚國際       | B6: -0.34% | DMA: -0.187 | 💸流出 | 🔥DMA金叉(起漲)
4760.TWO | 勤凱         | B6: -0.37% | DMA: -1.690 | 💎流入 | 📈5日穿20日(金叉)
00919.TW | 群益台灣精選高息   | B6: -0.39% | DMA:  0.036 | 💎流入 | 📈5日穿20日(金叉)
00939.TW | 統一台灣高息動能   | B6: -0.43% | DMA:  0.236 | 💎流入 | 📈5日穿20日(金叉)
6129.TWO | 普誠         | B6: -0.43% | DMA:  0.040 | 💸流出 | 🔥DMA金叉(起漲)
00918.TW | 大華優利高填息30  | B6: -0.43% | DMA:  0.013 | 💎流入 | 📈5日穿20日(金叉)
6257.TW  | 矽格         | B6: -0.50% | DMA:  1.720 | 💎流入 | 📈5日穿20日(金叉)
3008.TW  | 大立光        | B6: -0.56% | DMA:-67.466 | 💸流出 | 📈5日穿20日(金叉)
6512.TWO | 啟發電        | B6: -0.61% | DMA: -0.406 | 💸流出 | 🔥DMA金叉(起漲)
3285.TWO | 微端         | B6: -0.70% | DMA:  0.241 | 💎流入 | 🔥DMA金叉(起漲)
6579.TW  | 研揚         | B6: -0.71% | DMA: -1.490 | 💎流入 | 🔥DMA金叉(起漲)
6163.TWO | 華電網        | B6: -0.81% | DMA: -5.294 | 💎流入 | 🔥DMA金叉(起漲)
5876.TW  | 上海商銀       | B6: -0.88% | DMA: -0.579 | 💎流入 | 🔥DMA金叉(起漲)
3090.TW  | 日電貿        | B6: -0.88% | DMA: -3.092 | 💎流入 | 🔥DMA金叉(起漲)
6015.TWO | 宏遠證        | B6: -1.00% | DMA:  0.456 | 💎流入 | 📈5日穿20日(金叉)
00900.TW | 富邦特選高股息30  | B6: -1.00% | DMA: -0.020 | 💎流入 | 📈5日穿20日(金叉)
3704.TW  | 合勤控        | B6: -1.00% | DMA: -1.278 | 💎流入 | 🔥DMA金叉(起漲)
8050.TWO | 廣積         | B6: -1.03% | DMA: -1.177 | 💎流入 | 🔥DMA金叉(起漲)
7782.TWO | 光速火箭       | B6: -1.05% | DMA: -0.881 | 💸流出 | 📈5日穿20日(金叉)
3673.TW  | TPK-KY     | B6: -1.07% | DMA: -0.852 | 💎流入 | 🔥DMA金叉(起漲)
2316.TW  | 楠梓電        | B6: -1.11% | DMA: -1.104 | 💎流入 | 📈5日穿20日(金叉)
2891.TW  | 中信金        | B6: -1.23% | DMA:  0.400 | 💎流入 | 📈5日穿20日(金叉)
1568.TW  | 倉佑         | B6: -1.25% | DMA: -1.122 | 💎流入 | 🔥DMA金叉(起漲)
3550.TW  | 聯穎         | B6: -1.25% | DMA:  0.974 | 💸流出 | 🔥DMA金叉(起漲)
4540.TW  | 全球傳動       | B6: -1.30% | DMA:  2.333 | 💸流出 | 📈5日穿20日(金叉)
3306.TWO | 鼎天         | B6: -1.36% | DMA: -1.906 | 💎流入 | 🔥DMA金叉(起漲)
6834.TW  | 天二科技       | B6: -1.38% | DMA: -1.267 | 💸流出 | 🔥DMA金叉(起漲)
8038.TWO | 長園科        | B6: -1.45% | DMA: -5.805 | 💎流入 | 🔥DMA金叉(起漲)
1102.TW  | 亞泥         | B6: -1.45% | DMA: -1.284 | 💸流出 | 📈5日穿20日(金叉)
00915.TW | 凱基優選高股息30  | B6: -1.52% | DMA: -0.172 | 💎流入 | 📈5日穿20日(金叉)
2204.TW  | 中華         | B6: -1.54% | DMA: -1.260 | 💸流出 | 📈5日穿20日(金叉)
00878.TW | 國泰永續高股息    | B6: -1.55% | DMA: -0.025 | 💎流入 | 📈5日穿20日(金叉)
6237.TWO | 驊訊         | B6: -1.57% | DMA: -1.899 | 💸流出 | 🔥DMA金叉(起漲)
8464.TW  | 億豐         | B6: -1.63% | DMA:-11.370 | 💸流出 | 🔥DMA金叉(起漲)
8077.TWO | 洛��        | B6: -1.65% | DMA: -1.152 | 💎流入 | 🔥DMA金叉(起漲)
6770.TW  | 力積電        | B6: -1.73% | DMA:  5.846 | 💎流入 | 📈5日穿20日(金叉)
3324.TWO | 雙鴻         | B6: -1.80% | DMA: 14.880 | 💎流入 | 📈5日穿20日(金叉)
2390.TW  | 云辰         | B6: -1.81% | DMA: -0.238 | 💎流入 | 🔥DMA金叉(起漲)
6922.TWO | 宸曜         | B6: -1.82% | DMA: -4.100 | 💎流入 | 🔥DMA金叉(起漲)
7810.TWO | 捷創科技       | B6: -1.85% | DMA:-39.720 | 💎流入 | 🔥DMA金叉(起漲)
2542.TW  | 興富發        | B6: -1.97% | DMA: -1.588 | 💸流出 | 📈5日穿20日(金叉)
7737.TWO | 凱鈿         | B6: -2.00% | DMA: -0.314 | 💸流出 | 🔥DMA金叉(起漲)
1110.TW  | 東泥         | B6: -2.04% | DMA: -0.439 | 💸流出 | 📈5日穿20日(金叉)
6188.TWO | 廣明         | B6: -2.08% | DMA: -8.714 | 💎流入 | 🔥DMA金叉(起漲)
8111.TWO | 立��        | B6: -2.14% | DMA: -2.268 | 💸流出 | 📈5日穿20日(金叉)
2474.TW  | 可成         | B6: -2.16% | DMA:-12.520 | 💎流入 | 🔥DMA金叉(起漲)
3661.TW  | 世芯-KY      | B6: -2.27% | DMA:-159.500 | 💸流出 | 📈5日穿20日(金叉)
7702.TWO | 前端風電       | B6: -2.28% | DMA: -0.984 | 💎流入 | 📈5日穿20日(金叉)
3265.TWO | 台星科        | B6: -2.28% | DMA: -1.620 | 💎流入 | 📈5日穿20日(金叉)
8499.TW  | 鼎炫-KY      | B6: -2.30% | DMA:-28.460 | 💎流入 | 📈5日穿20日(金叉)
6684.TWO | 安格         | B6: -2.35% | DMA: -2.813 | 💎流入 | 🔥DMA金叉(起漲)
3011.TW  | 今皓         | B6: -2.63% | DMA: -1.102 | 💎流入 | 🔥DMA金叉(起漲)
6173.TWO | 信昌電        | B6: -2.67% | DMA: -4.452 | 💸流出 | 📈5日穿20日(金叉)
2349.TW  | 錸德         | B6: -2.68% | DMA: -1.007 | 💎流入 | 📈5日穿20日(金叉)
3592.TW  | 瑞鼎         | B6: -2.69% | DMA: -8.210 | 💸流出 | 📈5日穿20日(金叉)
6283.TW  | 淳安         | B6: -2.77% | DMA: -2.064 | 💸流出 | 🔥DMA金叉(起漲)
6664.TWO | 群翊         | B6: -2.78% | DMA:-14.690 | 💎流入 | 📈5日穿20日(金叉)
4109.TWO | 加捷生醫       | B6: -2.79% | DMA: -0.990 | 💸流出 | 🔥DMA金叉(起漲)
2646.TW  | 星宇航空       | B6: -2.87% | DMA: -1.152 | 💸流出 | 📈5日穿20日(金叉)
2235.TWO | 謚源         | B6: -2.94% | DMA: -0.724 | 💎流入 | 📈5日穿20日(金叉)
1513.TW  | 中興電        | B6: -2.96% | DMA: -4.160 | 💎流入 | 📈5日穿20日(金叉)
6931.TW  | 青松健康       | B6: -3.10% | DMA: -4.500 | 💸流出 | 📈5日穿20日(金叉)
5225.TW  | 東科-KY      | B6: -3.12% | DMA: -6.426 | 💸流出 | 📈5日穿20日(金叉)
6517.TWO | 保勝光學       | B6: -3.13% | DMA: -7.900 | 💸流出 | 🔥DMA金叉(起漲)
5230.TWO | 雷笛克光學      | B6: -3.15% | DMA: -1.143 | 💎流入 | 🔥DMA金叉(起漲)
1436.TW  | 華友聯        | B6: -3.24% | DMA: -5.106 | 💎流入 | 🔥DMA金叉(起漲)
3694.TW  | 海華         | B6: -3.27% | DMA: -3.050 | 💎流入 | 📈5日穿20日(金叉)
00665L.TW | 富邦恒生國企正2   | B6: -3.29% | DMA: -0.868 | 💎流入 | 🔥DMA金叉(起漲)
3564.TWO | 其陽         | B6: -3.35% | DMA: -3.191 | 💸流出 | 📈5日穿20日(金叉)
8234.TWO | 新漢         | B6: -3.44% | DMA: -5.250 | 💎流入 | 🔥DMA金叉(起漲)
3680.TWO | 家登         | B6: -3.46% | DMA:-20.330 | 💎流入 | 📈5日穿20日(金叉)
6725.TWO | 矽科宏晟       | B6: -3.46% | DMA:-23.610 | 💎流入 | 🔥DMA金叉(起漲)
6768.TW  | 志強-KY      | B6: -3.49% | DMA: -7.630 | 💎流入 | 🔥DMA金叉(起漲)
7714.TWO | 創泓科技       | B6: -3.58% | DMA:-17.350 | 💸流出 | 📈5日穿20日(金叉)
2002.TW  | 中鋼         | B6: -3.65% | DMA: -0.416 | 💸流出 | 📈5日穿20日(金叉)
3035.TW  | 智原         | B6: -3.72% | DMA:-10.510 | 💎流入 | 📈5日穿20日(金叉)
4590.TW  | 富田-創       | B6: -3.74% | DMA:-10.420 | 💎流入 | 📈5日穿20日(金叉)
3597.TWO | 映興         | B6: -3.84% | DMA: -1.733 | 💎流入 | 📈5日穿20日(金叉)
5371.TWO | 中光電        | B6: -3.88% | DMA: -7.282 | 💸流出 | 📈5日穿20日(金叉)
3305.TW  | 昇貿         | B6: -3.94% | DMA: -6.942 | 💎流入 | 📈5日穿20日(金叉)
2354.TW  | 鴻準         | B6: -4.00% | DMA: -3.896 | 💸流出 | 📈5日穿20日(金叉)
6735.TWO | 美達科技       | B6: -4.02% | DMA: -4.190 | 💎流入 | 📈5日穿20日(金叉)
8059.TWO | 凱碩         | B6: -4.04% | DMA: -1.936 | 💎流入 | 🔥DMA金叉(起漲)
1439.TW  | 雋揚         | B6: -4.17% | DMA: -1.723 | 💎流入 | 📈5日穿20日(金叉)
1295.TWO | 生合         | B6: -4.22% | DMA: -8.250 | 💸流出 | 📈5日穿20日(金叉)
8432.TWO | 東生華        | B6: -4.23% | DMA: -3.618 | 💸流出 | 📈5日穿20日(金叉)
6155.TW  | 鈞寶         | B6: -4.32% | DMA: -4.343 | 💎流入 | 📈5日穿20日(金叉)
2359.TW  | 所羅門        | B6: -4.37% | DMA: -9.800 | 💸流出 | 📈5日穿20日(金叉)
3712.TW  | 永崴投控       | B6: -4.83% | DMA: -2.111 | 💎流入 | 📈5日穿20日(金叉)
6957.TW  | 裕慶-KY      | B6: -4.85% | DMA:-18.020 | 💸流出 | 📈5日穿20日(金叉)
6624.TWO | 萬年清        | B6: -4.92% | DMA: -4.046 | 💸流出 | 📈5日穿20日(金叉)
4588.TW  | 玖鼎電力       | B6: -5.02% | DMA: -3.992 | 💸流出 | 📈5日穿20日(金叉)
2328.TW  | 廣宇         | B6: -5.05% | DMA: -3.547 | 💎流入 | 📈5日穿20日(金叉)
5439.TWO | 高技         | B6: -5.06% | DMA:-26.670 | 💎流入 | 🔥DMA金叉(起漲)
1442.TW  | 名軒         | B6: -5.07% | DMA: -2.190 | 💸流出 | 📈5日穿20日(金叉)
5309.TWO | 系統電        | B6: -5.31% | DMA: -5.070 | 💸流出 | 📈5日穿20日(金叉)
3523.TWO | 迎輝         | B6: -5.42% | DMA: -1.672 | 💎流入 | 🔥DMA金叉(起漲)
6841.TWO | 長佳智能       | B6: -5.64% | DMA: -6.284 | 💸流出 | 📈5日穿20日(金叉)
3032.TW  | 偉訓         | B6: -6.10% | DMA: -6.722 | 💸流出 | 📈5日穿20日(金叉)
3019.TW  | 亞光         | B6: -6.75% | DMA:-12.110 | 💎流入 | 📈5日穿20日(金叉)
8444.TWO | 綠河-KY      | B6: -6.88% | DMA: -1.433 | 💸流出 | 🔥DMA金叉(起漲)
2726.TWO | 雅茗-KY      | B6: -7.15% | DMA: -1.605 | 💎流入 | 🔥DMA金叉(起漲)
3013.TW  | 晟銘電        | B6: -7.23% | DMA:-16.492 | 💎流入 | 📈5日穿20日(金叉)
1504.TW  | 東元         | B6: -7.41% | DMA:-10.342 | 💸流出 | 📈5日穿20日(金叉)
6209.TW  | 今國光        | B6: -7.41% | DMA: -6.776 | 💎流入 | 📈5日穿20日(金叉)
6541.TW  | 泰福-KY      | B6: -7.96% | DMA: -6.881 | 💸流出 | 📈5日穿20日(金叉)
6865.TWO | 偉康科技       | B6: -8.16% | DMA: -8.027 | 💎流入 | 🔥DMA金叉(起漲)
8291.TWO | 尚茂         | B6: -8.60% | DMA: -2.152 | 💎流入 | 📈5日穿20日(金叉)
2429.TW  | 銘旺科        | B6: -8.76% | DMA:-14.674 | 💎流入 | 📈5日穿20日(金叉)
5314.TWO | 世紀*        | B6: -8.86% | DMA:-14.126 | 💸流出 | 📈5日穿20日(金叉)
2466.TW  | 冠西電        | B6: -9.23% | DMA:-10.434 | 💎流入 | 🔥DMA金叉(起漲)
8054.TWO | 安國         | B6:-10.41% | DMA:-19.100 | 💸流出 | 📈5日穿20日(金叉)
6757.TW  | 台灣虎航       | B6:-10.55% | DMA:-10.552 | 💎流入 | 📈5日穿20日(金叉)
6890.TW  | 來億-KY      | B6:-10.85% | DMA:-46.080 | 💸流出 | 📈5日穿20日(金叉)
2431.TW  | 聯昌         | B6:-11.64% | DMA: -1.106 | 💎流入 | 📈5日穿20日(金叉)
00673R.TW | 期元大S&P原油反1 | B6:-13.94% | DMA: -5.934 | 💎流入 | 📈5日穿20日(金叉)
6934.TW  | 心誠鎂        | B6:-22.32% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)

【🔥高檔警戒】(數量: 146)
------------------------------------------------------------------------------------------
3054.TW  | 立萬利        | B6: 51.43% | DMA: 29.435 | 💎流入 | 🧨瘋狗浪(極限)
5386.TWO | 青雲         | B6: 42.35% | DMA:174.906 | 💎流入 | 🧨瘋狗浪(極限)
6983.TWO | 華洋精機       | B6: 42.18% | DMA:164.000 | 💎流入 | 🧨瘋狗浪(極限)
6715.TW  | 嘉基         | B6: 41.73% | DMA:129.442 | 💎流入 | 🧨瘋狗浪(極限)
00715L.TW | 期街口布蘭特正2   | B6: 37.67% | DMA: 21.340 | 💎流入 | 🧨瘋狗浪(極限)
2426.TW  | 鼎元         | B6: 36.07% | DMA: 10.010 | 💎流入 | 🧨瘋狗浪(極限)
6217.TWO | 中探針        | B6: 35.02% | DMA: 55.088 | 💎流入 | 🧨瘋狗浪(極限)
6141.TW  | 柏承         | B6: 33.66% | DMA:  7.355 | 💎流入 | 🧨瘋狗浪(極限)
6907.TWO | 雅特力-KY     | B6: 32.38% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
4960.TW  | 誠美材        | B6: 32.09% | DMA:  6.522 | 💎流入 | 🧨瘋狗浪(極限)
6861.TW  | 睿生光電       | B6: 31.37% | DMA: 65.278 | 💎流入 | 🧨瘋狗浪(極限)
4973.TWO | 廣穎         | B6: 29.38% | DMA: 15.914 | 💎流入 | 🧨瘋狗浪(極限)
3093.TWO | 港建*        | B6: 27.38% | DMA: 11.465 | 💎流入 | 🧨瘋狗浪(極限)
8271.TW  | 宇瞻         | B6: 25.88% | DMA: 37.022 | 💎流入 | 🧨瘋狗浪(極限)
2485.TW  | 兆赫         | B6: 24.76% | DMA: 21.679 | 💎流入 | 🧨瘋狗浪(極限)
6683.TWO | 雍智科技       | B6: 22.98% | DMA:409.640 | 💸流出 | 🧨瘋狗浪(極限)
6830.TW  | 汎銓         | B6: 22.54% | DMA:139.330 | 💎流入 | 🧨瘋狗浪(極限)
1785.TWO | 光洋科        | B6: 21.86% | DMA: 15.838 | 💎流入 | 🧨瘋狗浪(極限)
00642U.TW | 期元大S&P石油   | B6: 21.74% | DMA:  6.704 | 💎流入 | 🧨瘋狗浪(極限)
3555.TWO | 博士旺        | B6: 20.99% | DMA: 47.716 | 💎流入 | 🧨瘋狗浪(極限)
6187.TWO | 萬潤         | B6: 20.89% | DMA:183.900 | 💎流入 | 🧨瘋狗浪(極限)
5289.TWO | 宜鼎         | B6: 20.84% | DMA:260.400 | 💎流入 | 🧨瘋狗浪(極限)
2243.TW  | 宏旭-KY      | B6: 20.79% | DMA:  3.300 | 💎流入 | 🧨瘋狗浪(極限)
3498.TWO | 陽程         | B6: 20.25% | DMA: 13.679 | 💎流入 | 🧨瘋狗浪(極限)
4949.TW  | 有成精密       | B6: 19.95% | DMA: 13.918 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7730.TW  | 暉盛-創       | B6: 19.78% | DMA: 27.204 | 💎流入 | 🔥高檔轉折(警示)
1735.TW  | 日勝化        | B6: 19.72% | DMA:  5.285 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3645.TW  | 達邁         | B6: 19.41% | DMA: 15.202 | 💎流入 | 🔥高檔轉折(警示)
3036.TW  | 文曄         | B6: 18.61% | DMA: 60.840 | 💎流入 | 🔥高檔轉折(警示)
6515.TW  | 穎崴         | B6: 18.25% | DMA:1738.400 | 💎流入 | 🔥高檔轉折(警示)
7751.TWO | 竑騰         | B6: 17.93% | DMA:374.320 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8039.TW  | 台虹         | B6: 17.82% | DMA: 21.128 | 💸流出 | 🔥高檔轉折(警示)
6456.TW  | GIS-KY     | B6: 17.77% | DMA: 14.298 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4764.TW  | 雙鍵         | B6: 17.65% | DMA: 24.760 | 💸流出 | 🔥高檔轉折(警示)
3260.TWO | 威剛         | B6: 17.30% | DMA: 64.450 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6727.TWO | 亞泰金屬       | B6: 17.24% | DMA: 50.640 | 💎流入 | 🔥高檔轉折(警示)
6640.TWO | 均華         | B6: 16.92% | DMA:186.120 | 💎流入 | 🔥高檔轉折(警示)
7712.TWO | 博盛半導體      | B6: 16.80% | DMA: 23.612 | 💎流入 | 🔥高檔轉折(警示)
8472.TWO | 夠麻吉        | B6: 16.77% | DMA:  6.616 | 💎流入 | 🔥高檔轉折(警示)
3167.TW  | 大量         | B6: 16.44% | DMA: 74.190 | 💸流出 | 🔥高檔轉折(警示)
3163.TWO | 波若威        | B6: 16.36% | DMA:271.210 | 💸流出 | 🔥高檔轉折(警示)
1711.TW  | 永光         | B6: 16.11% | DMA:  7.605 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6103.TWO | 合邦         | B6: 15.95% | DMA:  5.915 | 💎流入 | 🔥高檔轉折(警示)
4577.TWO | 達航科技       | B6: 15.47% | DMA: 24.078 | 💸流出 | 🔥高檔轉折(警示)
6223.TWO | 旺矽         | B6: 15.24% | DMA:679.900 | 💎流入 | 🔥高檔轉折(警示)
3049.TW  | 精金         | B6: 14.95% | DMA:  3.900 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1310.TW  | 台苯         | B6: 14.85% | DMA:  1.984 | 💎流入 | 🔥高檔轉折(警示)
3437.TW  | 榮創         | B6: 14.75% | DMA:  2.843 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
6225.TW  | 天瀚         | B6: 14.71% | DMA:  3.919 | 💸流出 | 🔥高檔轉折(警示)
3030.TW  | 德律         | B6: 14.39% | DMA: 52.630 | 💎流入 | 🔥高檔轉折(警示)
4919.TW  | 新唐         | B6: 14.36% | DMA: 20.498 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6894.TWO | 衛司特        | B6: 14.21% | DMA: 68.700 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1582.TW  | 信錦         | B6: 14.15% | DMA: 17.162 | 💸流出 | 🔥高檔轉折(警示)
3576.TW  | 聯合再生       | B6: 13.80% | DMA:  8.189 | 💸流出 | 🔥高檔轉折(警示)
1309.TW  | 台達化        | B6: 13.58% | DMA:  2.607 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6246.TWO | 臺龍         | B6: 13.56% | DMA:  1.492 | 💎流入 | 🔥高檔轉折(警示)
3563.TW  | 牧德         | B6: 13.52% | DMA:118.430 | 💎流入 | 🔥高檔轉折(警示)
3131.TWO | 弘塑         | B6: 13.37% | DMA:253.800 | 💎流入 | 🔥高檔轉折(警示)
8112.TW  | 至上         | B6: 13.28% | DMA:  7.048 | 💎流入 | 🔥高檔轉折(警示)
8064.TWO | 東捷         | B6: 13.28% | DMA:  5.521 | 💎流入 | 🔥高檔轉折(警示)
3675.TWO | 德微         | B6: 13.26% | DMA: 36.010 | 💎流入 | 🔥高檔轉折(警示)
6531.TW  | 愛普*        | B6: 13.23% | DMA: 40.150 | 💎流入 | 🔥高檔轉折(警示)
9136.TW  | 巨騰-DR      | B6: 13.23% | DMA:  0.991 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6874.TWO | 倍力         | B6: 13.08% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
3066.TWO | 李洲         | B6: 13.06% | DMA:  3.156 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
5351.TWO | 鈺創         | B6: 12.55% | DMA:  6.659 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6574.TWO | 霈方         | B6: 12.00% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
7781.TWO | 昕力資*       | B6: 11.08% | DMA:  7.674 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6197.TW  | 佳必琪        | B6: 10.97% | DMA: 19.670 | 💎流入 | 🔥高檔轉折(警示)
4956.TW  | 光鋐         | B6: 10.88% | DMA:  4.894 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6226.TW  | 光鼎         | B6: 10.00% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
2451.TW  | 創見         | B6:  9.60% | DMA: 18.100 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2399.TW  | 映泰         | B6:  9.41% | DMA:  1.256 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6451.TW  | 訊芯-KY      | B6:  8.75% | DMA: 39.280 | 💎流入 | 🔥高檔轉折(警示)
6147.TWO | 頎邦         | B6:  7.54% | DMA:  3.784 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3693.TWO | 營邦         | B6:  7.41% | DMA: 73.970 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3171.TWO | 炎洲流通       | B6:  6.89% | DMA:  5.710 | 💎流入 | 🔥高檔轉折(警示)
2337.TW  | 旺宏         | B6:  6.82% | DMA: 29.351 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3508.TWO | 位速         | B6:  6.56% | DMA:  9.966 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3006.TW  | 晶豪科        | B6:  5.53% | DMA: 15.218 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9933.TW  | 中鼎         | B6:  5.23% | DMA:  1.015 | 💎流入 | 🔥高檔轉折(警示)
4991.TWO | 環宇-KY      | B6:  4.96% | DMA: 71.350 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3715.TW  | 定穎投控       | B6:  4.81% | DMA: 15.990 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00987A.TW | 主動台新優勢成長   | B6:  4.39% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
3533.TW  | 嘉澤         | B6:  4.29% | DMA:201.000 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3105.TWO | 穩懋         | B6:  4.09% | DMA: 52.130 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2851.TW  | 中再保        | B6:  3.81% | DMA:  1.409 | 💎流入 | 🔥高檔轉折(警示)
2369.TW  | 菱生         | B6:  3.62% | DMA:  1.308 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1725.TW  | 元禎         | B6:  3.33% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
4906.TW  | 正文         | B6:  3.24% | DMA:  0.896 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6547.TWO | 高端疫苗       | B6:  2.77% | DMA:  0.849 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00991A.TW | 主動復華未來50   | B6:  2.77% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
00988A.TW | 主動統一全球創新   | B6:  2.63% | DMA:  1.601 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1809.TW  | 中釉         | B6:  2.63% | DMA:  2.505 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1815.TWO | 富喬         | B6:  2.18% | DMA:  7.590 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8155.TWO | 博智         | B6:  2.05% | DMA: 15.510 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2376.TW  | 技嘉         | B6:  1.97% | DMA: -2.770 | 💎流入 | 🔥高檔轉折(警示)
3086.TWO | 華義         | B6:  1.86% | DMA: 14.070 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2495.TW  | 普安         | B6:  1.83% | DMA: -0.038 | 💎流入 | ⚠️高檔過熱
3376.TW  | 新日興        | B6:  1.75% | DMA: -4.350 | 💎流入 | ⚠️高檔過熱
00985A.TW | 主動野村台灣50   | B6:  1.61% | DMA:  0.998 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6465.TWO | 威潤         | B6:  1.59% | DMA:  0.116 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00993A.TW | 主動安聯台灣     | B6:  1.57% | DMA:  0.000 | 💎流入 | ⚠️高檔過熱
6776.TW  | 展�眥篕�      | B6:  1.54% | DMA:  1.411 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3022.TW  | 威強電        | B6:  1.39% | DMA: -1.870 | 💎流入 | ⚠️高檔過熱
00980A.TW | 主動野村臺灣優選   | B6:  1.38% | DMA:  0.993 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7583.TWO | 國際海洋       | B6:  1.37% | DMA:  0.420 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9929.TW  | 秋雨         | B6:  1.32% | DMA:  0.292 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
