🚀 智能量化選股報告 - 2026-03-07
==========================================================================================

【🚀超級強勢】(數量: 202)
------------------------------------------------------------------------------------------
3675.TWO | 德微         | B6: 11.71% | DMA: 25.490 | 💸流出 | 🚀DMA趨勢+多頭強勢
2451.TW  | 創見         | B6: -6.76% | DMA: -4.920 | 💎流入 | ❄️底部反彈
8299.TWO | 群聯         | B6: -6.78% | DMA:128.525 | 💸流出 | ❄️跌深轉強
9921.TW  | 巨大         | B6: -6.84% | DMA: -8.268 | 💸流出 | ❄️跌深轉強
7780.TW  | 大研生醫*      | B6: -7.03% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6962.TW  | 奕力-KY      | B6: -7.03% | DMA: -3.316 | 💸流出 | ❄️跌深轉強
5258.TW  | 虹堡         | B6: -7.10% | DMA:-10.240 | 💸流出 | ❄️跌深轉強
6533.TW  | 晶心科        | B6: -7.25% | DMA:-23.810 | 💸流出 | ❄️跌深轉強
3664.TWO | 安瑞-KY      | B6: -7.30% | DMA: -2.027 | 💸流出 | ❄️底部反彈
8291.TWO | 尚茂         | B6: -7.34% | DMA: -1.200 | 💸流出 | ❄️跌深轉強
2610.TW  | 華航         | B6: -7.34% | DMA: -0.681 | 💸流出 | ❄️跌深轉強
2726.TWO | 雅茗-KY      | B6: -7.41% | DMA: -1.462 | 💸流出 | ❄️跌深轉強
5543.TWO | 桓鼎-KY      | B6: -7.51% | DMA: -3.008 | 💸流出 | ❄️跌深轉強
3523.TWO | 迎輝         | B6: -7.67% | DMA: -1.189 | 💸流出 | ❄️跌深轉強
8038.TWO | 長園科        | B6: -7.69% | DMA: -5.379 | 💸流出 | ❄️跌深轉強
00753L.TW | CTBC BANK CO. LTD. CHINATRUST C | B6: -7.72% | DMA: -1.004 | 💸流出 | ❄️跌深轉強
6517.TWO | 保勝光學       | B6: -7.82% | DMA: -6.714 | 💸流出 | ❄️跌深轉強
4967.TW  | 十銓         | B6: -7.86% | DMA:  3.130 | 💸流出 | ❄️跌深轉強
2466.TW  | 冠西電        | B6: -7.97% | DMA: -9.230 | 💎流入 | ❄️跌深轉強
1522.TW  | 堤維西        | B6: -8.12% | DMA: -3.878 | 💸流出 | ❄️跌深轉強
4563.TWO | 百德         | B6: -8.15% | DMA: -0.849 | 💸流出 | ❄️跌深轉強
6265.TWO | 方土昶        | B6: -8.32% | DMA:  0.721 | 💎流入 | ❄️跌深轉強
4911.TWO | 德英         | B6: -8.40% | DMA: -5.031 | 💸流出 | ❄️跌深轉強
6925.TWO | 意藍         | B6: -8.42% | DMA:-11.214 | 💸流出 | ❄️跌深轉強
8436.TWO | 大江         | B6: -8.49% | DMA:  0.920 | 💸流出 | ❄️跌深轉強
1789.TW  | 神隆         | B6: -8.52% | DMA: -0.493 | 💎流入 | ❄️底部反彈
4561.TWO | 健椿         | B6: -8.53% | DMA:  1.051 | 💸流出 | ❄️跌深轉強
6890.TW  | 來億-KY      | B6: -8.68% | DMA:-37.020 | 💸流出 | ❄️跌深轉強
8088.TWO | 品安         | B6: -8.71% | DMA: -2.177 | 💸流出 | ❄️跌深轉強
6472.TW  | 保瑞         | B6: -8.96% | DMA:-27.120 | 💸流出 | ❄️跌深轉強
7777.TWO | 能率亞洲       | B6: -8.97% | DMA:  1.604 | 💸流出 | ❄️跌深轉強
3260.TWO | 威剛         | B6: -9.08% | DMA:  7.610 | 💎流入 | ❄️底部反彈
6548.TWO | 長科*        | B6: -9.18% | DMA: -1.167 | 💎流入 | ❄️底部反彈
6629.TWO | 泰金-KY      | B6: -9.22% | DMA:-11.943 | 💸流出 | ❄️跌深轉強
1528.TW  | 恩德         | B6: -9.28% | DMA: -0.518 | 💸流出 | ❄️跌深轉強
8110.TW  | 華東         | B6: -9.36% | DMA: -6.230 | 💸流出 | ❄️跌深轉強
9914.TW  | 美利達        | B6: -9.54% | DMA: -8.354 | 💸流出 | ❄️跌深轉強
6485.TWO | 點序         | B6:-10.15% | DMA: -5.760 | 💸流出 | ❄️跌深轉強
3025.TW  | 星通         | B6:-10.62% | DMA: -9.204 | 💸流出 | ❄️跌深轉強
6988.TW  | 威力暘-創      | B6:-10.87% | DMA:  0.264 | 💸流出 | ❄️跌深轉強
6865.TWO | 偉康科技       | B6:-11.30% | DMA: -7.232 | 💸流出 | ❄️跌深轉強
8489.TWO | 三貝德        | B6:-12.24% | DMA: -6.748 | 💸流出 | ❄️跌深轉強
3040.TW  | 遠見         | B6:-12.29% | DMA: -9.532 | 💸流出 | ❄️跌深轉強
5203.TW  | 訊連         | B6:-12.41% | DMA:-14.170 | 💸流出 | ❄️跌深轉強
1795.TW  | 美時         | B6:-13.72% | DMA:-25.470 | 💸流出 | ❄️跌深轉強
6785.TWO | 昱展新藥       | B6:-15.06% | DMA:-47.870 | 💸流出 | ❄️跌深轉強
1589.TW  | 永冠-KY      | B6:-23.39% | DMA: -4.054 | 💸流出 | ❄️底部反彈
2230.TWO | 泰茂         | B6:-43.04% | DMA:-40.366 | 💸流出 | ❄️跌深轉強

【📈趨勢轉折】(數量: 35)
------------------------------------------------------------------------------------------
6443.TW  | 元晶         | B6:  9.08% | DMA:  8.870 | 💎流入 | 🔥DMA金叉(起漲)
3691.TWO | 碩禾         | B6:  3.96% | DMA: 16.294 | 💎流入 | 🔥DMA金叉(起漲)
1809.TW  | 中釉         | B6:  2.31% | DMA:  3.156 | 💎流入 | 🔥DMA金叉(起漲)
5228.TWO | 鈺鎧         | B6:  1.46% | DMA:  0.742 | 💸流出 | 🔥DMA金叉(起漲)
6120.TW  | 達運         | B6:  0.84% | DMA:  0.092 | 💸流出 | 🔥DMA金叉(起漲)
2035.TWO | 唐榮         | B6:  0.18% | DMA:  0.038 | 💸流出 | 🔥DMA金叉(起漲)
1710.TW  | 東聯         | B6:  0.17% | DMA:  0.377 | 💎流入 | 🔥DMA金叉(起漲)
00864B.TWO | CTBC INVESTMENTS CO LTD CTBC U. | B6:  0.16% | DMA:  0.098 | 💎流入 | 📈5日穿20日(金叉)
3686.TW  | 達能         | B6: -0.13% | DMA:  0.476 | 💸流出 | 📈5日穿20日(金叉)
3499.TWO | 環天科        | B6: -0.14% | DMA: -0.453 | 💎流入 | 📈5日穿20日(金叉)
8921.TWO | 沈氏         | B6: -0.97% | DMA:  0.072 | 💸流出 | 📈5日穿20日(金叉)
2332.TW  | 友訊         | B6: -1.21% | DMA: -0.196 | 💎流入 | 🔥DMA金叉(起漲)
3717.TW  | 聯嘉投控       | B6: -1.39% | DMA: -0.137 | 💎流入 | 🔥DMA金叉(起漲)
3707.TWO | 漢磊         | B6: -1.45% | DMA:  0.046 | 💸流出 | 🔥DMA金叉(起漲)
3211.TWO | 順達         | B6: -1.56% | DMA: -8.420 | 💎流入 | 🔥DMA金叉(起漲)
00712.TW | 復華富時不動產    | B6: -1.78% | DMA: -0.098 | 💸流出 | 📈5日穿20日(金叉)
5381.TWO | 合正         | B6: -1.84% | DMA: -0.217 | 💎流入 | 🔥DMA金叉(起漲)
2432.TW  | 倚天酷��-創    | B6: -1.85% | DMA: -0.811 | 💎流入 | 🔥DMA金叉(起漲)
7812.TWO | 稜研科技*      | B6: -2.03% | DMA: -1.920 | 💎流入 | 📈5日穿20日(金叉)
6906.TW  | 現觀科        | B6: -2.12% | DMA: -4.572 | 💸流出 | 🔥DMA金叉(起漲)
7714.TWO | 創泓科技       | B6: -2.20% | DMA:-10.950 | 💸流出 | 🔥DMA金叉(起漲)
1337.TW  | 再生-KY      | B6: -2.26% | DMA:  0.188 | 💎流入 | 📈5日穿20日(金叉)
6423.TWO | 億而得        | B6: -2.42% | DMA:  2.202 | 💎流入 | 🔥DMA金叉(起漲)
6843.TWO | 進典         | B6: -2.52% | DMA: -3.965 | 💸流出 | 🔥DMA金叉(起漲)
3038.TW  | 全台         | B6: -2.55% | DMA: -0.756 | 💸流出 | 📈5日穿20日(金叉)
00641R.TW | FUBON ASSET MANAGEMENT CO LTD T | B6: -3.15% | DMA: -0.255 | 💸流出 | 🔥DMA金叉(起漲)
3406.TW  | 玉晶光        | B6: -3.64% | DMA:-13.920 | 💸流出 | 📈5日穿20日(金叉)
6179.TWO | 亞通         | B6: -4.22% | DMA: -2.577 | 💸流出 | 📈5日穿20日(金叉)
8277.TWO | 商丞         | B6: -5.54% | DMA: -0.320 | 💎流入 | 📈5日穿20日(金叉)
6488.TWO | 環球晶        | B6: -5.57% | DMA: -2.321 | 💎流入 | 📈5日穿20日(金叉)
4147.TWO | 中裕         | B6: -5.57% | DMA: -6.118 | 💎流入 | 🔥DMA金叉(起漲)
3083.TWO | 網龍         | B6: -7.19% | DMA: -3.791 | 💸流出 | 📈5日穿20日(金叉)
6612.TWO | 奈米醫材       | B6: -8.95% | DMA: -7.656 | 💸流出 | 📈5日穿20日(金叉)
3379.TWO | 彬台         | B6: -9.81% | DMA: -6.952 | 💸流出 | 📈5日穿20日(金叉)
6887.TW  | 寶綠特-KY     | B6:-12.23% | DMA: -9.906 | 💸流出 | 📈5日穿20日(金叉)

【🔥高檔警戒】(數量: 98)
------------------------------------------------------------------------------------------
5386.TWO | 青雲         | B6: 47.29% | DMA: 93.824 | 💎流入 | 🧨瘋狗浪(極限)
6861.TW  | 睿生光電       | B6: 43.26% | DMA: 43.666 | 💎流入 | 🧨瘋狗浪(極限)
3576.TW  | 聯合再生       | B6: 42.16% | DMA:  8.792 | 💎流入 | 🧨瘋狗浪(極限)
2489.TW  | 瑞軒         | B6: 40.02% | DMA: 15.630 | 💎流入 | 🧨瘋狗浪(極限)
5475.TWO | 德宏         | B6: 34.42% | DMA: 74.314 | 💎流入 | 🧨瘋狗浪(極限)
3163.TWO | 波若威        | B6: 33.99% | DMA:259.960 | 💸流出 | 🧨瘋狗浪(極限)
6716.TWO | 應廣         | B6: 32.29% | DMA: 30.266 | 💎流入 | 🧨瘋狗浪(極限)
6588.TWO | 東典光電       | B6: 31.74% | DMA: 36.598 | 💸流出 | 🧨瘋狗浪(極限)
6830.TW  | 汎銓         | B6: 29.93% | DMA: 88.350 | 💎流入 | 🧨瘋狗浪(極限)
6217.TWO | 中探針        | B6: 29.15% | DMA: 27.122 | 💎流入 | 🧨瘋狗浪(極限)
4577.TWO | 達航科技       | B6: 28.53% | DMA: 19.594 | 💎流入 | 🧨瘋狗浪(極限)
3234.TWO | 光環         | B6: 28.48% | DMA: 29.675 | 💸流出 | 🧨瘋狗浪(極限)
7744.TWO | 崴寶         | B6: 25.70% | DMA:107.140 | 💎流入 | 🧨瘋狗浪(極限)
6426.TW  | 統新         | B6: 25.33% | DMA: 50.580 | 💸流出 | 🧨瘋狗浪(極限)
6187.TWO | 萬潤         | B6: 25.32% | DMA:122.560 | 💎流入 | 🧨瘋狗浪(極限)
6983.TWO | 華洋精機       | B6: 25.21% | DMA: 65.110 | 💎流入 | 🧨瘋狗浪(極限)
7610.TW  | 聯友金屬-創     | B6: 24.50% | DMA: 98.250 | 💸流出 | 🧨瘋狗浪(極限)
4991.TWO | 環宇-KY      | B6: 24.18% | DMA: 86.398 | 💎流入 | 🧨瘋狗浪(極限)
5291.TWO | 邑昇         | B6: 23.32% | DMA: 12.612 | 💎流入 | 🧨瘋狗浪(極限)
8289.TWO | 泰藝         | B6: 23.23% | DMA:  8.921 | 💎流入 | 🧨瘋狗浪(極限)
7751.TWO | 竑騰         | B6: 22.76% | DMA:272.440 | 💎流入 | 🧨瘋狗浪(極限)
3363.TWO | 上詮         | B6: 22.03% | DMA:119.162 | 💎流入 | 🧨瘋狗浪(極限)
6715.TW  | 嘉基         | B6: 21.93% | DMA: 52.346 | 💎流入 | 🧨瘋狗浪(極限)
4927.TW  | 泰鼎-KY      | B6: 21.81% | DMA:  7.028 | 💎流入 | 🧨瘋狗浪(極限)
7734.TWO | 印能科技       | B6: 21.65% | DMA:493.480 | 💎流入 | 🧨瘋狗浪(極限)
6244.TWO | 茂迪         | B6: 21.40% | DMA:  7.372 | 💎流入 | 🧨瘋狗浪(極限)
6683.TWO | 雍智科技       | B6: 21.34% | DMA:290.690 | 💎流入 | 🧨瘋狗浪(極限)
3092.TW  | 鴻碩         | B6: 20.99% | DMA:  6.341 | 💎流入 | 🧨瘋狗浪(極限)
3529.TWO | 力旺         | B6: 20.94% | DMA:505.100 | 💎流入 | 🧨瘋狗浪(極限)
3081.TWO | 聯亞         | B6: 20.71% | DMA:453.220 | 💸流出 | 🧨瘋狗浪(極限)
2360.TW  | 致茂         | B6: 20.66% | DMA:319.480 | 💎流入 | 🧨瘋狗浪(極限)
4979.TWO | 華星光        | B6: 20.00% | DMA: 85.910 | 💎流入 | 🔥高檔轉折(警示)
2467.TW  | 志聖         | B6: 19.57% | DMA: 67.090 | 💎流入 | 🔥高檔轉折(警示)
3105.TWO | 穩懋         | B6: 19.36% | DMA: 73.580 | 💎流入 | 🔥高檔轉折(警示)
6152.TW  | 百一         | B6: 19.25% | DMA:  4.624 | 💎流入 | 🔥高檔轉折(警示)
7717.TWO | 萊德光電-KY    | B6: 19.16% | DMA:224.320 | 💎流入 | 🔥高檔轉折(警示)
00715L.TW | PARADIGM ASSET MGMT CO LTD GSCI | B6: 18.78% | DMA:  7.920 | 💎流入 | 🔥高檔轉折(警示)
3230.TWO | 錦明         | B6: 18.74% | DMA:  5.754 | 💎流入 | 🔥高檔轉折(警示)
3508.TWO | 位速         | B6: 18.67% | DMA: 10.006 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3491.TWO | 昇達科        | B6: 18.60% | DMA:497.300 | 💸流出 | 🔥高檔轉折(警示)
4542.TWO | 科嶠         | B6: 18.44% | DMA: 40.762 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6230.TW  | 尼得科超眾      | B6: 18.44% | DMA: 27.850 | 💎流入 | 🔥高檔轉折(警示)
8046.TW  | 南電         | B6: 18.34% | DMA:149.010 | 💎流入 | 🔥高檔轉折(警示)
2338.TW  | 光罩         | B6: 18.30% | DMA:  7.318 | 💸流出 | 🔥高檔轉折(警示)
2455.TW  | 全新         | B6: 17.58% | DMA: 42.980 | 💎流入 | 🔥高檔轉折(警示)
2367.TW  | 燿華         | B6: 17.43% | DMA: 21.434 | 💎流入 | 🔥高檔轉折(警示)
6290.TWO | 良維         | B6: 16.78% | DMA: 33.180 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2923.TW  | 鼎固-KY      | B6: 16.71% | DMA:  3.704 | 💸流出 | 🔥高檔轉折(警示)
2103.TW  | 台橡         | B6: 16.52% | DMA:  3.087 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4908.TWO | 前鼎         | B6: 16.43% | DMA: 13.314 | 💎流入 | 🔥高檔轉折(警示)
3167.TW  | 大量         | B6: 16.41% | DMA: 47.590 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6442.TW  | 光聖         | B6: 16.39% | DMA:535.200 | 💸流出 | 🔥高檔轉折(警示)
3037.TW  | 欣興         | B6: 16.23% | DMA:128.910 | 💎流入 | 🔥高檔轉折(警示)
4534.TWO | 慶騰         | B6: 16.18% | DMA:  7.652 | 💎流入 | 🔥高檔轉折(警示)
2337.TW  | 旺宏         | B6: 16.02% | DMA: 35.216 | 💸流出 | 🔥高檔轉折(警示)
3189.TW  | 景碩         | B6: 15.79% | DMA: 89.169 | 💸流出 | 🔥高檔轉折(警示)
6584.TWO | 南俊國際       | B6: 15.74% | DMA: 73.300 | 💸流出 | 🔥高檔轉折(警示)
4946.TWO | 辣椒         | B6: 15.72% | DMA: 26.584 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00988A.TW | UNI-PRESIDENT ASSETS MGMT CORP  | B6: 15.60% | DMA:  2.208 | 💸流出 | 🔥高檔轉折(警示)
6546.TWO | 正基         | B6: 15.60% | DMA:  9.476 | 💎流入 | 🔥高檔轉折(警示)
1802.TW  | 台玻         | B6: 15.32% | DMA: 13.883 | 💸流出 | 🔥高檔轉折(警示)
4977.TW  | 眾達-KY      | B6: 15.30% | DMA: 19.680 | 💎流入 | 🔥高檔轉折(警示)
6202.TW  | 盛群         | B6: 15.28% | DMA: 14.841 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
4919.TW  | 新唐         | B6: 15.21% | DMA: 13.942 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7750.TW  | 新代         | B6: 15.00% | DMA:288.300 | 💸流出 | 🔥高檔轉折(警示)
8087.TWO | 麗升能源       | B6: 14.98% | DMA:  2.964 | 💸流出 | 🔥高檔轉折(警示)
3030.TW  | 德律         | B6: 14.86% | DMA: 32.660 | 💎流入 | 🔥高檔轉折(警示)
4971.TWO | IET-KY     | B6: 14.74% | DMA: 97.800 | 💸流出 | 🔥高檔轉折(警示)
3535.TW  | 晶彩科        | B6: 14.72% | DMA: 21.644 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4989.TW  | 榮科         | B6: 14.61% | DMA:  9.051 | 💸流出 | 🔥高檔轉折(警示)
3054.TW  | 立萬利        | B6: 14.53% | DMA:  5.772 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
2383.TW  | 台光電        | B6: 14.45% | DMA:496.200 | 💸流出 | ⚠️強勢過熱(DMA撐盤)
6894.TWO | 衛司特        | B6: 14.40% | DMA: 44.950 | 💎流入 | 🔥高檔轉折(警示)
6141.TW  | 柏承         | B6: 14.36% | DMA:  2.009 | 💸流出 | 🔥高檔轉折(警示)
6456.TW  | GIS-KY     | B6: 14.18% | DMA:  6.329 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6291.TWO | 沛亨         | B6: 14.07% | DMA: 62.060 | 💸流出 | 🔥高檔轉折(警示)
6530.TWO | 創威         | B6: 13.73% | DMA: 10.204 | 💎流入 | 🔥高檔轉折(警示)
1711.TW  | 永光         | B6: 13.65% | DMA:  4.416 | 💎流入 | 🔥高檔轉折(警示)
2515.TW  | 中工         | B6: 13.51% | DMA:  2.870 | 💸流出 | 🔥高檔轉折(警示)
2460.TW  | 建通         | B6: 13.45% | DMA:  4.152 | 💸流出 | 🔥高檔轉折(警示)
2413.TW  | 環科         | B6: 13.29% | DMA:  6.026 | 💎流入 | 🔥高檔轉折(警示)
2313.TW  | 華通         | B6: 13.28% | DMA: 61.594 | 💸流出 | 🔥高檔轉折(警示)
4722.TW  | 國精化        | B6: 13.15% | DMA: 16.120 | 💎流入 | 🔥高檔轉折(警示)
3563.TW  | 牧德         | B6: 13.07% | DMA: 62.200 | 💎流入 | 🔥高檔轉折(警示)
3049.TW  | 精金         | B6: 12.66% | DMA:  2.558 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7740.TW  | 熙特爾-創      | B6: 12.59% | DMA: 19.630 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2485.TW  | 兆赫         | B6: 12.14% | DMA: 11.032 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2616.TW  | 山隆         | B6:  8.46% | DMA:  1.843 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3665.TW  | 貿聯-KY      | B6:  7.13% | DMA: 59.100 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
9931.TW  | 欣高         | B6:  4.66% | DMA:  2.626 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4960.TW  | 誠美材        | B6:  3.98% | DMA:  0.835 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2601.TW  | 益航         | B6:  3.72% | DMA:  0.301 | 💎流入 | 🔥高檔轉折(警示)
2543.TW  | 皇昌         | B6:  3.34% | DMA:  3.152 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
2380.TW  | 虹光         | B6:  0.74% | DMA:  0.080 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6532.TWO | 瑞耘         | B6:  0.07% | DMA: -0.160 | 💎流入 | ⚠️高檔過熱
3066.TWO | 李洲         | B6: -0.24% | DMA:  0.615 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
00875.TW | 國泰網路資安     | B6: -2.11% | DMA: -1.492 | 💎流入 | ⚠️高檔過熱
00757.TW | 統一FANG+    | B6: -3.20% | DMA: -6.338 | 💎流入 | ⚠️高檔過熱
