        股號                         名稱      收盤價        狀態                                  原因
   1442.TW                         名軒    26.30      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
   3376.TW                        新日興   196.00      進入盤整    ADX 指標為 16.85 (低於 20)，市場目前缺乏推升動能
   1303.TW                         南亞    78.70      進入盤整    ADX 指標為 15.86 (低於 20)，市場目前缺乏推升動能
 00715L.TW               期街口S&P布蘭特油正2    58.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8349.TWO                        �矬�    40.70      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
   2633.TW                       台灣高鐵    26.80      均線糾纏      MA5/10/20 乖離率僅 0.25%，移動平均線高度重合
  4530.TWO                         宏易    29.00      均線糾纏      MA5/10/20 乖離率僅 0.76%，移動平均線高度重合
00760B.TWO                    復華新興企業債    53.70      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
  6654.TWO                       天正國際    91.20      均線糾纏      MA5/10/20 乖離率僅 0.44%，移動平均線高度重合
  3693.TWO                         營邦   507.00      進入盤整    ADX 指標為 15.38 (低於 20)，市場目前缺乏推升動能
  1295.TWO                         生合    64.80      均線糾纏      MA5/10/20 乖離率僅 1.34%，移動平均線高度重合
  6290.TWO                         良維   199.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2543.TW                         皇昌    58.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1762.TW                        中化生    28.70      均線糾纏      MA5/10/20 乖離率僅 0.11%，移動平均線高度重合
   2388.TW                         威盛    52.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6234.TWO                         高僑    28.00      均線糾纏      MA5/10/20 乖離率僅 1.29%，移動平均線高度重合
  3360.TWO                         尚立    14.35      進入盤整    ADX 指標為 17.86 (低於 20)，市場目前缺乏推升動能
   1256.TW                    鮮活果汁-KY   147.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3260.TWO                         威剛   368.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3673.TW                     TPK-KY    43.45      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2035.TWO                         唐榮    28.15      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
  6418.TWO                         詠昇    30.25      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
  5230.TWO                      雷笛克光學    16.50      均線糾纏      MA5/10/20 乖離率僅 0.62%，移動平均線高度重合
  3169.TWO                         亞信    90.80      均線糾纏      MA5/10/20 乖離率僅 1.42%，移動平均線高度重合
   1516.TW                         川飛    20.35      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3413.TW                         京鼎   295.00      均線糾纏      MA5/10/20 乖離率僅 0.29%，移動平均線高度重合
 00693U.TW                   期街口S&P黃豆    22.10      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
  3516.TWO                        亞帝歐    17.95 離開盤整 (向下)       收盤價 17.95 跌破布林下軌 (17.95)，趨勢轉弱
   2201.TW                         裕隆    27.70      均線糾纏      MA5/10/20 乖離率僅 0.39%，移動平均線高度重合
   1323.TW                         永裕    21.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1733.TW                         五鼎    29.65      均線糾纏      MA5/10/20 乖離率僅 0.44%，移動平均線高度重合
  3071.TWO                         協禧    28.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00662.TW                   富邦NASDAQ    98.00      均線糾纏      MA5/10/20 乖離率僅 1.12%，移動平均線高度重合
   8046.TW                         南電   574.00      進入盤整     ADX 指標為 9.54 (低於 20)，市場目前缺乏推升動能
   1445.TW                         大宇    12.60      均線糾纏      MA5/10/20 乖離率僅 0.45%，移動平均線高度重合
   1229.TW                         聯華    44.85      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
00931B.TWO                    統一美債20年    13.86      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
  2948.TWO                         寶陞    39.00      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
   2419.TW                         仲琦    35.15      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2392.TW                         正崴    35.70      均線糾纏      MA5/10/20 乖離率僅 0.78%，移動平均線高度重合
  4741.TWO                         泓瀚    37.00      進入盤整    ADX 指標為 19.88 (低於 20)，市場目前缺乏推升動能
  4966.TWO                      譜瑞-KY   482.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6186.TWO                         新潤    38.70 離開盤整 (向下)       收盤價 38.70 跌破布林下軌 (38.72)，趨勢轉弱
   3045.TW                        台灣大   109.50      均線糾纏      MA5/10/20 乖離率僅 0.36%，移動平均線高度重合
   6515.TW                         穎崴  7290.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8171.TWO                         天宇    24.35      均線糾纏      MA5/10/20 乖離率僅 1.40%，移動平均線高度重合
  8102.TWO                       傑霖科技    54.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8437.TWO                      大地-KY    12.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00634R.TW                     富邦上証反1     3.27      均線糾纏      MA5/10/20 乖離率僅 0.27%，移動平均線高度重合
  8416.TWO                         實威   168.50      均線糾纏      MA5/10/20 乖離率僅 0.08%，移動平均線高度重合
   3715.TW                       定穎投控   180.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6958.TW                       日盛台駿    17.95      均線糾纏      MA5/10/20 乖離率僅 0.44%，移動平均線高度重合
  3444.TWO                         利機    62.00      均線糾纏      MA5/10/20 乖離率僅 0.18%，移動平均線高度重合
  8027.TWO                         鈦昇   152.00      進入盤整    ADX 指標為 14.63 (低於 20)，市場目前缺乏推升動能
   4164.TW                        承業醫    31.00      均線糾纏      MA5/10/20 乖離率僅 0.71%，移動平均線高度重合
  4991.TWO                      環宇-KY   420.00      進入盤整    ADX 指標為 18.61 (低於 20)，市場目前缺乏推升動能
   2024.TW                         志聯    14.70      均線糾纏      MA5/10/20 乖離率僅 0.32%，移動平均線高度重合
  4542.TWO                         科嶠   164.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6415.TW                     矽力*-KY   282.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6573.TW                      虹揚-KY    12.50 離開盤整 (向下)       收盤價 12.50 跌破布林下軌 (12.65)，趨勢轉弱
   2207.TW                        和泰車   491.50      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
  3597.TWO                         映興    23.45      均線糾纏      MA5/10/20 乖離率僅 0.21%，移動平均線高度重合
  5536.TWO                        聖暉*   718.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6104.TWO                         創惟    92.00      均線糾纏      MA5/10/20 乖離率僅 0.78%，移動平均線高度重合
 910322.TW                     康師傅-DR    26.45      均線糾纏      MA5/10/20 乖離率僅 0.18%，移動平均線高度重合
   3321.TW                         同泰    15.70      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
   2211.TW                        長榮鋼   100.00      均線糾纏      MA5/10/20 乖離率僅 0.50%，移動平均線高度重合
   4439.TW                      冠星-KY    86.50      均線糾纏      MA5/10/20 乖離率僅 1.02%，移動平均線高度重合
  00949.TW                     復華日本龍頭    19.54      均線糾纏      MA5/10/20 乖離率僅 0.35%，移動平均線高度重合
   2542.TW                        興富發    35.40      均線糾纏      MA5/10/20 乖離率僅 0.71%，移動平均線高度重合
   6431.TW                      光麗-KY    22.95      趨勢運行                    股價具備方向性，未達盤整過濾標準
   7721.TW                        微程式    76.90 離開盤整 (向上)     收盤價 76.90 強勢突破布林上軌 (71.54)，趨勢轉強
   6625.TW                         必應    77.20      均線糾纏      MA5/10/20 乖離率僅 1.27%，移動平均線高度重合
 02001R.TW                    富邦蘋果反一N     0.72      均線糾纏      MA5/10/20 乖離率僅 0.32%，移動平均線高度重合
  4192.TWO                         杏國    20.10      均線糾纏      MA5/10/20 乖離率僅 0.58%，移動平均線高度重合
 00994A.TW                   主動第一金台股優    12.43      均線糾纏      MA5/10/20 乖離率僅 1.25%，移動平均線高度重合
   9917.TW                        中保科   115.50      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
  8074.TWO                         鉅橡    55.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4924.TWO                      欣厚-KY    10.45      均線糾纏      MA5/10/20 乖離率僅 0.55%，移動平均線高度重合
  5548.TWO                         安倉    25.20      進入盤整    ADX 指標為 11.73 (低於 20)，市場目前缺乏推升動能
   8271.TW                         宇瞻   143.00      進入盤整    ADX 指標為 14.34 (低於 20)，市場目前缺乏推升動能
  8182.TWO                         加高    29.10 離開盤整 (向上)     收盤價 29.10 強勢突破布林上軌 (29.10)，趨勢轉強
  7455.TWO                       樺緯物聯    62.00      均線糾纏      MA5/10/20 乖離率僅 0.56%，移動平均線高度重合
  6167.TWO                         久正    13.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8047.TWO                         星雲    53.80      進入盤整    ADX 指標為 16.69 (低於 20)，市場目前缺乏推升動能
   4540.TW                       全球傳動    41.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3056.TW                        富華新    14.95      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
  3158.TWO                         嘉實    90.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1309.TW                        台達化    23.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6028.TWO                       公勝保經    89.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00904.TW                  新光臺灣半導體30    28.24      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
   6756.TW                       威鋒電子    71.00      均線糾纏      MA5/10/20 乖離率僅 1.24%，移動平均線高度重合
   6919.TW                        康霈*    94.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3211.TWO                         順達   352.50      進入盤整    ADX 指標為 10.41 (低於 20)，市場目前缺乏推升動能
   2360.TW                         致茂  1610.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00708L.TW                 期元大S&P黃金正2    98.55      趨勢運行                    股價具備方向性，未達盤整過濾標準
  9962.TWO                         有益    11.00      均線糾纏      MA5/10/20 乖離率僅 0.38%，移動平均線高度重合
  6180.TWO                         橘子    43.55      趨勢運行                    股價具備方向性，未達盤整過濾標準
   8016.TW                         矽創   194.50      均線糾纏      MA5/10/20 乖離率僅 0.11%，移動平均線高度重合
   3094.TW                         聯傑    22.65      均線糾纏      MA5/10/20 乖離率僅 0.86%，移動平均線高度重合
   5484.TW                         慧友    44.70      進入盤整    ADX 指標為 12.72 (低於 20)，市場目前缺乏推升動能
  6284.TWO                         佳邦    82.30      進入盤整    ADX 指標為 15.74 (低於 20)，市場目前缺乏推升動能
  4558.TWO                         寶緯    20.55      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5211.TWO                         蒙恬    20.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  7783.TWO                         佳運    79.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00941.TW                    中信上游半導體    21.77      均線糾纏      MA5/10/20 乖離率僅 0.10%，移動平均線高度重合
   3014.TW                         聯陽   116.00      均線糾纏      MA5/10/20 乖離率僅 0.54%，移動平均線高度重合
  6870.TWO                         騰雲   187.50      均線糾纏      MA5/10/20 乖離率僅 1.01%，移動平均線高度重合
  3558.TWO                         神準   111.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3406.TW                        玉晶光   451.50      均線糾纏      MA5/10/20 乖離率僅 1.16%，移動平均線高度重合
   6794.TW                       向榮生技    80.70      均線糾纏      MA5/10/20 乖離率僅 0.70%，移動平均線高度重合
   2383.TW                        台光電  2860.00      進入盤整    ADX 指標為 13.37 (低於 20)，市場目前缺乏推升動能
  7402.TWO                         邑錡   119.00      均線糾纏      MA5/10/20 乖離率僅 0.17%，移動平均線高度重合
   6235.TW                         華孚    47.20      均線糾纏      MA5/10/20 乖離率僅 0.73%，移動平均線高度重合
   3149.TW                         正達    45.15      均線糾纏      MA5/10/20 乖離率僅 1.35%，移動平均線高度重合
  7717.TWO                    萊德光電-KY   726.00      進入盤整    ADX 指標為 16.26 (低於 20)，市場目前缺乏推升動能
  00963.TW                    中信全球高股息    12.46      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
  4580.TWO                       捷流閥業    80.70      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
  6739.TWO                       竹陞科技  1215.00      進入盤整    ADX 指標為 15.61 (低於 20)，市場目前缺乏推升動能
  7702.TWO                       前端風電    21.40      進入盤整    ADX 指標為 19.11 (低於 20)，市場目前缺乏推升動能
   2023.TW                         燁輝    14.45      均線糾纏      MA5/10/20 乖離率僅 0.37%，移動平均線高度重合
   3454.TW                VIVOTEK INC    99.40      均線糾纏      MA5/10/20 乖離率僅 0.01%，移動平均線高度重合
   3543.TW                         州巧    47.35      均線糾纏      MA5/10/20 乖離率僅 0.92%，移動平均線高度重合
   2345.TW                         智邦  1660.00      進入盤整     ADX 指標為 9.42 (低於 20)，市場目前缺乏推升動能
   3018.TW                       隆銘綠能    12.00      均線糾纏      MA5/10/20 乖離率僅 1.46%，移動平均線高度重合
   6526.TW                         達發   483.50      進入盤整    ADX 指標為 19.46 (低於 20)，市場目前缺乏推升動能
  6843.TWO                         進典    45.00      均線糾纏      MA5/10/20 乖離率僅 1.05%，移動平均線高度重合
  4584.TWO                         君帆    42.90      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
   1776.TW                         展宇    15.85      均線糾纏      MA5/10/20 乖離率僅 0.78%，移動平均線高度重合
  8240.TWO                         華宏    56.00      進入盤整    ADX 指標為 16.90 (低於 20)，市場目前缺乏推升動能
  5601.TWO                        台聯櫃    36.80      均線糾纏      MA5/10/20 乖離率僅 0.50%，移動平均線高度重合
   3686.TW                         達能    17.90      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
   6933.TW                    AMAX-KY   127.00      均線糾纏      MA5/10/20 乖離率僅 0.69%，移動平均線高度重合
  2061.TWO                         風青    16.95      進入盤整    ADX 指標為 16.16 (低於 20)，市場目前缺乏推升動能
   2415.TW                         錩新    30.10      進入盤整    ADX 指標為 11.76 (低於 20)，市場目前缺乏推升動能
   1337.TW                      再生-KY     6.15      均線糾纏      MA5/10/20 乖離率僅 1.44%，移動平均線高度重合
  7719.TWO                         碳基    38.95      均線糾纏      MA5/10/20 乖離率僅 0.52%，移動平均線高度重合
   6409.TW                         旭隼   778.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3663.TWO                         鑫科    68.80      進入盤整    ADX 指標為 19.18 (低於 20)，市場目前缺乏推升動能
  6588.TWO                       東典光電   132.50      進入盤整    ADX 指標為 17.72 (低於 20)，市場目前缺乏推升動能
  4563.TWO                         百德    41.30      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6494.TWO                         九齊    44.50      均線糾纏      MA5/10/20 乖離率僅 1.33%，移動平均線高度重合
   6155.TW                         鈞寶    44.50      均線糾纏      MA5/10/20 乖離率僅 1.12%，移動平均線高度重合
   6165.TW                         浪凡    45.10      均線糾纏      MA5/10/20 乖離率僅 1.02%，移動平均線高度重合
  3707.TWO                         漢磊    49.75      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3064.TWO                         泰偉    27.05      進入盤整    ADX 指標為 16.23 (低於 20)，市場目前缺乏推升動能
   8103.TW                         瀚荃    80.70      進入盤整    ADX 指標為 12.26 (低於 20)，市場目前缺乏推升動能
  3498.TWO                         陽程    72.80      進入盤整     ADX 指標為 7.46 (低於 20)，市場目前缺乏推升動能
  3297.TWO                         杭特    33.65      進入盤整    ADX 指標為 15.30 (低於 20)，市場目前缺乏推升動能
  3310.TWO                         佳穎    72.50      均線糾纏      MA5/10/20 乖離率僅 0.36%，移動平均線高度重合
   2883.TW                        凱基金    19.80      均線糾纏      MA5/10/20 乖離率僅 0.81%，移動平均線高度重合
   9937.TW                         全國    56.60      均線糾纏      MA5/10/20 乖離率僅 0.64%，移動平均線高度重合
  6788.TWO                        華景電   363.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6793.TWO                       天力離岸     6.21      均線糾纏      MA5/10/20 乖離率僅 0.19%，移動平均線高度重合
   6781.TW                     AES-KY   998.00      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
   2308.TW                        台達電  1475.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6903.TWO                         巨漢   287.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2324.TW                         仁寶    27.45      進入盤整    ADX 指標為 19.55 (低於 20)，市場目前缺乏推升動能
00764B.TWO                    群益25年美債    28.44      均線糾纏      MA5/10/20 乖離率僅 0.19%，移動平均線高度重合
   6108.TW                         競國    16.20      均線糾纏      MA5/10/20 乖離率僅 0.66%，移動平均線高度重合
   4148.TW                    全宇生技-KY    43.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6578.TWO                       達邦蛋白    17.70      均線糾纏      MA5/10/20 乖離率僅 0.55%，移動平均線高度重合
   1907.TW                        永豐餘    26.45      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2375.TW                         凱美    76.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00965.TW                   元大航太防衛科技    24.31      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4513.TWO                         福裕    16.85      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
   6805.TW                        富世達  1925.00      均線糾纏      MA5/10/20 乖離率僅 1.25%，移動平均線高度重合
   2905.TW                         三商    14.55      均線糾纏      MA5/10/20 乖離率僅 1.42%，移動平均線高度重合
  2073.TWO                         雄順    27.10      均線糾纏      MA5/10/20 乖離率僅 0.39%，移動平均線高度重合
   6969.TW                    成信實業*-創    28.60      均線糾纏      MA5/10/20 乖離率僅 0.69%，移動平均線高度重合
   5292.TW                         華懋   229.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
00958B.TWO                永豐ESG銀行債15+     9.32      均線糾纏      MA5/10/20 乖離率僅 0.31%，移動平均線高度重合
  3313.TWO                         斐成    12.85      均線糾纏      MA5/10/20 乖離率僅 0.24%，移動平均線高度重合
   2474.TW                         可成   189.50      均線糾纏      MA5/10/20 乖離率僅 0.65%，移動平均線高度重合
  4433.TWO                         興采    21.20      均線糾纏      MA5/10/20 乖離率僅 0.09%，移動平均線高度重合
   3013.TW                        晟銘電    99.90      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
  3529.TWO                         力旺  2725.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8436.TWO                         大江   127.00      均線糾纏      MA5/10/20 乖離率僅 0.66%，移動平均線高度重合
  6276.TWO                        安鈦克    33.50      均線糾纏      MA5/10/20 乖離率僅 1.31%，移動平均線高度重合
  6182.TWO                         合晶    32.55      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
   6598.TW                     ABC-KY    23.40      進入盤整    ADX 指標為 15.13 (低於 20)，市場目前缺乏推升動能
  4931.TWO                        新盛力   136.50      均線糾纏      MA5/10/20 乖離率僅 0.82%，移動平均線高度重合
   5284.TW                     jpp-KY   275.00      均線糾纏      MA5/10/20 乖離率僅 0.82%，移動平均線高度重合
  6499.TWO                         益安    91.30      進入盤整    ADX 指標為 12.92 (低於 20)，市場目前缺乏推升動能
   2387.TW                         精元    39.95      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
00968B.TWO                    元大優息投等債     9.35      均線糾纏      MA5/10/20 乖離率僅 0.11%，移動平均線高度重合
   2609.TW                         陽明    52.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3057.TW                         喬鼎    15.75      進入盤整    ADX 指標為 12.81 (低於 20)，市場目前缺乏推升動能
  3632.TWO                         研勤     9.84      均線糾纏      MA5/10/20 乖離率僅 0.63%，移動平均線高度重合
  5013.TWO                         強新    30.00      均線糾纏      MA5/10/20 乖離率僅 0.08%，移動平均線高度重合
  6548.TWO                        長科*    47.60      均線糾纏      MA5/10/20 乖離率僅 0.68%，移動平均線高度重合
  5314.TWO                        世紀*    77.60      均線糾纏      MA5/10/20 乖離率僅 1.30%，移動平均線高度重合
  00713.TW                   元大台灣高息低波    51.50      均線糾纏      MA5/10/20 乖離率僅 0.13%，移動平均線高度重合
   4764.TW                         雙鍵   125.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2887I.TW                     台新新光辛特     9.37      均線糾纏      MA5/10/20 乖離率僅 0.19%，移動平均線高度重合
   6472.TW                         保瑞   459.00      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
   6863.TW                      永道-KY    90.40      均線糾纏      MA5/10/20 乖離率僅 0.84%，移動平均線高度重合
   2365.TW                         昆盈    31.20      進入盤整    ADX 指標為 15.06 (低於 20)，市場目前缺乏推升動能
   2425.TW                         承啟    26.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4138.TWO                         曜亞    61.70      均線糾纏      MA5/10/20 乖離率僅 0.05%，移動平均線高度重合
  3594.TWO                         磐儀    39.25      進入盤整    ADX 指標為 17.19 (低於 20)，市場目前缺乏推升動能
  4561.TWO                         健椿    33.00      均線糾纏      MA5/10/20 乖離率僅 1.50%，移動平均線高度重合
   6128.TW                         上福    20.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3008.TW                        大立光  2190.00      均線糾纏      MA5/10/20 乖離率僅 1.41%，移動平均線高度重合
   2313.TW                         華通   266.00      進入盤整     ADX 指標為 8.82 (低於 20)，市場目前缺乏推升動能
  6823.TWO                         濾能    63.20      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
   2390.TW                         云辰    10.10      均線糾纏      MA5/10/20 乖離率僅 1.32%，移動平均線高度重合
  6175.TWO                         立敦    48.05      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
  3540.TWO                         曜越    26.80      進入盤整    ADX 指標為 19.23 (低於 20)，市場目前缺乏推升動能
  3490.TWO                         單井    25.80      均線糾纏      MA5/10/20 乖離率僅 1.45%，移動平均線高度重合
 01004T.TW                     土銀富邦R2    10.89      均線糾纏      MA5/10/20 乖離率僅 0.07%，移動平均線高度重合
  5321.TWO                        美而快    24.05      均線糾纏      MA5/10/20 乖離率僅 0.27%，移動平均線高度重合
  3379.TWO                         彬台    37.00      進入盤整     ADX 指標為 9.71 (低於 20)，市場目前缺乏推升動能
   2723.TW                      美食-KY    70.00      均線糾纏      MA5/10/20 乖離率僅 0.91%，移動平均線高度重合
  3625.TWO                         西勝    16.80      均線糾纏      MA5/10/20 乖離率僅 0.54%，移動平均線高度重合
  3141.TWO                         晶宏    41.85      趨勢運行                    股價具備方向性，未達盤整過濾標準
   7740.TW                      熙特爾-創   178.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6708.TWO                         天擎    40.40      均線糾纏      MA5/10/20 乖離率僅 0.33%，移動平均線高度重合
   1589.TW                      永冠-KY     6.15      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1435.TW                         中福    17.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6291.TWO                         沛亨   370.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3048.TW                         益登    34.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
   9945.TW                        潤泰新    25.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
   9904.TW                         寶成    28.85      均線糾纏      MA5/10/20 乖離率僅 0.77%，移動平均線高度重合
  6140.TWO                         訊達    19.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6693.TWO                        廣閎科   106.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   4949.TW                       有成精密    67.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00988A.TW                   主動統一全球創新    12.44      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
   6282.TW                         康舒    45.25      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
   1312.TW                         國喬    13.30      均線糾纏      MA5/10/20 乖離率僅 0.52%，移動平均線高度重合
   3049.TW                         精金    11.70      進入盤整    ADX 指標為 19.48 (低於 20)，市場目前缺乏推升動能
   1537.TW                         廣隆   124.00      均線糾纏      MA5/10/20 乖離率僅 0.05%，移動平均線高度重合
   7732.TW                       金興精密    34.95      均線糾纏      MA5/10/20 乖離率僅 0.53%，移動平均線高度重合
   2515.TW                         中工    13.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1723.TW                         中碳    86.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6179.TWO                         亞通    24.00      進入盤整    ADX 指標為 18.81 (低於 20)，市場目前缺乏推升動能
  00851.TW                     台新全球AI    54.35      均線糾纏      MA5/10/20 乖離率僅 1.40%，移動平均線高度重合
   2727.TW                         王品   231.50      均線糾纏      MA5/10/20 乖離率僅 0.36%，移動平均線高度重合
 00654R.TW                     富邦印度反1     7.17      均線糾纏      MA5/10/20 乖離率僅 1.04%，移動平均線高度重合
   4414.TW                         如興    12.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2465.TW                         麗臺    52.30      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5493.TWO                         三聯    78.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00951.TW                    台新日本半導體    13.17      均線糾纏      MA5/10/20 乖離率僅 1.37%，移動平均線高度重合
   6531.TW                        愛普*   460.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6264.TWO                         富裔     6.38      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2457.TW                         飛宏    24.75      進入盤整    ADX 指標為 11.28 (低於 20)，市場目前缺乏推升動能
  3322.TWO                        建舜電    12.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6203.TWO                        海韻電    66.60      均線糾纏      MA5/10/20 乖離率僅 0.35%，移動平均線高度重合
   8926.TW                        台汽電    43.65      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
   3028.TW                        增你強    50.40      均線糾纏      MA5/10/20 乖離率僅 1.29%，移動平均線高度重合
  4933.TWO                         友輝    57.70      均線糾纏      MA5/10/20 乖離率僅 0.61%，移動平均線高度重合
00985D.TWO                   主動貝萊德優投等    10.14      資料不足                   缺少 MA5/10/20 指標數據
   5515.TW                         建國    36.45      進入盤整    ADX 指標為 12.24 (低於 20)，市場目前缺乏推升動能
  3430.TWO                        奇鈦科    71.00      均線糾纏      MA5/10/20 乖離率僅 1.43%，移動平均線高度重合
  3548.TWO                         兆利    80.90      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
  3265.TWO                        台星科   146.50      進入盤整    ADX 指標為 14.05 (低於 20)，市場目前缺乏推升動能
   3481.TW                         群創    25.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2941.TWO                        米斯特    38.10      均線糾纏      MA5/10/20 乖離率僅 0.74%，移動平均線高度重合
  6841.TWO                       長佳智能    61.60      均線糾纏      MA5/10/20 乖離率僅 1.01%，移動平均線高度重合
  2067.TWO                         嘉鋼     7.97      均線糾纏      MA5/10/20 乖離率僅 1.47%，移動平均線高度重合
  8176.TWO                         智捷    11.40      進入盤整     ADX 指標為 9.20 (低於 20)，市場目前缺乏推升動能
   6916.TW                         華凌    17.50      均線糾纏      MA5/10/20 乖離率僅 0.56%，移動平均線高度重合
   2409.TW                         友達    15.95      趨勢運行                    股價具備方向性，未達盤整過濾標準
00942B.TWO                 台新美A公司債20+    14.49      均線糾纏      MA5/10/20 乖離率僅 0.13%，移動平均線高度重合
  3236.TWO                         千如    31.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
00722B.TWO                   群益投資級電信債    36.81      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
