🚀 智能量化選股報告 - 2026-03-23
==========================================================================================

【🚀超級強勢】(數量: 61)
------------------------------------------------------------------------------------------
3663.TWO | 鑫科         | B6: 12.24% | DMA:  8.318 | 💎流入 | 🚀DMA趨勢+放量攻擊
1439.TW  | 雋揚         | B6: -2.74% | DMA: -1.537 | 💎流入 | 🔥DMA金叉(起漲)
2618.TW  | 長榮航        | B6: -2.74% | DMA: -2.261 | 💎流入 | 🔥DMA金叉(起漲)
4555.TW  | 氣立         | B6: -2.77% | DMA: -2.672 | 💎流入 | 🔥DMA金叉(起漲)
8033.TW  | 雷虎         | B6: -2.85% | DMA: -3.570 | 💎流入 | 📈5日穿20日(金叉)
2645.TW  | 長榮航太       | B6: -2.85% | DMA: -2.270 | 💸流出 | 📈5日穿20日(金叉)
6913.TWO | 鴻呈         | B6: -2.86% | DMA: -5.160 | 💸流出 | 📈5日穿20日(金叉)
8089.TWO | 康全電訊       | B6: -2.92% | DMA: -2.711 | 💸流出 | 🔥DMA金叉(起漲)
2743.TWO | 山富         | B6: -2.92% | DMA: -5.152 | 💸流出 | 🔥DMA金叉(起漲)
1442.TW  | 名軒         | B6: -3.07% | DMA: -1.942 | 💎流入 | 🔥DMA金叉(起漲)
2641.TWO | 正德         | B6: -3.07% | DMA: -1.167 | 💸流出 | 📈5日穿20日(金叉)
6271.TW  | 同欣電        | B6: -3.15% | DMA:  5.590 | 💎流入 | 📈5日穿20日(金叉)
2457.TW  | 飛宏         | B6: -3.16% | DMA: -1.899 | 💸流出 | 📈5日穿20日(金叉)
2402.TW  | 毅嘉         | B6: -3.17% | DMA: -3.770 | 💸流出 | 🔥DMA金叉(起漲)
9938.TW  | 百和         | B6: -3.17% | DMA: -2.427 | 💸流出 | 📈5日穿20日(金叉)
6651.TWO | 全宇昕        | B6: -3.22% | DMA:  2.576 | 💎流入 | 📈5日穿20日(金叉)
6838.TW  | 台新藥        | B6: -3.61% | DMA: -1.672 | 💸流出 | 📈5日穿20日(金叉)
3062.TW  | 建漢         | B6: -3.64% | DMA: -1.100 | 💸流出 | 📈5日穿20日(金叉)
6708.TWO | 天擎         | B6: -3.76% | DMA: -2.596 | 💸流出 | 📈5日穿20日(金叉)
6666.TW  | 羅麗芬-KY     | B6: -3.84% | DMA: -2.694 | 💎流入 | 📈5日穿20日(金叉)
5309.TWO | 系統電        | B6: -3.86% | DMA: -4.398 | 💸流出 | 🔥DMA金叉(起漲)
6482.TWO | 弘煜科        | B6: -3.90% | DMA:  0.000 | 💎流入 | 📈5日穿20日(金叉)
8277.TWO | 商丞         | B6: -4.27% | DMA: -0.773 | 💸流出 | 📈5日穿20日(金叉)
7717.TWO | 萊德光電-KY    | B6: -4.41% | DMA: 65.660 | 💎流入 | 📈5日穿20日(金叉)
3032.TW  | 偉訓         | B6: -4.43% | DMA: -6.362 | 💸流出 | 🔥DMA金叉(起漲)
6209.TW  | 今國光        | B6: -4.55% | DMA: -5.836 | 💎流入 | 🔥DMA金叉(起漲)
4541.TWO | 晟田         | B6: -4.60% | DMA: -3.062 | 💸流出 | 📈5日穿20日(金叉)
6276.TWO | 安鈦克        | B6: -4.67% | DMA: -3.390 | 💎流入 | 🔥DMA金叉(起漲)
6753.TW  | 龍德造船       | B6: -4.71% | DMA: -7.150 | 💸流出 | 📈5日穿20日(金叉)
2012.TW  | 春雨         | B6: -4.71% | DMA: -1.029 | 💎流入 | 📈5日穿20日(金叉)
3013.TW  | 晟銘電        | B6: -4.74% | DMA:-14.830 | 💎流入 | 🔥DMA金叉(起漲)
1563.TW  | 巧新         | B6: -4.80% | DMA: -4.334 | 💸流出 | 📈5日穿20日(金叉)
3085.TWO | 新零售        | B6: -4.87% | DMA: -1.237 | 💸流出 | 📈5日穿20日(金叉)
1477.TW  | 聚陽         | B6: -4.88% | DMA:-20.440 | 💸流出 | 📈5日穿20日(金叉)
8099.TWO | 大世科        | B6: -5.00% | DMA: -7.180 | 💸流出 | 🔥DMA金叉(起漲)
2482.TW  | 連宇         | B6: -5.06% | DMA: -1.320 | 💸流出 | 📈5日穿20日(金叉)
3521.TWO | 台鋼建設       | B6: -5.09% | DMA: -0.627 | 💸流出 | 📈5日穿20日(金叉)
2439.TW  | 美律         | B6: -5.12% | DMA:-12.356 | 💎流入 | 🔥DMA金叉(起漲)
9914.TW  | 美利達        | B6: -5.29% | DMA:-10.620 | 💸流出 | 🔥DMA金叉(起漲)
3624.TWO | 光頡         | B6: -5.52% | DMA: -6.333 | 💸流出 | 📈5日穿20日(金叉)
4609.TWO | 唐鋒         | B6: -5.56% | DMA: -0.499 | 💎流入 | 📈5日穿20日(金叉)
7584.TWO | 樂意         | B6: -5.64% | DMA: -3.673 | 💎流入 | 📈5日穿20日(金叉)
6796.TW  | 晉弘         | B6: -5.66% | DMA: -9.520 | 💸流出 | 📈5日穿20日(金叉)
6781.TW  | AES-KY     | B6: -5.78% | DMA:-125.400 | 💸流出 | 🔥DMA金叉(起漲)
6462.TWO | 神盾         | B6: -5.87% | DMA: -9.620 | 💸流出 | 📈5日穿20日(金叉)
1476.TW  | 儒鴻         | B6: -5.97% | DMA:-27.280 | 💸流出 | 📈5日穿20日(金叉)
6235.TW  | 華孚         | B6: -6.03% | DMA: -7.857 | 💸流出 | 🔥DMA金叉(起漲)
6885.TW  | 全福生技       | B6: -6.05% | DMA: -2.577 | 💸流出 | 📈5日穿20日(金叉)
1796.TWO | 金穎生技       | B6: -6.08% | DMA: -4.823 | 💸流出 | 📈5日穿20日(金叉)
8935.TWO | 邦泰         | B6: -6.27% | DMA: -0.962 | 💸流出 | 📈5日穿20日(金叉)
6887.TW  | 寶綠特-KY     | B6: -6.34% | DMA:-10.277 | 💸流出 | 🔥DMA金叉(起漲)
8103.TW  | 瀚荃         | B6: -6.38% | DMA: -6.316 | 💸流出 | 📈5日穿20日(金叉)
3229.TW  | 晟鈦         | B6: -6.76% | DMA: -3.044 | 💎流入 | 🔥DMA金叉(起漲)
4968.TW  | 立積         | B6: -6.91% | DMA:-12.680 | 💎流入 | 📈5日穿20日(金叉)
7788.TW  | 松川精密       | B6: -7.12% | DMA: -6.080 | 💸流出 | 📈5日穿20日(金叉)
3321.TW  | 同泰         | B6: -7.47% | DMA: -2.078 | 💎流入 | 📈5日穿20日(金叉)
6890.TW  | 來億-KY      | B6: -7.76% | DMA:-42.420 | 💎流入 | 🔥DMA金叉(起漲)
4154.TWO | 樂威科-KY     | B6: -9.22% | DMA: -2.532 | 💸流出 | 🔥DMA金叉(起漲)
6239.TW  | 力成         | B6: -9.48% | DMA:-25.700 | 💸流出 | 📈5日穿20日(金叉)
1338.TW  | 廣華-KY      | B6:-10.39% | DMA: -3.391 | 💸流出 | 📈5日穿20日(金叉)
00673R.TW | 期元大S&P原油反1 | B6:-10.41% | DMA: -5.294 | 💸流出 | 🔥DMA金叉(起漲)
2067.TWO | 嘉鋼         | B6:-12.05% | DMA: -1.641 | 💸流出 | 📈5日穿20日(金叉)
7780.TW  | 大研生醫*      | B6:-12.19% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
1589.TW  | 永冠-KY      | B6:-23.21% | DMA: -6.253 | 💸流出 | 🔥DMA金叉(起漲)

【🔥高檔警戒】(數量: 111)
------------------------------------------------------------------------------------------
3054.TW  | 立萬利        | B6: 53.98% | DMA: 33.271 | 💎流入 | 🧨瘋狗浪(極限)
6983.TWO | 華洋精機       | B6: 47.26% | DMA:195.190 | 💎流入 | 🧨瘋狗浪(極限)
5386.TWO | 青雲         | B6: 40.70% | DMA:184.140 | 💎流入 | 🧨瘋狗浪(極限)
4973.TWO | 廣穎         | B6: 40.49% | DMA: 22.086 | 💎流入 | 🧨瘋狗浪(極限)
6715.TW  | 嘉基         | B6: 39.87% | DMA:140.922 | 💎流入 | 🧨瘋狗浪(極限)
6217.TWO | 中探針        | B6: 39.80% | DMA: 64.976 | 💎流入 | 🧨瘋狗浪(極限)
2426.TW  | 鼎元         | B6: 38.26% | DMA: 11.422 | 💎流入 | 🧨瘋狗浪(極限)
6141.TW  | 柏承         | B6: 37.51% | DMA:  8.264 | 💎流入 | 🧨瘋狗浪(極限)
4960.TW  | 誠美材        | B6: 36.39% | DMA:  7.542 | 💎流入 | 🧨瘋狗浪(極限)
6907.TWO | 雅特力-KY     | B6: 34.13% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
00715L.TW | 期街口布蘭特正2   | B6: 33.64% | DMA: 21.776 | 💎流入 | 🧨瘋狗浪(極限)
3093.TWO | 港建*        | B6: 33.08% | DMA: 13.342 | 💎流入 | 🧨瘋狗浪(極限)
8271.TW  | 宇瞻         | B6: 31.76% | DMA: 45.470 | 💎流入 | 🧨瘋狗浪(極限)
2485.TW  | 兆赫         | B6: 30.24% | DMA: 24.148 | 💎流入 | 🧨瘋狗浪(極限)
3555.TWO | 博士旺        | B6: 30.23% | DMA: 58.128 | 💎流入 | 🧨瘋狗浪(極限)
2243.TW  | 宏旭-KY      | B6: 28.89% | DMA:  4.500 | 💎流入 | 🧨瘋狗浪(極限)
1735.TW  | 日勝化        | B6: 27.52% | DMA:  6.513 | 💎流入 | 🧨瘋狗浪(極限)
3260.TWO | 威剛         | B6: 26.07% | DMA: 82.766 | 💎流入 | 🧨瘋狗浪(極限)
5289.TWO | 宜鼎         | B6: 25.62% | DMA:301.620 | 💎流入 | 🧨瘋狗浪(極限)
1785.TWO | 光洋科        | B6: 25.13% | DMA: 19.950 | 💎流入 | 🧨瘋狗浪(極限)
3437.TW  | 榮創         | B6: 24.52% | DMA:  4.150 | 💸流出 | 🧨瘋狗浪(極限)
1711.TW  | 永光         | B6: 24.17% | DMA:  9.532 | 💎流入 | 🧨瘋狗浪(極限)
6727.TWO | 亞泰金屬       | B6: 23.49% | DMA: 64.630 | 💎流入 | 🧨瘋狗浪(極限)
6187.TWO | 萬潤         | B6: 22.95% | DMA:218.300 | 💎流入 | 🧨瘋狗浪(極限)
6861.TW  | 睿生光電       | B6: 22.84% | DMA: 62.774 | 💸流出 | 🧨極端瘋狂(DMA死叉)
4949.TW  | 有成精密       | B6: 22.84% | DMA: 15.971 | 💎流入 | 🧨瘋狗浪(極限)
6683.TWO | 雍智科技       | B6: 22.74% | DMA:441.590 | 💸流出 | 🧨瘋狗浪(極限)
6515.TW  | 穎崴         | B6: 22.27% | DMA:2093.600 | 💸流出 | 🧨瘋狗浪(極限)
6574.TWO | 霈方         | B6: 21.89% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
7781.TWO | 昕力資*       | B6: 21.75% | DMA:  9.249 | 💎流入 | 🧨瘋狗浪(極限)
6103.TWO | 合邦         | B6: 21.51% | DMA:  7.679 | 💎流入 | 🧨瘋狗浪(極限)
6226.TW  | 光鼎         | B6: 21.36% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
3498.TWO | 陽程         | B6: 20.51% | DMA: 15.617 | 💸流出 | 🧨瘋狗浪(極限)
7751.TWO | 竑騰         | B6: 20.23% | DMA:431.060 | 💎流入 | 🧨瘋狗浪(極限)
8472.TWO | 夠麻吉        | B6: 20.19% | DMA:  9.832 | 💎流入 | 🧨瘋狗浪(極限)
3066.TWO | 李洲         | B6: 20.15% | DMA:  3.858 | 💎流入 | 🧨瘋狗浪(極限)
6640.TWO | 均華         | B6: 20.08% | DMA:222.920 | 💎流入 | 🧨瘋狗浪(極限)
5351.TWO | 鈺創         | B6: 20.02% | DMA: 10.202 | 💎流入 | 🧨瘋狗浪(極限)
7730.TW  | 暉盛-創       | B6: 19.31% | DMA: 31.434 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8240.TWO | 華宏         | B6: 18.90% | DMA:  7.875 | 💎流入 | 🔥高檔轉折(警示)
00642U.TW | 期元大S&P石油   | B6: 18.78% | DMA:  6.599 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
8064.TWO | 東捷         | B6: 18.52% | DMA:  8.298 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6451.TW  | 訊芯-KY      | B6: 18.14% | DMA: 53.940 | 💎流入 | 🔥高檔轉折(警示)
3645.TW  | 達邁         | B6: 17.83% | DMA: 16.004 | 💸流出 | 🔥高檔轉折(警示)
6531.TW  | 愛普*        | B6: 17.82% | DMA: 59.550 | 💸流出 | 🔥高檔轉折(警示)
7712.TWO | 博盛半導體      | B6: 17.82% | DMA: 25.526 | 💸流出 | 🔥高檔轉折(警示)
6830.TW  | 汎銓         | B6: 17.78% | DMA:140.270 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6223.TWO | 旺矽         | B6: 17.58% | DMA:807.300 | 💎流入 | 🔥高檔轉折(警示)
3036.TW  | 文曄         | B6: 17.55% | DMA: 62.800 | 💎流入 | 🔥高檔轉折(警示)
4956.TW  | 光鋐         | B6: 17.10% | DMA:  6.589 | 💎流入 | 🔥高檔轉折(警示)
3163.TWO | 波若威        | B6: 16.95% | DMA:287.950 | 💸流出 | 🔥高檔轉折(警示)
2451.TW  | 創見         | B6: 16.93% | DMA: 28.660 | 💸流出 | 🔥高檔轉折(警示)
2399.TW  | 映泰         | B6: 16.70% | DMA:  3.486 | 💎流入 | 🔥高檔轉折(警示)
3037.TW  | 欣興         | B6: 16.21% | DMA:143.160 | 💎流入 | 🔥高檔轉折(警示)
2337.TW  | 旺宏         | B6: 16.21% | DMA: 36.089 | 💎流入 | 🔥高檔轉折(警示)
3131.TWO | 弘塑         | B6: 16.19% | DMA:329.200 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6874.TWO | 倍力         | B6: 15.99% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
3702.TW  | 大聯大        | B6: 15.79% | DMA: 14.896 | 💎流入 | 🔥高檔轉折(警示)
8039.TW  | 台虹         | B6: 15.73% | DMA: 22.854 | 💸流出 | 🔥高檔轉折(警示)
1309.TW  | 台達化        | B6: 15.47% | DMA:  3.173 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3563.TW  | 牧德         | B6: 15.39% | DMA:135.310 | 💎流入 | 🔥高檔轉折(警示)
3049.TW  | 精金         | B6: 15.38% | DMA:  4.083 | 💎流入 | 🔥高檔轉折(警示)
6894.TWO | 衛司特        | B6: 15.29% | DMA: 76.580 | 💎流入 | 🔥高檔轉折(警示)
6246.TWO | 臺龍         | B6: 15.27% | DMA:  2.012 | 💎流入 | 🔥高檔轉折(警示)
3167.TW  | 大量         | B6: 15.19% | DMA: 80.520 | 💸流出 | 🔥高檔轉折(警示)
4764.TW  | 雙鍵         | B6: 15.02% | DMA: 24.050 | 💸流出 | 🔥高檔轉折(警示)
8112.TW  | 至上         | B6: 14.88% | DMA:  9.586 | 💸流出 | 🔥高檔轉折(警示)
6291.TWO | 沛亨         | B6: 14.78% | DMA: 83.720 | 💸流出 | 🔥高檔轉折(警示)
6197.TW  | 佳必琪        | B6: 14.67% | DMA: 25.840 | 💎流入 | 🔥高檔轉折(警示)
6532.TWO | 瑞耘         | B6: 14.66% | DMA:  9.816 | 💸流出 | 🔥高檔轉折(警示)
9136.TW  | 巨騰-DR      | B6: 14.48% | DMA:  1.405 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6924.TW  | 榮惠-KY創     | B6: 14.35% | DMA:  5.332 | 💎流入 | 🔥高檔轉折(警示)
6456.TW  | GIS-KY     | B6: 14.34% | DMA: 13.964 | 💎流入 | 🔥高檔轉折(警示)
3714.TW  | 富采         | B6: 14.31% | DMA:  6.861 | 💎流入 | 🔥高檔轉折(警示)
4542.TWO | 科嶠         | B6: 14.20% | DMA: 49.462 | 💎流入 | 🔥高檔轉折(警示)
6167.TWO | 久正         | B6: 13.86% | DMA:  0.000 | 💎流入 | 🔥高檔轉折(警示)
4919.TW  | 新唐         | B6: 13.76% | DMA: 23.200 | 💎流入 | 🔥高檔轉折(警示)
6419.TWO | 京晨科        | B6: 13.76% | DMA:  8.080 | 💸流出 | 🔥高檔轉折(警示)
8096.TWO | 擎亞         | B6: 13.63% | DMA: 16.405 | 💸流出 | 🔥高檔轉折(警示)
3006.TW  | 晶豪科        | B6: 13.55% | DMA: 21.520 | 💎流入 | 🔥高檔轉折(警示)
3675.TWO | 德微         | B6: 13.51% | DMA: 38.860 | 💸流出 | 🔥高檔轉折(警示)
1799.TWO | 易威         | B6: 13.33% | DMA:  0.000 | 💸流出 | 🔥高檔轉折(警示)
6739.TWO | 竹陞科技       | B6: 13.24% | DMA:238.760 | 💎流入 | 🔥高檔轉折(警示)
3693.TWO | 營邦         | B6: 13.22% | DMA: 85.030 | 💸流出 | 🔥高檔轉折(警示)
3576.TW  | 聯合再生       | B6: 13.12% | DMA:  7.831 | 💸流出 | 🔥高檔轉折(警示)
6568.TWO | 宏觀         | B6: 13.10% | DMA: 41.140 | 💎流入 | 🔥高檔轉折(警示)
1305.TW  | 華夏         | B6:  9.86% | DMA:  2.099 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4905.TWO | 台聯電        | B6:  7.38% | DMA:  7.796 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6547.TWO | 高端疫苗       | B6:  7.16% | DMA:  3.455 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
6530.TWO | 創威         | B6:  6.78% | DMA: 13.798 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
1304.TW  | 台聚         | B6:  5.17% | DMA:  1.452 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3135.TW  | 凌航         | B6:  3.70% | DMA:  9.888 | 💎流入 | 🔥高檔轉折(警示)
3023.TW  | 信邦         | B6:  3.45% | DMA: 25.190 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
4903.TWO | 聯光通        | B6:  2.84% | DMA:  2.686 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7810.TWO | 捷創科技       | B6:  2.40% | DMA:-26.830 | 💎流入 | ⚠️高檔過熱
6584.TWO | 南俊國際       | B6:  2.05% | DMA: 59.940 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
7711.TW  | 永擎         | B6:  1.24% | DMA: -6.540 | 💎流入 | ⚠️高檔過熱
2504.TW  | 國產         | B6:  0.65% | DMA:  0.674 | 💸流出 | 🔥高檔轉折(警示)
3259.TWO | 鑫創         | B6:  0.21% | DMA: -1.674 | 💎流入 | ⚠️高檔過熱
8087.TWO | 麗升能源       | B6:  0.20% | DMA:  1.977 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
3531.TWO | 先益         | B6: -0.11% | DMA: -0.253 | 💸流出 | ⚠️高檔過熱
2724.TWO | 藝舍-KY      | B6: -0.33% | DMA: -0.310 | 💸流出 | ⚠️高檔過熱
2461.TW  | 光群雷        | B6: -0.45% | DMA: -0.352 | 💎流入 | 🔥高檔轉折(警示)
8342.TWO | 益張         | B6: -1.00% | DMA: -1.010 | 💎流入 | ⚠️高檔過熱
8102.TWO | 傑霖科技       | B6: -2.16% | DMA: -4.958 | 💎流入 | ⚠️高檔過熱
3687.TWO | 歐買尬        | B6: -2.71% | DMA: -6.978 | 💎流入 | ⚠️高檔過熱
3587.TWO | 閎康         | B6: -4.65% | DMA: -1.902 | 💎流入 | 🔥高檔轉折(警示)
6542.TWO | 隆中         | B6: -4.83% | DMA: -0.132 | 💎流入 | 🔥高檔轉折(警示)
2025.TW  | 千興         | B6: -4.95% | DMA: -0.960 | 💎流入 | 🔥高檔轉折(警示)
1805.TW  | 寶徠         | B6: -5.21% | DMA: -0.939 | 💎流入 | ⚠️高檔過熱
7728.TWO | 光焱科技       | B6: -6.22% | DMA: 21.740 | 💎流入 | ⚠️強勢過熱(DMA撐盤)
