rev_yoy,gm,om,prev_year,prev_rev_yoy,date,advice,prev_eps_yoy,name,eps,status,est_price,eps_yoy,pe,prev_eps,expansion,symbol,price
127.83,49.30%,35.64%,2025,-2.6,2026-03,⚪ 中性觀察,-10.32,新巨,1.05,⚠️ 獲利稀釋,141.3,2.97,6.496815367611465,3.91,-124.86,2420.TW,61.2000007629
-26.36,56.72%,-48.58%,2025,15.28,2026-03,⚪ 數據不足,46.94,基亞,-0.38,🏰 高護城河,-9.600000000000001,-151.35,0.0,-0.78,-124.99,3176.TWO,33.5499992371
769.01,18.47%,4.68%,2025,19.6,2026-03,⚪ 數據不足,84.62,日成-KY,1.7,🔄 轉虧為盈,-3.4499999999999997,644.0,0.0,-0.24,-125.00999999999999,4807.TW,44.0
148.24,N/A,N/A,2025,3.86,2026-03,⚪ 中性觀察,-18.72,科定,0.95,⚠️ 獲利稀釋,135.6,20.78,13.661504424778762,3.92,-127.46000000000001,6655.TW,123.5
86.45,73.88%,-74.64%,2025,5.58,2026-03,⚪ 數據不足,41.67,新零售,-0.24,🏰 高護城河,-23.400000000000002,-41.18,0.0,-0.56,-127.63,3085.TWO,12.1499996185
298.59,31.57%,12.43%,2025,-5.55,2026-03,⚪ 中性觀察,-42.92,捷流閥業,1.76,⚠️ 獲利稀釋,195.6,170.77,6.326687116564417,5.03,-127.81999999999996,4580.TWO,82.5
129.18,46.40%,17.75%,2025,-12.98,2026-03,❌ 暫避觀望,-29.79,前鼎,0.76,⚠️ 獲利稀釋,75.3,1.33,42.23107569721116,1.98,-127.85000000000001,4908.TWO,212.0
133.38,51.54%,29.92%,2025,12.28,2026-03,⚪ 中性觀察,-15.21,嘉澤,21.37,🏰 高護城河,2491.8,5.34,13.785215506862508,70.17,-128.04,3533.TW,2290.0
133.06,N/A,N/A,2025,-1.34,2026-03,⚪ 中性觀察,-14.93,耕興,2.97,⚠️ 獲利稀釋,405.75,4.21,7.190388170055453,10.77,-128.85,6146.TWO,194.5
133.24,N/A,N/A,2025,27.05,2026-03,⚪ 中性觀察,7.23,創為精密,1.08,⚠️ 獲利稀釋,130.65,3.92,6.980482116773823,3.59,-129.32000000000002,6899.TWO,60.7999992371
100.47,60.10%,23.50%,2025,14.52,2026-03,⚪ 中性觀察,79.17,友霖,0.16,🏰 高護城河,28.35,-30.43,13.227513227513226,0.9,-130.9,4166.TWO,25.0
234.77,N/A,N/A,2025,29.17,2026-03,❌ 暫避觀望,51.69,新代,15.38,⚠️ 獲利稀釋,1357.5,103.4,26.1878453038674,35.12,-131.37,7750.TW,2370.0
86.74,N/A,N/A,2025,-3.02,2026-03,❌ 暫避觀望,-25.66,詮欣,0.38,📉 獲利侵蝕,71.55,-45.71,17.044025797023064,2.0,-132.45,6205.TW,81.3000030518
239.86,N/A,N/A,2025,2.24,2026-03,❌ 暫避觀望,56.47,立積,0.58,⚠️ 獲利稀釋,68.55000000000001,107.14,24.835886214442013,2.66,-132.72000000000003,4968.TW,113.5
127.49,N/A,N/A,2025,12.01,2026-03,⚪ 中性觀察,382.35,同亨,0.7,📉 獲利侵蝕,67.64999999999999,-5.56,6.474501277804879,1.69,-133.04999999999998,5490.TWO,29.2000007629
149.46,43.28%,17.47%,2025,12.26,2026-03,❌ 暫避觀望,-22.51,家登,2.55,⚠️ 獲利稀釋,282.3,15.91,28.79914984059511,9.43,-133.55,3680.TWO,542.0
136.2,48.05%,9.02%,2025,1.84,2026-03,⚪ 中性觀察,-2.28,寶陞,0.4,⚠️ 獲利稀釋,77.25,2.56,7.233009708737864,2.14,-133.64,2948.TWO,37.25
215.25,42.10%,29.56%,2025,59.93,2026-03,❌ 暫避觀望,56.98,弘塑,16.11,⚠️ 獲利稀釋,1553.55,81.01,33.98667567828522,45.48,-134.24,3131.TWO,3520.0
64.29,N/A,N/A,2025,-7.04,2026-03,⚪ 中性觀察,-41.32,台南-KY,0.11,📉 獲利侵蝕,42.45,-70.27,14.452297358975265,0.98,-134.56,5906.TW,40.9000015259
301.75,N/A,N/A,2025,-35.35,2026-03,⚪ 中性觀察,-33.33,大城地產,0.08,⚠️ 獲利稀釋,158.10000000000002,166.67,2.362428806309298,3.82,-135.08,6171.TWO,24.8999996185
226.98,41.30%,7.58%,2025,2.05,2026-03,❌ 暫避觀望,-51.49,耀登,-0.02,⚠️ 獲利稀釋,15.3,90.48,133.8235294117647,1.5,-136.5,3138.TW,136.5
115.09,N/A,N/A,2025,18.28,2026-03,⚪ 中性觀察,56.72,尚凡*,0.29,📉 獲利侵蝕,38.849999999999994,-21.62,9.324324177027028,1.05,-136.71,5278.TWO,24.1499996185
124.86,N/A,N/A,2025,3.61,2026-03,⚪ 中性觀察,-27.37,富致,0.74,📉 獲利侵蝕,93.15,-11.9,14.589371734959743,2.6,-136.76,6642.TWO,90.5999984741
182.43,24.70%,-7.54%,2025,-9.62,2026-03,⚪ 中性觀察,-80.37,加捷生醫,0.15,⚠️ 獲利稀釋,13.35,45.45,13.651684964606742,0.43,-136.98000000000002,4109.TWO,12.1499996185
237.41,N/A,N/A,2025,-15.41,2026-03,⚪ 數據不足,-106.78,鑫創電子,0.08,🔄 轉虧為盈,-35.849999999999994,100.0,0.0,-0.29,-137.41,6680.TWO,51.5
102.78,33.68%,18.07%,2025,-1.96,2026-03,⚪ 數據不足,-13.11,東陽,1.62,📉 獲利侵蝕,0.0,-34.68,0.0,6.43,-137.46,1319.TW,0.0
102.54,N/A,N/A,2025,-1.73,2026-03,❌ 暫避觀望,-55.59,保勝光學,0.52,📉 獲利侵蝕,45.3,-35.0,25.86092664705298,1.63,-137.54000000000002,6517.TWO,78.0999984741
137.61,40.70%,-7.01%,2025,9.13,2026-03,⚪ 數據不足,31.82,農林,-0.04,📉 獲利侵蝕,-5.7,0.0,0.0,-0.15,-137.61,2913.TW,11.1499996185
43.67,N/A,N/A,2025,-7.53,2026-03,⚪ 中性觀察,-87.79,可寧衛*,0.21,📉 獲利侵蝕,299.54999999999995,-94.21,1.407110685102654,1.29,-137.88,8422.TW,28.1000003815
148.7,N/A,N/A,2025,9.26,2026-03,⚪ 中性觀察,-0.43,飛捷,2.51,⚠️ 獲利稀釋,277.65000000000003,10.57,7.1042679632631005,6.9,-138.13,6206.TW,131.5
103.42,N/A,N/A,2025,-6.21,2026-03,⚪ 中性觀察,81.39,瑞耘,0.84,📉 獲利侵蝕,175.2,-34.88,7.808218916797945,7.31,-138.3,6532.TWO,91.1999969482
174.21,N/A,N/A,2025,34.16,2026-03,⚪ 數據不足,34.19,蒙恬,-0.18,⚠️ 獲利稀釋,-33.3,35.71,0.0,-0.77,-138.5,5211.TWO,18.9500007629
312.01,25.80%,1.28%,2025,10.49,2026-03,⚪ 中性觀察,-33.45,鼎天,0.11,⚠️ 獲利稀釋,83.55000000000001,173.33,8.617594254937163,1.95,-138.67999999999998,3306.TWO,48.0
148.79,N/A,N/A,2025,15.04,2026-03,⚪ 中性觀察,-4.63,博大,1.75,⚠️ 獲利稀釋,223.8,10.06,8.243967828418231,6.18,-138.73,8109.TWO,123.0
539.09,15.75%,-3.56%,2025,-10.66,2026-03,❌ 暫避觀望,-19.23,東和,0.06,⚠️ 獲利稀釋,5.8500000000000005,400.0,44.87179487179487,0.19,-139.09000000000003,1414.TW,17.5
51.4,N/A,N/A,2025,12.79,2026-03,⚪ 中性觀察,-47.4,君曜,0.1,📉 獲利侵蝕,78.0,-87.95,8.115384762096152,3.0,-139.35,7770.TWO,42.2000007629
142.19,N/A,N/A,2025,3.64,2026-03,⚪ 中性觀察,2.97,中華資安,3.38,⚠️ 獲利稀釋,440.70000000000005,2.74,8.10074880871341,11.47,-139.45,7765.TW,238.0
70.64,49.97%,11.73%,2025,4.97,2026-03,⚪ 中性觀察,-6.08,生合,0.39,📉 獲利侵蝕,193.95,-69.05,3.8747098587857693,5.29,-139.69,1295.TWO,50.0999984741
30.39,N/A,N/A,2025,-12.93,2026-03,⚪ 數據不足,-147.27,迅杰,-0.03,📉 獲利侵蝕,-18.6,-109.68,0.0,-0.52,-140.07,6243.TW,34.9000015259
108.67,34.23%,12.30%,2025,-1.51,2026-03,⚪ 中性觀察,-4.72,君帆,0.91,📉 獲利侵蝕,134.39999999999998,-31.58,4.486607228002232,3.43,-140.25,4584.TWO,40.2000007629
104.46,N/A,N/A,2025,0.46,2026-03,⚪ 中性觀察,-24.75,瓦城,1.64,📉 獲利侵蝕,290.85,-36.22,8.457968024755028,6.76,-140.68,2729.TWO,164.0
71.65,42.16%,2.86%,2025,62.61,2026-03,❌ 暫避觀望,-29.75,智原,0.4,📉 獲利侵蝕,99.74999999999999,-69.92,31.42857142857143,2.81,-141.57,3035.TW,209.0
244.55,N/A,N/A,2025,-3.28,2026-03,❌ 暫避觀望,-48.05,迅德,0.73,⚠️ 獲利稀釋,52.95,102.78,19.206799731388102,2.0,-141.77,6292.TWO,67.8000030518
137.6,N/A,N/A,2025,5.0,2026-03,⚪ 中性觀察,-0.84,致新,4.62,📉 獲利侵蝕,659.1,-4.18,7.259899863450158,17.76,-141.78,8081.TW,319.0
133.59,N/A,N/A,2025,9.33,2026-03,⚪ 中性觀察,15.63,明達醫,1.33,📉 獲利侵蝕,215.7,-8.28,4.993046109304591,5.8,-141.87,6527.TWO,71.8000030518
143.49,N/A,N/A,2025,170.31,2026-03,⚪ 數據不足,18.35,益得,-0.63,⚠️ 獲利稀釋,-88.05,1.56,0.0,-2.57,-141.93,6461.TWO,15.3500003815
89.96,N/A,N/A,2025,-27.76,2026-03,⚪ 中性觀察,-39.84,裕山,0.64,📉 獲利侵蝕,127.64999999999999,-52.24,3.8072857257226795,3.09,-142.2,7715.TWO,32.4000015259
180.17,47.51%,31.25%,2025,11.97,2026-03,⚪ 中性觀察,10.18,亞德客-KY,13.35,⚠️ 獲利稀釋,1583.5500000000002,37.91,13.071895424836601,42.0,-142.26,1590.TW,1380.0
51.34,32.24%,-58.77%,2025,1.9,2026-03,⚪ 數據不足,6.47,正峰,-1.11,📉 獲利侵蝕,0.0,-91.38,0.0,-1.59,-142.72,1538.TW,0.0
443.05,N/A,N/A,2025,36.88,2026-03,⚪ 數據不足,-246.15,凱鈺,0.12,🔄 轉虧為盈,-13.65,300.0,0.0,-0.65,-143.05,5468.TWO,30.0
114.65,38.19%,16.92%,2025,-2.07,2026-03,⚪ 中性觀察,-19.62,聯詠,6.19,📉 獲利侵蝕,1029.8999999999999,-28.44,7.515292746868629,26.87,-143.09,3034.TW,516.0
185.98,N/A,N/A,2025,14.37,2026-03,❌ 暫避觀望,14.0,雷虎,0.34,⚠️ 獲利稀釋,35.24999999999999,41.67,55.10638297872341,0.58,-144.31,8033.TW,129.5
125.8,N/A,N/A,2025,1.76,2026-03,⚪ 中性觀察,6.64,譜瑞-KY,6.77,📉 獲利侵蝕,1293.4499999999998,-19.19,8.036646178824077,34.51,-144.99,4966.TWO,693.0
206.98,N/A,N/A,2025,116.34,2026-03,❌ 暫避觀望,110.03,鴻勁,25.7,⚠️ 獲利稀釋,2791.5,61.74,37.479849543256314,75.71,-145.23999999999998,7769.TW,6975.0
237.89,N/A,N/A,2025,-7.32,2026-03,⚪ 中性觀察,-50.22,晶達,1.01,⚠️ 獲利稀釋,72.45,92.31,9.420289855072463,2.25,-145.57999999999998,4995.TWO,45.5
269.52,N/A,N/A,2025,-6.81,2026-03,❌ 暫避觀望,-10.94,訊映,0.39,⚠️ 獲利稀釋,11.549999999999999,123.53,19.87013011779221,0.58,-145.98999999999998,4155.TW,15.3000001907
130.66,33.56%,14.34%,2025,-10.06,2026-03,⚪ 中性觀察,-23.5,味王,0.49,📉 獲利侵蝕,63.3,-15.52,10.18957345971564,1.81,-146.18,1203.TW,43.0
79.57,N/A,N/A,2025,-15.67,2026-03,⚪ 中性觀察,-50.94,昶瑞機電,0.5,📉 獲利侵蝕,130.35000000000002,-66.89,8.262370892036824,3.29,-146.45999999999998,7642.TWO,71.8000030518
177.74,N/A,N/A,2025,34.56,2026-03,❌ 暫避觀望,47.62,捷創科技,1.83,⚠️ 獲利稀釋,202.2,30.71,15.430267062314542,6.25,-147.03,7810.TWO,208.0
107.87,N/A,N/A,2025,51.84,2026-03,⚪ 中性觀察,-7.07,智通*,0.53,📉 獲利侵蝕,107.1,-39.77,14.005602240896359,1.85,-147.64000000000001,8932.TWO,100.0
151.01,N/A,N/A,2025,2.84,2026-03,❌ 暫避觀望,-5.93,聯寶,0.32,⚠️ 獲利稀釋,41.699999999999996,3.33,24.31654621370504,1.13,-147.67999999999998,6821.TWO,67.5999984741
165.36,N/A,N/A,2025,12.43,2026-03,❌ 暫避觀望,32.55,達興材料,2.21,⚠️ 獲利稀釋,275.1,17.55,21.59214830970556,7.37,-147.81,5234.TW,396.0
118.45,N/A,N/A,2025,-2.1,2026-03,⚪ 中性觀察,-25.47,三能-KY,0.26,📉 獲利侵蝕,76.94999999999999,-29.73,5.019493177387915,2.37,-148.18,6671.TW,25.75
86.03,N/A,N/A,2025,2.69,2026-03,⚪ 中性觀察,3.23,時報,0.18,📉 獲利侵蝕,34.199999999999996,-62.5,8.684210191710527,0.96,-148.53,8923.TWO,19.7999992371
119.1,N/A,N/A,2025,-23.02,2026-03,❌ 暫避觀望,-58.85,駐龍,0.92,📉 獲利侵蝕,106.8,-29.77,20.29494382022472,3.0,-148.87,4572.TW,144.5
148.55,41.25%,31.26%,2025,42.0,2026-03,❌ 暫避觀望,49.96,健策,9.53,📉 獲利侵蝕,1359.6,-0.63,43.744483671668135,36.75,-149.18,3653.TW,3965.0
106.56,23.65%,-15.73%,2025,-21.77,2026-03,⚪ 數據不足,-148.96,為升,0.4,🔄 轉虧為盈,-24.3,-42.86,0.0,-1.63,-149.42000000000002,2231.TW,92.9000015259
166.01,N/A,N/A,2025,-42.69,2026-03,⚪ 數據不足,-10.0,安克,-0.21,⚠️ 獲利稀釋,-33.75,16.0,0.0,-0.88,-150.01,4188.TWO,10.5500001907
261.16,N/A,N/A,2025,-3.71,2026-03,⚪ 數據不足,38.64,光鼎,0.01,🔄 轉虧為盈,-9.9,111.11,0.0,-0.28,-150.05,6226.TW,12.3999996185
159.56,N/A,N/A,2025,9.51,2026-03,⚪ 中性觀察,10.39,星亞,1.08,⚠️ 獲利稀釋,157.95,9.09,3.9363723421557455,4.22,-150.47,7753.TWO,41.4500007629
167.87,49.56%,23.11%,2025,-9.99,2026-03,⚪ 數據不足,1.75,國光生,-0.44,⚠️ 獲利稀釋,-47.25000000000001,17.31,0.0,-0.57,-150.56,4142.TW,17.3999996185
192.82,N/A,N/A,2025,23.89,2026-03,❌ 暫避觀望,198.64,力智,2.1,⚠️ 獲利稀釋,222.3,41.89,17.577597840755736,6.58,-150.93,6719.TW,260.5
216.06,N/A,N/A,2025,23.03,2026-03,❌ 暫避觀望,-12.9,雍智科技,6.23,⚠️ 獲利稀釋,550.4999999999999,64.88,44.9591280653951,15.42,-151.18,6683.TWO,1650.0
47.85,44.07%,-19.63%,2025,5.99,2026-03,⚪ 數據不足,-192.54,華義*,-0.01,📉 獲利侵蝕,-25.5,-104.55,0.0,-0.62,-152.4,3086.TWO,36.0
166.0,N/A,N/A,2025,35.51,2026-03,❌ 暫避觀望,40.24,穎崴,19.54,⚠️ 獲利稀釋,1842.6000000000001,13.4,76.92933897753174,46.93,-152.6,6515.TW,9450.0
69.99,N/A,N/A,2025,786.25,2026-03,⚪ 中性觀察,131.69,辣椒,0.41,📉 獲利侵蝕,144.9,-82.61,11.438923395445135,3.14,-152.6,4946.TWO,110.5
83.05,N/A,N/A,2025,-15.03,2026-03,⚪ 中性觀察,-39.39,奕力-KY,0.58,📉 獲利侵蝕,120.60000000000001,-69.68,4.8383086475,2.87,-152.73000000000002,6962.TW,38.9000015259
148.91,49.60%,5.94%,2025,69.66,2026-03,⚪ 中性觀察,61.83,聯發國際,0.51,📉 獲利侵蝕,125.39999999999999,-3.85,7.15310995659091,3.93,-152.76,2756.TWO,59.7999992371
125.85,38.12%,-0.86%,2025,4.92,2026-03,❌ 暫避觀望,-33.77,類比科,0.24,📉 獲利侵蝕,29.250000000000004,-27.27,37.23076844825641,1.0,-153.12,3438.TWO,72.5999984741
124.98,N/A,N/A,2025,-13.21,2026-03,⚪ 中性觀察,-45.5,鼎基,1.86,📉 獲利侵蝕,210.0,-28.46,9.857142857142858,5.64,-153.44,6585.TW,138.0
55.25,23.48%,-362.94%,2025,-88.36,2026-03,❌ 暫避觀望,-32.0,聯德,0.01,📉 獲利侵蝕,7.95,-98.28,40.47169955264151,0.68,-153.53,3308.TW,21.4500007629
60.26,34.04%,22.47%,2025,-27.63,2026-03,⚪ 中性觀察,-51.27,海悅,0.16,📉 獲利侵蝕,208.2,-93.37,5.5331414302449575,6.85,-153.63,2348.TW,76.8000030518
108.08,N/A,N/A,2025,-12.78,2026-03,⚪ 中性觀察,-45.98,耿鼎,0.53,📉 獲利侵蝕,68.7,-45.92,6.53930147661572,1.95,-154.0,1524.TW,29.9500007629
177.0,46.23%,41.07%,2025,-2.28,2026-03,⚪ 數據不足,3.25,台航,0.71,⚠️ 獲利稀釋,0.0,22.41,0.0,3.18,-154.59,2617.TW,0.0
199.88,34.82%,-12.95%,2025,-11.1,2026-03,⚪ 數據不足,-22.38,笙泉,-0.29,⚠️ 獲利稀釋,-67.95,45.28,0.0,-1.75,-154.6,3122.TWO,31.0499992371
159.07,N/A,N/A,2025,10.49,2026-03,⚪ 數據不足,-355.0,芯鼎,-0.68,⚠️ 獲利稀釋,-87.9,4.29,0.0,-1.83,-154.78,6695.TW,58.4000015259
225.35,58.57%,27.57%,2025,5.02,2026-03,❌ 暫避觀望,-12.03,昇達科,3.68,🏰 高護城河,290.7,70.37,80.49535603715171,7.83,-154.98,3491.TWO,1560.0
200.61,N/A,N/A,2025,12.38,2026-03,⚪ 中性觀察,-20.23,捷波,0.83,⚠️ 獲利稀釋,100.05,45.61,7.916041864632684,2.72,-155.0,6161.TWO,52.7999992371
132.18,N/A,N/A,2025,1.22,2026-03,⚪ 中性觀察,-5.16,鐿鈦,1.29,📉 獲利侵蝕,179.25000000000003,-23.31,9.623430962343095,5.13,-155.49,4163.TWO,115.0
140.64,N/A,N/A,2025,-2.32,2026-03,⚪ 中性觀察,2.89,穩得,1.6,📉 獲利侵蝕,269.25,-14.89,11.364902506963789,7.34,-155.52999999999997,6761.TWO,204.0
74.54,40.97%,11.18%,2025,38.76,2026-03,❌ 暫避觀望,15.09,港建*,0.08,📉 獲利侵蝕,44.849999999999994,-81.4,21.73913043478261,1.22,-155.94,3093.TWO,65.0
115.66,N/A,N/A,2025,22.92,2026-03,❌ 暫避觀望,-22.13,聰泰,0.6,📉 獲利侵蝕,185.7,-41.18,15.185783521809372,5.49,-156.84,5474.TWO,188.0
173.58,N/A,N/A,2025,19.77,2026-03,⚪ 中性觀察,11.33,久禾光,1.75,⚠️ 獲利稀釋,229.95000000000002,16.67,6.979778212654924,6.51,-156.91000000000003,6498.TWO,107.0
174.38,N/A,N/A,2025,2.96,2026-03,⚪ 中性觀察,-28.18,欣天然,0.63,⚠️ 獲利稀釋,65.4,16.98,9.885320750940366,1.61,-157.4,9918.TW,43.0999984741
57.79,N/A,N/A,2025,-2.17,2026-03,⚪ 數據不足,16.9,志旭,-0.62,📉 獲利侵蝕,-29.85,-100.0,0.0,-0.59,-157.79,8067.TWO,12.8000001907
68.27,N/A,N/A,2025,2.86,2026-03,⚪ 數據不足,-1377.78,笙科,-0.57,📉 獲利侵蝕,-50.4,-90.0,0.0,-1.33,-158.26999999999998,5272.TWO,21.6499996185
68.51,24.73%,-2.71%,2025,-31.39,2026-03,⚪ 中性觀察,-57.58,憶聲,0.02,📉 獲利侵蝕,13.800000000000002,-90.0,13.26086935793478,0.28,-158.51,3024.TW,12.1999998093
76.73,N/A,N/A,2025,22.38,2026-03,❌ 暫避觀望,139.29,泰霖,0.02,📉 獲利侵蝕,9.0,-81.82,47.9999987285,0.12,-158.55,8080.TWO,28.7999992371
90.37,N/A,N/A,2025,2.98,2026-03,⚪ 中性觀察,-19.59,三集瑞-KY,1.0,📉 獲利侵蝕,277.65,-68.65,12.263641274986496,8.29,-159.02,6862.TW,227.0
185.58,42.56%,-18.87%,2025,9.94,2026-03,⚪ 數據不足,31.02,中天,-0.31,⚠️ 獲利稀釋,-58.650000000000006,26.19,0.0,-1.29,-159.39000000000001,4128.TWO,15.0500001907
195.54,N/A,N/A,2025,-9.4,2026-03,⚪ 中性觀察,-14.17,力領科技,3.27,⚠️ 獲利稀釋,419.85,36.13,6.931046802429439,12.15,-159.41,6996.TWO,194.0
155.84,34.44%,17.09%,2025,0.3,2026-03,⚪ 中性觀察,-13.92,倉佑,0.51,📉 獲利侵蝕,49.35,-3.77,13.99696025443769,1.36,-159.61,1568.TW,46.0499992371
214.29,N/A,N/A,2025,11.69,2026-03,⚪ 數據不足,-462.96,驊訊,-0.24,⚠️ 獲利稀釋,-67.2,52.94,0.0,-1.52,-161.35,6237.TWO,46.0
100.37,N/A,N/A,2025,-23.31,2026-03,⚪ 中性觀察,-62.55,傑霖科技,0.4,📉 獲利侵蝕,79.49999999999999,-61.9,13.566038023754718,2.25,-162.27,8102.TWO,71.9000015259
137.15,N/A,N/A,2025,37.15,2026-03,⚪ 中性觀察,57.43,海韻電,1.37,📉 獲利侵蝕,164.85,-25.14,6.123749140291174,5.51,-162.29000000000002,6203.TWO,67.3000030518
186.39,N/A,N/A,2025,3.91,2026-03,⚪ 中性觀察,-22.95,全宇昕,2.47,⚠️ 獲利稀釋,234.00000000000003,22.89,9.967948717948717,6.32,-163.5,6651.TWO,155.5
155.73,25.33%,7.00%,2025,1.19,2026-03,⚪ 中性觀察,-12.32,茂訊,2.59,📉 獲利侵蝕,292.35,-8.48,6.875320677270395,7.4,-164.20999999999998,3213.TWO,134.0
50.4,27.86%,-40.94%,2025,34.04,2026-03,⚪ 數據不足,59.69,隴華,-0.58,📉 獲利侵蝕,-58.8,-114.81,0.0,-1.34,-165.21,2424.TW,10.6000003815
139.24,44.64%,12.42%,2025,-11.82,2026-03,⚪ 中性觀察,-32.69,曜亞,0.84,📉 獲利侵蝕,145.8,-26.32,5.288066000606996,3.81,-165.56,4138.TWO,51.4000015259
499.13,35.36%,30.49%,2025,-4.75,2026-03,⚪ 中性觀察,-22.2,裕民,1.17,⚠️ 獲利稀釋,139.19999999999996,333.33,6.6271551724137945,4.31,-165.8,2606.TW,61.5
179.42,43.11%,22.84%,2025,-3.71,2026-03,❌ 暫避觀望,141.94,海灣,0.09,⚠️ 獲利稀釋,2.55,12.5,104.1176515464706,0.13,-166.92,3252.TWO,17.7000007629
364.73,N/A,N/A,2025,-0.48,2026-03,❌ 暫避觀望,240.74,有成精密,1.19,⚠️ 獲利稀釋,80.1,197.5,16.573033707865168,1.91,-167.23000000000002,4949.TW,88.5
264.19,N/A,N/A,2025,12.03,2026-03,❌ 暫避觀望,-0.23,佳必琪,3.21,⚠️ 獲利稀釋,325.49999999999994,96.93,16.01382488479263,8.67,-167.26,6197.TW,347.5
192.98,N/A,N/A,2025,-62.05,2026-03,⚪ 數據不足,-40.62,北極星藥業-KY,-0.64,⚠️ 獲利稀釋,-160.04999999999998,25.58,0.0,-5.1,-167.39999999999998,6550.TW,13.6499996185
162.93,35.81%,-38.32%,2025,-16.89,2026-03,⚪ 數據不足,-234.57,連宇,-0.23,📉 獲利侵蝕,-45.3,-4.55,0.0,-1.09,-167.48000000000002,2482.TW,17.3500003815
157.19,N/A,N/A,2025,-31.28,2026-03,⚪ 數據不足,-516.13,大地-KY,-0.4,📉 獲利侵蝕,-46.050000000000004,-11.11,0.0,-1.29,-168.3,8437.TWO,10.6000003815
190.06,39.78%,15.69%,2025,18.56,2026-03,❌ 暫避觀望,17.26,研華,3.85,⚠️ 獲利稀釋,453.6,21.52,16.335978835978835,12.25,-168.54,2395.TW,494.0
215.08,N/A,N/A,2025,-2.5,2026-03,❌ 暫避觀望,-69.96,聚鼎,0.64,⚠️ 獲利稀釋,46.949999999999996,46.51,27.156549520766774,0.67,-168.57000000000002,6224.TW,85.0
232.49,44.02%,23.34%,2025,28.3,2026-03,❌ 暫避觀望,32.78,新應材,3.66,⚠️ 獲利稀釋,432.6,63.39,34.3619972260749,11.33,-169.10000000000002,4749.TWO,991.0
201.37,N/A,N/A,2025,-13.26,2026-03,❌ 暫避觀望,-50.25,天虹,0.96,⚠️ 獲利稀釋,103.49999999999999,31.51,40.507246376811594,3.01,-169.86,6937.TW,279.5
191.57,N/A,N/A,2025,13.3,2026-03,⚪ 中性觀察,36.27,安�硌穈T,2.27,⚠️ 獲利稀釋,358.95000000000005,21.39,7.4801504387797735,10.22,-170.18,6690.TWO,179.0
70.28,N/A,N/A,2025,16.84,2026-03,❌ 暫避觀望,152.21,點序,0.0,📉 獲利侵蝕,10.5,-100.0,126.28571646557143,0.71,-170.28,6485.TWO,88.4000015259
195.61,N/A,N/A,2025,-1.45,2026-03,⚪ 數據不足,-54.29,佑全,-0.21,⚠️ 獲利稀釋,-49.05,25.0,0.0,-1.63,-170.61,6929.TWO,24.6000003815
189.52,N/A,N/A,2025,-12.32,2026-03,⚪ 中性觀察,-22.77,杰力,1.65,⚠️ 獲利稀釋,161.55,18.71,10.909935004642524,4.58,-170.81,5299.TWO,117.5
792.05,15.09%,1.25%,2025,-23.91,2026-03,❌ 暫避觀望,-89.88,永裕,0.36,⚠️ 獲利稀釋,10.2,620.0,29.117645936911767,0.26,-172.04999999999995,1323.TW,19.7999992371
129.05,45.13%,17.87%,2025,-2.97,2026-03,❌ 暫避觀望,-22.56,精湛,0.28,📉 獲利侵蝕,65.1,-43.18,15.714285011105991,2.3,-172.23000000000002,2070.TWO,68.1999969482
116.4,N/A,N/A,2025,38.81,2026-03,⚪ 中性觀察,60.88,動力-KY,0.75,📉 獲利侵蝕,204.29999999999998,-55.88,4.07488986784141,5.37,-172.28,6591.TW,55.5
178.72,40.82%,-1.48%,2025,1.84,2026-03,❌ 暫避觀望,100.0,誠品生活,0.17,⚠️ 獲利稀釋,19.2,6.25,27.578124403984376,0.54,-172.47,2926.TWO,35.2999992371
201.59,30.70%,-18.51%,2025,20.59,2026-03,❌ 暫避觀望,461.54,杭特,-0.05,⚠️ 獲利稀釋,18.45,28.57,25.691057220731707,0.47,-173.02,3297.TWO,31.6000003815
216.12,N/A,N/A,2025,-11.73,2026-03,⚪ 中性觀察,-22.56,明遠精密,0.7,⚠️ 獲利稀釋,73.49999999999999,42.86,11.877551176102042,2.07,-173.26,7704.TWO,58.2000007629
192.24,N/A,N/A,2025,1.36,2026-03,⚪ 中性觀察,-21.14,諾貝兒,1.57,⚠️ 獲利稀釋,96.74999999999999,18.94,10.201550860744188,2.35,-173.3,6844.TWO,65.8000030518
392.93,N/A,N/A,2025,10.19,2026-03,❌ 暫避觀望,-14.04,均華,5.19,⚠️ 獲利稀釋,487.05000000000007,218.52,34.49337850323375,12.75,-174.41,6640.TWO,1120.0
177.66,33.63%,17.33%,2025,2.67,2026-03,⚪ 中性觀察,3.96,中華電,1.3,⚠️ 獲利稀釋,189.75,3.17,11.383399209486166,4.99,-174.49,2412.TW,144.0
203.95,N/A,N/A,2025,-3.52,2026-03,⚪ 中性觀察,-13.79,邁達康,0.53,⚠️ 獲利稀釋,56.7,29.27,8.465608465608465,1.75,-174.67999999999998,9960.TWO,32.0
592.65,N/A,N/A,2025,-3.87,2026-03,❌ 暫避觀望,-43.1,鴻名,0.19,⚠️ 獲利稀釋,15.3,416.67,30.392156862745097,0.33,-175.97999999999996,3021.TW,31.0
188.41,36.51%,9.03%,2025,-9.88,2026-03,❌ 暫避觀望,-66.46,德微,1.51,⚠️ 獲利稀釋,92.85,11.85,59.53150242326333,2.67,-176.56,3675.TWO,368.5
