短線策略回測報告  (20260322)
================================================================================

=== 6831.TW (DMA:5) ===
買 2025-12-22 @261.50 | 賣 2026-01-05 @306.00 | 44.50 (17.02%)
買 2024-04-23 @27.15 | 賣 2024-05-13 @26.76 | -0.39 (-1.43%)
買 2024-05-20 @28.46 | 賣 2024-05-23 @27.49 | -0.97 (-3.41%)
買 2024-06-05 @28.02 | 賣 2024-06-24 @27.39 | -0.63 (-2.25%)
買 2024-06-28 @28.12 | 賣 2024-07-11 @26.89 | -1.22 (-4.35%)
買 2024-08-27 @24.79 | 賣 2024-09-04 @23.76 | -1.03 (-4.15%)
買 2025-09-24 @19.05 | 賣 2025-10-15 @18.10 | -0.95 (-4.99%)
買 2025-12-01 @17.70 | 賣 2025-12-11 @17.20 | -0.50 (-2.82%)
買 2026-01-28 @25.50 | 賣 2026-01-29 @24.65 | -0.85 (-3.33%)
買 2026-03-19 @22.15 | 賣 2026-03-20 @21.25 | -0.90 (-4.06%)
小計: -1.66  交易次數: 54

=== 4721.TWO (DMA:240) ===
買 2015-01-28 @18.57 | 賣 2015-02-04 @18.23 | -0.34 (-1.83%)
買 2015-03-06 @18.23 | 賣 2015-03-11 @17.65 | -0.58 (-3.17%)
買 2015-11-27 @20.00 | 賣 2015-12-07 @19.01 | -0.99 (-4.96%)
買 2016-03-02 @18.06 | 賣 2016-03-09 @19.27 | 1.21 (6.72%)
買 2016-03-28 @20.00 | 賣 2016-03-29 @19.16 | -0.85 (-4.23%)
買 2016-04-06 @21.84 | 賣 2016-04-15 @25.26 | 3.42 (15.66%)
買 2016-04-28 @26.29 | 賣 2016-05-09 @24.60 | -1.69 (-6.43%)
買 2016-05-27 @28.13 | 賣 2016-06-02 @26.48 | -1.65 (-5.88%)
買 2016-06-06 @27.10 | 賣 2016-07-08 @27.95 | 0.85 (3.12%)
買 2016-08-09 @26.59 | 賣 2016-08-10 @26.55 | -0.04 (-0.14%)
買 2016-08-31 @26.18 | 賣 2016-09-01 @25.67 | -0.51 (-1.97%)
買 2016-09-14 @26.29 | 賣 2016-09-22 @25.87 | -0.42 (-1.61%)
買 2016-11-02 @23.45 | 賣 2016-11-03 @22.68 | -0.77 (-3.27%)
買 2016-11-23 @23.26 | 賣 2016-12-29 @23.53 | 0.27 (1.16%)
買 2017-01-10 @25.45 | 賣 2017-01-17 @24.64 | -0.81 (-3.17%)
買 2017-01-20 @24.72 | 賣 2017-02-13 @28.48 | 3.76 (15.22%)
買 2017-03-03 @29.71 | 賣 2017-03-09 @33.97 | 4.26 (14.34%)
買 2017-03-17 @36.08 | 賣 2017-03-22 @33.58 | -2.49 (-6.91%)
買 2017-05-04 @34.12 | 賣 2017-05-05 @33.08 | -1.04 (-3.04%)
買 2017-05-10 @33.08 | 賣 2017-05-11 @32.70 | -0.38 (-1.16%)
買 2017-05-12 @34.69 | 賣 2017-05-16 @33.47 | -1.23 (-3.54%)
買 2017-05-26 @33.62 | 賣 2017-06-09 @32.78 | -0.84 (-2.51%)
買 2017-06-29 @33.31 | 賣 2017-08-01 @38.34 | 5.03 (15.09%)
買 2017-08-02 @37.84 | 賣 2017-08-04 @42.37 | 4.53 (11.97%)
買 2017-09-14 @93.72 | 賣 2017-09-21 @113.16 | 19.44 (20.75%)
買 2017-09-22 @101.89 | 賣 2017-09-25 @91.77 | -10.11 (-9.92%)
買 2017-09-26 @85.55 | 賣 2017-09-27 @94.11 | 8.56 (10.00%)
買 2017-10-06 @111.22 | 賣 2017-10-11 @105.77 | -5.44 (-4.90%)
買 2017-10-17 @102.27 | 賣 2017-10-27 @94.11 | -8.17 (-7.98%)
買 2017-12-14 @84.39 | 賣 2017-12-22 @89.83 | 5.44 (6.45%)
買 2017-12-26 @80.11 | 賣 2018-01-09 @80.11 | 0.00 (0.00%)
買 2018-01-31 @87.50 | 賣 2018-02-05 @82.44 | -5.06 (-5.78%)
買 2018-02-26 @91.00 | 賣 2018-02-27 @87.50 | -3.50 (-3.85%)
買 2018-03-01 @96.05 | 賣 2018-03-05 @91.39 | -4.67 (-4.86%)
買 2018-03-09 @94.11 | 賣 2018-03-21 @91.00 | -3.11 (-3.31%)
買 2018-05-28 @76.06 | 賣 2018-06-12 @88.27 | 12.21 (16.05%)
買 2018-06-20 @79.33 | 賣 2018-06-22 @77.08 | -2.26 (-2.84%)
買 2018-08-08 @75.52 | 賣 2018-08-13 @71.55 | -3.97 (-5.25%)
買 2018-08-17 @75.21 | 賣 2018-08-23 @69.84 | -5.37 (-7.14%)
買 2019-10-08 @60.53 | 賣 2019-10-09 @59.44 | -1.08 (-1.79%)
買 2019-10-31 @59.86 | 賣 2019-11-08 @58.61 | -1.25 (-2.08%)
買 2020-01-14 @58.20 | 賣 2020-01-30 @52.46 | -5.74 (-9.86%)
買 2020-12-25 @58.66 | 賣 2021-01-12 @56.32 | -2.34 (-3.98%)
買 2021-01-15 @55.80 | 賣 2021-01-18 @55.63 | -0.17 (-0.31%)
買 2021-02-22 @56.84 | 賣 2021-02-24 @55.11 | -1.73 (-3.04%)
買 2021-02-26 @58.05 | 賣 2021-03-02 @55.80 | -2.25 (-3.87%)
買 2021-03-11 @55.80 | 賣 2021-03-19 @55.20 | -0.61 (-1.09%)
買 2021-04-09 @60.56 | 賣 2021-05-03 @57.19 | -3.37 (-5.57%)
買 2021-05-31 @53.38 | 賣 2021-06-04 @52.95 | -0.43 (-0.81%)
買 2021-06-15 @53.81 | 賣 2021-06-25 @62.81 | 9.00 (16.72%)
買 2021-06-28 @60.22 | 賣 2021-07-05 @70.17 | 9.95 (16.52%)
買 2021-07-14 @73.89 | 賣 2021-07-28 @70.97 | -2.92 (-3.95%)
買 2021-08-10 @84.23 | 賣 2021-08-11 @76.68 | -7.55 (-8.97%)
買 2021-08-12 @84.32 | 賣 2021-08-18 @101.89 | 17.57 (20.83%)
買 2021-09-09 @111.55 | 賣 2021-09-10 @108.91 | -2.63 (-2.36%)
買 2021-10-13 @104.52 | 賣 2021-10-25 @124.72 | 20.20 (19.33%)
買 2021-11-11 @147.56 | 賣 2021-11-22 @142.29 | -5.27 (-3.57%)
買 2021-12-22 @140.09 | 賣 2021-12-28 @135.70 | -4.39 (-3.13%)
買 2022-01-03 @136.58 | 賣 2022-01-07 @129.55 | -7.03 (-5.14%)
買 2022-02-14 @124.72 | 賣 2022-02-22 @120.77 | -3.95 (-3.17%)
買 2022-02-24 @119.89 | 賣 2022-02-25 @120.33 | 0.44 (0.37%)
買 2022-03-17 @125.16 | 賣 2022-04-11 @126.04 | 0.88 (0.70%)
買 2022-05-30 @121.21 | 賣 2022-06-20 @112.43 | -8.78 (-7.25%)
買 2022-07-21 @112.13 | 賣 2022-07-26 @106.68 | -5.45 (-4.86%)
買 2022-07-29 @111.68 | 賣 2022-08-03 @107.14 | -4.54 (-4.07%)
買 2022-08-04 @105.78 | 賣 2022-08-09 @108.95 | 3.18 (3.00%)
買 2022-08-10 @111.68 | 賣 2022-09-08 @119.39 | 7.72 (6.91%)
買 2025-09-05 @83.70 | 賣 2025-09-11 @77.40 | -6.30 (-7.53%)
買 2025-09-12 @72.30 | 賣 2025-09-15 @71.80 | -0.50 (-0.69%)
買 2025-10-13 @76.80 | 賣 2025-10-16 @74.00 | -2.80 (-3.65%)
買 2025-10-21 @78.90 | 賣 2025-10-28 @74.60 | -4.30 (-5.45%)
買 2025-12-26 @70.20 | 賣 2026-01-05 @67.40 | -2.80 (-3.99%)
買 2026-01-07 @69.50 | 賣 2026-01-30 @65.80 | -3.70 (-5.32%)
買 2026-03-02 @67.00 | 賣 2026-03-04 @62.40 | -4.60 (-6.87%)
小計: -24.85  交易次數: 74

=== 3044.TW (DMA:120) ===
買 2014-08-06 @32.27 | 賣 2014-08-07 @33.06 | 0.79 (2.43%)
買 2014-08-11 @32.27 | 賣 2014-09-17 @34.35 | 2.08 (6.43%)
買 2014-09-22 @34.85 | 賣 2014-10-02 @33.62 | -1.23 (-3.54%)
買 2014-11-03 @32.10 | 賣 2014-11-10 @34.41 | 2.30 (7.17%)
買 2014-11-18 @32.50 | 賣 2014-12-19 @33.96 | 1.46 (4.49%)
買 2014-12-25 @35.02 | 賣 2015-01-06 @34.07 | -0.95 (-2.72%)
買 2015-01-19 @37.27 | 賣 2015-03-04 @37.04 | -0.22 (-0.60%)
買 2015-11-11 @32.25 | 賣 2015-12-09 @33.37 | 1.12 (3.48%)
買 2016-02-02 @32.66 | 賣 2016-03-29 @34.43 | 1.77 (5.42%)
買 2016-04-14 @35.55 | 賣 2016-04-29 @34.90 | -0.65 (-1.83%)
買 2016-06-17 @36.50 | 賣 2016-06-28 @35.79 | -0.71 (-1.94%)
買 2016-07-05 @37.09 | 賣 2016-07-11 @36.20 | -0.89 (-2.39%)
買 2016-07-13 @37.27 | 賣 2016-07-18 @40.07 | 2.81 (7.53%)
買 2016-08-10 @41.00 | 賣 2016-08-23 @40.94 | -0.06 (-0.15%)
買 2016-08-25 @41.94 | 賣 2016-09-20 @41.25 | -0.68 (-1.63%)
買 2016-09-29 @43.92 | 賣 2016-10-07 @46.10 | 2.17 (4.95%)
買 2016-10-20 @46.47 | 賣 2016-11-02 @44.61 | -1.86 (-4.01%)
買 2016-11-30 @45.35 | 賣 2016-12-27 @44.42 | -0.93 (-2.05%)
買 2017-01-09 @45.48 | 賣 2017-02-03 @46.59 | 1.12 (2.46%)
買 2017-02-07 @48.40 | 賣 2017-02-22 @52.50 | 4.10 (8.47%)
買 2017-03-01 @50.94 | 賣 2017-04-12 @51.69 | 0.75 (1.46%)
買 2017-05-02 @51.94 | 賣 2017-05-11 @56.97 | 5.03 (9.69%)
買 2017-05-19 @55.23 | 賣 2017-06-19 @56.47 | 1.24 (2.25%)
買 2017-06-22 @59.64 | 賣 2017-07-04 @59.83 | 0.19 (0.31%)
買 2017-07-18 @62.26 | 賣 2017-07-20 @64.53 | 2.27 (3.65%)
買 2017-08-02 @63.56 | 賣 2017-08-07 @62.26 | -1.30 (-2.04%)
買 2017-08-10 @68.10 | 賣 2017-09-08 @68.42 | 0.32 (0.48%)
買 2017-10-06 @71.66 | 賣 2017-10-24 @78.47 | 6.81 (9.50%)
買 2017-10-25 @75.23 | 賣 2017-10-27 @71.34 | -3.89 (-5.17%)
買 2017-12-21 @61.94 | 賣 2017-12-26 @59.99 | -1.95 (-3.14%)
買 2018-01-03 @61.35 | 賣 2018-02-01 @61.09 | -0.26 (-0.42%)
買 2018-03-19 @67.77 | 賣 2018-03-23 @64.86 | -2.92 (-4.31%)
買 2018-08-17 @62.53 | 賣 2018-09-07 @60.46 | -2.07 (-3.31%)
買 2018-11-13 @55.00 | 賣 2018-12-12 @57.35 | 2.35 (4.27%)
買 2019-01-09 @57.07 | 賣 2019-01-14 @55.21 | -1.87 (-3.27%)
買 2019-03-22 @68.75 | 賣 2019-04-23 @67.72 | -1.04 (-1.51%)
買 2019-05-31 @69.44 | 賣 2019-06-06 @66.68 | -2.76 (-3.98%)
買 2019-06-13 @68.27 | 賣 2019-06-26 @75.66 | 7.39 (10.83%)
買 2019-07-10 @75.13 | 賣 2019-07-30 @74.03 | -1.09 (-1.46%)
買 2019-08-13 @79.87 | 賣 2019-08-27 @83.88 | 4.01 (5.02%)
買 2019-09-04 @82.42 | 賣 2019-09-10 @81.69 | -0.73 (-0.88%)
買 2019-09-12 @86.07 | 賣 2019-09-27 @81.33 | -4.74 (-5.51%)
買 2019-10-25 @82.06 | 賣 2019-11-08 @97.01 | 14.95 (18.22%)
買 2019-11-25 @92.63 | 賣 2019-12-02 @90.08 | -2.55 (-2.76%)
買 2019-12-19 @93.00 | 賣 2019-12-30 @91.90 | -1.09 (-1.18%)
買 2020-01-02 @93.73 | 賣 2020-01-06 @89.72 | -4.01 (-4.28%)
買 2020-06-22 @97.01 | 賣 2020-06-29 @94.09 | -2.92 (-3.01%)
買 2020-07-07 @94.20 | 賣 2020-07-10 @90.73 | -3.46 (-3.67%)
買 2020-07-31 @97.66 | 賣 2020-08-11 @93.81 | -3.84 (-3.94%)
買 2020-10-08 @89.97 | 賣 2020-11-02 @86.89 | -3.08 (-3.42%)
買 2020-11-09 @91.50 | 賣 2020-12-21 @92.27 | 0.77 (0.84%)
買 2021-01-07 @94.96 | 賣 2021-01-14 @96.89 | 1.92 (2.02%)
買 2021-01-28 @101.12 | 賣 2021-02-03 @96.50 | -4.61 (-4.56%)
買 2021-02-22 @104.58 | 賣 2021-02-24 @101.12 | -3.46 (-3.31%)
買 2021-02-26 @106.50 | 賣 2021-03-16 @104.19 | -2.31 (-2.17%)
買 2021-03-18 @108.04 | 賣 2021-04-15 @105.34 | -2.69 (-2.49%)
買 2021-06-03 @98.81 | 賣 2021-06-11 @98.42 | -0.38 (-0.39%)
買 2021-06-15 @98.81 | 賣 2021-07-12 @105.73 | 6.92 (7.00%)
買 2021-07-13 @101.14 | 賣 2021-07-16 @100.33 | -0.81 (-0.80%)
買 2021-11-02 @93.83 | 賣 2021-11-12 @94.23 | 0.41 (0.43%)
買 2021-11-17 @97.89 | 賣 2021-12-23 @99.92 | 2.03 (2.07%)
買 2022-01-11 @100.33 | 賣 2022-03-09 @103.17 | 2.84 (2.83%)
買 2022-03-16 @104.80 | 賣 2022-03-28 @108.45 | 3.66 (3.49%)
買 2022-04-06 @104.80 | 賣 2022-04-07 @103.17 | -1.62 (-1.55%)
買 2023-01-09 @86.58 | 賣 2023-04-13 @99.96 | 13.39 (15.46%)
買 2023-04-21 @101.27 | 賣 2023-04-28 @99.96 | -1.30 (-1.29%)
買 2023-05-10 @95.18 | 賣 2023-05-11 @93.01 | -2.17 (-2.28%)
買 2023-05-22 @109.09 | 賣 2023-05-25 @104.74 | -4.35 (-3.98%)
買 2023-05-29 @109.09 | 賣 2023-06-15 @106.48 | -2.61 (-2.39%)
買 2023-07-07 @107.78 | 賣 2023-07-20 @119.36 | 11.58 (10.74%)
買 2023-09-01 @170.25 | 賣 2023-09-19 @196.16 | 25.91 (15.22%)
買 2023-09-21 @177.65 | 賣 2023-09-26 @180.89 | 3.24 (1.82%)
買 2023-10-03 @191.07 | 賣 2023-10-05 @184.59 | -6.48 (-3.39%)
買 2023-11-27 @168.86 | 賣 2023-11-29 @176.26 | 7.40 (4.38%)
買 2023-12-06 @184.13 | 賣 2023-12-25 @179.97 | -4.16 (-2.26%)
買 2024-02-01 @179.50 | 賣 2024-02-15 @206.34 | 26.83 (14.95%)
買 2024-03-01 @191.99 | 賣 2024-03-12 @193.38 | 1.39 (0.72%)
買 2024-03-26 @190.14 | 賣 2024-03-28 @189.22 | -0.93 (-0.49%)
買 2024-05-06 @186.44 | 賣 2024-05-09 @220.22 | 33.77 (18.11%)
買 2024-05-17 @208.65 | 賣 2024-05-27 @201.71 | -6.94 (-3.33%)
買 2024-05-28 @195.23 | 賣 2024-05-29 @195.23 | 0.00 (0.00%)
買 2024-06-21 @209.11 | 賣 2024-06-27 @202.17 | -6.94 (-3.32%)
買 2024-07-02 @198.93 | 賣 2024-07-12 @199.52 | 0.58 (0.29%)
買 2024-09-25 @197.60 | 賣 2024-09-30 @188.48 | -9.11 (-4.61%)
買 2024-10-28 @191.36 | 賣 2024-10-29 @184.65 | -6.71 (-3.51%)
買 2025-02-11 @189.92 | 賣 2025-02-24 @197.60 | 7.67 (4.04%)
買 2025-03-11 @195.68 | 賣 2025-03-24 @199.99 | 4.32 (2.21%)
買 2025-03-27 @202.39 | 賣 2025-03-28 @194.72 | -7.67 (-3.79%)
買 2025-05-28 @198.56 | 賣 2025-06-18 @233.09 | 34.53 (17.39%)
買 2025-07-16 @240.00 | 賣 2025-07-21 @272.50 | 32.50 (13.54%)
買 2025-09-01 @306.50 | 賣 2025-09-02 @299.00 | -7.50 (-2.45%)
買 2025-09-25 @301.50 | 賣 2025-09-26 @290.00 | -11.50 (-3.81%)
買 2025-10-13 @311.00 | 賣 2025-11-11 @315.00 | 4.00 (1.29%)
買 2025-12-11 @305.50 | 賣 2025-12-17 @304.50 | -1.00 (-0.33%)
買 2025-12-24 @322.00 | 賣 2026-01-05 @312.00 | -10.00 (-3.11%)
買 2026-01-07 @317.50 | 賣 2026-01-19 @312.00 | -5.50 (-1.73%)
買 2026-02-10 @375.00 | 賣 2026-03-04 @350.00 | -25.00 (-6.67%)
小計: 101.19  交易次數: 97

=== 3011.TW (DMA:240) ===
買 2016-06-13 @7.94 | 賣 2016-06-15 @7.75 | -0.19 (-2.39%)
買 2016-08-01 @7.57 | 賣 2016-08-11 @7.32 | -0.25 (-3.30%)
買 2016-08-25 @7.95 | 賣 2016-08-29 @7.70 | -0.25 (-3.14%)
買 2016-09-05 @7.63 | 賣 2016-09-19 @7.48 | -0.15 (-1.97%)
買 2016-11-02 @7.36 | 賣 2016-11-04 @7.12 | -0.24 (-3.26%)
買 2017-01-05 @7.30 | 賣 2017-01-11 @7.19 | -0.11 (-1.51%)
買 2017-09-13 @7.76 | 賣 2017-09-29 @7.62 | -0.14 (-1.80%)
買 2017-10-11 @7.92 | 賣 2017-10-31 @7.58 | -0.34 (-4.29%)
買 2018-01-08 @7.29 | 賣 2018-01-25 @7.23 | -0.06 (-0.82%)
買 2018-04-27 @8.22 | 賣 2018-05-28 @8.33 | 0.11 (1.34%)
買 2018-06-05 @8.88 | 賣 2018-06-08 @10.10 | 1.22 (13.74%)
買 2018-06-20 @9.84 | 賣 2018-07-09 @11.90 | 2.06 (20.93%)
買 2018-07-10 @11.85 | 賣 2018-07-11 @11.45 | -0.40 (-3.38%)
買 2018-07-17 @10.95 | 賣 2018-07-19 @10.45 | -0.50 (-4.57%)
買 2018-08-30 @10.40 | 賣 2018-09-03 @10.05 | -0.35 (-3.37%)
買 2018-12-05 @8.04 | 賣 2018-12-06 @7.71 | -0.33 (-4.10%)
買 2018-12-13 @7.94 | 賣 2018-12-20 @7.40 | -0.54 (-6.80%)
買 2019-01-21 @7.74 | 賣 2019-01-23 @7.50 | -0.24 (-3.10%)
買 2019-02-13 @7.74 | 賣 2019-03-19 @7.77 | 0.03 (0.39%)
買 2019-04-02 @8.00 | 賣 2019-04-30 @7.89 | -0.11 (-1.38%)
買 2020-12-22 @6.73 | 賣 2021-01-11 @6.87 | 0.14 (2.08%)
買 2021-02-22 @6.67 | 賣 2021-03-09 @6.76 | 0.09 (1.35%)
買 2021-03-10 @6.66 | 賣 2021-03-22 @7.73 | 1.07 (16.07%)
買 2021-04-08 @8.44 | 賣 2021-04-21 @9.80 | 1.36 (16.11%)
買 2021-05-03 @9.47 | 賣 2021-05-04 @8.62 | -0.85 (-8.98%)
買 2021-05-31 @8.07 | 賣 2021-06-04 @8.00 | -0.07 (-0.87%)
買 2021-06-07 @7.79 | 賣 2021-06-16 @7.82 | 0.03 (0.39%)
買 2021-06-30 @7.78 | 賣 2021-07-05 @8.95 | 1.17 (15.04%)
買 2021-07-14 @8.56 | 賣 2021-08-11 @8.93 | 0.37 (4.32%)
買 2021-08-30 @9.25 | 賣 2021-09-01 @11.15 | 1.90 (20.54%)
買 2021-10-18 @11.20 | 賣 2021-10-25 @10.80 | -0.40 (-3.57%)
買 2021-10-27 @11.10 | 賣 2021-11-02 @13.40 | 2.30 (20.72%)
買 2021-11-09 @12.70 | 賣 2021-11-11 @12.10 | -0.60 (-4.72%)
買 2021-11-15 @11.65 | 賣 2021-11-17 @11.65 | 0.00 (0.00%)
買 2021-12-09 @12.50 | 賣 2021-12-13 @12.10 | -0.40 (-3.20%)
買 2021-12-16 @12.00 | 賣 2021-12-20 @11.30 | -0.70 (-5.83%)
買 2021-12-28 @12.00 | 賣 2022-01-03 @11.50 | -0.50 (-4.17%)
買 2022-02-09 @11.20 | 賣 2022-02-24 @10.70 | -0.50 (-4.46%)
買 2022-03-01 @11.55 | 賣 2022-03-08 @10.85 | -0.70 (-6.06%)
買 2022-03-09 @11.90 | 賣 2022-03-21 @14.65 | 2.75 (23.11%)
買 2022-04-21 @22.20 | 賣 2022-04-27 @20.85 | -1.35 (-6.08%)
買 2022-06-09 @20.95 | 賣 2022-06-10 @19.85 | -1.10 (-5.25%)
買 2022-06-20 @18.40 | 賣 2022-06-24 @18.70 | 0.30 (1.63%)
買 2022-06-27 @19.80 | 賣 2022-06-28 @19.20 | -0.60 (-3.03%)
買 2022-06-30 @18.30 | 賣 2022-07-01 @17.60 | -0.70 (-3.83%)
買 2022-07-15 @18.75 | 賣 2022-07-19 @22.15 | 3.40 (18.13%)
買 2022-07-20 @21.05 | 賣 2022-08-12 @21.35 | 0.30 (1.43%)
買 2022-11-03 @14.00 | 賣 2022-11-16 @16.05 | 2.05 (14.64%)
買 2022-12-20 @17.45 | 賣 2023-01-13 @17.20 | -0.25 (-1.43%)
買 2023-02-03 @18.10 | 賣 2023-02-21 @20.90 | 2.80 (15.47%)
買 2023-03-03 @20.30 | 賣 2023-03-09 @21.90 | 1.60 (7.88%)
買 2023-03-28 @23.20 | 賣 2023-04-11 @26.90 | 3.70 (15.95%)
買 2023-05-02 @30.05 | 賣 2023-05-04 @28.90 | -1.15 (-3.83%)
買 2023-05-08 @30.40 | 賣 2023-05-10 @29.00 | -1.40 (-4.61%)
買 2023-06-16 @27.95 | 賣 2023-06-28 @33.85 | 5.90 (21.11%)
買 2023-06-30 @32.00 | 賣 2023-07-10 @30.50 | -1.50 (-4.69%)
買 2023-07-12 @29.85 | 賣 2023-07-13 @29.85 | 0.00 (0.00%)
買 2023-07-20 @31.85 | 賣 2023-08-14 @31.00 | -0.85 (-2.67%)
買 2023-08-21 @32.95 | 賣 2023-08-29 @38.80 | 5.85 (17.75%)
買 2023-10-02 @37.80 | 賣 2023-10-16 @36.30 | -1.50 (-3.97%)
買 2023-12-11 @37.75 | 賣 2023-12-20 @36.00 | -1.75 (-4.64%)
買 2024-02-15 @34.80 | 賣 2024-03-04 @33.70 | -1.10 (-3.16%)
買 2024-04-10 @30.75 | 賣 2024-04-16 @30.00 | -0.75 (-2.44%)
買 2024-05-09 @31.45 | 賣 2024-05-13 @30.20 | -1.25 (-3.97%)
買 2024-05-17 @30.50 | 賣 2024-06-04 @30.10 | -0.40 (-1.31%)
小計: 15.93  交易次數: 65

=== 00676R.TW (DMA:60) ===
買 2016-12-23 @10.02 | 賣 2017-01-05 @9.77 | -0.25 (-2.50%)
買 2017-12-06 @8.30 | 賣 2017-12-26 @8.27 | -0.03 (-0.36%)
買 2018-02-06 @8.24 | 賣 2018-02-23 @7.95 | -0.29 (-3.52%)
買 2018-04-24 @7.98 | 賣 2018-05-11 @7.80 | -0.18 (-2.26%)
買 2018-07-05 @7.82 | 賣 2018-07-12 @7.65 | -0.17 (-2.17%)
買 2018-10-08 @7.68 | 賣 2018-10-11 @8.26 | 0.58 (7.55%)
買 2018-11-02 @8.08 | 賣 2018-11-06 @8.15 | 0.07 (0.87%)
買 2018-11-23 @8.25 | 賣 2018-11-29 @8.03 | -0.22 (-2.67%)
買 2018-12-20 @8.20 | 賣 2019-01-11 @8.08 | -0.12 (-1.46%)
買 2020-02-27 @6.50 | 賣 2020-03-12 @7.06 | 0.56 (8.62%)
買 2020-03-30 @7.34 | 賣 2020-04-01 @7.30 | -0.04 (-0.54%)
買 2021-09-29 @3.47 | 賣 2021-10-20 @3.44 | -0.03 (-0.86%)
買 2022-03-08 @3.42 | 賣 2022-03-10 @3.28 | -0.14 (-4.09%)
買 2022-03-15 @3.38 | 賣 2022-03-17 @3.27 | -0.11 (-3.25%)
買 2022-04-13 @3.29 | 賣 2022-05-30 @3.39 | 0.10 (3.04%)
買 2022-06-15 @3.52 | 賣 2022-06-20 @3.64 | 0.12 (3.41%)
買 2022-06-27 @3.56 | 賣 2022-07-20 @3.68 | 0.12 (3.37%)
買 2022-08-31 @3.55 | 賣 2022-09-30 @3.95 | 0.40 (11.27%)
買 2022-10-14 @4.01 | 賣 2022-11-04 @4.04 | 0.03 (0.75%)
買 2023-09-14 @2.97 | 賣 2023-09-15 @2.97 | 0.00 (0.00%)
買 2023-09-21 @3.07 | 賣 2023-10-12 @2.97 | -0.10 (-3.26%)
買 2023-10-23 @3.07 | 賣 2023-11-07 @3.00 | -0.07 (-2.28%)
買 2024-09-12 @2.20 | 賣 2024-09-19 @2.16 | -0.04 (-1.82%)
買 2025-01-14 @2.10 | 賣 2025-01-22 @2.02 | -0.08 (-3.81%)
買 2025-03-20 @12.71 | 賣 2025-04-07 @14.71 | 2.00 (15.74%)
買 2025-04-11 @14.07 | 賣 2025-04-28 @13.70 | -0.37 (-2.63%)
買 2025-06-03 @12.97 | 賣 2025-06-06 @12.58 | -0.39 (-3.01%)
小計: 1.35  交易次數: 27

=== 4961.TW (DMA:60) ===
買 2014-05-13 @52.49 | 賣 2014-05-16 @50.32 | -2.16 (-4.12%)
買 2014-07-08 @47.06 | 賣 2014-07-10 @44.91 | -2.15 (-4.57%)
買 2014-09-17 @44.08 | 賣 2014-09-18 @43.88 | -0.20 (-0.45%)
買 2015-01-22 @47.84 | 賣 2015-02-11 @46.98 | -0.86 (-1.79%)
買 2015-10-20 @35.51 | 賣 2015-10-21 @39.29 | 3.78 (10.66%)
買 2015-11-11 @40.40 | 賣 2015-11-12 @39.06 | -1.34 (-3.31%)
買 2015-11-23 @43.49 | 賣 2015-11-25 @41.20 | -2.28 (-5.25%)
買 2015-11-30 @43.18 | 賣 2015-12-14 @41.60 | -1.59 (-3.67%)
買 2016-03-16 @42.84 | 賣 2016-03-22 @40.95 | -1.89 (-4.42%)
買 2016-03-30 @46.05 | 賣 2016-04-01 @44.24 | -1.81 (-3.92%)
買 2016-08-22 @33.64 | 賣 2016-09-02 @32.56 | -1.08 (-3.21%)
買 2016-09-05 @33.90 | 賣 2016-10-12 @34.42 | 0.52 (1.52%)
買 2017-03-01 @32.34 | 賣 2017-03-15 @31.34 | -1.00 (-3.09%)
買 2017-07-19 @30.31 | 賣 2017-08-02 @33.38 | 3.07 (10.13%)
買 2017-08-10 @32.97 | 賣 2017-08-18 @31.50 | -1.48 (-4.48%)
買 2017-08-30 @33.69 | 賣 2017-09-20 @32.57 | -1.12 (-3.32%)
買 2018-05-21 @32.76 | 賣 2018-06-11 @39.04 | 6.28 (19.16%)
買 2018-06-25 @38.32 | 賣 2018-06-26 @35.95 | -2.37 (-6.19%)
買 2018-07-05 @43.15 | 賣 2018-07-16 @47.42 | 4.26 (9.88%)
買 2018-08-13 @53.19 | 賣 2018-08-15 @51.37 | -1.82 (-3.42%)
買 2018-08-22 @54.31 | 賣 2018-08-30 @52.20 | -2.11 (-3.88%)
買 2019-01-14 @39.57 | 賣 2019-02-13 @43.56 | 3.99 (10.09%)
買 2019-02-14 @42.37 | 賣 2019-03-07 @41.02 | -1.35 (-3.18%)
買 2019-03-18 @45.74 | 賣 2019-03-22 @50.51 | 4.77 (10.43%)
買 2019-04-01 @46.47 | 賣 2019-04-17 @49.06 | 2.59 (5.58%)
買 2019-04-25 @50.88 | 賣 2019-04-26 @47.71 | -3.16 (-6.22%)
買 2019-08-22 @40.66 | 賣 2019-09-16 @40.72 | 0.06 (0.14%)
買 2019-10-17 @42.00 | 賣 2019-11-07 @41.09 | -0.91 (-2.17%)
買 2019-12-09 @41.84 | 賣 2019-12-20 @40.45 | -1.39 (-3.33%)
買 2020-06-19 @31.07 | 賣 2020-07-01 @35.89 | 4.82 (15.52%)
買 2020-07-02 @35.04 | 賣 2020-07-06 @36.97 | 1.93 (5.50%)
買 2020-07-21 @37.07 | 賣 2020-07-24 @35.63 | -1.45 (-3.90%)
買 2020-08-04 @39.64 | 賣 2020-08-06 @37.93 | -1.71 (-4.32%)
買 2020-08-11 @37.88 | 賣 2020-08-19 @36.00 | -1.88 (-4.95%)
買 2020-09-02 @38.15 | 賣 2020-09-28 @38.15 | 0.00 (0.00%)
