🚀 智能量化選股報告 - 2026-03-25
==========================================================================================

【🚀超級強勢】(數量: 270)
------------------------------------------------------------------------------------------
6739.TWO | 竹陞科技       | B6: 12.70% | DMA:261.960 | 💸流出 | 🚀DMA趨勢+多頭強勢
8150.TW  | 南茂         | B6:  0.59% | DMA:  0.766 | 💸流出 | 🚀DMA趨勢+多頭強勢
6526.TW  | 達發         | B6:  0.57% | DMA: 39.340 | 💸流出 | 🚀DMA趨勢+多頭強勢
2027.TW  | 大成鋼        | B6:  0.56% | DMA: -0.010 | 💸流出 | 🚀多頭強勢
8926.TW  | 台汽電        | B6:  0.55% | DMA:  1.961 | 💸流出 | 🚀DMA趨勢+多頭強勢
6124.TWO | 業強         | B6:  0.54% | DMA:  2.672 | 💸流出 | 🚀DMA趨勢+多頭強勢
3003.TW  | 健和興        | B6:  0.52% | DMA:  1.436 | 💎流入 | 🚀DMA趨勢+多頭強勢
5340.TWO | 建榮         | B6:  0.52% | DMA: 12.006 | 💸流出 | 🚀DMA趨勢+多頭強勢
4305.TWO | 世坤         | B6:  0.50% | DMA:  0.869 | 💎流入 | 🚀DMA趨勢+多頭強勢
4904.TW  | 遠傳         | B6:  0.48% | DMA:  1.824 | 💎流入 | 🚀DMA趨勢+多頭強勢
7747.TWO | 昕奇雲端       | B6:  0.47% | DMA: -0.320 | 💸流出 | 🚀多頭強勢
6477.TW  | 安集         | B6:  0.46% | DMA:  1.360 | 💸流出 | 🚀DMA趨勢+多頭強勢
00757.TW | 統一FANG+    | B6:  0.41% | DMA: -2.411 | 💸流出 | 🚀多頭強勢
00940.TW | 元大台灣價值高息   | B6:  0.40% | DMA:  0.102 | 💎流入 | 🚀DMA趨勢+多頭強勢
6996.TWO | 力領科技       | B6:  0.38% | DMA:  4.430 | 💸流出 | 🚀DMA趨勢+多頭強勢
5205.TWO | 中茂         | B6:  0.36% | DMA: -0.701 | 💎流入 | 🚀多頭強勢
00633L.TW | 富邦上証正2     | B6:  0.36% | DMA: -1.424 | 💸流出 | 🚀多頭強勢
4406.TWO | 新昕纖        | B6:  0.35% | DMA: -0.003 | 💎流入 | 🚀多頭強勢
5450.TWO | 南良         | B6:  0.31% | DMA:  0.149 | 💸流出 | 🚀DMA趨勢+多頭強勢
00945B.TW | 凱基美國非投等債   | B6:  0.29% | DMA:  0.036 | 💎流入 | 🚀DMA趨勢+多頭強勢
6902.TW  | GOGOLOOK   | B6:  0.29% | DMA: -0.212 | 💸流出 | 🚀多頭強勢
4979.TWO | 華星光        | B6:  0.28% | DMA: 53.320 | 💎流入 | 🚀DMA趨勢+多頭強勢
3709.TWO | 鑫聯大投控      | B6:  0.22% | DMA:  3.632 | 💎流入 | 🚀DMA趨勢+多頭強勢
3168.TW  | 眾福科        | B6:  0.21% | DMA:  0.331 | 💎流入 | 🚀DMA趨勢+放量攻擊
1225.TW  | 福懋油        | B6:  0.21% | DMA:  1.900 | 💸流出 | 🚀DMA趨勢+多頭強勢
009803.TW | 保德信市值動能50  | B6:  0.14% | DMA:  0.755 | 💸流出 | 🚀DMA趨勢+多頭強勢
8067.TWO | 志旭         | B6:  0.14% | DMA:  0.037 | 💸流出 | 🚀DMA趨勢+多頭強勢
6196.TW  | 帆宣         | B6:  0.13% | DMA: -1.460 | 💎流入 | 🚀放量攻擊
9958.TW  | 世紀鋼        | B6:  0.09% | DMA: -5.790 | 💸流出 | 🚀多頭強勢
6598.TW  | ABC-KY     | B6:  0.09% | DMA:  0.393 | 💸流出 | 🚀DMA趨勢+多頭強勢
6546.TWO | 正基         | B6:  0.08% | DMA:  6.948 | 💸流出 | 🚀DMA趨勢+多頭強勢
1219.TW  | 福壽         | B6:  0.06% | DMA:  0.059 | 💎流入 | 🚀DMA趨勢+多頭強勢
3454.TW  | 晶睿         | B6:  0.04% | DMA:  0.256 | 💸流出 | 🚀DMA趨勢+多頭強勢

【❄️跌深反彈】(數量: 119)
------------------------------------------------------------------------------------------
6235.TW  | 華孚         | B6: -5.03% | DMA: -7.526 | 💸流出 | ❄️跌深轉強
5243.TW  | 乙盛-KY      | B6: -5.12% | DMA: -7.652 | 💎流入 | ❄️跌深轉強
6753.TW  | 龍德造船       | B6: -5.12% | DMA: -8.090 | 💸流出 | ❄️跌深轉強
5906.TW  | 台南-KY      | B6: -5.13% | DMA: -2.842 | 💸流出 | ❄️跌深轉強
9802.TW  | 鈺齊-KY      | B6: -5.21% | DMA: -9.015 | 💸流出 | ❄️跌深轉強
2321.TW  | 東訊         | B6: -5.26% | DMA: -1.500 | 💸流出 | ❄️底部反彈
5245.TWO | 智晶         | B6: -5.29% | DMA: -1.917 | 💸流出 | ❄️跌深轉強
2428.TW  | 興勤         | B6: -5.31% | DMA:-11.570 | 💸流出 | ❄️跌深轉強
7777.TWO | 能率亞洲       | B6: -5.36% | DMA: -2.183 | 💸流出 | ❄️跌深轉強
4939.TWO | 亞電         | B6: -5.43% | DMA: -4.721 | 💸流出 | ❄️跌深轉強
3441.TWO | 聯一光        | B6: -5.43% | DMA: -3.432 | 💸流出 | ❄️跌深轉強
3308.TW  | 聯德         | B6: -5.44% | DMA: -1.024 | 💸流出 | ❄️跌深轉強
1591.TWO | 駿吉-KY      | B6: -5.45% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
2597.TW  | 潤弘         | B6: -5.52% | DMA:-10.750 | 💸流出 | ❄️跌深轉強
8422.TW  | 可寧衛*       | B6: -5.52% | DMA: -5.611 | 💸流出 | ❄️跌深轉強
5516.TWO | 雙喜         | B6: -5.53% | DMA: -1.238 | 💸流出 | ❄️跌深轉強
6885.TW  | 全福生技       | B6: -5.57% | DMA: -2.516 | 💸流出 | ❄️跌深轉強
4113.TWO | 聯上         | B6: -5.61% | DMA: -2.455 | 💸流出 | ❄️跌深轉強
4523.TWO | 永彰         | B6: -5.64% | DMA: -0.078 | 💸流出 | ❄️跌深轉強
6620.TWO | 漢達         | B6: -5.66% | DMA: -7.908 | 💸流出 | ❄️跌深轉強
3226.TWO | 龍鋒         | B6: -5.67% | DMA: -2.828 | 💸流出 | ❄️跌深轉強
8103.TW  | 瀚荃         | B6: -5.82% | DMA: -6.976 | 💎流入 | ❄️跌深轉強
7792.TWO | 安葆         | B6: -5.83% | DMA: -4.690 | 💸流出 | ❄️跌深轉強
8935.TWO | 邦泰         | B6: -5.86% | DMA: -1.026 | 💸流出 | ❄️跌深轉強
4304.TWO | 勝昱         | B6: -5.87% | DMA: -2.318 | 💸流出 | ❄️底部反彈
4552.TW  | 力達-KY      | B6: -5.87% | DMA: -1.709 | 💸流出 | ❄️跌深轉強
2905.TW  | 三商         | B6: -5.93% | DMA: -0.825 | 💸流出 | ❄️跌深轉強
4121.TWO | 優盛         | B6: -5.95% | DMA:  0.401 | 💸流出 | ❄️跌深轉強
9945.TW  | 潤泰新        | B6: -5.96% | DMA: -2.224 | 💸流出 | ❄️跌深轉強
2317.TW  | 鴻海         | B6: -5.98% | DMA:-15.300 | 💸流出 | ❄️跌深轉強
4402.TWO | 郡都開發       | B6: -5.98% | DMA: -1.677 | 💎流入 | ❄️跌深轉強
4994.TW  | 傳奇         | B6: -5.99% | DMA: -6.786 | 💸流出 | ❄️跌深轉強
6887.TW  | 寶綠特-KY     | B6: -5.99% | DMA: -9.868 | 💸流出 | ❄️底部反彈
3624.TWO | 光頡         | B6: -6.00% | DMA: -6.629 | 💸流出 | ❄️跌深轉強
6541.TW  | 泰福-KY      | B6: -6.01% | DMA: -6.336 | 💎流入 | ❄️跌深轉強
7823.TW  | 奧義賽博-KY創   | B6: -6.01% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
6462.TWO | 神盾         | B6: -6.05% | DMA:-10.016 | 💸流出 | ❄️跌深轉強
6757.TW  | 台灣虎航       | B6: -6.06% | DMA: -8.696 | 💎流入 | ❄️跌深轉強
6796.TW  | 晉弘         | B6: -6.07% | DMA: -9.968 | 💸流出 | ❄️跌深轉強
2612.TW  | 中航         | B6: -6.07% | DMA: -3.464 | 💸流出 | ❄️跌深轉強
5607.TW  | 遠雄港        | B6: -6.23% | DMA: -1.299 | 💸流出 | ❄️跌深轉強
2429.TW  | 銘旺科        | B6: -6.27% | DMA:-12.755 | 💸流出 | ❄️跌深轉強
6869.TW  | 雲豹能源       | B6: -6.34% | DMA: -5.546 | 💸流出 | ❄️跌深轉強
9921.TW  | 巨大         | B6: -6.36% | DMA:-12.502 | 💎流入 | ❄️跌深轉強
8249.TW  | 菱光         | B6: -6.38% | DMA: -4.751 | 💸流出 | ❄️跌深轉強
6128.TW  | 上福         | B6: -6.38% | DMA: -1.091 | 💸流出 | ❄️跌深轉強
2115.TW  | 六暉-KY      | B6: -6.39% | DMA: -2.267 | 💸流出 | ❄️跌深轉強
1603.TW  | 華電         | B6: -6.41% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
5258.TW  | 虹堡         | B6: -6.51% | DMA: -9.557 | 💎流入 | ❄️底部反彈
8213.TW  | 志超         | B6: -6.58% | DMA: -1.883 | 💸流出 | ❄️跌深轉強
7786.TW  | 東方風能       | B6: -6.59% | DMA:-13.620 | 💸流出 | ❄️跌深轉強
3545.TW  | 敦泰         | B6: -6.62% | DMA: -6.963 | 💎流入 | ❄️跌深轉強
8463.TW  | 潤泰材        | B6: -6.71% | DMA: -1.788 | 💸流出 | ❄️跌深轉強
6988.TW  | 威力暘-創      | B6: -6.71% | DMA: -2.088 | 💎流入 | ❄️跌深轉強
2431.TW  | 聯昌         | B6: -6.73% | DMA: -1.177 | 💎流入 | ❄️跌深轉強
1536.TW  | 和大         | B6: -6.75% | DMA: -6.154 | 💎流入 | ❄️跌深轉強
1504.TW  | 東元         | B6: -6.76% | DMA:-10.768 | 💸流出 | ❄️跌深轉強
6949.TW  | 沛爾生醫-創     | B6: -6.80% | DMA: 33.560 | 💸流出 | ❄️跌深轉強
7719.TWO | 碳基         | B6: -6.92% | DMA: -4.832 | 💎流入 | ❄️跌深轉強
2404.TW  | 漢唐         | B6: -6.98% | DMA:-42.140 | 💎流入 | ❄️底部反彈
2929.TW  | 淘帝-KY      | B6: -7.03% | DMA: -0.833 | 💸流出 | ❄️跌深轉強
2239.TW  | 英利-KY      | B6: -7.09% | DMA: -4.555 | 💸流出 | ❄️跌深轉強
3207.TWO | 耀勝         | B6: -7.09% | DMA: -4.254 | 💎流入 | ❄️跌深轉強
2371.TW  | 大同         | B6: -7.22% | DMA: -4.123 | 💸流出 | ❄️跌深轉強
6535.TWO | 順藥         | B6: -7.24% | DMA:-22.370 | 💸流出 | ❄️跌深轉強
1590.TW  | 亞德客-KY     | B6: -7.40% | DMA:-65.200 | 💎流入 | ❄️跌深轉強
7788.TW  | 松川精密       | B6: -7.42% | DMA: -9.020 | 💸流出 | ❄️底部反彈
6220.TWO | 岳豐         | B6: -7.43% | DMA:  3.097 | 💸流出 | ❄️跌深轉強
1609.TW  | 大亞         | B6: -7.44% | DMA: -4.364 | 💸流出 | ❄️跌深轉強
9910.TW  | 豐泰         | B6: -7.48% | DMA:-11.912 | 💸流出 | ❄️跌深轉強
6994.TW  | 富威電力       | B6: -7.51% | DMA: -9.642 | 💸流出 | ❄️跌深轉強
4561.TWO | 健椿         | B6: -7.57% | DMA: -4.651 | 💸流出 | ❄️跌深轉強
3149.TW  | 正達         | B6: -7.58% | DMA: -3.718 | 💸流出 | ❄️跌深轉強
8054.TWO | 安國         | B6: -7.59% | DMA:-17.036 | 💸流出 | ❄️跌深轉強
8489.TWO | 三貝德        | B6: -7.68% | DMA: -8.245 | 💸流出 | ❄️跌深轉強
8437.TWO | 大地-KY      | B6: -7.70% | DMA:  0.000 | 💸流出 | ❄️底部反彈
1784.TWO | 訊聯         | B6: -7.77% | DMA:-12.548 | 💸流出 | ❄️跌深轉強
6901.TW  | 鑽石投資       | B6: -7.95% | DMA: -2.016 | 💸流出 | ❄️跌深轉強
6785.TWO | 昱展新藥       | B6: -7.95% | DMA:-54.800 | 💸流出 | ❄️跌深轉強
3056.TW  | 富華新        | B6: -8.05% | DMA: -1.897 | 💎流入 | ❄️跌深轉強
3322.TWO | 建舜電        | B6: -8.09% | DMA: -1.992 | 💸流出 | ❄️跌深轉強
00673R.TW | 期元大S&P原油反1 | B6: -8.12% | DMA: -5.014 | 💸流出 | ❄️跌深轉強
1319.TW  | 東陽         | B6: -8.28% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
4438.TW  | 廣越         | B6: -8.31% | DMA: -8.810 | 💸流出 | ❄️跌深轉強
6409.TW  | 旭隼         | B6: -8.37% | DMA:  0.000 | 💎流入 | ❄️跌深轉強
6431.TW  | 光麗-KY      | B6: -8.40% | DMA: -3.796 | 💎流入 | ❄️底部反彈
1616.TW  | 億泰         | B6: -8.41% | DMA: -3.013 | 💸流出 | ❄️跌深轉強
4563.TWO | 百德         | B6: -8.43% | DMA: -8.300 | 💸流出 | ❄️跌深轉強
1587.TW  | 吉茂         | B6: -8.58% | DMA: -8.396 | 💸流出 | ❄️跌深轉強
4439.TW  | 冠星-KY      | B6: -8.59% | DMA:-12.768 | 💸流出 | ❄️跌深轉強
00738U.TW | 期元大道瓊白銀    | B6: -8.74% | DMA: -8.225 | 💸流出 | ❄️跌深轉強
6239.TW  | 力成         | B6: -8.77% | DMA:-29.930 | 💸流出 | ❄️跌深轉強
6461.TWO | 益得         | B6: -8.96% | DMA: -1.881 | 💸流出 | ❄️跌深轉強
8932.TWO | 智通*        | B6: -8.98% | DMA: -7.069 | 💸流出 | ❄️跌深轉強
6180.TWO | 橘子         | B6: -9.00% | DMA: -6.268 | 💸流出 | ❄️跌深轉強
2515.TW  | 中工         | B6: -9.00% | DMA:  0.033 | 💸流出 | ❄️跌深轉強
2072.TWO | 世紀風電       | B6: -9.35% | DMA:-26.020 | 💸流出 | ❄️跌深轉強
6645.TW  | 金萬林-創      | B6: -9.43% | DMA: -2.593 | 💸流出 | ❄️底部反彈
1435.TW  | 中福         | B6: -9.50% | DMA: -2.249 | 💸流出 | ❄️跌深轉強
8069.TWO | 元太         | B6: -9.91% | DMA:-21.910 | 💸流出 | ❄️跌深轉強
2067.TWO | 嘉鋼         | B6: -9.95% | DMA: -1.601 | 💸流出 | ❄️跌深轉強
00708L.TW | 期元大S&P黃金正2 | B6: -9.98% | DMA: -6.572 | 💸流出 | ❄️跌深轉強
2424.TW  | 隴華         | B6:-10.27% | DMA: -5.500 | 💸流出 | ❄️跌深轉強
8442.TW  | 威宏-KY      | B6:-10.28% | DMA:-10.004 | 💸流出 | ❄️跌深轉強
6176.TW  | 瑞儀         | B6:-10.28% | DMA:-20.206 | 💸流出 | ❄️跌深轉強
2258.TW  | 鴻華先進-創     | B6:-10.48% | DMA: -5.660 | 💸流出 | ❄️跌深轉強
8084.TWO | 巨虹         | B6:-10.55% | DMA: -8.520 | 💸流出 | ❄️跌深轉強
7799.TW  | 禾榮科        | B6:-10.59% | DMA:-29.860 | 💸流出 | ❄️跌深轉強
6671.TW  | 三能-KY      | B6:-10.68% | DMA: -4.956 | 💎流入 | ❄️跌深轉強
7783.TWO | 佳運         | B6:-10.88% | DMA:-18.886 | 💸流出 | ❄️底部反彈
7780.TW  | 大研生醫*      | B6:-11.03% | DMA:  0.000 | 💸流出 | ❄️跌深轉強
1795.TW  | 美時         | B6:-12.04% | DMA:-62.710 | 💸流出 | ❄️跌深轉強
5546.TW  | 永固-KY      | B6:-12.45% | DMA: -3.884 | 💸流出 | ❄️跌深轉強
1522.TW  | 堤維西        | B6:-14.12% | DMA: -9.636 | 💸流出 | ❄️跌深轉強
2923.TW  | 鼎固-KY      | B6:-15.12% | DMA: -2.433 | 💎流入 | ❄️底部反彈
6919.TW  | 康霈*        | B6:-19.30% | DMA:-37.502 | 💸流出 | ❄️跌深轉強
3064.TWO | 泰偉         | B6:-20.61% | DMA:-12.054 | 💎流入 | ❄️跌深轉強
6550.TW  | 北極星藥業-KY   | B6:-22.18% | DMA: -7.252 | 💸流出 | ❄️跌深轉強
5521.TW  | 工信         | B6:-27.81% | DMA: -7.179 | 💸流出 | ❄️跌深轉強

【📈趨勢轉折】(數量: 91)
------------------------------------------------------------------------------------------
3363.TWO | 上詮         | B6:  9.22% | DMA:141.572 | 💎流入 | 📈5日穿20日(金叉)
1471.TW  | 首利         | B6:  4.39% | DMA:  1.254 | 💸流出 | 🔥DMA金叉(起漲)
3419.TW  | 譁裕         | B6:  0.98% | DMA:  0.798 | 💎流入 | 📈5日穿20日(金叉)
1307.TW  | 三芳         | B6:  0.52% | DMA:  1.266 | 💸流出 | 🔥DMA金叉(起漲)
00632R.TW | 元大台灣50反1   | B6:  0.39% | DMA: -0.461 | 💸流出 | 📈5日穿20日(金叉)
00676R.TW | 富邦臺灣加權反1   | B6:  0.38% | DMA: -0.252 | 💎流入 | 📈5日穿20日(金叉)
5425.TWO | 台半         | B6:  0.34% | DMA: -1.402 | 💎流入 | 🔥DMA金叉(起漲)
00664R.TW | 國泰臺灣加權反1   | B6:  0.33% | DMA: -0.074 | 💎流入 | 📈5日穿20日(金叉)
1528.TW  | 恩德         | B6:  0.26% | DMA: -1.967 | 💎流入 | 🔥DMA金叉(起漲)
00686R.TW | 群益臺灣加權反1   | B6:  0.23% | DMA: -0.046 | 💸流出 | 📈5日穿20日(金叉)
00634R.TW | 富邦上証反1     | B6:  0.18% | DMA:  0.042 | 💎流入 | 🔥DMA金叉(起漲)
3631.TWO | 晟楠         | B6: -0.01% | DMA:  0.666 | 💎流入 | 🔥DMA金叉(起漲)
2948.TWO | 寶陞         | B6: -0.06% | DMA:  0.313 | 💎流入 | 📈5日穿20日(金叉)
6155.TW  | 鈞寶         | B6: -0.17% | DMA: -4.181 | 💎流入 | 🔥DMA金叉(起漲)
2891.TW  | 中信金        | B6: -0.28% | DMA:  0.624 | 💎流入 | 🔥DMA金叉(起漲)
3265.TWO | 台星科        | B6: -0.45% | DMA: -0.940 | 💸流出 | 🔥DMA金叉(起漲)
1326.TW  | 台化         | B6: -0.62% | DMA:  3.670 | 💸流出 | 📈5日穿20日(金叉)
6698.TW  | 旭暉應材       | B6: -0.66% | DMA: -1.864 | 💎流入 | 🔥DMA金叉(起漲)
00915.TW | 凱基優選高股息30  | B6: -0.70% | DMA: -0.124 | 💎流入 | 🔥DMA金叉(起漲)
3516.TWO | 亞帝歐        | B6: -0.73% | DMA: -0.359 | 💎流入 | 🔥DMA金叉(起漲)
3310.TWO | 佳穎         | B6: -0.73% | DMA: -1.150 | 💎流入 | 🔥DMA金叉(起漲)
4722.TW  | 國精化        | B6: -0.79% | DMA:  7.670 | 💸流出 | 🔥DMA金叉(起漲)
1726.TW  | 永記         | B6: -0.89% | DMA: -0.514 | 💸流出 | 📈5日穿20日(金叉)
2235.TWO | 謚源         | B6: -0.99% | DMA: -0.447 | 💎流入 | 🔥DMA金叉(起漲)
5481.TWO | 新華         | B6: -1.03% | DMA: -0.656 | 💎流入 | 🔥DMA金叉(起漲)
8162.TW  | 微矽電子-創     | B6: -1.19% | DMA:  0.229 | 💎流入 | 📈5日穿20日(金叉)
1905.TW  | 華紙         | B6: -1.22% | DMA: -0.163 | 💎流入 | 🔥DMA金叉(起漲)
5388.TW  | 中磊         | B6: -1.29% | DMA: -2.310 | 💸流出 | 🔥DMA金叉(起漲)
3611.TWO | 鼎翰         | B6: -1.38% | DMA: -5.720 | 💸流出 | 🔥DMA金叉(起漲)
2633.TW  | 台灣高鐵       | B6: -1.46% | DMA: -0.831 | 💎流入 | 🔥DMA金叉(起漲)
6642.TWO | 富致         | B6: -1.64% | DMA:  0.190 | 💸流出 | 📈5日穿20日(金叉)
4924.TWO | 欣厚-KY      | B6: -1.69% | DMA: -0.443 | 💎流入 | 🔥DMA金叉(起漲)
6735.TWO | 美達科技       | B6: -1.69% | DMA: -3.272 | 💎流入 | 🔥DMA金叉(起漲)
1569.TWO | 濱川         | B6: -1.73% | DMA: -1.420 | 💸流出 | 🔥DMA金叉(起漲)
1413.TW  | 宏洲         | B6: -1.74% | DMA: -0.228 | 💎流入 | 📈5日穿20日(金叉)
3711.TW  | 日月光投控      | B6: -1.79% | DMA: 20.940 | 💎流入 | 📈5日穿20日(金叉)
1341.TW  | 富林-KY      | B6: -1.80% | DMA: -0.282 | 💸流出 | 📈5日穿20日(金叉)
2025.TW  | 千興         | B6: -1.97% | DMA: -0.838 | 💎流入 | 🔥DMA金叉(起漲)
3551.TWO | 世禾         | B6: -1.98% | DMA: -8.750 | 💎流入 | 🔥DMA金叉(起漲)
2206.TW  | 三陽工業       | B6: -2.02% | DMA: -1.450 | 💸流出 | 📈5日穿20日(金叉)
2885.TW  | 元大金        | B6: -2.02% | DMA:  1.043 | 💎流入 | 📈5日穿20日(金叉)
6173.TWO | 信昌電        | B6: -2.10% | DMA: -4.294 | 💸流出 | 🔥DMA金叉(起漲)
5285.TW  | 界霖         | B6: -2.13% | DMA: -3.113 | 💎流入 | 🔥DMA金叉(起漲)
2516.TW  | 新建         | B6: -2.26% | DMA: -0.441 | 💎流入 | 📈5日穿20日(金叉)
6174.TWO | 安��        | B6: -2.35% | DMA: -0.587 | 💎流入 | 📈5日穿20日(金叉)
8358.TWO | 金居         | B6: -2.39% | DMA:-16.210 | 💸流出 | 🔥DMA金叉(起漲)
2440.TW  | 太空梭        | B6: -2.81% | DMA: -0.548 | 💸流出 | 📈5日穿20日(金叉)
6565.TWO | 物聯         | B6: -2.83% | DMA: -0.659 | 💎流入 | 🔥DMA金叉(起漲)
6221.TWO | 晉泰         | B6: -3.03% | DMA: -2.106 | 💸流出 | 📈5日穿20日(金叉)
6469.TWO | 大樹         | B6: -3.19% | DMA: -7.144 | 💸流出 | 🔥DMA金叉(起漲)
2354.TW  | 鴻準         | B6: -3.32% | DMA: -3.754 | 💸流出 | 🔥DMA金叉(起漲)
6719.TW  | 力智         | B6: -3.32% | DMA:-14.110 | 💸流出 | 🔥DMA金叉(起漲)
4915.TW  | 致伸         | B6: -3.38% | DMA: -4.810 | 💸流出 | 🔥DMA金叉(起漲)
1434.TW  | 福懋         | B6: -3.50% | DMA: -0.334 | 💸流出 | 📈5日穿20日(金叉)
2374.TW  | 佳能         | B6: -3.51% | DMA: -6.904 | 💸流出 | 🔥DMA金叉(起漲)
6793.TWO | 天力離岸       | B6: -3.60% | DMA:  0.056 | 💎流入 | 📈5日穿20日(金叉)
7584.TWO | 樂意         | B6: -3.61% | DMA: -3.295 | 💎流入 | 🔥DMA金叉(起漲)
6982.TWO | 大井泵浦       | B6: -3.65% | DMA: -6.168 | 💎流入 | 🔥DMA金叉(起漲)
1295.TWO | 生合         | B6: -3.68% | DMA: -7.914 | 💸流出 | 🔥DMA金叉(起漲)
6005.TW  | 群益證        | B6: -3.86% | DMA: -0.492 | 💸流出 | 📈5日穿20日(金叉)
2482.TW  | 連宇         | B6: -3.92% | DMA: -1.101 | 💎流入 | 🔥DMA金叉(起漲)
6794.TW  | 向榮生技       | B6: -4.09% | DMA: -5.702 | 💸流出 | 📈5日穿20日(金叉)
6957.TW  | 裕慶-KY      | B6: -4.20% | DMA:-17.220 | 💸流出 | 🔥DMA金叉(起漲)
8401.TWO | 白紗科        | B6: -4.20% | DMA: -1.770 | 💸流出 | 📈5日穿20日(金叉)
7402.TWO | 邑錡         | B6: -4.57% | DMA: -8.980 | 💎流入 | 🔥DMA金叉(起漲)
3321.TW  | 同泰         | B6: -4.77% | DMA: -1.884 | 💎流入 | 🔥DMA金叉(起漲)
1443.TW  | 立益物流       | B6: -4.86% | DMA: -1.854 | 💸流出 | 📈5日穿20日(金叉)
8291.TWO | 尚茂         | B6: -4.99% | DMA: -1.897 | 💎流入 | 🔥DMA金叉(起漲)
6969.TW  | 成信實業*-創    | B6: -5.08% | DMA: -2.951 | 💸流出 | 📈5日穿20日(金叉)
4968.TW  | 立積         | B6: -5.08% | DMA:-11.700 | 💎流入 | 🔥DMA金叉(起漲)
1438.TW  | 三地開發       | B6: -5.28% | DMA: -2.359 | 💎流入 | 📈5日穿20日(金叉)
00852L.TW | CATHAY SECS INV TRUST CO LTD CA | B6: -5.30% | DMA: -2.515 | 💎流入 | 📈5日穿20日(金叉)
3390.TWO | 旭軟         | B6: -5.31% | DMA: -1.557 | 💸流出 | 📈5日穿20日(金叉)
00640L.TW | 富邦日本正2     | B6: -5.34% | DMA: -2.836 | 💎流入 | 📈5日穿20日(金叉)
6921.TW  | 嘉雨思-創      | B6: -5.57% | DMA: -0.764 | 💸流出 | 📈5日穿20日(金叉)
3528.TW  | 安馳         | B6: -5.60% | DMA: -4.876 | 💸流出 | 📈5日穿20日(金叉)
5314.TWO | 世紀*        | B6: -6.90% | DMA:-13.360 | 💸流出 | 🔥DMA金叉(起漲)
5278.TWO | 尚凡*        | B6: -7.89% | DMA: -3.899 | 💎流入 | 📈5日穿20日(金叉)
6863.TW  | 永道-KY      | B6: -7.91% | DMA:-16.804 | 💸流出 | 🔥DMA金叉(起漲)
1235.TW  | 興泰         | B6: -8.17% | DMA: -4.076 | 💸流出 | 📈5日穿20日(金叉)
3609.TWO | 三一東林       | B6: -8.31% | DMA: -5.777 | 💎流入 | 🔥DMA金叉(起漲)
5455.TWO | 昇益         | B6: -8.34% | DMA: -3.544 | 💸流出 | 📈5日穿20日(金叉)
4441.TW  | 振大環球       | B6: -8.39% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
6412.TW  | 群電         | B6: -8.57% | DMA: -6.306 | 💸流出 | 📈5日穿20日(金叉)
8044.TWO | 網家         | B6: -8.65% | DMA: -4.033 | 💎流入 | 📈5日穿20日(金叉)
4804.TWO | 大略-KY      | B6: -8.77% | DMA: -1.053 | 💸流出 | 🔥DMA金叉(起漲)
5301.TWO | 寶得利        | B6: -9.15% | DMA: -1.351 | 💸流出 | 📈5日穿20日(金叉)
6212.TWO | 理銘         | B6:-10.02% | DMA: -6.351 | 💸流出 | 📈5日穿20日(金叉)
7722.TW  | LINEPAY    | B6:-11.10% | DMA:  0.000 | 💸流出 | 📈5日穿20日(金叉)
6130.TWO | 上亞科技       | B6:-12.15% | DMA: -7.989 | 💸流出 | 📈5日穿20日(金叉)
4416.TWO | 三圓         | B6:-20.48% | DMA: -9.900 | 💸流出 | 🔥DMA金叉(起漲)

【🔥高檔警戒】(數量: 107)
------------------------------------------------------------------------------------------
3054.TW  | 立萬利        | B6: 45.36% | DMA: 33.474 | 💸流出 | 🧨瘋狗浪(極限)
6983.TWO | 華洋精機       | B6: 45.04% | DMA:222.080 | 💎流入 | 🧨瘋狗浪(極限)
4973.TWO | 廣穎         | B6: 42.50% | DMA: 24.442 | 💎流入 | 🧨瘋狗浪(極限)
6217.TWO | 中探針        | B6: 40.47% | DMA: 71.258 | 💎流入 | 🧨瘋狗浪(極限)
6141.TW  | 柏承         | B6: 36.28% | DMA:  8.624 | 💎流入 | 🧨瘋狗浪(極限)
5386.TWO | 青雲         | B6: 35.92% | DMA:176.080 | 💸流出 | 🧨瘋狗浪(極限)
6907.TWO | 雅特力-KY     | B6: 34.20% | DMA:  0.000 | 💎流入 | 🧨瘋狗浪(極限)
4960.TW  | 誠美材        | B6: 33.87% | DMA:  8.487 | 💎流入 | 🧨瘋狗浪(極限)
2426.TW  | 鼎元         | B6: 33.82% | DMA: 12.278 | 💎流入 | 🧨瘋狗浪(極限)
6715.TW  | 嘉基         | B6: 33.33% | DMA:137.642 | 💎流入 | 🧨瘋狗浪(極限)
3093.TWO | 港建*        | B6: 32.69% | DMA: 14.198 | 💎流入 | 🧨瘋狗浪(極限)
7781.TWO | 昕力資*       | B6: 32.49% | DMA: 10.567 | 💎流入 | 🧨瘋狗浪(極限)
3555.TWO | 博士旺        | B6: 32.26% | DMA: 63.094 | 💎流入 | 🧨瘋狗浪(極限)
