=== 短線 5-10-20 扣抵精選 (20260306) ===
代號         |     最佳策略     |      勝率 |     期望報酬 | 今日狀態
1723.TW    | fast_attack  |   34.6% |   -0.48% | ⏱️ 短線止盈
6179.TWO   | ten_day_support |   36.3% |    0.09% | 觀望
5493.TWO   | ten_day_support |   40.1% |   -0.07% | 觀望
00951.TW   | monthly_trend |   50.5% |    0.17% | 🚪 趨勢結束
6531.TW    | monthly_trend |   52.1% |    2.21% | 觀望
2457.TW    | monthly_trend |   43.1% |    0.18% | 🚪 趨勢結束
6203.TWO   | ten_day_support |   40.2% |   -0.19% | 觀望
8926.TW    | ten_day_support |   39.4% |   -0.11% | 觀望
3028.TW    | ten_day_support |   41.6% |    0.04% | 觀望
3430.TWO   | fast_attack  |   43.8% |    0.82% | ⏱️ 短線止盈
3265.TWO   | ten_day_support |   51.9% |    0.94% | 觀望
3481.TW    | fast_attack  |   46.1% |    0.66% | ⏱️ 短線止盈
6841.TWO   | ten_day_support |   31.8% |   -0.88% | 觀望
2067.TWO   | ten_day_support |   28.2% |   -0.47% | 觀望
2409.TW    | monthly_trend |   45.6% |    0.35% | 🚪 趨勢結束
3236.TWO   | monthly_trend |   44.4% |    0.01% | 🚪 趨勢結束
3289.TWO   | ten_day_support |   50.2% |    0.60% | 觀望
0050.TW    | fast_attack  |   50.9% |    0.02% | ⏱️ 短線止盈
3710.TWO   | ten_day_support |   42.8% |    0.20% | 觀望
4526.TW    | monthly_trend |   40.5% |    0.14% | 🚪 趨勢結束
3090.TW    | fast_attack  |   41.5% |    0.07% | ⏱️ 短線止盈
5309.TWO   | monthly_trend |   42.1% |    0.30% | 🚪 趨勢結束
6719.TW    | ten_day_support |   37.9% |   -1.66% | 觀望
2301.TW    | fast_attack  |   43.8% |   -0.27% | ⏱️ 短線止盈
00679B.TWO | fast_attack  |   34.2% |   -0.65% | ⚡ 五日攻擊
2382.TW    | fast_attack  |   47.7% |    0.05% | ⏱️ 短線止盈
1711.TW    | monthly_trend |   38.2% |   -0.26% | 觀望
1102.TW    | fast_attack  |   40.2% |   -0.35% | ⏱️ 短線止盈
6762.TWO   | monthly_trend |   44.4% |    0.63% | 觀望
7782.TWO   | ten_day_support |   31.0% |   -1.44% | 觀望
TXF.TW     | fast_attack  |   48.2% |   -0.15% | ⏱️ 短線止盈
3088.TWO   | monthly_trend |   42.4% |   -0.16% | 🚪 趨勢結束
7744.TWO   | monthly_trend |   66.7% |    4.66% | 觀望
6191.TW    | ten_day_support |   49.0% |    0.35% | 觀望
8422.TW    | fast_attack  |   36.8% |    0.01% | ⏱️ 短線止盈
3701.TW    | ten_day_support |   28.3% |    0.12% | 觀望
5508.TWO   | ten_day_support |   46.7% |    0.41% | 觀望
4562.TW    | ten_day_support |   28.2% |   -0.32% | 觀望
5258.TW    | ten_day_support |   48.5% |    0.90% | 觀望
6904.TWO   | monthly_trend |   38.7% |   -0.34% | 🚪 趨勢結束
8044.TWO   | fast_attack  |   42.2% |    0.14% | ⏱️ 短線止盈
3530.TW    | monthly_trend |   40.4% |    0.38% | 🚪 趨勢結束
1599.TWO   | fast_attack  |   40.9% |    0.03% | ⏱️ 短線止盈
6921.TW    | fast_attack  |   42.9% |    4.73% | ⏱️ 短線止盈
3092.TW    | ten_day_support |   45.0% |    0.32% | 觀望
1726.TW    | fast_attack  |   34.7% |   -0.36% | ⏱️ 短線止盈
00985B.TW  | fast_attack  |   26.7% |   -0.35% | ⚡ 五日攻擊
7728.TWO   | monthly_trend |   44.3% |    1.06% | 🚪 趨勢結束
2618.TW    | fast_attack  |   43.9% |    0.15% | ⏱️ 短線止盈
8045.TW    | fast_attack  |   44.4% |    0.95% | ⏱️ 短線止盈
2489.TW    | fast_attack  |   39.8% |   -0.01% | 觀望
6509.TWO   | monthly_trend |   42.9% |   -0.09% | 🚀 月線轉強
2838.TW    | fast_attack  |   40.8% |   -0.06% | ⏱️ 短線止盈
3501.TW    | fast_attack  |   41.8% |   -0.46% | ⏱️ 短線止盈
8039.TW    | monthly_trend |   43.8% |   -0.10% | 🚀 月線轉強
3105.TWO   | ten_day_support |   53.7% |    0.44% | 🛡️ 十日撐買
8478.TW    | fast_attack  |   41.4% |    0.39% | ⏱️ 短線止盈
3550.TW    | ten_day_support |   40.6% |   -0.08% | 觀望
3432.TW    | monthly_trend |   41.0% |    0.58% | 🚪 趨勢結束
1514.TW    | monthly_trend |   49.1% |    0.90% | 🚪 趨勢結束
7750.TW    | monthly_trend |   69.2% |    6.07% | 🚪 趨勢結束
6209.TW    | monthly_trend |   44.3% |    0.58% | 🚪 趨勢結束
4912.TW    | ten_day_support |   48.0% |    1.07% | 觀望
3015.TW    | ten_day_support |   45.9% |    0.16% | 觀望
3703.TW    | ten_day_support |   41.1% |   -0.17% | 觀望
1735.TW    | ten_day_support |   32.9% |   -0.20% | 觀望
1522.TW    | fast_attack  |   40.6% |   -0.19% | ⏱️ 短線止盈
00712.TW   | monthly_trend |   43.7% |   -0.06% | 觀望
00924.TW   | ten_day_support |   55.6% |   -0.02% | 觀望
6196.TW    | ten_day_support |   54.1% |    0.64% | 觀望
5299.TWO   | fast_attack  |   46.3% |    0.79% | ⏱️ 短線止盈
3002.TW    | fast_attack  |   36.7% |   -0.40% | ⏱️ 短線止盈
4989.TW    | monthly_trend |   35.7% |    0.69% | 🚀 月線轉強
6405.TW    | fast_attack  |   40.6% |    0.02% | ⏱️ 短線止盈
2423.TW    | ten_day_support |   43.9% |   -0.12% | 觀望
1784.TWO   | ten_day_support |   47.4% |    0.23% | 觀望
6130.TWO   | monthly_trend |   43.7% |    1.13% | 🚪 趨勢結束
4749.TWO   | fast_attack  |   51.0% |    2.18% | ⏱️ 短線止盈
00933B.TWO | fast_attack  |   42.6% |   -0.26% | 觀望
5425.TWO   | fast_attack  |   49.8% |    0.51% | ⏱️ 短線止盈
1307.TW    | monthly_trend |   38.7% |   -0.10% | 🚪 趨勢結束
2235.TWO   | fast_attack  |   39.6% |   -0.44% | ⏱️ 短線止盈
3629.TWO   | fast_attack  |   47.0% |    2.45% | ⏱️ 短線止盈
6683.TWO   | monthly_trend |   50.4% |    1.82% | 🚪 趨勢結束
1513.TW    | monthly_trend |   41.0% |    0.37% | 🚪 趨勢結束
00989A.TW  | fast_attack  |   25.0% |   -1.40% | ⏱️ 短線止盈
3038.TW    | ten_day_support |   47.2% |    0.36% | 觀望
8996.TW    | ten_day_support |   51.7% |    1.34% | 觀望
3465.TWO   | monthly_trend |   41.9% |    1.75% | 🚪 趨勢結束
2485.TW    | ten_day_support |   44.6% |   -0.39% | 觀望
3708.TW    | fast_attack  |   45.8% |    0.56% | ⏱️ 短線止盈
1466.TW    | monthly_trend |   35.5% |    0.09% | 🚪 趨勢結束
4533.TWO   | monthly_trend |   41.0% |    0.17% | 🚀 月線轉強
6855.TWO   | monthly_trend |   40.9% |    0.26% | 🚪 趨勢結束
2108.TW    | fast_attack  |   41.8% |    0.17% | ⏱️ 短線止盈
1409.TW    | fast_attack  |   39.9% |   -0.29% | ⏱️ 短線止盈
2049.TW    | ten_day_support |   48.9% |    0.02% | 觀望
6859.TWO   | fast_attack  |   38.0% |   -0.58% | ⏱️ 短線止盈
6212.TWO   | fast_attack  |   40.0% |   -0.07% | ⏱️ 短線止盈
5474.TWO   | monthly_trend |   46.8% |    1.34% | 🚪 趨勢結束
8438.TW    | fast_attack  |   39.8% |    0.52% | ⏱️ 短線止盈
5351.TWO   | monthly_trend |   39.8% |    0.22% | 🚪 趨勢結束
1560.TW    | fast_attack  |   47.6% |    0.28% | ⏱️ 短線止盈
9105.TW    | monthly_trend |   34.6% |   -0.01% | 🚪 趨勢結束
2353.TW    | fast_attack  |   42.6% |   -0.12% | ⏱️ 短線止盈
2646.TW    | fast_attack  |   18.5% |   -0.93% | ⏱️ 短線止盈
1736.TW    | fast_attack  |   45.7% |    0.36% | ⏱️ 短線止盈
6982.TWO   | ten_day_support |   41.3% |    0.57% | 觀望
1593.TWO   | fast_attack  |   39.8% |    0.14% | ⏱️ 短線止盈
6190.TWO   | ten_day_support |   44.4% |    0.09% | 觀望
2331.TW    | fast_attack  |   41.6% |   -0.28% | ⏱️ 短線止盈
9910.TW    | fast_attack  |   43.5% |    0.20% | ⏱️ 短線止盈
5471.TW    | ten_day_support |   50.1% |    0.10% | 觀望
00909.TW   | monthly_trend |   60.1% |    0.80% | 觀望
3508.TWO   | fast_attack  |   42.6% |    0.61% | ⏱️ 短線止盈
2498.TW    | fast_attack  |   42.3% |    0.38% | ⏱️ 短線止盈
00753L.TW  | ten_day_support |   49.2% |    0.27% | 觀望
6861.TW    | monthly_trend |   40.1% |    1.02% | 觀望
8110.TW    | ten_day_support |   47.5% |    0.64% | 觀望
2481.TW    | monthly_trend |   48.2% |    0.62% | 觀望
4722.TW    | monthly_trend |   44.5% |    0.07% | 🚪 趨勢結束
5516.TWO   | ten_day_support |   34.9% |   -0.06% | 觀望
5223.TWO   | monthly_trend |   41.7% |    0.32% | 🚀 月線轉強
3083.TWO   | monthly_trend |   39.8% |   -0.07% | 🚪 趨勢結束
7777.TWO   | fast_attack  |   40.5% |    3.48% | ⏱️ 短線止盈
2393.TW    | fast_attack  |   46.6% |   -0.23% | ⏱️ 短線止盈
3615.TWO   | fast_attack  |   44.4% |    0.24% | ⚡ 五日攻擊
5205.TWO   | fast_attack  |   43.3% |    2.83% | 觀望
6937.TW    | monthly_trend |   48.1% |    1.31% | 🚀 月線轉強
1611.TW    | monthly_trend |   39.7% |   -0.03% | 🚪 趨勢結束
6230.TW    | monthly_trend |   40.1% |    0.51% | 觀望
2413.TW    | ten_day_support |   42.6% |   -0.13% | 觀望
6887.TW    | fast_attack  |   26.3% |   -1.67% | ⏱️ 短線止盈
6188.TWO   | ten_day_support |   50.7% |    0.24% | 觀望
3535.TW    | fast_attack  |   38.5% |   -0.11% | ⚡ 五日攻擊
2726.TWO   | monthly_trend |   45.5% |    0.18% | 🚪 趨勢結束
2103.TW    | fast_attack  |   41.4% |   -0.14% | ⏱️ 短線止盈
6980.TWO   | ten_day_support |   61.8% |    4.41% | 觀望
2317.TW    | monthly_trend |   42.6% |    0.12% | 🚪 趨勢結束
1815.TWO   | monthly_trend |   43.8% |    0.47% | 🚀 月線轉強
6890.TW    | ten_day_support |   46.7% |   -1.52% | 觀望
2431.TW    | monthly_trend |   42.4% |    0.24% | 🚪 趨勢結束
9921.TW    | monthly_trend |   41.1% |   -0.15% | 🚪 趨勢結束
6640.TWO   | monthly_trend |   43.8% |    1.11% | 🚪 趨勢結束
2451.TW    | monthly_trend |   42.1% |    0.07% | 🚪 趨勢結束
3526.TWO   | monthly_trend |   51.3% |    0.28% | 🚪 趨勢結束
2010.TW    | monthly_trend |   39.2% |    0.28% | 🚪 趨勢結束
00770.TW   | ten_day_support |   59.9% |    0.17% | 觀望
3234.TWO   | monthly_trend |   40.9% |    0.30% | 🚪 趨勢結束
00795B.TWO | fast_attack  |   37.9% |   -0.67% | ⚡ 五日攻擊
2302.TW    | ten_day_support |   38.6% |    0.01% | 觀望
6957.TW    | ten_day_support |   36.7% |   -0.97% | 觀望
3025.TW    | monthly_trend |   45.8% |    0.84% | 觀望
5011.TWO   | fast_attack  |   37.0% |   -0.14% | ⚡ 五日攻擊
8234.TWO   | monthly_trend |   44.9% |    0.42% | 🚪 趨勢結束
7714.TWO   | monthly_trend |   47.5% |    1.14% | 觀望
1432.TW    | monthly_trend |   40.0% |    0.25% | 🚪 趨勢結束
3661.TW    | monthly_trend |   49.0% |    0.62% | 🚪 趨勢結束
3033.TW    | fast_attack  |   39.2% |   -0.33% | ⏱️ 短線止盈
00646.TW   | fast_attack  |   45.8% |   -0.16% | ⏱️ 短線止盈
6592.TW    | fast_attack  |   41.5% |    0.06% | ⏱️ 短線止盈
2314.TW    | fast_attack  |   37.1% |   -0.46% | ⏱️ 短線止盈
6451.TW    | fast_attack  |   44.0% |    0.30% | ⏱️ 短線止盈
3308.TW    | ten_day_support |   40.3% |    0.74% | 觀望
3712.TW    | monthly_trend |   45.6% |    0.44% | 🚪 趨勢結束
4123.TWO   | fast_attack  |   43.4% |    0.05% | ⚡ 五日攻擊
4973.TWO   | ten_day_support |   44.8% |    0.07% | 觀望
00720B.TWO | fast_attack  |   44.0% |   -0.34% | ⚡ 五日攻擊
5225.TW    | ten_day_support |   38.0% |   -0.25% | 觀望
1438.TW    | ten_day_support |   34.9% |    0.27% | 觀望
4927.TW    | monthly_trend |   43.9% |    0.08% | 觀望
3221.TWO   | ten_day_support |   44.0% |    0.18% | 觀望
00830.TW   | fast_attack  |   54.4% |    0.27% | ⏱️ 短線止盈
8150.TW    | monthly_trend |   48.4% |    0.01% | 觀望
6438.TW    | monthly_trend |   44.7% |    0.20% | 🚪 趨勢結束
2359.TW    | monthly_trend |   40.7% |    0.25% | 🚪 趨勢結束
2891.TW    | fast_attack  |   46.5% |    0.03% | ⏱️ 短線止盈
6706.TW    | monthly_trend |   42.6% |    0.19% | 🚀 月線轉強
2455.TW    | monthly_trend |   48.7% |    0.69% | 觀望
8111.TWO   | monthly_trend |   44.6% |    0.78% | 🚪 趨勢結束
2492.TW    | monthly_trend |   48.3% |    0.70% | 🚪 趨勢結束
2347.TW    | ten_day_support |   43.3% |   -0.28% | 觀望
00981B.TWO | fast_attack  |   16.7% |   -0.95% | 觀望
3252.TWO   | fast_attack  |   35.1% |   -0.05% | ⏱️ 短線止盈
6789.TW    | monthly_trend |   53.3% |    1.65% | 觀望
2404.TW    | monthly_trend |   52.3% |    0.33% | 🚀 月線轉強
4916.TW    | ten_day_support |   45.3% |    0.11% | 觀望
00953B.TW  | fast_attack  |   20.9% |   -0.98% | 觀望
1418.TW    | monthly_trend |   36.1% |    0.25% | 🚪 趨勢結束
6138.TWO   | ten_day_support |   50.3% |    0.56% | 觀望
6965.TW    | ten_day_support |   28.6% |    0.07% | 觀望
7812.TWO   | monthly_trend |   40.4% |    1.33% | 觀望
2923.TW    | ten_day_support |   44.8% |    0.09% | 觀望
8477.TWO   | ten_day_support |   34.9% |   -0.48% | 觀望
1538.TW    | ten_day_support |   32.6% |    0.01% | 觀望
2466.TW    | fast_attack  |   39.0% |    0.51% | ⏱️ 短線止盈
2367.TW    | fast_attack  |   41.0% |    0.32% | ⚡ 五日攻擊
3131.TWO   | ten_day_support |   54.8% |    1.05% | 觀望
2230.TWO   | fast_attack  |   40.8% |    0.63% | ⏱️ 短線止盈
3675.TWO   | monthly_trend |   49.2% |    1.00% | 觀望
8431.TWO   | monthly_trend |   45.9% |    0.35% | 🚀 月線轉強
3189.TW    | ten_day_support |   50.3% |    0.26% | 觀望
2206.TW    | fast_attack  |   40.4% |   -0.03% | ⏱️ 短線止盈
6486.TWO   | ten_day_support |   46.7% |    0.06% | 觀望
2881.TW    | fast_attack  |   45.2% |   -0.15% | ⏱️ 短線止盈
6928.TW    | monthly_trend |   34.5% |    1.02% | 🚪 趨勢結束
3443.TW    | fast_attack  |   49.6% |    0.79% | ⏱️ 短線止盈
5328.TWO   | ten_day_support |   48.6% |    0.77% | 觀望
2329.TW    | fast_attack  |   45.2% |   -0.03% | ⏱️ 短線止盈
6163.TWO   | ten_day_support |   44.4% |    0.01% | 觀望
2316.TW    | ten_day_support |   47.6% |    0.61% | 觀望
6244.TWO   | monthly_trend |   39.4% |   -0.06% | 觀望
2834.TW    | fast_attack  |   40.9% |   -0.25% | ⏱️ 短線止盈
2022.TW    | fast_attack  |   39.8% |    0.53% | ⏱️ 短線止盈
8088.TWO   | ten_day_support |   43.9% |   -0.04% | 觀望
1310.TW    | fast_attack  |   44.6% |    0.16% | ⚡ 五日攻擊
2072.TWO   | ten_day_support |   42.3% |    0.87% | 觀望
5386.TWO   | monthly_trend |   39.8% |    0.89% | 觀望
00703.TW   | fast_attack  |   46.5% |   -0.08% | ⏱️ 短線止盈
4551.TW    | fast_attack  |   40.7% |   -0.20% | ⏱️ 短線止盈
5203.TW    | fast_attack  |   43.6% |   -0.09% | ⏱️ 短線止盈
7795.TW    | monthly_trend |   63.8% |    3.55% | 🚪 趨勢結束
4904.TW    | fast_attack  |   39.0% |   -0.59% | ⏱️ 短線止盈
4946.TWO   | ten_day_support |   35.1% |    2.37% | 觀望
6695.TW    | monthly_trend |   42.2% |   -0.05% | 🚪 趨勢結束
1305.TW    | fast_attack  |   47.0% |    0.18% | ⏱️ 短線止盈
00900.TW   | monthly_trend |   50.9% |    0.08% | 🚪 趨勢結束
3532.TW    | monthly_trend |   45.5% |    1.08% | 🚪 趨勢結束
1314.TW    | monthly_trend |   41.0% |    0.25% | 🚀 月線轉強
6885.TW    | ten_day_support |   50.0% |    0.69% | 觀望
00719B.TWO | fast_attack  |   22.2% |   -0.34% | ⚡ 五日攻擊
1304.TW    | fast_attack  |   37.3% |   -0.12% | ⏱️ 短線止盈
5274.TWO   | ten_day_support |   47.6% |    0.23% | 觀望
00923.TW   | ten_day_support |   52.1% |    0.04% | 觀望
6873.TW    | monthly_trend |   51.1% |    1.57% | 🚪 趨勢結束
4909.TWO   | ten_day_support |   40.6% |    0.01% | 觀望
6016.TWO   | fast_attack  |   48.4% |    0.41% | ⏱️ 短線止盈
9906.TW    | monthly_trend |   45.4% |    1.06% | 觀望
8069.TWO   | fast_attack  |   45.6% |   -0.11% | ⏱️ 短線止盈
2340.TW    | ten_day_support |   44.7% |    0.04% | 觀望
3138.TW    | monthly_trend |   44.5% |    0.75% | 🚀 月線轉強
5347.TWO   | ten_day_support |   50.5% |    0.17% | 觀望
3017.TW    | ten_day_support |   49.7% |    0.13% | 觀望
3037.TW    | monthly_trend |   46.2% |    0.40% | 🚪 趨勢結束
1503.TW    | fast_attack  |   42.7% |    0.44% | ⏱️ 短線止盈
3441.TWO   | ten_day_support |   39.4% |   -0.20% | 觀望
8080.TWO   | fast_attack  |   39.3% |    1.88% | ⏱️ 短線止盈
5490.TWO   | ten_day_support |   44.7% |   -0.17% | 🛡️ 十日撐買
2607.TW    | fast_attack  |   37.5% |   -0.01% | ⏱️ 短線止盈
4768.TWO   | monthly_trend |   44.6% |    1.38% | 🚀 月線轉強
4755.TW    | ten_day_support |   44.8% |    0.30% | 觀望
5469.TW    | monthly_trend |   49.2% |    0.21% | 🚪 趨勢結束
3305.TW    | monthly_trend |   41.5% |    0.07% | 🚪 趨勢結束
6236.TWO   | monthly_trend |   39.1% |    0.47% | 🚪 趨勢結束
6214.TW    | ten_day_support |   44.3% |   -0.18% | 觀望
6552.TW    | ten_day_support |   44.9% |    0.25% | 觀望
1216.TW    | fast_attack  |   39.5% |   -0.58% | ⏱️ 短線止盈
2887.TW    | fast_attack  |   44.6% |    0.04% | ⏱️ 短線止盈
1471.TW    | monthly_trend |   39.0% |    0.68% | 🚀 月線轉強
2493.TW    | monthly_trend |   53.3% |    0.34% | 🚪 趨勢結束
1590.TW    | monthly_trend |   48.9% |    0.15% | 🚪 趨勢結束
4127.TWO   | monthly_trend |   38.2% |    0.26% | 🚪 趨勢結束
00919.TW   | monthly_trend |   54.1% |    0.17% | 🚪 趨勢結束
6217.TWO   | ten_day_support |   48.3% |    0.57% | 觀望
1710.TW    | ten_day_support |   44.4% |   -0.10% | 觀望
6213.TW    | fast_attack  |   50.1% |    0.39% | ⏱️ 短線止盈
9103.TW    | ten_day_support |   24.3% |   -0.21% | 觀望
2337.TW    | monthly_trend |   46.3% |    0.56% | 🚪 趨勢結束
6796.TW    | monthly_trend |   48.0% |    0.82% | 🚪 趨勢結束
6133.TW    | fast_attack  |   36.4% |    0.10% | ⚡ 五日攻擊
3466.TWO   | fast_attack  |   37.0% |    0.30% | ⚡ 五日攻擊
7799.TW    | fast_attack  |   52.1% |    4.11% | ⏱️ 短線止盈
3036.TW    | fast_attack  |   43.4% |   -0.10% | ⚡ 五日攻擊
3163.TWO   | fast_attack  |   45.3% |    0.56% | ⏱️ 短線止盈
2495.TW    | monthly_trend |   42.3% |    0.08% | 🚪 趨勢結束
6225.TW    | fast_attack  |   43.2% |    1.18% | 觀望
1444.TW    | ten_day_support |   34.4% |   -0.33% | 觀望
0056.TW    | fast_attack  |   49.9% |   -0.04% | ⏱️ 短線止盈
8463.TW    | ten_day_support |   39.1% |   -0.22% | 觀望
8077.TWO   | fast_attack  |   34.9% |   -0.08% | ⏱️ 短線止盈
6684.TWO   | ten_day_support |   44.9% |    1.22% | 觀望
3546.TWO   | monthly_trend |   47.6% |    0.26% | 🚪 趨勢結束
3552.TWO   | ten_day_support |   46.5% |   -0.35% | 觀望
2377.TW    | monthly_trend |   50.5% |    0.16% | 觀望
4583.TW    | monthly_trend |   48.4% |    0.90% | 🚪 趨勢結束
00910.TW   | ten_day_support |   51.8% |    0.55% | 觀望
2397.TW    | fast_attack  |   41.5% |    0.23% | ⏱️ 短線止盈
8279.TWO   | monthly_trend |   42.7% |    0.10% | 🚪 趨勢結束
2006.TW    | fast_attack  |   51.1% |    0.59% | ⚡ 五日攻擊
6715.TW    | ten_day_support |   47.5% |    1.12% | 觀望
3034.TW    | ten_day_support |   45.7% |    0.01% | 觀望
3588.TW    | fast_attack  |   40.0% |    0.52% | ⏱️ 短線止盈
2603.TW    | fast_attack  |   48.8% |    0.81% | ⚡ 五日攻擊
6643.TWO   | monthly_trend |   40.0% |    0.36% | 🚀 月線轉強
6854.TW    | fast_attack  |   45.9% |    1.38% | ⏱️ 短線止盈
1459.TW    | ten_day_support |   36.6% |   -0.04% | 觀望
4903.TWO   | fast_attack  |   44.4% |    1.17% | ⏱️ 短線止盈
8444.TWO   | monthly_trend |   43.8% |    0.53% | 🚪 趨勢結束
3016.TW    | monthly_trend |   47.0% |    0.48% | 🚪 趨勢結束
6533.TW    | monthly_trend |   46.2% |    1.32% | 🚪 趨勢結束
00985A.TW  | ten_day_support |   58.3% |    1.09% | 觀望
6620.TWO   | fast_attack  |   43.4% |    1.18% | ⏱️ 短線止盈
1326.TW    | monthly_trend |   39.5% |   -0.40% | 🚪 趨勢結束
6517.TWO   | monthly_trend |   38.3% |    2.87% | 🚪 趨勢結束
1583.TW    | fast_attack  |   38.8% |   -0.38% | ⏱️ 短線止盈
4919.TW    | monthly_trend |   47.8% |    0.64% | 觀望
6142.TW    | ten_day_support |   42.9% |   -0.14% | 觀望
2321.TW    | fast_attack  |   40.6% |    1.07% | ⏱️ 短線止盈
3213.TWO   | ten_day_support |   44.7% |    0.22% | 觀望
2327.TW    | monthly_trend |   50.2% |    0.60% | 🚪 趨勢結束
8289.TWO   | monthly_trend |   35.7% |    0.06% | 觀望
5439.TWO   | fast_attack  |   48.3% |    0.70% | ⏱️ 短線止盈
2009.TW    | fast_attack  |   38.7% |    0.33% | ⏱️ 短線止盈
6423.TWO   | monthly_trend |   39.7% |    0.57% | 觀望
2610.TW    | fast_attack  |   45.5% |    0.40% | ⏱️ 短線止盈
2836.TW    | fast_attack  |   37.1% |   -0.27% | ⏱️ 短線止盈
2379.TW    | ten_day_support |   51.8% |    0.53% | 觀望
6546.TWO   | monthly_trend |   48.0% |    4.38% | 🚀 月線轉強
3533.TW    | monthly_trend |   49.2% |    0.12% | 🚪 趨勢結束
2882.TW    | ten_day_support |   45.0% |   -0.20% | 觀望
6456.TW    | monthly_trend |   41.2% |   -0.11% | 觀望
00981A.TW  | monthly_trend |   65.2% |    2.03% | 🚪 趨勢結束
3059.TW    | fast_attack  |   41.8% |   -0.19% | ⏱️ 短線止盈
4541.TWO   | ten_day_support |   42.0% |    0.10% | 觀望
4938.TW    | ten_day_support |   47.2% |    0.03% | 觀望
6265.TWO   | monthly_trend |   40.8% |    0.13% | 🚪 趨勢結束
3206.TWO   | ten_day_support |   44.8% |    0.37% | 觀望
5340.TWO   | fast_attack  |   43.8% |    0.94% | ⏱️ 短線止盈
4585.TW    | ten_day_support |   20.0% |   -3.90% | 觀望
3338.TW    | monthly_trend |   43.9% |    0.55% | 觀望
5302.TWO   | ten_day_support |   45.5% |    0.76% | 觀望
3702.TW    | ten_day_support |   44.7% |   -0.27% | 🛡️ 十日撐買
2548.TW    | fast_attack  |   48.3% |    0.11% | ⏱️ 短線止盈
00922.TW   | ten_day_support |   58.9% |    0.32% | 觀望
8390.TWO   | monthly_trend |   40.3% |    0.29% | 🚪 趨勢結束
3672.TWO   | ten_day_support |   36.2% |   -0.02% | 🛡️ 十日撐買
2615.TW    | fast_attack  |   53.1% |    2.03% | ⚡ 五日攻擊
2606.TW    | fast_attack  |   46.6% |    0.21% | ⚡ 五日攻擊
1308.TW    | fast_attack  |   42.6% |   -0.46% | ⏱️ 短線止盈
6768.TW    | ten_day_support |   46.0% |    0.63% | 觀望
6720.TWO   | monthly_trend |   47.7% |    1.36% | 🚪 趨勢結束
8383.TWO   | ten_day_support |   43.7% |   -0.13% | 觀望
6550.TW    | fast_attack  |   37.0% |    0.29% | ⏱️ 短線止盈
6753.TW    | fast_attack  |   44.8% |    1.62% | ⏱️ 短線止盈
6228.TWO   | fast_attack  |   38.9% |    0.56% | ⏱️ 短線止盈
2468.TW    | fast_attack  |   35.2% |   -0.01% | ⏱️ 短線止盈
3041.TW    | ten_day_support |   38.3% |   -0.20% | 觀望
2472.TW    | ten_day_support |   47.3% |    0.46% | 觀望
6275.TWO   | ten_day_support |   51.0% |    0.47% | 觀望
6469.TWO   | monthly_trend |   45.5% |    0.74% | 🚪 趨勢結束
6426.TW    | fast_attack  |   44.8% |    0.49% | ⏱️ 短線止盈
6112.TW    | ten_day_support |   37.0% |   -0.20% | 觀望
5272.TWO   | ten_day_support |   43.7% |   -0.26% | 觀望
6005.TW    | monthly_trend |   45.6% |    0.14% | 🚪 趨勢結束
2258.TW    | ten_day_support |   44.1% |    0.03% | 觀望
00948B.TWO | fast_attack  |   36.7% |   -0.60% | ⚡ 五日攻擊
00902.TW   | monthly_trend |   50.4% |   -0.08% | 🚪 趨勢結束
2449.TW    | monthly_trend |   49.8% |    0.38% | 🚪 趨勢結束
6613.TWO   | monthly_trend |   46.6% |    0.42% | 🚪 趨勢結束
5443.TWO   | ten_day_support |   52.2% |    0.58% | 觀望
3167.TW    | fast_attack  |   51.4% |    0.84% | ⏱️ 短線止盈
6579.TW    | fast_attack  |   42.2% |    0.16% | ⏱️ 短線止盈
3611.TWO   | fast_attack  |   44.6% |   -0.01% | ⏱️ 短線止盈
6219.TWO   | fast_attack  |   41.9% |    0.14% | ⏱️ 短線止盈
2892.TW    | fast_attack  |   39.6% |   -0.36% | ⏱️ 短線止盈
2889.TW    | fast_attack  |   43.9% |    0.04% | ⏱️ 短線止盈
3713.TWO   | monthly_trend |   33.8% |    1.13% | 🚪 趨勢結束
2014.TW    | ten_day_support |   44.7% |    0.58% | 觀望
2438.TW    | fast_attack  |   37.6% |    0.20% | ⏱️ 短線止盈
2231.TW    | ten_day_support |   39.0% |   -0.74% | 觀望
2354.TW    | fast_attack  |   47.2% |    0.43% | ⏱️ 短線止盈
3680.TWO   | ten_day_support |   44.0% |    0.28% | 觀望
00761B.TWO | fast_attack  |   37.0% |   -0.52% | 觀望
4171.TWO   | fast_attack  |   39.9% |    0.50% | ⏱️ 短線止盈
6541.TW    | monthly_trend |   42.2% |    1.15% | 🚪 趨勢結束
4154.TWO   | fast_attack  |   33.5% |    0.18% | ⏱️ 短線止盈
7738.TWO   | monthly_trend |   43.5% |    1.79% | 🚀 月線轉強
5371.TWO   | monthly_trend |   46.3% |    0.54% | 🚪 趨勢結束
3541.TWO   | ten_day_support |   49.5% |    0.28% | 觀望
00939.TW   | fast_attack  |   40.3% |   -0.61% | ⏱️ 短線止盈
3062.TW    | ten_day_support |   43.3% |   -0.14% | 觀望
4571.TW    | monthly_trend |   42.8% |    1.44% | 🚪 趨勢結束
9929.TW    | ten_day_support |   28.1% |   -0.39% | 觀望
