=== 明日扣抵生死線報告 (20260306) ===
        代號 最佳MA     今日收盤     明日扣抵  安全邊際%                  操作建議
00687B.TWO MA20    29.29    28.37   3.24        🔥 強勢：扣抵極低，穩定助漲
   9907.TW MA60    19.15    18.55   3.23        🔥 強勢：扣抵極低，穩定助漲
00931B.TWO MA20    14.11    13.67   3.22        🔥 強勢：扣抵極低，穩定助漲
   3708.TW MA60   112.50   109.00   3.21        🔥 強勢：扣抵極低，穩定助漲
00764B.TWO MA20    29.29    28.38   3.21        🔥 強勢：扣抵極低，穩定助漲
  3570.TWO MA60   178.00   172.50   3.19        🔥 強勢：扣抵極低，穩定助漲
   2419.TW MA10    28.20    27.35   3.11        🔥 強勢：扣抵極低，穩定助漲
  5013.TWO MA60    30.10    29.20   3.08        🔥 強勢：扣抵極低，穩定助漲
   2634.TW MA10    53.50    51.90   3.08        🔥 強勢：扣抵極低，穩定助漲
   6873.TW MA60   104.00   101.00   2.97   ⚖️ 關鍵：明天不可跌破 101.00
  5245.TWO MA20    26.20    25.45   2.95    ⚖️ 關鍵：明天不可跌破 25.45
  5426.TWO MA10    19.45    18.90   2.91    ⚖️ 關鍵：明天不可跌破 18.90
   3038.TW MA60    21.30    20.70   2.90    ⚖️ 關鍵：明天不可跌破 20.70
  5205.TWO  MA5    28.45    27.65   2.89    ⚖️ 關鍵：明天不可跌破 27.65
  4533.TWO MA20    37.75    36.70   2.86    ⚖️ 關鍵：明天不可跌破 36.70
 00980A.TW MA20    16.27    15.82   2.86    ⚖️ 關鍵：明天不可跌破 15.82
  00881.TW MA10    35.36    34.40   2.79    ⚖️ 關鍵：明天不可跌破 34.40
  3147.TWO MA60   184.00   179.00   2.79   ⚖️ 關鍵：明天不可跌破 179.00
   7740.TW  MA5   185.00   180.00   2.78   ⚖️ 關鍵：明天不可跌破 180.00
 00738U.TW MA10    68.70    66.85   2.77    ⚖️ 關鍵：明天不可跌破 66.85
  4939.TWO MA60    31.85    31.00   2.74    ⚖️ 關鍵：明天不可跌破 31.00
   3501.TW MA60    49.10    47.80   2.72    ⚖️ 關鍵：明天不可跌破 47.80
  7737.TWO MA20    38.00    37.00   2.70    ⚖️ 關鍵：明天不可跌破 37.00
   2892.TW MA60    28.60    27.85   2.69    ⚖️ 關鍵：明天不可跌破 27.85
 009803.TW MA10    15.21    14.83   2.56    ⚖️ 關鍵：明天不可跌破 14.83
  6174.TWO MA60    22.15    21.60   2.55    ⚖️ 關鍵：明天不可跌破 21.60
   2049.TW MA10   241.50   235.50   2.55   ⚖️ 關鍵：明天不可跌破 235.50
  3357.TWO MA60   163.50   159.50   2.51   ⚖️ 關鍵：明天不可跌破 159.50
  4130.TWO MA10    32.80    32.00   2.50    ⚖️ 關鍵：明天不可跌破 32.00
   2836.TW MA60    12.40    12.10   2.48    ⚖️ 關鍵：明天不可跌破 12.10
  8038.TWO MA60    40.55    39.60   2.40    ⚖️ 關鍵：明天不可跌破 39.60
  7738.TWO MA20   173.00   169.00   2.37   ⚖️ 關鍵：明天不可跌破 169.00
 911622.TW MA60     3.94     3.85   2.34     ⚖️ 關鍵：明天不可跌破 3.85
   2481.TW MA10    88.00    86.00   2.33    ⚖️ 關鍵：明天不可跌破 86.00
   1466.TW MA10    17.65    17.25   2.32    ⚖️ 關鍵：明天不可跌破 17.25
  2066.TWO MA10    51.10    49.95   2.30    ⚖️ 關鍵：明天不可跌破 49.95
  00922.TW MA10    29.72    29.07   2.24    ⚖️ 關鍵：明天不可跌破 29.07
   3714.TW MA10    36.50    35.70   2.24    ⚖️ 關鍵：明天不可跌破 35.70
   0050.TW MA10    75.60    73.95   2.23    ⚖️ 關鍵：明天不可跌破 73.95
   3029.TW MA60   118.00   115.50   2.16   ⚖️ 關鍵：明天不可跌破 115.50
   6937.TW MA10   238.00   233.00   2.15   ⚖️ 關鍵：明天不可跌破 233.00
00719B.TWO MA60    31.33    30.67   2.14    ⚖️ 關鍵：明天不可跌破 30.67
   4912.TW MA60    87.00    85.19   2.12    ⚖️ 關鍵：明天不可跌破 85.19
  6720.TWO MA20   169.50   166.00   2.11   ⚖️ 關鍵：明天不可跌破 166.00
   1305.TW MA10    12.30    12.05   2.07    ⚖️ 關鍵：明天不可跌破 12.05
   1471.TW MA10    12.40    12.15   2.06    ⚖️ 關鍵：明天不可跌破 12.15
   1314.TW MA10     8.14     7.98   2.01     ⚖️ 關鍵：明天不可跌破 7.98
   8045.TW MA60    78.80    77.30   1.94    ⚖️ 關鍵：明天不可跌破 77.30
  8455.TWO MA20    21.35    20.95   1.91    ⚖️ 關鍵：明天不可跌破 20.95
   2547.TW MA10    10.85    10.65   1.88    ⚖️ 關鍵：明天不可跌破 10.65
  00885.TW MA10    18.04    17.71   1.86    ⚖️ 關鍵：明天不可跌破 17.71
   5222.TW MA60   137.50   135.00   1.85   ⚖️ 關鍵：明天不可跌破 135.00
   6669.TW MA20  3910.00  3840.00   1.82  ⚖️ 關鍵：明天不可跌破 3840.00
  5299.TWO MA60    73.10    71.80   1.81    ⚖️ 關鍵：明天不可跌破 71.80
   8028.TW MA10   169.00   166.00   1.81   ⚖️ 關鍵：明天不可跌破 166.00
  3587.TWO MA20   201.00   197.50   1.77   ⚖️ 關鍵：明天不可跌破 197.50
  2035.TWO MA60    28.80    28.30   1.77    ⚖️ 關鍵：明天不可跌破 28.30
  6104.TWO MA60    92.60    91.00   1.76    ⚖️ 關鍵：明天不可跌破 91.00
   4722.TW MA60   174.00   171.00   1.75   ⚖️ 關鍵：明天不可跌破 171.00
 00985A.TW MA10    15.34    15.08   1.72    ⚖️ 關鍵：明天不可跌破 15.08
   8463.TW MA60    26.55    26.10   1.72    ⚖️ 關鍵：明天不可跌破 26.10
  3499.TWO MA20    18.00    17.70   1.69    ⚖️ 關鍵：明天不可跌破 17.70
   8162.TW MA20    39.45    38.80   1.68    ⚖️ 關鍵：明天不可跌破 38.80
   1303.TW MA10    79.30    78.00   1.67    ⚖️ 關鍵：明天不可跌破 78.00
   4904.TW MA20    92.20    90.70   1.65    ⚖️ 關鍵：明天不可跌破 90.70
  8111.TWO MA10    66.20    65.20   1.53    ⚖️ 關鍵：明天不可跌破 65.20
   2347.TW MA20    67.50    66.50   1.50    ⚖️ 關鍵：明天不可跌破 66.50
  1784.TWO MA10    95.80    94.40   1.48    ⚖️ 關鍵：明天不可跌破 94.40
   3706.TW MA10    78.10    77.00   1.43    ⚖️ 關鍵：明天不可跌破 77.00
   2022.TW MA10     8.63     8.51   1.41     ⚖️ 關鍵：明天不可跌破 8.51
00864B.TWO MA20    46.33    45.69   1.40    ⚖️ 關鍵：明天不可跌破 45.69
   2855.TW MA10    29.40    29.00   1.38    ⚖️ 關鍵：明天不可跌破 29.00
   6550.TW MA10    29.55    29.15   1.37    ⚖️ 關鍵：明天不可跌破 29.15
   3003.TW MA10    48.10    47.45   1.37    ⚖️ 關鍵：明天不可跌破 47.45
   2013.TW MA10    41.90    41.35   1.33    ⚖️ 關鍵：明天不可跌破 41.35
     ^TWII MA10 32828.88 32404.62   1.31 ⚖️ 關鍵：明天不可跌破 32404.62
   6271.TW MA10   155.00   153.00   1.31   ⚖️ 關鍵：明天不可跌破 153.00
  3483.TWO MA10    86.70    85.60   1.29    ⚖️ 關鍵：明天不可跌破 85.60
   7795.TW MA20   360.50   356.00   1.26   ⚖️ 關鍵：明天不可跌破 356.00
00761B.TWO MA20    35.38    34.95   1.23    ⚖️ 關鍵：明天不可跌破 34.95
00772B.TWO MA20    34.64    34.22   1.22    ⚖️ 關鍵：明天不可跌破 34.22
  00923.TW MA10    28.27    27.93   1.22    ⚖️ 關鍵：明天不可跌破 27.93
   3413.TW MA20   290.00   286.50   1.22   ⚖️ 關鍵：明天不可跌破 286.50
   3504.TW MA20    59.00    58.30   1.20    ⚖️ 關鍵：明天不可跌破 58.30
   4583.TW MA60   627.00   620.00   1.13   ⚖️ 關鍵：明天不可跌破 620.00
  3230.TWO MA60    40.85    40.40   1.11    ⚖️ 關鍵：明天不可跌破 40.40
   8016.TW MA60   183.00   181.00   1.10   ⚖️ 關鍵：明天不可跌破 181.00
   1307.TW MA20    32.85    32.50   1.08    ⚖️ 關鍵：明天不可跌破 32.50
 00985B.TW MA20    10.36    10.25   1.05    ⚖️ 關鍵：明天不可跌破 10.25
  3354.TWO MA20    29.00    28.70   1.05    ⚖️ 關鍵：明天不可跌破 28.70
   3062.TW MA10    24.40    24.15   1.04    ⚖️ 關鍵：明天不可跌破 24.15
   6598.TW MA20    24.20    23.95   1.04    ⚖️ 關鍵：明天不可跌破 23.95
  00891.TW MA20    23.17    22.94   1.02    ⚖️ 關鍵：明天不可跌破 22.94
   2535.TW MA10    70.50    69.80   1.00    ⚖️ 關鍵：明天不可跌破 69.80
00725B.TWO MA20    35.88    35.53   0.99    ⚖️ 關鍵：明天不可跌破 35.53
   9929.TW MA60    10.40    10.30   0.97    ⚖️ 關鍵：明天不可跌破 10.30
00720B.TWO MA20    33.85    33.53   0.95    ⚖️ 關鍵：明天不可跌破 33.53
  7556.TWO MA20   168.00   166.50   0.90   ⚖️ 關鍵：明天不可跌破 166.50
   2820.TW MA60    16.80    16.65   0.90    ⚖️ 關鍵：明天不可跌破 16.65
00950B.TWO MA20    14.43    14.31   0.86    ⚖️ 關鍵：明天不可跌破 14.31
00751B.TWO MA20    32.69    32.42   0.83    ⚖️ 關鍵：明天不可跌破 32.42
  3169.TWO MA10    96.80    96.00   0.83    ⚖️ 關鍵：明天不可跌破 96.00
   1203.TW MA60    39.90    39.60   0.76    ⚖️ 關鍵：明天不可跌破 39.60
  1599.TWO MA60    26.80    26.60   0.75    ⚖️ 關鍵：明天不可跌破 26.60
00933B.TWO MA20    16.48    16.36   0.74    ⚖️ 關鍵：明天不可跌破 16.36
    TXF.TW MA10 32834.00 32651.00   0.56 ⚖️ 關鍵：明天不可跌破 32651.00
00968B.TWO MA60     9.46     9.41   0.49     ⚖️ 關鍵：明天不可跌破 9.41
   2801.TW MA60    20.55    20.45   0.49    ⚖️ 關鍵：明天不可跌破 20.45
   3090.TW MA60    89.20    88.80   0.45    ⚖️ 關鍵：明天不可跌破 88.80
   2903.TW MA20    22.20    22.10   0.45    ⚖️ 關鍵：明天不可跌破 22.10
   8021.TW MA20   230.50   229.50   0.44   ⚖️ 關鍵：明天不可跌破 229.50
  3289.TWO MA10   128.50   128.00   0.39   ⚖️ 關鍵：明天不可跌破 128.00
00948B.TWO MA60     9.66     9.63   0.36     ⚖️ 關鍵：明天不可跌破 9.63
  4744.TWO MA20    30.05    29.95   0.33    ⚖️ 關鍵：明天不可跌破 29.95
 00945B.TW MA20    14.48    14.43   0.33    ⚖️ 關鍵：明天不可跌破 14.43
  3191.TWO MA10    15.10    15.05   0.33    ⚖️ 關鍵：明天不可跌破 15.05
  6548.TWO MA60    42.70    42.58   0.29    ⚖️ 關鍵：明天不可跌破 42.58
   1726.TW MA60    76.20    76.00   0.26    ⚖️ 關鍵：明天不可跌破 76.00
   1568.TW MA60    21.25    21.20   0.24    ⚖️ 關鍵：明天不可跌破 21.20
   6196.TW MA10   263.00   262.50   0.19   ⚖️ 關鍵：明天不可跌破 262.50
  6642.TWO MA20    55.30    55.20   0.18    ⚖️ 關鍵：明天不可跌破 55.20
00780B.TWO MA60    38.18    38.12   0.16    ⚖️ 關鍵：明天不可跌破 38.12
   6525.TW MA10    79.40    79.30   0.13    ⚖️ 關鍵：明天不可跌破 79.30
   2615.TW MA60    81.50    81.40   0.12    ⚖️ 關鍵：明天不可跌破 81.40
 00877.TWO MA10    27.09    27.06   0.11    ⚖️ 關鍵：明天不可跌破 27.06
00937B.TWO MA60    15.16    15.14   0.10    ⚖️ 關鍵：明天不可跌破 15.14
00984B.TWO MA20    16.90    16.89   0.05    ⚖️ 關鍵：明天不可跌破 16.89
   2414.TW MA60    41.20    41.20   0.00    ⚡ 轉折：若漲過 41.20 則翻多
  6904.TWO MA20   124.50   124.50   0.00   ⚡ 轉折：若漲過 124.50 則翻多
   6753.TW MA10   139.00   139.00   0.00   ⚡ 轉折：若漲過 139.00 則翻多
   1459.TW MA20    11.95    11.95   0.00    ⚡ 轉折：若漲過 11.95 則翻多
  4971.TWO  MA5   450.00   450.00   0.00   ⚡ 轉折：若漲過 450.00 則翻多
  3073.TWO MA10    29.60    29.60   0.00    ⚡ 轉折：若漲過 29.60 則翻多
   2382.TW MA60   281.00   281.50  -0.18   ⚡ 轉折：若漲過 281.50 則翻多
00981D.TWO MA20    10.41    10.43  -0.19    ⚡ 轉折：若漲過 10.43 則翻多
 00953B.TW MA20     9.67     9.69  -0.20     ⚡ 轉折：若漲過 9.69 則翻多
   3023.TW MA60   221.50   222.00  -0.23   ⚡ 轉折：若漲過 222.00 則翻多
  2887I.TW MA60     9.27     9.30  -0.32     ⚡ 轉折：若漲過 9.30 則翻多
   2409.TW MA10    14.95    15.00  -0.33    ⚡ 轉折：若漲過 15.00 則翻多
   9110.TW MA60     3.01     3.02  -0.33     ⚡ 轉折：若漲過 3.02 則翻多
   2495.TW MA60    28.75    28.85  -0.35    ⚡ 轉折：若漲過 28.85 則翻多
  2948.TWO MA20    39.40    39.55  -0.38    ⚡ 轉折：若漲過 39.55 則翻多
  00904.TW MA10    27.55    27.67  -0.43    ⚡ 轉折：若漲過 27.67 則翻多
   1516.TW MA20    22.10    22.20  -0.45    ⚡ 轉折：若漲過 22.20 則翻多
   6214.TW MA10   108.50   109.00  -0.46   ⚡ 轉折：若漲過 109.00 則翻多
   3045.TW MA60   108.00   108.50  -0.46   ⚡ 轉折：若漲過 108.50 則翻多
  3624.TWO MA10    53.00    53.30  -0.56    ⚡ 轉折：若漲過 53.30 則翻多
  00965.TW MA10    25.50    25.65  -0.58    ⚡ 轉折：若漲過 25.65 則翻多
   2369.TW MA10    25.10    25.25  -0.59    ⚡ 轉折：若漲過 25.25 則翻多
  00646.TW MA20    67.60    68.05  -0.66    ⚡ 轉折：若漲過 68.05 則翻多
00981B.TWO MA20     9.25     9.32  -0.73     ⚡ 轉折：若漲過 9.32 則翻多
   0056.TW MA10    37.74    38.03  -0.76    ⚡ 轉折：若漲過 38.03 則翻多
   3702.TW MA60    67.50    68.10  -0.88    ⚡ 轉折：若漲過 68.10 則翻多
  3564.TWO MA10    44.60    45.00  -0.89    ⚡ 轉折：若漲過 45.00 則翻多
   2472.TW MA10   107.50   108.50  -0.92   ⚡ 轉折：若漲過 108.50 則翻多
  4804.TWO MA10     6.00     6.06  -0.99     ⚡ 轉折：若漲過 6.06 則翻多
   2838.TW MA60    19.30    19.50  -1.03    ⚡ 轉折：若漲過 19.50 則翻多
  5516.TWO MA60    13.70    13.85  -1.08    ⚡ 轉折：若漲過 13.85 則翻多
   6477.TW MA20    35.65    36.05  -1.11    ⚡ 轉折：若漲過 36.05 則翻多
   1537.TW MA60   123.00   124.50  -1.20   ⚡ 轉折：若漲過 124.50 則翻多
  3521.TWO MA60    14.80    15.00  -1.33    ⚡ 轉折：若漲過 15.00 則翻多
   6116.TW MA10     8.18     8.29  -1.33     ⚡ 轉折：若漲過 8.29 則翻多
   2340.TW MA10    24.25    24.60  -1.42    ⚡ 轉折：若漲過 24.60 則翻多
   3266.TW MA60    13.55    13.75  -1.45    ⚡ 轉折：若漲過 13.75 則翻多
   2206.TW MA10    60.00    60.90  -1.48    ⚡ 轉折：若漲過 60.90 則翻多
   2365.TW MA60    33.10    33.60  -1.49    ⚡ 轉折：若漲過 33.60 則翻多
  7455.TWO MA20    65.00    66.00  -1.52    ⚡ 轉折：若漲過 66.00 則翻多
   4536.TW MA20   162.00   164.50  -1.52   ⚡ 轉折：若漲過 164.50 則翻多
  3306.TWO MA10    45.40    46.10  -1.52    ⚡ 轉折：若漲過 46.10 則翻多
   2371.TW MA60    32.20    32.70  -1.53    ⚡ 轉折：若漲過 32.70 則翻多
   1710.TW MA10    12.50    12.70  -1.57    ⚡ 轉折：若漲過 12.70 則翻多
  00875.TW MA20    37.30    37.90  -1.58    ⚡ 轉折：若漲過 37.90 則翻多
   2301.TW MA60   155.50   158.00  -1.58   ⚡ 轉折：若漲過 158.00 則翻多
   1525.TW MA20    62.10    63.10  -1.58    ⚡ 轉折：若漲過 63.10 則翻多
   4958.TW MA10   179.00   182.00  -1.65   ⚡ 轉折：若漲過 182.00 則翻多
  3707.TWO MA10    52.60    53.50  -1.68    ⚡ 轉折：若漲過 53.50 則翻多
   5880.TW MA60    23.45    23.85  -1.68    ⚡ 轉折：若漲過 23.85 則翻多
   4571.TW MA10   172.00   175.00  -1.71   ⚡ 轉折：若漲過 175.00 則翻多
  8923.TWO MA60    19.55    19.90  -1.76    ⚡ 轉折：若漲過 19.90 則翻多
   2434.TW MA20    29.35    29.90  -1.84    ⚡ 轉折：若漲過 29.90 則翻多
  5289.TWO MA20   744.00   758.00  -1.85   ⚡ 轉折：若漲過 758.00 則翻多
  00909.TW MA10    37.61    38.33  -1.88    ⚡ 轉折：若漲過 38.33 則翻多
  8383.TWO MA10    39.90    40.70  -1.97    ⚡ 轉折：若漲過 40.70 則翻多
  8087.TWO MA60    37.05    37.80  -1.98    ⚡ 轉折：若漲過 37.80 則翻多
  00919.TW MA20    23.45    23.93  -2.01    ⚡ 轉折：若漲過 23.93 則翻多
  3672.TWO MA60    12.15    12.40  -2.02    ⚡ 轉折：若漲過 12.40 則翻多
  6929.TWO MA60    31.35    32.00  -2.03    ⚡ 轉折：若漲過 32.00 則翻多
   2363.TW MA10    48.40    49.50  -2.22    ⚡ 轉折：若漲過 49.50 則翻多
   5876.TW MA60    38.50    39.40  -2.28    ⚡ 轉折：若漲過 39.40 則翻多
   3686.TW MA20    19.25    19.70  -2.28    ⚡ 轉折：若漲過 19.70 則翻多
  1569.TWO MA10    51.10    52.30  -2.29    ⚡ 轉折：若漲過 52.30 則翻多
  6163.TWO  MA5    50.90    52.10  -2.30    ⚡ 轉折：若漲過 52.10 則翻多
   2845.TW MA60    12.35    12.65  -2.37    ⚡ 轉折：若漲過 12.65 則翻多
  6643.TWO MA10   450.00   461.00  -2.39   ⚡ 轉折：若漲過 461.00 則翻多
  6016.TWO MA10    16.05    16.45  -2.43    ⚡ 轉折：若漲過 16.45 則翻多
  6228.TWO MA60    23.85    24.45  -2.45    ⚡ 轉折：若漲過 24.45 則翻多
  5493.TWO MA60    82.40    84.50  -2.49    ⚡ 轉折：若漲過 84.50 則翻多
  6584.TWO MA10   367.50   377.00  -2.52   ⚡ 轉折：若漲過 377.00 則翻多
  7805.TWO MA20   576.00   591.00  -2.54   ⚡ 轉折：若漲過 591.00 則翻多
 00632R.TW MA20    14.50    14.88  -2.55    ⚡ 轉折：若漲過 14.88 則翻多
   6838.TW MA10    26.45    27.15  -2.58    ⚡ 轉折：若漲過 27.15 則翻多
   1402.TW MA20    28.30    29.05  -2.58    ⚡ 轉折：若漲過 29.05 則翻多
   6869.TW  MA5   110.50   113.50  -2.64   ⚡ 轉折：若漲過 113.50 則翻多
  5403.TWO MA20   110.00   113.00  -2.65   ⚡ 轉折：若漲過 113.00 則翻多
   3059.TW MA10    36.80    37.80  -2.65    ⚡ 轉折：若漲過 37.80 則翻多
  00878.TW MA10    22.06    22.67  -2.67    ⚡ 轉折：若漲過 22.67 則翻多
   2889.TW MA60    16.25    16.70  -2.69    ⚡ 轉折：若漲過 16.70 則翻多
   2457.TW MA60    28.25    29.05  -2.75    ⚡ 轉折：若漲過 29.05 則翻多
   9917.TW MA60   105.00   108.00  -2.78   ⚡ 轉折：若漲過 108.00 則翻多
  5455.TWO MA60    27.85    28.65  -2.79    ⚡ 轉折：若漲過 28.65 則翻多
  3551.TWO MA10   174.50   179.50  -2.79   ⚡ 轉折：若漲過 179.50 則翻多
   2454.TW MA20  1720.00  1770.00  -2.82  ⚡ 轉折：若漲過 1770.00 則翻多
   4551.TW MA20   120.00   123.50  -2.83   ⚡ 轉折：若漲過 123.50 則翻多
  5355.TWO MA20     7.20     7.41  -2.83     ⚡ 轉折：若漲過 7.41 則翻多
   1444.TW MA10     6.07     6.25  -2.88     ⚡ 轉折：若漲過 6.25 則翻多
  4161.TWO MA60    25.20    25.95  -2.89    ⚡ 轉折：若漲過 25.95 則翻多
   2542.TW MA20    36.85    37.95  -2.90    ⚡ 轉折：若漲過 37.95 則翻多
  00918.TW MA20    22.71    23.39  -2.91    ⚡ 轉折：若漲過 23.39 則翻多
  4580.TWO MA20    80.00    82.40  -2.91    ⚡ 轉折：若漲過 82.40 則翻多
   6657.TW  MA5    46.70    48.10  -2.91    ⚡ 轉折：若漲過 48.10 則翻多
   6153.TW MA10    14.85    15.30  -2.94    ⚡ 轉折：若漲過 15.30 則翻多
  00662.TW MA20    99.95   103.00  -2.96   ⚡ 轉折：若漲過 103.00 則翻多
   2023.TW MA60    14.45    14.90  -3.02       ❄️ 弱勢：扣抵過高，均線下彎
  6565.TWO MA10    15.95    16.45  -3.04       ❄️ 弱勢：扣抵過高，均線下彎
   2458.TW MA60   127.00   131.00  -3.05       ❄️ 弱勢：扣抵過高，均線下彎
  00910.TW MA20    55.00    56.75  -3.08       ❄️ 弱勢：扣抵過高，均線下彎
  3581.TWO MA10    65.90    68.00  -3.09       ❄️ 弱勢：扣抵過高，均線下彎
   2236.TW MA10   109.50   113.00  -3.10       ❄️ 弱勢：扣抵過高，均線下彎
  6279.TWO MA10   109.00   112.50  -3.11       ❄️ 弱勢：扣抵過高，均線下彎
  00940.TW MA20     9.44     9.74  -3.13       ❄️ 弱勢：扣抵過高，均線下彎
   4961.TW MA60   138.50   143.00  -3.15       ❄️ 弱勢：扣抵過高，均線下彎
   2428.TW MA20   168.50   174.00  -3.16       ❄️ 弱勢：扣抵過高，均線下彎
  2252.TWO MA10    15.20    15.70  -3.18       ❄️ 弱勢：扣抵過高，均線下彎
   3004.TW MA10   105.00   108.50  -3.23       ❄️ 弱勢：扣抵過高，均線下彎
   2344.TW MA10   104.00   107.50  -3.26       ❄️ 弱勢：扣抵過高，均線下彎
   2208.TW MA10    21.90    22.65  -3.31       ❄️ 弱勢：扣抵過高，均線下彎
  00936.TW MA20    16.95    17.53  -3.32       ❄️ 弱勢：扣抵過高，均線下彎
  3374.TWO MA20   173.00   179.00  -3.35       ❄️ 弱勢：扣抵過高，均線下彎
  7584.TWO MA20    38.30    39.65  -3.40       ❄️ 弱勢：扣抵過高，均線下彎
   6243.TW MA10    32.70    33.85  -3.40       ❄️ 弱勢：扣抵過高，均線下彎
  00927.TW MA10    23.70    24.54  -3.42       ❄️ 弱勢：扣抵過高，均線下彎
   2349.TW MA10    12.65    13.10  -3.44       ❄️ 弱勢：扣抵過高，均線下彎
  3508.TWO  MA5    35.00    36.25  -3.45       ❄️ 弱勢：扣抵過高，均線下彎
   2834.TW MA60    15.35    15.90  -3.46       ❄️ 弱勢：扣抵過高，均線下彎
   1609.TW MA60    37.65    39.00  -3.46       ❄️ 弱勢：扣抵過高，均線下彎
  6134.TWO MA20    33.10    34.30  -3.50       ❄️ 弱勢：扣抵過高，均線下彎
   2438.TW MA10    20.70    21.45  -3.50       ❄️ 弱勢：扣抵過高，均線下彎
  3067.TWO MA60    17.55    18.20  -3.57       ❄️ 弱勢：扣抵過高，均線下彎
  6147.TWO MA10    51.20    53.10  -3.58       ❄️ 弱勢：扣抵過高，均線下彎
   3033.TW MA60    29.20    30.30  -3.63       ❄️ 弱勢：扣抵過高，均線下彎
  5301.TWO MA20    10.60    11.00  -3.64       ❄️ 弱勢：扣抵過高，均線下彎
  00924.TW MA20    28.02    29.08  -3.65       ❄️ 弱勢：扣抵過高，均線下彎
   1443.TW MA60    26.35    27.35  -3.66       ❄️ 弱勢：扣抵過高，均線下彎
   1612.TW MA60    34.00    35.30  -3.68       ❄️ 弱勢：扣抵過高，均線下彎
   8422.TW MA10    31.35    32.55  -3.69       ❄️ 弱勢：扣抵過高，均線下彎
   3014.TW MA60   116.50   121.00  -3.72       ❄️ 弱勢：扣抵過高，均線下彎
  8416.TWO MA60   166.50   173.00  -3.76       ❄️ 弱勢：扣抵過高，均線下彎
   2393.TW MA10    56.10    58.30  -3.77       ❄️ 弱勢：扣抵過高，均線下彎
   1477.TW MA60   306.50   318.50  -3.77       ❄️ 弱勢：扣抵過高，均線下彎
   2630.TW MA20    53.10    55.20  -3.80       ❄️ 弱勢：扣抵過高，均線下彎
  3213.TWO MA60    98.60   102.50  -3.80       ❄️ 弱勢：扣抵過高，均線下彎
  7728.TWO  MA5   806.00   838.00  -3.82       ❄️ 弱勢：扣抵過高，均線下彎
  4721.TWO MA10    62.40    64.90  -3.85       ❄️ 弱勢：扣抵過高，均線下彎
  00712.TW MA20     9.23     9.60  -3.85       ❄️ 弱勢：扣抵過高，均線下彎
  4529.TWO MA10     3.22     3.35  -3.88       ❄️ 弱勢：扣抵過高，均線下彎
  1785.TWO MA10    57.00    59.30  -3.88       ❄️ 弱勢：扣抵過高，均線下彎
  6170.TWO MA20    47.60    49.55  -3.94       ❄️ 弱勢：扣抵過高，均線下彎
  3430.TWO MA20    67.90    70.70  -3.96       ❄️ 弱勢：扣抵過高，均線下彎
   8112.TW MA60    64.80    67.50  -4.00       ❄️ 弱勢：扣抵過高，均線下彎
  6855.TWO MA60   107.50   112.00  -4.02       ❄️ 弱勢：扣抵過高，均線下彎
   3416.TW MA60   142.50   148.50  -4.04       ❄️ 弱勢：扣抵過高，均線下彎
   2812.TW MA60    20.20    21.05  -4.04       ❄️ 弱勢：扣抵過高，均線下彎
  6435.TWO MA20   142.50   148.50  -4.04       ❄️ 弱勢：扣抵過高，均線下彎
   3025.TW MA10    54.60    56.90  -4.04       ❄️ 弱勢：扣抵過高，均線下彎
 00887.TWO MA20    12.55    13.08  -4.05       ❄️ 弱勢：扣抵過高，均線下彎
   2886.TW MA60    38.90    40.55  -4.07       ❄️ 弱勢：扣抵過高，均線下彎
   4906.TW MA10    25.80    26.90  -4.09       ❄️ 弱勢：扣抵過高，均線下彎
  00949.TW  MA5    19.31    20.14  -4.12       ❄️ 弱勢：扣抵過高，均線下彎
   4949.TW MA20    47.65    49.70  -4.12       ❄️ 弱勢：扣抵過高，均線下彎
   6515.TW MA10  4525.00  4720.00  -4.13       ❄️ 弱勢：扣抵過高，均線下彎
  2235.TWO MA20    33.60    35.05  -4.14       ❄️ 弱勢：扣抵過高，均線下彎
  6223.TWO MA10  2660.00  2775.00  -4.14       ❄️ 弱勢：扣抵過高，均線下彎
  6274.TWO MA20   490.50   512.00  -4.20       ❄️ 弱勢：扣抵過高，均線下彎
   4938.TW MA60    68.50    71.50  -4.20       ❄️ 弱勢：扣抵過高，均線下彎
  6843.TWO MA10    47.00    49.10  -4.28       ❄️ 弱勢：扣抵過高，均線下彎
  3611.TWO MA20   190.00   198.50  -4.28       ❄️ 弱勢：扣抵過高，均線下彎
  00770.TW MA60    50.80    53.10  -4.33       ❄️ 弱勢：扣抵過高，均線下彎
   2881.TW MA60    89.80    93.90  -4.37       ❄️ 弱勢：扣抵過高，均線下彎
  5490.TWO MA20    26.00    27.20  -4.41       ❄️ 弱勢：扣抵過高，均線下彎
  4542.TWO MA10   139.00   145.50  -4.47       ❄️ 弱勢：扣抵過高，均線下彎
  00902.TW MA10    13.46    14.10  -4.54       ❄️ 弱勢：扣抵過高，均線下彎
  3086.TWO MA60   230.50   241.50  -4.55       ❄️ 弱勢：扣抵過高，均線下彎
   6794.TW MA20    83.60    87.60  -4.57       ❄️ 弱勢：扣抵過高，均線下彎
  4903.TWO MA10    40.50    42.45  -4.59       ❄️ 弱勢：扣抵過高，均線下彎
  3444.TWO MA10    60.00    62.90  -4.61       ❄️ 弱勢：扣抵過高，均線下彎
   2633.TW MA60    26.55    27.85  -4.67       ❄️ 弱勢：扣抵過高，均線下彎
